=> Saving data in Logs/FRL~try=745
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0953 test loss 2.237993 best test_acc 0.0953
e 1 | malicious users: 5 | test acc 0.4328 test loss 1.933057 best test_acc 0.4328
e 2 | malicious users: 5 | test acc 0.5313 test loss 1.678442 best test_acc 0.5313
e 3 | malicious users: 5 | test acc 0.5386 test loss 1.403258 best test_acc 0.5386
e 4 | malicious users: 5 | test acc 0.6232 test loss 1.157370 best test_acc 0.6232
e 5 | malicious users: 5 | test acc 0.6603 test loss 1.137715 best test_acc 0.6603
e 6 | malicious users: 5 | test acc 0.6694 test loss 0.974967 best test_acc 0.6694
e 7 | malicious users: 5 | test acc 0.6075 test loss 1.223193 best test_acc 0.6694
e 8 | malicious users: 5 | test acc 0.6620 test loss 0.916263 best test_acc 0.6694
e 9 | malicious users: 5 | test acc 0.6922 test loss 1.082022 best test_acc 0.6922
e 10 | malicious users: 5 | test acc 0.7376 test loss 0.761878 best test_acc 0.7376
e 11 | malicious users: 5 | test acc 0.5924 test loss 1.148219 best test_acc 0.7376
e 12 | malicious users: 5 | test acc 0.6736 test loss 0.850487 best test_acc 0.7376
e 13 | malicious users: 5 | test acc 0.6494 test loss 0.867400 best test_acc 0.7376
e 14 | malicious users: 5 | test acc 0.7155 test loss 0.931935 best test_acc 0.7376
e 15 | malicious users: 5 | test acc 0.7189 test loss 0.815340 best test_acc 0.7376
e 16 | malicious users: 5 | test acc 0.7456 test loss 0.873564 best test_acc 0.7456
e 17 | malicious users: 5 | test acc 0.8347 test loss 0.623042 best test_acc 0.8347
e 18 | malicious users: 5 | test acc 0.7952 test loss 0.787437 best test_acc 0.8347
e 19 | malicious users: 5 | test acc 0.7824 test loss 0.711052 best test_acc 0.8347
e 20 | malicious users: 5 | test acc 0.7968 test loss 0.671928 best test_acc 0.8347
