=> Saving data in Logs/FRL~try=756
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 1 | test acc 0.1971 test loss 2.241475 best test_acc 0.1971
e 1 | malicious users: 1 | test acc 0.4040 test loss 2.091929 best test_acc 0.4040
e 2 | malicious users: 1 | test acc 0.5939 test loss 1.730249 best test_acc 0.5939
e 3 | malicious users: 1 | test acc 0.5911 test loss 1.542939 best test_acc 0.5939
e 4 | malicious users: 1 | test acc 0.6265 test loss 1.206784 best test_acc 0.6265
e 5 | malicious users: 1 | test acc 0.7262 test loss 1.095515 best test_acc 0.7262
e 6 | malicious users: 1 | test acc 0.6833 test loss 0.992329 best test_acc 0.7262
e 7 | malicious users: 1 | test acc 0.6704 test loss 0.935068 best test_acc 0.7262
e 8 | malicious users: 1 | test acc 0.7488 test loss 0.895364 best test_acc 0.7488
e 9 | malicious users: 1 | test acc 0.8398 test loss 0.649388 best test_acc 0.8398
e 10 | malicious users: 1 | test acc 0.7459 test loss 0.852504 best test_acc 0.8398
e 11 | malicious users: 1 | test acc 0.7711 test loss 0.897584 best test_acc 0.8398
e 12 | malicious users: 1 | test acc 0.8690 test loss 0.529866 best test_acc 0.8690
e 13 | malicious users: 1 | test acc 0.8765 test loss 0.583533 best test_acc 0.8765
e 14 | malicious users: 1 | test acc 0.8069 test loss 0.671667 best test_acc 0.8765
e 15 | malicious users: 1 | test acc 0.8384 test loss 0.624679 best test_acc 0.8765
e 16 | malicious users: 1 | test acc 0.7186 test loss 0.780018 best test_acc 0.8765
e 17 | malicious users: 1 | test acc 0.8139 test loss 0.567897 best test_acc 0.8765
e 18 | malicious users: 1 | test acc 0.8132 test loss 0.587914 best test_acc 0.8765
e 19 | malicious users: 1 | test acc 0.8532 test loss 0.514852 best test_acc 0.8765
e 20 | malicious users: 1 | test acc 0.8060 test loss 0.574485 best test_acc 0.8765
e 21 | malicious users: 1 | test acc 0.7308 test loss 0.808424 best test_acc 0.8765
e 22 | malicious users: 1 | test acc 0.8382 test loss 0.584836 best test_acc 0.8765
e 23 | malicious users: 1 | test acc 0.9138 test loss 0.366831 best test_acc 0.9138
e 24 | malicious users: 1 | test acc 0.8486 test loss 0.473795 best test_acc 0.9138
e 25 | malicious users: 1 | test acc 0.9029 test loss 0.499453 best test_acc 0.9138
e 26 | malicious users: 1 | test acc 0.8435 test loss 0.502281 best test_acc 0.9138
e 27 | malicious users: 1 | test acc 0.8059 test loss 0.565374 best test_acc 0.9138
e 28 | malicious users: 1 | test acc 0.8318 test loss 0.531644 best test_acc 0.9138
e 29 | malicious users: 1 | test acc 0.9238 test loss 0.347453 best test_acc 0.9238
e 30 | malicious users: 1 | test acc 0.8791 test loss 0.400909 best test_acc 0.9238
e 31 | malicious users: 1 | test acc 0.9211 test loss 0.327455 best test_acc 0.9238
e 32 | malicious users: 1 | test acc 0.9012 test loss 0.385497 best test_acc 0.9238
e 33 | malicious users: 1 | test acc 0.8443 test loss 0.645716 best test_acc 0.9238
e 34 | malicious users: 1 | test acc 0.9344 test loss 0.328299 best test_acc 0.9344
e 35 | malicious users: 1 | test acc 0.8779 test loss 0.523368 best test_acc 0.9344
e 36 | malicious users: 1 | test acc 0.9210 test loss 0.354157 best test_acc 0.9344
e 37 | malicious users: 1 | test acc 0.8993 test loss 0.404846 best test_acc 0.9344
e 38 | malicious users: 1 | test acc 0.8897 test loss 0.562187 best test_acc 0.9344
e 39 | malicious users: 1 | test acc 0.8866 test loss 0.426547 best test_acc 0.9344
e 40 | malicious users: 1 | test acc 0.8270 test loss 0.534881 best test_acc 0.9344
e 41 | malicious users: 1 | test acc 0.8500 test loss 0.502054 best test_acc 0.9344
e 42 | malicious users: 1 | test acc 0.8776 test loss 0.483607 best test_acc 0.9344
e 43 | malicious users: 1 | test acc 0.8295 test loss 0.500594 best test_acc 0.9344
e 44 | malicious users: 1 | test acc 0.9333 test loss 0.295597 best test_acc 0.9344
e 45 | malicious users: 1 | test acc 0.8475 test loss 0.429404 best test_acc 0.9344
e 46 | malicious users: 1 | test acc 0.9149 test loss 0.391184 best test_acc 0.9344
e 47 | malicious users: 1 | test acc 0.8353 test loss 0.466436 best test_acc 0.9344
e 48 | malicious users: 1 | test acc 0.8715 test loss 0.389814 best test_acc 0.9344
e 49 | malicious users: 1 | test acc 0.8771 test loss 0.377280 best test_acc 0.9344
e 50 | malicious users: 1 | test acc 0.9225 test loss 0.338902 best test_acc 0.9344
e 51 | malicious users: 1 | test acc 0.9352 test loss 0.277768 best test_acc 0.9352
e 52 | malicious users: 1 | test acc 0.8843 test loss 0.373573 best test_acc 0.9352
e 53 | malicious users: 1 | test acc 0.9272 test loss 0.281486 best test_acc 0.9352
e 54 | malicious users: 1 | test acc 0.8935 test loss 0.531863 best test_acc 0.9352
e 55 | malicious users: 1 | test acc 0.9342 test loss 0.275435 best test_acc 0.9352
e 56 | malicious users: 1 | test acc 0.9163 test loss 0.393850 best test_acc 0.9352
e 57 | malicious users: 1 | test acc 0.9328 test loss 0.233035 best test_acc 0.9352
e 58 | malicious users: 1 | test acc 0.7947 test loss 0.634907 best test_acc 0.9352
e 59 | malicious users: 1 | test acc 0.8577 test loss 0.388407 best test_acc 0.9352
e 60 | malicious users: 1 | test acc 0.8902 test loss 0.356869 best test_acc 0.9352
e 61 | malicious users: 1 | test acc 0.8470 test loss 0.420043 best test_acc 0.9352
e 62 | malicious users: 1 | test acc 0.9283 test loss 0.336007 best test_acc 0.9352
e 63 | malicious users: 1 | test acc 0.9409 test loss 0.259694 best test_acc 0.9409
e 64 | malicious users: 1 | test acc 0.9287 test loss 0.299477 best test_acc 0.9409
