=> Saving data in Logs/FRL~try=760
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.1035 test loss 2.239600 best test_acc 0.1035
e 1 | malicious users: 2 | test acc 0.4168 test loss 2.113289 best test_acc 0.4168
e 2 | malicious users: 2 | test acc 0.4682 test loss 1.814329 best test_acc 0.4682
e 3 | malicious users: 2 | test acc 0.5171 test loss 1.560864 best test_acc 0.5171
e 4 | malicious users: 2 | test acc 0.6689 test loss 1.576306 best test_acc 0.6689
e 5 | malicious users: 2 | test acc 0.7310 test loss 0.986587 best test_acc 0.7310
e 6 | malicious users: 2 | test acc 0.6804 test loss 1.044385 best test_acc 0.7310
e 7 | malicious users: 2 | test acc 0.7398 test loss 0.944612 best test_acc 0.7398
e 8 | malicious users: 2 | test acc 0.7669 test loss 0.792205 best test_acc 0.7669
e 9 | malicious users: 2 | test acc 0.7529 test loss 0.858513 best test_acc 0.7669
e 10 | malicious users: 2 | test acc 0.7600 test loss 0.803585 best test_acc 0.7669
e 11 | malicious users: 2 | test acc 0.8298 test loss 0.614842 best test_acc 0.8298
e 12 | malicious users: 2 | test acc 0.8172 test loss 0.598952 best test_acc 0.8298
e 13 | malicious users: 2 | test acc 0.7463 test loss 0.881866 best test_acc 0.8298
e 14 | malicious users: 2 | test acc 0.8283 test loss 0.533023 best test_acc 0.8298
e 15 | malicious users: 2 | test acc 0.8118 test loss 0.746419 best test_acc 0.8298
e 16 | malicious users: 2 | test acc 0.8694 test loss 0.524753 best test_acc 0.8694
e 17 | malicious users: 2 | test acc 0.8046 test loss 0.654102 best test_acc 0.8694
e 18 | malicious users: 2 | test acc 0.7015 test loss 0.806136 best test_acc 0.8694
e 19 | malicious users: 2 | test acc 0.8239 test loss 0.548682 best test_acc 0.8694
e 20 | malicious users: 2 | test acc 0.9039 test loss 0.497797 best test_acc 0.9039
e 21 | malicious users: 2 | test acc 0.9007 test loss 0.401351 best test_acc 0.9039
e 22 | malicious users: 2 | test acc 0.7367 test loss 0.815323 best test_acc 0.9039
e 23 | malicious users: 2 | test acc 0.8872 test loss 0.463072 best test_acc 0.9039
e 24 | malicious users: 2 | test acc 0.8169 test loss 0.584394 best test_acc 0.9039
e 25 | malicious users: 2 | test acc 0.8414 test loss 0.623277 best test_acc 0.9039
e 26 | malicious users: 2 | test acc 0.9081 test loss 0.351828 best test_acc 0.9081
e 27 | malicious users: 2 | test acc 0.8029 test loss 0.593386 best test_acc 0.9081
e 28 | malicious users: 2 | test acc 0.9133 test loss 0.364373 best test_acc 0.9133
e 29 | malicious users: 2 | test acc 0.7555 test loss 0.765696 best test_acc 0.9133
e 30 | malicious users: 2 | test acc 0.8699 test loss 0.442105 best test_acc 0.9133
e 31 | malicious users: 2 | test acc 0.8969 test loss 0.564422 best test_acc 0.9133
e 32 | malicious users: 2 | test acc 0.8540 test loss 0.404454 best test_acc 0.9133
e 33 | malicious users: 2 | test acc 0.8929 test loss 0.437019 best test_acc 0.9133
e 34 | malicious users: 2 | test acc 0.8886 test loss 0.516040 best test_acc 0.9133
e 35 | malicious users: 2 | test acc 0.9119 test loss 0.416940 best test_acc 0.9133
e 36 | malicious users: 2 | test acc 0.8088 test loss 0.522585 best test_acc 0.9133
e 37 | malicious users: 2 | test acc 0.9141 test loss 0.478249 best test_acc 0.9141
e 38 | malicious users: 2 | test acc 0.8647 test loss 0.505997 best test_acc 0.9141
e 39 | malicious users: 2 | test acc 0.9374 test loss 0.322641 best test_acc 0.9374
e 40 | malicious users: 2 | test acc 0.8981 test loss 0.391540 best test_acc 0.9374
e 41 | malicious users: 2 | test acc 0.7172 test loss 0.774173 best test_acc 0.9374
e 42 | malicious users: 2 | test acc 0.7859 test loss 0.588728 best test_acc 0.9374
e 43 | malicious users: 2 | test acc 0.8575 test loss 0.559080 best test_acc 0.9374
e 44 | malicious users: 2 | test acc 0.9288 test loss 0.347847 best test_acc 0.9374
e 45 | malicious users: 2 | test acc 0.8983 test loss 0.467593 best test_acc 0.9374
e 46 | malicious users: 2 | test acc 0.8141 test loss 0.599155 best test_acc 0.9374
e 47 | malicious users: 2 | test acc 0.9092 test loss 0.380254 best test_acc 0.9374
e 48 | malicious users: 2 | test acc 0.8620 test loss 0.527273 best test_acc 0.9374
e 49 | malicious users: 2 | test acc 0.8537 test loss 0.440205 best test_acc 0.9374
e 50 | malicious users: 2 | test acc 0.9059 test loss 0.428661 best test_acc 0.9374
e 51 | malicious users: 2 | test acc 0.9255 test loss 0.275473 best test_acc 0.9374
e 52 | malicious users: 2 | test acc 0.8169 test loss 0.579468 best test_acc 0.9374
e 53 | malicious users: 2 | test acc 0.9390 test loss 0.273718 best test_acc 0.9390
e 54 | malicious users: 2 | test acc 0.8532 test loss 0.420282 best test_acc 0.9390
e 55 | malicious users: 2 | test acc 0.7921 test loss 0.588657 best test_acc 0.9390
e 56 | malicious users: 2 | test acc 0.8384 test loss 0.554317 best test_acc 0.9390
e 57 | malicious users: 2 | test acc 0.9039 test loss 0.345724 best test_acc 0.9390
e 58 | malicious users: 2 | test acc 0.9243 test loss 0.419618 best test_acc 0.9390
e 59 | malicious users: 2 | test acc 0.9369 test loss 0.261558 best test_acc 0.9390
e 60 | malicious users: 2 | test acc 0.8836 test loss 0.435298 best test_acc 0.9390
e 61 | malicious users: 2 | test acc 0.8401 test loss 0.516014 best test_acc 0.9390
e 62 | malicious users: 2 | test acc 0.8658 test loss 0.464412 best test_acc 0.9390
e 63 | malicious users: 2 | test acc 0.8705 test loss 0.495971 best test_acc 0.9390
e 64 | malicious users: 2 | test acc 0.8843 test loss 0.345336 best test_acc 0.9390
e 65 | malicious users: 2 | test acc 0.8715 test loss 0.371754 best test_acc 0.9390
e 66 | malicious users: 2 | test acc 0.8991 test loss 0.395416 best test_acc 0.9390
e 67 | malicious users: 2 | test acc 0.8149 test loss 0.585005 best test_acc 0.9390
e 68 | malicious users: 2 | test acc 0.8780 test loss 0.415252 best test_acc 0.9390
e 69 | malicious users: 2 | test acc 0.9291 test loss 0.317032 best test_acc 0.9390
e 70 | malicious users: 2 | test acc 0.8944 test loss 0.305371 best test_acc 0.9390
e 71 | malicious users: 2 | test acc 0.8904 test loss 0.421828 best test_acc 0.9390
e 72 | malicious users: 2 | test acc 0.8702 test loss 0.449102 best test_acc 0.9390
e 73 | malicious users: 2 | test acc 0.8692 test loss 0.501266 best test_acc 0.9390
e 74 | malicious users: 2 | test acc 0.8387 test loss 0.535394 best test_acc 0.9390
e 75 | malicious users: 2 | test acc 0.8454 test loss 0.505839 best test_acc 0.9390
e 76 | malicious users: 2 | test acc 0.9314 test loss 0.307219 best test_acc 0.9390
e 77 | malicious users: 2 | test acc 0.9280 test loss 0.280357 best test_acc 0.9390
e 78 | malicious users: 2 | test acc 0.9444 test loss 0.233430 best test_acc 0.9444
e 79 | malicious users: 2 | test acc 0.7734 test loss 0.649320 best test_acc 0.9444
e 80 | malicious users: 2 | test acc 0.9369 test loss 0.258864 best test_acc 0.9444
e 81 | malicious users: 2 | test acc 0.8801 test loss 0.424300 best test_acc 0.9444
e 82 | malicious users: 2 | test acc 0.8610 test loss 0.498445 best test_acc 0.9444
e 83 | malicious users: 2 | test acc 0.8469 test loss 0.560136 best test_acc 0.9444
e 84 | malicious users: 2 | test acc 0.8692 test loss 0.400159 best test_acc 0.9444
e 85 | malicious users: 2 | test acc 0.9116 test loss 0.336058 best test_acc 0.9444
e 86 | malicious users: 2 | test acc 0.9126 test loss 0.334108 best test_acc 0.9444
e 87 | malicious users: 2 | test acc 0.8876 test loss 0.400659 best test_acc 0.9444
e 88 | malicious users: 2 | test acc 0.9392 test loss 0.253408 best test_acc 0.9444
e 89 | malicious users: 2 | test acc 0.9157 test loss 0.404391 best test_acc 0.9444
e 90 | malicious users: 2 | test acc 0.9460 test loss 0.205351 best test_acc 0.9460
e 91 | malicious users: 2 | test acc 0.8864 test loss 0.404136 best test_acc 0.9460
e 92 | malicious users: 2 | test acc 0.9500 test loss 0.185927 best test_acc 0.9500
e 93 | malicious users: 2 | test acc 0.8176 test loss 0.580558 best test_acc 0.9500
e 94 | malicious users: 2 | test acc 0.8333 test loss 0.530056 best test_acc 0.9500
e 95 | malicious users: 2 | test acc 0.9437 test loss 0.257943 best test_acc 0.9500
e 96 | malicious users: 2 | test acc 0.9348 test loss 0.260947 best test_acc 0.9500
e 97 | malicious users: 2 | test acc 0.9422 test loss 0.207884 best test_acc 0.9500
e 98 | malicious users: 2 | test acc 0.9056 test loss 0.355579 best test_acc 0.9500
e 99 | malicious users: 2 | test acc 0.8821 test loss 0.409689 best test_acc 0.9500
e 100 | malicious users: 2 | test acc 0.9418 test loss 0.231233 best test_acc 0.9500
e 101 | malicious users: 2 | test acc 0.9479 test loss 0.272727 best test_acc 0.9500
e 102 | malicious users: 2 | test acc 0.8917 test loss 0.400599 best test_acc 0.9500
e 103 | malicious users: 2 | test acc 0.8656 test loss 0.434056 best test_acc 0.9500
e 104 | malicious users: 2 | test acc 0.9537 test loss 0.177331 best test_acc 0.9537
e 105 | malicious users: 2 | test acc 0.9341 test loss 0.366810 best test_acc 0.9537
e 106 | malicious users: 2 | test acc 0.9005 test loss 0.368161 best test_acc 0.9537
e 107 | malicious users: 2 | test acc 0.9480 test loss 0.240827 best test_acc 0.9537
e 108 | malicious users: 2 | test acc 0.8734 test loss 0.370864 best test_acc 0.9537
e 109 | malicious users: 2 | test acc 0.9075 test loss 0.378923 best test_acc 0.9537
e 110 | malicious users: 2 | test acc 0.9374 test loss 0.228199 best test_acc 0.9537
e 111 | malicious users: 2 | test acc 0.8631 test loss 0.408333 best test_acc 0.9537
