=> Saving data in Logs/FRL~try=761
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 2 | test acc 0.2919 test loss 2.227885 best test_acc 0.2919
e 1 | malicious users: 2 | test acc 0.5959 test loss 2.053168 best test_acc 0.5959
e 2 | malicious users: 2 | test acc 0.5471 test loss 1.860532 best test_acc 0.5959
e 3 | malicious users: 2 | test acc 0.6330 test loss 1.588417 best test_acc 0.6330
e 4 | malicious users: 2 | test acc 0.6883 test loss 1.156978 best test_acc 0.6883
e 5 | malicious users: 2 | test acc 0.6864 test loss 1.169140 best test_acc 0.6883
e 6 | malicious users: 2 | test acc 0.7949 test loss 0.810548 best test_acc 0.7949
e 7 | malicious users: 2 | test acc 0.7125 test loss 0.919603 best test_acc 0.7949
e 8 | malicious users: 2 | test acc 0.7273 test loss 0.841481 best test_acc 0.7949
e 9 | malicious users: 2 | test acc 0.7927 test loss 0.712854 best test_acc 0.7949
e 10 | malicious users: 2 | test acc 0.8786 test loss 0.593192 best test_acc 0.8786
e 11 | malicious users: 2 | test acc 0.8234 test loss 0.685683 best test_acc 0.8786
e 12 | malicious users: 2 | test acc 0.8863 test loss 0.485974 best test_acc 0.8863
e 13 | malicious users: 2 | test acc 0.7824 test loss 0.667248 best test_acc 0.8863
e 14 | malicious users: 2 | test acc 0.8720 test loss 0.553559 best test_acc 0.8863
e 15 | malicious users: 2 | test acc 0.8508 test loss 0.469646 best test_acc 0.8863
e 16 | malicious users: 2 | test acc 0.9125 test loss 0.378576 best test_acc 0.9125
e 17 | malicious users: 2 | test acc 0.8311 test loss 0.521991 best test_acc 0.9125
e 18 | malicious users: 2 | test acc 0.8880 test loss 0.433438 best test_acc 0.9125
e 19 | malicious users: 2 | test acc 0.8282 test loss 0.564287 best test_acc 0.9125
e 20 | malicious users: 2 | test acc 0.8032 test loss 0.645023 best test_acc 0.9125
e 21 | malicious users: 2 | test acc 0.8851 test loss 0.476967 best test_acc 0.9125
e 22 | malicious users: 2 | test acc 0.8975 test loss 0.469058 best test_acc 0.9125
e 23 | malicious users: 2 | test acc 0.8235 test loss 0.519275 best test_acc 0.9125
e 24 | malicious users: 2 | test acc 0.7637 test loss 0.655249 best test_acc 0.9125
e 25 | malicious users: 2 | test acc 0.9064 test loss 0.515861 best test_acc 0.9125
e 26 | malicious users: 2 | test acc 0.9079 test loss 0.404007 best test_acc 0.9125
e 27 | malicious users: 2 | test acc 0.9195 test loss 0.357098 best test_acc 0.9195
e 28 | malicious users: 2 | test acc 0.8612 test loss 0.471289 best test_acc 0.9195
e 29 | malicious users: 2 | test acc 0.7640 test loss 0.720930 best test_acc 0.9195
e 30 | malicious users: 2 | test acc 0.8787 test loss 0.430595 best test_acc 0.9195
e 31 | malicious users: 2 | test acc 0.8054 test loss 0.626041 best test_acc 0.9195
e 32 | malicious users: 2 | test acc 0.9364 test loss 0.267449 best test_acc 0.9364
e 33 | malicious users: 2 | test acc 0.8704 test loss 0.553913 best test_acc 0.9364
e 34 | malicious users: 2 | test acc 0.9271 test loss 0.318591 best test_acc 0.9364
e 35 | malicious users: 2 | test acc 0.7686 test loss 0.678627 best test_acc 0.9364
e 36 | malicious users: 2 | test acc 0.8265 test loss 0.587463 best test_acc 0.9364
e 37 | malicious users: 2 | test acc 0.8833 test loss 0.444041 best test_acc 0.9364
e 38 | malicious users: 2 | test acc 0.8393 test loss 0.510432 best test_acc 0.9364
e 39 | malicious users: 2 | test acc 0.9272 test loss 0.298131 best test_acc 0.9364
e 40 | malicious users: 2 | test acc 0.9020 test loss 0.339891 best test_acc 0.9364
e 41 | malicious users: 2 | test acc 0.8568 test loss 0.531473 best test_acc 0.9364
e 42 | malicious users: 2 | test acc 0.8509 test loss 0.427457 best test_acc 0.9364
e 43 | malicious users: 2 | test acc 0.7874 test loss 0.601442 best test_acc 0.9364
e 44 | malicious users: 2 | test acc 0.8276 test loss 0.622771 best test_acc 0.9364
e 45 | malicious users: 2 | test acc 0.8945 test loss 0.367961 best test_acc 0.9364
e 46 | malicious users: 2 | test acc 0.8907 test loss 0.334111 best test_acc 0.9364
e 47 | malicious users: 2 | test acc 0.8216 test loss 0.511721 best test_acc 0.9364
e 48 | malicious users: 2 | test acc 0.7699 test loss 0.611058 best test_acc 0.9364
e 49 | malicious users: 2 | test acc 0.8382 test loss 0.557788 best test_acc 0.9364
e 50 | malicious users: 2 | test acc 0.9084 test loss 0.352508 best test_acc 0.9364
e 51 | malicious users: 2 | test acc 0.9074 test loss 0.418041 best test_acc 0.9364
e 52 | malicious users: 2 | test acc 0.9027 test loss 0.355591 best test_acc 0.9364
e 53 | malicious users: 2 | test acc 0.8479 test loss 0.453153 best test_acc 0.9364
e 54 | malicious users: 2 | test acc 0.9320 test loss 0.310434 best test_acc 0.9364
e 55 | malicious users: 2 | test acc 0.8790 test loss 0.379999 best test_acc 0.9364
e 56 | malicious users: 2 | test acc 0.9176 test loss 0.313660 best test_acc 0.9364
e 57 | malicious users: 2 | test acc 0.8999 test loss 0.393528 best test_acc 0.9364
e 58 | malicious users: 2 | test acc 0.9284 test loss 0.364691 best test_acc 0.9364
e 59 | malicious users: 2 | test acc 0.8523 test loss 0.412219 best test_acc 0.9364
e 60 | malicious users: 2 | test acc 0.8394 test loss 0.528979 best test_acc 0.9364
e 61 | malicious users: 2 | test acc 0.7917 test loss 0.545305 best test_acc 0.9364
