=> Saving data in Logs/FRL~try=765
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 6 | test acc 0.1831 test loss 2.223604 best test_acc 0.1831
e 1 | malicious users: 6 | test acc 0.2359 test loss 2.052891 best test_acc 0.2359
e 2 | malicious users: 6 | test acc 0.2790 test loss 1.928095 best test_acc 0.2790
e 3 | malicious users: 6 | test acc 0.4752 test loss 1.696976 best test_acc 0.4752
e 4 | malicious users: 6 | test acc 0.4555 test loss 1.427549 best test_acc 0.4752
e 5 | malicious users: 6 | test acc 0.5043 test loss 1.410970 best test_acc 0.5043
e 6 | malicious users: 6 | test acc 0.6210 test loss 1.174764 best test_acc 0.6210
e 7 | malicious users: 6 | test acc 0.5244 test loss 1.346098 best test_acc 0.6210
e 8 | malicious users: 6 | test acc 0.6023 test loss 1.367738 best test_acc 0.6210
e 9 | malicious users: 6 | test acc 0.7136 test loss 0.983986 best test_acc 0.7136
e 10 | malicious users: 6 | test acc 0.6621 test loss 1.038231 best test_acc 0.7136
e 11 | malicious users: 6 | test acc 0.6686 test loss 0.968745 best test_acc 0.7136
e 12 | malicious users: 6 | test acc 0.6518 test loss 1.065840 best test_acc 0.7136
e 13 | malicious users: 6 | test acc 0.6547 test loss 1.043124 best test_acc 0.7136
e 14 | malicious users: 6 | test acc 0.7102 test loss 0.914848 best test_acc 0.7136
e 15 | malicious users: 6 | test acc 0.6982 test loss 0.813649 best test_acc 0.7136
e 16 | malicious users: 6 | test acc 0.6681 test loss 1.041898 best test_acc 0.7136
e 17 | malicious users: 6 | test acc 0.6476 test loss 0.991499 best test_acc 0.7136
e 18 | malicious users: 6 | test acc 0.7202 test loss 0.919322 best test_acc 0.7202
e 19 | malicious users: 6 | test acc 0.6778 test loss 0.955296 best test_acc 0.7202
e 20 | malicious users: 6 | test acc 0.7360 test loss 0.821283 best test_acc 0.7360
e 21 | malicious users: 6 | test acc 0.6796 test loss 0.986636 best test_acc 0.7360
e 22 | malicious users: 6 | test acc 0.7724 test loss 0.813426 best test_acc 0.7724
e 23 | malicious users: 6 | test acc 0.7430 test loss 0.759621 best test_acc 0.7724
e 24 | malicious users: 6 | test acc 0.7591 test loss 0.745962 best test_acc 0.7724
e 25 | malicious users: 6 | test acc 0.7821 test loss 0.771572 best test_acc 0.7821
e 26 | malicious users: 6 | test acc 0.7004 test loss 0.897440 best test_acc 0.7821
e 27 | malicious users: 6 | test acc 0.6968 test loss 0.804781 best test_acc 0.7821
e 28 | malicious users: 6 | test acc 0.5808 test loss 1.078075 best test_acc 0.7821
e 29 | malicious users: 6 | test acc 0.6949 test loss 1.010153 best test_acc 0.7821
e 30 | malicious users: 6 | test acc 0.6054 test loss 1.163268 best test_acc 0.7821
e 31 | malicious users: 6 | test acc 0.7575 test loss 0.739191 best test_acc 0.7821
e 32 | malicious users: 6 | test acc 0.6271 test loss 1.022238 best test_acc 0.7821
e 33 | malicious users: 6 | test acc 0.7854 test loss 0.747456 best test_acc 0.7854
e 34 | malicious users: 6 | test acc 0.7297 test loss 0.825309 best test_acc 0.7854
e 35 | malicious users: 6 | test acc 0.7429 test loss 0.861366 best test_acc 0.7854
e 36 | malicious users: 6 | test acc 0.7531 test loss 0.898158 best test_acc 0.7854
e 37 | malicious users: 6 | test acc 0.6832 test loss 0.933570 best test_acc 0.7854
e 38 | malicious users: 6 | test acc 0.8046 test loss 0.683997 best test_acc 0.8046
e 39 | malicious users: 6 | test acc 0.7727 test loss 0.929449 best test_acc 0.8046
e 40 | malicious users: 6 | test acc 0.7490 test loss 0.729439 best test_acc 0.8046
e 41 | malicious users: 6 | test acc 0.6451 test loss 0.963199 best test_acc 0.8046
e 42 | malicious users: 6 | test acc 0.8097 test loss 0.683400 best test_acc 0.8097
e 43 | malicious users: 6 | test acc 0.7766 test loss 0.737020 best test_acc 0.8097
e 44 | malicious users: 6 | test acc 0.7156 test loss 0.866479 best test_acc 0.8097
e 45 | malicious users: 6 | test acc 0.6408 test loss 0.857860 best test_acc 0.8097
e 46 | malicious users: 6 | test acc 0.7054 test loss 0.959708 best test_acc 0.8097
e 47 | malicious users: 6 | test acc 0.5445 test loss 1.169549 best test_acc 0.8097
e 48 | malicious users: 6 | test acc 0.7590 test loss 0.782346 best test_acc 0.8097
e 49 | malicious users: 6 | test acc 0.8464 test loss 0.711726 best test_acc 0.8464
e 50 | malicious users: 6 | test acc 0.8264 test loss 0.586659 best test_acc 0.8464
e 51 | malicious users: 6 | test acc 0.8198 test loss 0.828212 best test_acc 0.8464
e 52 | malicious users: 6 | test acc 0.7984 test loss 0.598278 best test_acc 0.8464
e 53 | malicious users: 6 | test acc 0.6526 test loss 1.006918 best test_acc 0.8464
e 54 | malicious users: 6 | test acc 0.7843 test loss 0.710852 best test_acc 0.8464
e 55 | malicious users: 6 | test acc 0.7244 test loss 0.994567 best test_acc 0.8464
e 56 | malicious users: 6 | test acc 0.7469 test loss 0.738456 best test_acc 0.8464
e 57 | malicious users: 6 | test acc 0.7459 test loss 0.696178 best test_acc 0.8464
e 58 | malicious users: 6 | test acc 0.6460 test loss 1.086124 best test_acc 0.8464
e 59 | malicious users: 6 | test acc 0.8215 test loss 0.595585 best test_acc 0.8464
e 60 | malicious users: 6 | test acc 0.6710 test loss 1.040166 best test_acc 0.8464
e 61 | malicious users: 6 | test acc 0.8271 test loss 0.595724 best test_acc 0.8464
e 62 | malicious users: 6 | test acc 0.7293 test loss 0.805285 best test_acc 0.8464
e 63 | malicious users: 6 | test acc 0.6776 test loss 0.905473 best test_acc 0.8464
e 64 | malicious users: 6 | test acc 0.6933 test loss 0.884255 best test_acc 0.8464
e 65 | malicious users: 6 | test acc 0.7491 test loss 0.788422 best test_acc 0.8464
e 66 | malicious users: 6 | test acc 0.6249 test loss 0.977413 best test_acc 0.8464
e 67 | malicious users: 6 | test acc 0.7572 test loss 0.840876 best test_acc 0.8464
e 68 | malicious users: 6 | test acc 0.8165 test loss 0.820802 best test_acc 0.8464
e 69 | malicious users: 6 | test acc 0.6962 test loss 0.965369 best test_acc 0.8464
e 70 | malicious users: 6 | test acc 0.7166 test loss 0.886025 best test_acc 0.8464
e 71 | malicious users: 6 | test acc 0.6815 test loss 1.026799 best test_acc 0.8464
e 72 | malicious users: 6 | test acc 0.7923 test loss 0.525007 best test_acc 0.8464
e 73 | malicious users: 6 | test acc 0.7492 test loss 0.911370 best test_acc 0.8464
e 74 | malicious users: 6 | test acc 0.7424 test loss 0.839149 best test_acc 0.8464
e 75 | malicious users: 6 | test acc 0.8247 test loss 0.696436 best test_acc 0.8464
e 76 | malicious users: 6 | test acc 0.7604 test loss 0.824850 best test_acc 0.8464
e 77 | malicious users: 6 | test acc 0.8511 test loss 0.634622 best test_acc 0.8511
e 78 | malicious users: 6 | test acc 0.6990 test loss 0.989868 best test_acc 0.8511
e 79 | malicious users: 6 | test acc 0.8229 test loss 0.579631 best test_acc 0.8511
e 80 | malicious users: 6 | test acc 0.7539 test loss 0.875638 best test_acc 0.8511
e 81 | malicious users: 6 | test acc 0.6594 test loss 0.916170 best test_acc 0.8511
e 82 | malicious users: 6 | test acc 0.6237 test loss 1.067147 best test_acc 0.8511
e 83 | malicious users: 6 | test acc 0.7744 test loss 0.631649 best test_acc 0.8511
e 84 | malicious users: 6 | test acc 0.7445 test loss 0.768676 best test_acc 0.8511
e 85 | malicious users: 6 | test acc 0.7093 test loss 0.823173 best test_acc 0.8511
e 86 | malicious users: 6 | test acc 0.6541 test loss 1.046430 best test_acc 0.8511
e 87 | malicious users: 6 | test acc 0.7029 test loss 0.821635 best test_acc 0.8511
