=> Saving data in Logs/FRL~try=767
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 6 | test acc 0.0976 test loss 2.239171 best test_acc 0.0976
e 1 | malicious users: 6 | test acc 0.3635 test loss 2.087666 best test_acc 0.3635
e 2 | malicious users: 6 | test acc 0.4770 test loss 1.701947 best test_acc 0.4770
e 3 | malicious users: 6 | test acc 0.6054 test loss 1.332930 best test_acc 0.6054
e 4 | malicious users: 6 | test acc 0.6268 test loss 1.256397 best test_acc 0.6268
e 5 | malicious users: 6 | test acc 0.5552 test loss 1.412994 best test_acc 0.6268
e 6 | malicious users: 6 | test acc 0.6618 test loss 1.121237 best test_acc 0.6618
e 7 | malicious users: 6 | test acc 0.5679 test loss 1.192030 best test_acc 0.6618
e 8 | malicious users: 6 | test acc 0.6470 test loss 0.983601 best test_acc 0.6618
e 9 | malicious users: 6 | test acc 0.5623 test loss 1.265068 best test_acc 0.6618
e 10 | malicious users: 6 | test acc 0.5845 test loss 1.103941 best test_acc 0.6618
e 11 | malicious users: 6 | test acc 0.6795 test loss 0.936661 best test_acc 0.6795
e 12 | malicious users: 6 | test acc 0.6747 test loss 1.110928 best test_acc 0.6795
e 13 | malicious users: 6 | test acc 0.7443 test loss 1.018050 best test_acc 0.7443
e 14 | malicious users: 6 | test acc 0.7001 test loss 0.852514 best test_acc 0.7443
e 15 | malicious users: 6 | test acc 0.5630 test loss 1.181070 best test_acc 0.7443
e 16 | malicious users: 6 | test acc 0.6600 test loss 0.954183 best test_acc 0.7443
e 17 | malicious users: 6 | test acc 0.7005 test loss 1.002875 best test_acc 0.7443
e 18 | malicious users: 6 | test acc 0.7542 test loss 0.810753 best test_acc 0.7542
e 19 | malicious users: 6 | test acc 0.6167 test loss 1.054932 best test_acc 0.7542
e 20 | malicious users: 6 | test acc 0.6808 test loss 0.982710 best test_acc 0.7542
e 21 | malicious users: 6 | test acc 0.6899 test loss 1.033829 best test_acc 0.7542
e 22 | malicious users: 6 | test acc 0.6972 test loss 0.892396 best test_acc 0.7542
e 23 | malicious users: 6 | test acc 0.6973 test loss 0.954998 best test_acc 0.7542
e 24 | malicious users: 6 | test acc 0.6717 test loss 0.951841 best test_acc 0.7542
e 25 | malicious users: 6 | test acc 0.8408 test loss 0.701296 best test_acc 0.8408
e 26 | malicious users: 6 | test acc 0.7811 test loss 0.710223 best test_acc 0.8408
e 27 | malicious users: 6 | test acc 0.7066 test loss 0.862605 best test_acc 0.8408
e 28 | malicious users: 6 | test acc 0.7693 test loss 0.780624 best test_acc 0.8408
e 29 | malicious users: 6 | test acc 0.6946 test loss 0.938869 best test_acc 0.8408
e 30 | malicious users: 6 | test acc 0.6889 test loss 0.918653 best test_acc 0.8408
e 31 | malicious users: 6 | test acc 0.6227 test loss 1.073882 best test_acc 0.8408
e 32 | malicious users: 6 | test acc 0.8725 test loss 0.625455 best test_acc 0.8725
e 33 | malicious users: 6 | test acc 0.7603 test loss 0.772245 best test_acc 0.8725
e 34 | malicious users: 6 | test acc 0.7798 test loss 0.645324 best test_acc 0.8725
e 35 | malicious users: 6 | test acc 0.7337 test loss 0.742353 best test_acc 0.8725
e 36 | malicious users: 6 | test acc 0.7568 test loss 0.828670 best test_acc 0.8725
e 37 | malicious users: 6 | test acc 0.7126 test loss 0.890768 best test_acc 0.8725
e 38 | malicious users: 6 | test acc 0.7589 test loss 0.680933 best test_acc 0.8725
e 39 | malicious users: 6 | test acc 0.6936 test loss 0.960326 best test_acc 0.8725
e 40 | malicious users: 6 | test acc 0.7631 test loss 0.719608 best test_acc 0.8725
e 41 | malicious users: 6 | test acc 0.6834 test loss 0.890374 best test_acc 0.8725
e 42 | malicious users: 6 | test acc 0.7334 test loss 0.888366 best test_acc 0.8725
e 43 | malicious users: 6 | test acc 0.7506 test loss 0.778542 best test_acc 0.8725
e 44 | malicious users: 6 | test acc 0.7919 test loss 0.686450 best test_acc 0.8725
e 45 | malicious users: 6 | test acc 0.8201 test loss 0.641750 best test_acc 0.8725
e 46 | malicious users: 6 | test acc 0.7188 test loss 0.981605 best test_acc 0.8725
e 47 | malicious users: 6 | test acc 0.8072 test loss 0.751676 best test_acc 0.8725
e 48 | malicious users: 6 | test acc 0.8538 test loss 0.586919 best test_acc 0.8725
e 49 | malicious users: 6 | test acc 0.7554 test loss 0.663137 best test_acc 0.8725
e 50 | malicious users: 6 | test acc 0.7039 test loss 1.118208 best test_acc 0.8725
e 51 | malicious users: 6 | test acc 0.7987 test loss 0.707198 best test_acc 0.8725
e 52 | malicious users: 6 | test acc 0.8595 test loss 0.483097 best test_acc 0.8725
e 53 | malicious users: 6 | test acc 0.7742 test loss 0.838192 best test_acc 0.8725
e 54 | malicious users: 6 | test acc 0.7820 test loss 0.710716 best test_acc 0.8725
e 55 | malicious users: 6 | test acc 0.7224 test loss 0.795052 best test_acc 0.8725
e 56 | malicious users: 6 | test acc 0.8460 test loss 0.564248 best test_acc 0.8725
e 57 | malicious users: 6 | test acc 0.7696 test loss 0.635352 best test_acc 0.8725
e 58 | malicious users: 6 | test acc 0.7175 test loss 0.895995 best test_acc 0.8725
e 59 | malicious users: 6 | test acc 0.8183 test loss 0.671666 best test_acc 0.8725
e 60 | malicious users: 6 | test acc 0.6700 test loss 0.871998 best test_acc 0.8725
e 61 | malicious users: 6 | test acc 0.6485 test loss 0.991702 best test_acc 0.8725
e 62 | malicious users: 6 | test acc 0.6851 test loss 0.880803 best test_acc 0.8725
e 63 | malicious users: 6 | test acc 0.7494 test loss 0.810745 best test_acc 0.8725
e 64 | malicious users: 6 | test acc 0.7781 test loss 0.785888 best test_acc 0.8725
e 65 | malicious users: 6 | test acc 0.5914 test loss 1.125326 best test_acc 0.8725
e 66 | malicious users: 6 | test acc 0.8010 test loss 0.645318 best test_acc 0.8725
e 67 | malicious users: 6 | test acc 0.8209 test loss 0.656269 best test_acc 0.8725
e 68 | malicious users: 6 | test acc 0.6762 test loss 0.972514 best test_acc 0.8725
e 69 | malicious users: 6 | test acc 0.7527 test loss 0.858059 best test_acc 0.8725
e 70 | malicious users: 6 | test acc 0.7132 test loss 0.830929 best test_acc 0.8725
e 71 | malicious users: 6 | test acc 0.6674 test loss 0.964441 best test_acc 0.8725
e 72 | malicious users: 6 | test acc 0.6118 test loss 1.085705 best test_acc 0.8725
e 73 | malicious users: 6 | test acc 0.5753 test loss 1.032650 best test_acc 0.8725
e 74 | malicious users: 6 | test acc 0.6722 test loss 0.921714 best test_acc 0.8725
e 75 | malicious users: 6 | test acc 0.6747 test loss 1.148005 best test_acc 0.8725
e 76 | malicious users: 6 | test acc 0.6688 test loss 1.071975 best test_acc 0.8725
e 77 | malicious users: 6 | test acc 0.8183 test loss 0.734687 best test_acc 0.8725
e 78 | malicious users: 6 | test acc 0.7315 test loss 0.947172 best test_acc 0.8725
e 79 | malicious users: 6 | test acc 0.5939 test loss 1.191886 best test_acc 0.8725
e 80 | malicious users: 6 | test acc 0.7022 test loss 0.866563 best test_acc 0.8725
e 81 | malicious users: 6 | test acc 0.6866 test loss 0.890992 best test_acc 0.8725
