=> Saving data in Logs/FRL~try=772
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 1 | test acc 0.3241 test loss 2.204338 best test_acc 0.3241
e 1 | malicious users: 1 | test acc 0.3748 test loss 1.971411 best test_acc 0.3748
e 2 | malicious users: 1 | test acc 0.6405 test loss 1.805218 best test_acc 0.6405
e 3 | malicious users: 1 | test acc 0.5457 test loss 1.402773 best test_acc 0.6405
e 4 | malicious users: 1 | test acc 0.5207 test loss 1.472880 best test_acc 0.6405
e 5 | malicious users: 1 | test acc 0.6449 test loss 1.096680 best test_acc 0.6449
e 6 | malicious users: 1 | test acc 0.6517 test loss 1.062602 best test_acc 0.6517
e 7 | malicious users: 1 | test acc 0.6636 test loss 1.005334 best test_acc 0.6636
e 8 | malicious users: 1 | test acc 0.8065 test loss 0.907522 best test_acc 0.8065
e 9 | malicious users: 1 | test acc 0.7655 test loss 0.901443 best test_acc 0.8065
e 10 | malicious users: 1 | test acc 0.8567 test loss 0.562448 best test_acc 0.8567
e 11 | malicious users: 1 | test acc 0.8187 test loss 0.714131 best test_acc 0.8567
e 12 | malicious users: 1 | test acc 0.8247 test loss 0.592924 best test_acc 0.8567
e 13 | malicious users: 1 | test acc 0.7712 test loss 0.672753 best test_acc 0.8567
e 14 | malicious users: 1 | test acc 0.8353 test loss 0.608132 best test_acc 0.8567
e 15 | malicious users: 1 | test acc 0.8810 test loss 0.560762 best test_acc 0.8810
e 16 | malicious users: 1 | test acc 0.8304 test loss 0.640185 best test_acc 0.8810
e 17 | malicious users: 1 | test acc 0.8308 test loss 0.529993 best test_acc 0.8810
e 18 | malicious users: 1 | test acc 0.8394 test loss 0.509617 best test_acc 0.8810
e 19 | malicious users: 1 | test acc 0.8341 test loss 0.578131 best test_acc 0.8810
e 20 | malicious users: 1 | test acc 0.7883 test loss 0.587223 best test_acc 0.8810
e 21 | malicious users: 1 | test acc 0.8609 test loss 0.500738 best test_acc 0.8810
e 22 | malicious users: 1 | test acc 0.8457 test loss 0.516621 best test_acc 0.8810
e 23 | malicious users: 1 | test acc 0.7511 test loss 0.679417 best test_acc 0.8810
e 24 | malicious users: 1 | test acc 0.8706 test loss 0.530638 best test_acc 0.8810
e 25 | malicious users: 1 | test acc 0.9029 test loss 0.442830 best test_acc 0.9029
e 26 | malicious users: 1 | test acc 0.8521 test loss 0.569556 best test_acc 0.9029
e 27 | malicious users: 1 | test acc 0.8182 test loss 0.578485 best test_acc 0.9029
e 28 | malicious users: 1 | test acc 0.8990 test loss 0.412913 best test_acc 0.9029
e 29 | malicious users: 1 | test acc 0.7486 test loss 0.729141 best test_acc 0.9029
e 30 | malicious users: 1 | test acc 0.9214 test loss 0.360917 best test_acc 0.9214
e 31 | malicious users: 1 | test acc 0.8838 test loss 0.552073 best test_acc 0.9214
e 32 | malicious users: 1 | test acc 0.8379 test loss 0.439965 best test_acc 0.9214
e 33 | malicious users: 1 | test acc 0.8181 test loss 0.541852 best test_acc 0.9214
e 34 | malicious users: 1 | test acc 0.8121 test loss 0.493678 best test_acc 0.9214
e 35 | malicious users: 1 | test acc 0.8986 test loss 0.505840 best test_acc 0.9214
e 36 | malicious users: 1 | test acc 0.9265 test loss 0.338540 best test_acc 0.9265
e 37 | malicious users: 1 | test acc 0.9262 test loss 0.309733 best test_acc 0.9265
e 38 | malicious users: 1 | test acc 0.8815 test loss 0.466670 best test_acc 0.9265
e 39 | malicious users: 1 | test acc 0.9061 test loss 0.377919 best test_acc 0.9265
e 40 | malicious users: 1 | test acc 0.8133 test loss 0.534960 best test_acc 0.9265
e 41 | malicious users: 1 | test acc 0.8602 test loss 0.448557 best test_acc 0.9265
e 42 | malicious users: 1 | test acc 0.8263 test loss 0.536421 best test_acc 0.9265
e 43 | malicious users: 1 | test acc 0.9374 test loss 0.229642 best test_acc 0.9374
e 44 | malicious users: 1 | test acc 0.8431 test loss 0.574885 best test_acc 0.9374
e 45 | malicious users: 1 | test acc 0.9244 test loss 0.320240 best test_acc 0.9374
e 46 | malicious users: 1 | test acc 0.8506 test loss 0.487151 best test_acc 0.9374
e 47 | malicious users: 1 | test acc 0.8546 test loss 0.388306 best test_acc 0.9374
e 48 | malicious users: 1 | test acc 0.9157 test loss 0.447815 best test_acc 0.9374
e 49 | malicious users: 1 | test acc 0.9106 test loss 0.354391 best test_acc 0.9374
e 50 | malicious users: 1 | test acc 0.9122 test loss 0.406264 best test_acc 0.9374
e 51 | malicious users: 1 | test acc 0.8702 test loss 0.409652 best test_acc 0.9374
e 52 | malicious users: 1 | test acc 0.8788 test loss 0.392820 best test_acc 0.9374
e 53 | malicious users: 1 | test acc 0.9365 test loss 0.293441 best test_acc 0.9374
e 54 | malicious users: 1 | test acc 0.8257 test loss 0.459959 best test_acc 0.9374
e 55 | malicious users: 1 | test acc 0.9214 test loss 0.412231 best test_acc 0.9374
e 56 | malicious users: 1 | test acc 0.9438 test loss 0.241885 best test_acc 0.9438
e 57 | malicious users: 1 | test acc 0.9022 test loss 0.376629 best test_acc 0.9438
e 58 | malicious users: 1 | test acc 0.9159 test loss 0.386217 best test_acc 0.9438
e 59 | malicious users: 1 | test acc 0.8739 test loss 0.500969 best test_acc 0.9438
e 60 | malicious users: 1 | test acc 0.9359 test loss 0.316194 best test_acc 0.9438
e 61 | malicious users: 1 | test acc 0.8901 test loss 0.372517 best test_acc 0.9438
e 62 | malicious users: 1 | test acc 0.8828 test loss 0.393129 best test_acc 0.9438
e 63 | malicious users: 1 | test acc 0.8284 test loss 0.625533 best test_acc 0.9438
e 64 | malicious users: 1 | test acc 0.9440 test loss 0.201655 best test_acc 0.9440
e 65 | malicious users: 1 | test acc 0.8670 test loss 0.423626 best test_acc 0.9440
e 66 | malicious users: 1 | test acc 0.9093 test loss 0.430081 best test_acc 0.9440
e 67 | malicious users: 1 | test acc 0.8885 test loss 0.380080 best test_acc 0.9440
e 68 | malicious users: 1 | test acc 0.8783 test loss 0.416420 best test_acc 0.9440
e 69 | malicious users: 1 | test acc 0.7953 test loss 0.626084 best test_acc 0.9440
e 70 | malicious users: 1 | test acc 0.8723 test loss 0.433646 best test_acc 0.9440
e 71 | malicious users: 1 | test acc 0.7492 test loss 0.674356 best test_acc 0.9440
e 72 | malicious users: 1 | test acc 0.9463 test loss 0.212111 best test_acc 0.9463
e 73 | malicious users: 1 | test acc 0.9025 test loss 0.455213 best test_acc 0.9463
e 74 | malicious users: 1 | test acc 0.9471 test loss 0.202068 best test_acc 0.9471
e 75 | malicious users: 1 | test acc 0.9415 test loss 0.261162 best test_acc 0.9471
e 76 | malicious users: 1 | test acc 0.8549 test loss 0.362307 best test_acc 0.9471
e 77 | malicious users: 1 | test acc 0.8679 test loss 0.432027 best test_acc 0.9471
e 78 | malicious users: 1 | test acc 0.9038 test loss 0.336365 best test_acc 0.9471
e 79 | malicious users: 1 | test acc 0.8615 test loss 0.390992 best test_acc 0.9471
e 80 | malicious users: 1 | test acc 0.8599 test loss 0.521013 best test_acc 0.9471
e 81 | malicious users: 1 | test acc 0.8819 test loss 0.339876 best test_acc 0.9471
e 82 | malicious users: 1 | test acc 0.9069 test loss 0.429193 best test_acc 0.9471
e 83 | malicious users: 1 | test acc 0.8791 test loss 0.455455 best test_acc 0.9471
e 84 | malicious users: 1 | test acc 0.8839 test loss 0.422307 best test_acc 0.9471
e 85 | malicious users: 1 | test acc 0.8767 test loss 0.425244 best test_acc 0.9471
e 86 | malicious users: 1 | test acc 0.8352 test loss 0.465241 best test_acc 0.9471
e 87 | malicious users: 1 | test acc 0.8543 test loss 0.444312 best test_acc 0.9471
e 88 | malicious users: 1 | test acc 0.9442 test loss 0.193981 best test_acc 0.9471
e 89 | malicious users: 1 | test acc 0.8125 test loss 0.557755 best test_acc 0.9471
e 90 | malicious users: 1 | test acc 0.9109 test loss 0.373242 best test_acc 0.9471
e 91 | malicious users: 1 | test acc 0.9317 test loss 0.290748 best test_acc 0.9471
e 92 | malicious users: 1 | test acc 0.9540 test loss 0.161925 best test_acc 0.9540
e 93 | malicious users: 1 | test acc 0.7314 test loss 0.749157 best test_acc 0.9540
e 94 | malicious users: 1 | test acc 0.8672 test loss 0.522054 best test_acc 0.9540
e 95 | malicious users: 1 | test acc 0.9150 test loss 0.347331 best test_acc 0.9540
e 96 | malicious users: 1 | test acc 0.9429 test loss 0.275668 best test_acc 0.9540
