=> Saving data in Logs/FRL~try=781
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 1 | test acc 0.2720 test loss 2.218192 best test_acc 0.2720
e 1 | malicious users: 2 | test acc 0.4377 test loss 2.009731 best test_acc 0.4377
e 2 | malicious users: 0 | test acc 0.6921 test loss 1.760821 best test_acc 0.6921
e 3 | malicious users: 3 | test acc 0.5511 test loss 1.468473 best test_acc 0.6921
e 4 | malicious users: 1 | test acc 0.5859 test loss 1.254239 best test_acc 0.6921
e 5 | malicious users: 0 | test acc 0.6745 test loss 1.175679 best test_acc 0.6921
e 6 | malicious users: 1 | test acc 0.7251 test loss 0.914624 best test_acc 0.7251
e 7 | malicious users: 2 | test acc 0.7588 test loss 0.780000 best test_acc 0.7588
e 8 | malicious users: 1 | test acc 0.7091 test loss 0.959127 best test_acc 0.7588
e 9 | malicious users: 1 | test acc 0.8135 test loss 0.717553 best test_acc 0.8135
e 10 | malicious users: 1 | test acc 0.8124 test loss 0.666058 best test_acc 0.8135
e 11 | malicious users: 4 | test acc 0.8676 test loss 0.549552 best test_acc 0.8676
e 12 | malicious users: 1 | test acc 0.7622 test loss 0.760042 best test_acc 0.8676
e 13 | malicious users: 1 | test acc 0.8730 test loss 0.568551 best test_acc 0.8730
e 14 | malicious users: 3 | test acc 0.8399 test loss 0.501736 best test_acc 0.8730
e 15 | malicious users: 1 | test acc 0.8873 test loss 0.541331 best test_acc 0.8873
e 16 | malicious users: 0 | test acc 0.8247 test loss 0.578888 best test_acc 0.8873
e 17 | malicious users: 3 | test acc 0.8469 test loss 0.545599 best test_acc 0.8873
e 18 | malicious users: 2 | test acc 0.8776 test loss 0.659201 best test_acc 0.8873
e 19 | malicious users: 0 | test acc 0.8569 test loss 0.520008 best test_acc 0.8873
e 20 | malicious users: 0 | test acc 0.8778 test loss 0.466436 best test_acc 0.8873
e 21 | malicious users: 0 | test acc 0.9184 test loss 0.346329 best test_acc 0.9184
e 22 | malicious users: 3 | test acc 0.8765 test loss 0.463753 best test_acc 0.9184
e 23 | malicious users: 2 | test acc 0.7778 test loss 0.755375 best test_acc 0.9184
e 24 | malicious users: 1 | test acc 0.8489 test loss 0.460229 best test_acc 0.9184
e 25 | malicious users: 1 | test acc 0.8588 test loss 0.500402 best test_acc 0.9184
e 26 | malicious users: 1 | test acc 0.8324 test loss 0.520703 best test_acc 0.9184
e 27 | malicious users: 0 | test acc 0.8815 test loss 0.554796 best test_acc 0.9184
e 28 | malicious users: 0 | test acc 0.8573 test loss 0.450712 best test_acc 0.9184
e 29 | malicious users: 1 | test acc 0.9038 test loss 0.434159 best test_acc 0.9184
e 30 | malicious users: 0 | test acc 0.9123 test loss 0.335696 best test_acc 0.9184
e 31 | malicious users: 3 | test acc 0.8280 test loss 0.552195 best test_acc 0.9184
e 32 | malicious users: 1 | test acc 0.9290 test loss 0.380558 best test_acc 0.9290
e 33 | malicious users: 0 | test acc 0.8799 test loss 0.490751 best test_acc 0.9290
e 34 | malicious users: 2 | test acc 0.9087 test loss 0.344290 best test_acc 0.9290
e 35 | malicious users: 3 | test acc 0.9106 test loss 0.385808 best test_acc 0.9290
e 36 | malicious users: 0 | test acc 0.8827 test loss 0.470720 best test_acc 0.9290
e 37 | malicious users: 2 | test acc 0.9134 test loss 0.326939 best test_acc 0.9290
e 38 | malicious users: 0 | test acc 0.9388 test loss 0.314551 best test_acc 0.9388
e 39 | malicious users: 1 | test acc 0.9284 test loss 0.264545 best test_acc 0.9388
e 40 | malicious users: 0 | test acc 0.8551 test loss 0.418356 best test_acc 0.9388
e 41 | malicious users: 2 | test acc 0.9352 test loss 0.286428 best test_acc 0.9388
e 42 | malicious users: 4 | test acc 0.8891 test loss 0.435336 best test_acc 0.9388
e 43 | malicious users: 0 | test acc 0.9301 test loss 0.271147 best test_acc 0.9388
e 44 | malicious users: 2 | test acc 0.8445 test loss 0.621169 best test_acc 0.9388
e 45 | malicious users: 2 | test acc 0.9366 test loss 0.269818 best test_acc 0.9388
e 46 | malicious users: 1 | test acc 0.8541 test loss 0.393519 best test_acc 0.9388
e 47 | malicious users: 0 | test acc 0.9130 test loss 0.331516 best test_acc 0.9388
e 48 | malicious users: 1 | test acc 0.8363 test loss 0.550168 best test_acc 0.9388
e 49 | malicious users: 4 | test acc 0.8556 test loss 0.401132 best test_acc 0.9388
e 50 | malicious users: 5 | test acc 0.8805 test loss 0.451732 best test_acc 0.9388
e 51 | malicious users: 1 | test acc 0.9401 test loss 0.292888 best test_acc 0.9401
e 52 | malicious users: 1 | test acc 0.9441 test loss 0.209325 best test_acc 0.9441
e 53 | malicious users: 1 | test acc 0.8371 test loss 0.517972 best test_acc 0.9441
e 54 | malicious users: 2 | test acc 0.8152 test loss 0.523546 best test_acc 0.9441
e 55 | malicious users: 1 | test acc 0.7389 test loss 0.626561 best test_acc 0.9441
e 56 | malicious users: 3 | test acc 0.9349 test loss 0.328871 best test_acc 0.9441
e 57 | malicious users: 2 | test acc 0.9134 test loss 0.311547 best test_acc 0.9441
e 58 | malicious users: 2 | test acc 0.8674 test loss 0.369728 best test_acc 0.9441
e 59 | malicious users: 1 | test acc 0.9107 test loss 0.332328 best test_acc 0.9441
e 60 | malicious users: 2 | test acc 0.9321 test loss 0.316521 best test_acc 0.9441
e 61 | malicious users: 0 | test acc 0.8835 test loss 0.417131 best test_acc 0.9441
e 62 | malicious users: 2 | test acc 0.8548 test loss 0.382057 best test_acc 0.9441
e 63 | malicious users: 0 | test acc 0.9230 test loss 0.385965 best test_acc 0.9441
e 64 | malicious users: 1 | test acc 0.9441 test loss 0.258777 best test_acc 0.9441
e 65 | malicious users: 0 | test acc 0.9309 test loss 0.266827 best test_acc 0.9441
e 66 | malicious users: 1 | test acc 0.8489 test loss 0.549530 best test_acc 0.9441
e 67 | malicious users: 1 | test acc 0.9484 test loss 0.249067 best test_acc 0.9484
e 68 | malicious users: 1 | test acc 0.9064 test loss 0.349690 best test_acc 0.9484
e 69 | malicious users: 1 | test acc 0.9356 test loss 0.306917 best test_acc 0.9484
e 70 | malicious users: 3 | test acc 0.8790 test loss 0.405041 best test_acc 0.9484
e 71 | malicious users: 0 | test acc 0.9387 test loss 0.246824 best test_acc 0.9484
e 72 | malicious users: 1 | test acc 0.9023 test loss 0.386874 best test_acc 0.9484
e 73 | malicious users: 4 | test acc 0.7992 test loss 0.548440 best test_acc 0.9484
e 74 | malicious users: 1 | test acc 0.7437 test loss 0.649346 best test_acc 0.9484
e 75 | malicious users: 1 | test acc 0.8991 test loss 0.517173 best test_acc 0.9484
e 76 | malicious users: 1 | test acc 0.9400 test loss 0.255285 best test_acc 0.9484
e 77 | malicious users: 0 | test acc 0.8556 test loss 0.436038 best test_acc 0.9484
e 78 | malicious users: 3 | test acc 0.9371 test loss 0.315207 best test_acc 0.9484
e 79 | malicious users: 2 | test acc 0.8921 test loss 0.371480 best test_acc 0.9484
e 80 | malicious users: 0 | test acc 0.9440 test loss 0.291828 best test_acc 0.9484
e 81 | malicious users: 1 | test acc 0.8701 test loss 0.394242 best test_acc 0.9484
e 82 | malicious users: 0 | test acc 0.9403 test loss 0.284863 best test_acc 0.9484
e 83 | malicious users: 3 | test acc 0.8864 test loss 0.407716 best test_acc 0.9484
e 84 | malicious users: 0 | test acc 0.8299 test loss 0.472251 best test_acc 0.9484
e 85 | malicious users: 2 | test acc 0.8786 test loss 0.374636 best test_acc 0.9484
e 86 | malicious users: 0 | test acc 0.8924 test loss 0.416013 best test_acc 0.9484
e 87 | malicious users: 1 | test acc 0.8506 test loss 0.523813 best test_acc 0.9484
e 88 | malicious users: 1 | test acc 0.9386 test loss 0.233126 best test_acc 0.9484
e 89 | malicious users: 1 | test acc 0.9088 test loss 0.327682 best test_acc 0.9484
e 90 | malicious users: 1 | test acc 0.8640 test loss 0.327806 best test_acc 0.9484
