=> Saving data in Logs/FRL~try=783
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.05 | total number of malicious clients: 50
e 0 | malicious users: 2 | test acc 0.1882 test loss 2.256518 best test_acc 0.1882
e 1 | malicious users: 0 | test acc 0.3743 test loss 2.104098 best test_acc 0.3743
e 2 | malicious users: 2 | test acc 0.4840 test loss 1.720506 best test_acc 0.4840
e 3 | malicious users: 1 | test acc 0.5509 test loss 1.628362 best test_acc 0.5509
e 4 | malicious users: 2 | test acc 0.6343 test loss 1.185463 best test_acc 0.6343
e 5 | malicious users: 0 | test acc 0.7100 test loss 0.981734 best test_acc 0.7100
e 6 | malicious users: 3 | test acc 0.6939 test loss 0.951615 best test_acc 0.7100
e 7 | malicious users: 2 | test acc 0.7786 test loss 0.888689 best test_acc 0.7786
e 8 | malicious users: 1 | test acc 0.7509 test loss 0.854348 best test_acc 0.7786
e 9 | malicious users: 1 | test acc 0.8247 test loss 0.726455 best test_acc 0.8247
e 10 | malicious users: 2 | test acc 0.8203 test loss 0.748595 best test_acc 0.8247
e 11 | malicious users: 1 | test acc 0.7919 test loss 0.746324 best test_acc 0.8247
e 12 | malicious users: 1 | test acc 0.8473 test loss 0.569892 best test_acc 0.8473
e 13 | malicious users: 0 | test acc 0.8663 test loss 0.570855 best test_acc 0.8663
e 14 | malicious users: 2 | test acc 0.8137 test loss 0.594572 best test_acc 0.8663
e 15 | malicious users: 5 | test acc 0.8267 test loss 0.578683 best test_acc 0.8663
e 16 | malicious users: 0 | test acc 0.7430 test loss 0.675268 best test_acc 0.8663
e 17 | malicious users: 3 | test acc 0.8540 test loss 0.491586 best test_acc 0.8663
e 18 | malicious users: 1 | test acc 0.8335 test loss 0.603823 best test_acc 0.8663
e 19 | malicious users: 1 | test acc 0.7734 test loss 0.608485 best test_acc 0.8663
e 20 | malicious users: 0 | test acc 0.8175 test loss 0.565842 best test_acc 0.8663
e 21 | malicious users: 0 | test acc 0.8316 test loss 0.504919 best test_acc 0.8663
e 22 | malicious users: 0 | test acc 0.8798 test loss 0.477585 best test_acc 0.8798
e 23 | malicious users: 0 | test acc 0.9070 test loss 0.504844 best test_acc 0.9070
e 24 | malicious users: 0 | test acc 0.8878 test loss 0.430076 best test_acc 0.9070
e 25 | malicious users: 0 | test acc 0.8762 test loss 0.491813 best test_acc 0.9070
e 26 | malicious users: 3 | test acc 0.8321 test loss 0.548408 best test_acc 0.9070
e 27 | malicious users: 1 | test acc 0.8953 test loss 0.443856 best test_acc 0.9070
e 28 | malicious users: 2 | test acc 0.9194 test loss 0.399928 best test_acc 0.9194
e 29 | malicious users: 0 | test acc 0.8390 test loss 0.450550 best test_acc 0.9194
e 30 | malicious users: 1 | test acc 0.7686 test loss 0.630606 best test_acc 0.9194
e 31 | malicious users: 0 | test acc 0.8410 test loss 0.481899 best test_acc 0.9194
e 32 | malicious users: 1 | test acc 0.9120 test loss 0.381032 best test_acc 0.9194
e 33 | malicious users: 0 | test acc 0.8716 test loss 0.446568 best test_acc 0.9194
e 34 | malicious users: 1 | test acc 0.9191 test loss 0.371505 best test_acc 0.9194
e 35 | malicious users: 3 | test acc 0.8722 test loss 0.481073 best test_acc 0.9194
e 36 | malicious users: 2 | test acc 0.9294 test loss 0.306590 best test_acc 0.9294
e 37 | malicious users: 3 | test acc 0.8295 test loss 0.455379 best test_acc 0.9294
e 38 | malicious users: 1 | test acc 0.8564 test loss 0.517301 best test_acc 0.9294
e 39 | malicious users: 0 | test acc 0.8439 test loss 0.543950 best test_acc 0.9294
e 40 | malicious users: 1 | test acc 0.9356 test loss 0.282486 best test_acc 0.9356
e 41 | malicious users: 0 | test acc 0.9162 test loss 0.502339 best test_acc 0.9356
e 42 | malicious users: 0 | test acc 0.8558 test loss 0.472527 best test_acc 0.9356
e 43 | malicious users: 1 | test acc 0.9099 test loss 0.472030 best test_acc 0.9356
e 44 | malicious users: 1 | test acc 0.9340 test loss 0.245406 best test_acc 0.9356
e 45 | malicious users: 1 | test acc 0.8828 test loss 0.340553 best test_acc 0.9356
e 46 | malicious users: 1 | test acc 0.8710 test loss 0.489768 best test_acc 0.9356
e 47 | malicious users: 1 | test acc 0.9021 test loss 0.381337 best test_acc 0.9356
e 48 | malicious users: 1 | test acc 0.8814 test loss 0.485221 best test_acc 0.9356
e 49 | malicious users: 0 | test acc 0.8959 test loss 0.358380 best test_acc 0.9356
e 50 | malicious users: 1 | test acc 0.9117 test loss 0.369461 best test_acc 0.9356
e 51 | malicious users: 0 | test acc 0.9048 test loss 0.431919 best test_acc 0.9356
e 52 | malicious users: 0 | test acc 0.9370 test loss 0.216514 best test_acc 0.9370
e 53 | malicious users: 1 | test acc 0.8592 test loss 0.502127 best test_acc 0.9370
e 54 | malicious users: 2 | test acc 0.8548 test loss 0.484463 best test_acc 0.9370
e 55 | malicious users: 1 | test acc 0.9191 test loss 0.301777 best test_acc 0.9370
e 56 | malicious users: 1 | test acc 0.9176 test loss 0.353048 best test_acc 0.9370
e 57 | malicious users: 0 | test acc 0.9083 test loss 0.465055 best test_acc 0.9370
e 58 | malicious users: 1 | test acc 0.9333 test loss 0.246513 best test_acc 0.9370
e 59 | malicious users: 0 | test acc 0.8285 test loss 0.520156 best test_acc 0.9370
e 60 | malicious users: 0 | test acc 0.9365 test loss 0.429410 best test_acc 0.9370
e 61 | malicious users: 2 | test acc 0.8948 test loss 0.419343 best test_acc 0.9370
e 62 | malicious users: 0 | test acc 0.8582 test loss 0.471154 best test_acc 0.9370
e 63 | malicious users: 0 | test acc 0.9321 test loss 0.302115 best test_acc 0.9370
e 64 | malicious users: 4 | test acc 0.9440 test loss 0.256625 best test_acc 0.9440
e 65 | malicious users: 0 | test acc 0.8395 test loss 0.507424 best test_acc 0.9440
e 66 | malicious users: 1 | test acc 0.9263 test loss 0.358368 best test_acc 0.9440
e 67 | malicious users: 2 | test acc 0.9283 test loss 0.335509 best test_acc 0.9440
e 68 | malicious users: 3 | test acc 0.9502 test loss 0.219508 best test_acc 0.9502
e 69 | malicious users: 3 | test acc 0.9104 test loss 0.355052 best test_acc 0.9502
e 70 | malicious users: 0 | test acc 0.8994 test loss 0.322142 best test_acc 0.9502
e 71 | malicious users: 1 | test acc 0.9388 test loss 0.265387 best test_acc 0.9502
e 72 | malicious users: 2 | test acc 0.8666 test loss 0.399077 best test_acc 0.9502
e 73 | malicious users: 1 | test acc 0.9431 test loss 0.250076 best test_acc 0.9502
e 74 | malicious users: 0 | test acc 0.9361 test loss 0.269580 best test_acc 0.9502
e 75 | malicious users: 0 | test acc 0.9041 test loss 0.360195 best test_acc 0.9502
e 76 | malicious users: 0 | test acc 0.9453 test loss 0.218639 best test_acc 0.9502
e 77 | malicious users: 2 | test acc 0.8738 test loss 0.410920 best test_acc 0.9502
e 78 | malicious users: 0 | test acc 0.9211 test loss 0.382331 best test_acc 0.9502
e 79 | malicious users: 2 | test acc 0.8776 test loss 0.360001 best test_acc 0.9502
e 80 | malicious users: 0 | test acc 0.8820 test loss 0.399947 best test_acc 0.9502
