=> Saving data in Logs/FRL~try=784
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 6 | test acc 0.3606 test loss 2.233852 best test_acc 0.3606
e 1 | malicious users: 4 | test acc 0.4558 test loss 2.089889 best test_acc 0.4558
e 2 | malicious users: 3 | test acc 0.5088 test loss 1.783921 best test_acc 0.5088
e 3 | malicious users: 3 | test acc 0.5825 test loss 1.620246 best test_acc 0.5825
e 4 | malicious users: 5 | test acc 0.5374 test loss 1.703387 best test_acc 0.5825
e 5 | malicious users: 3 | test acc 0.7231 test loss 1.004038 best test_acc 0.7231
e 6 | malicious users: 0 | test acc 0.6854 test loss 1.015399 best test_acc 0.7231
e 7 | malicious users: 4 | test acc 0.7279 test loss 0.869822 best test_acc 0.7279
e 8 | malicious users: 1 | test acc 0.7437 test loss 0.925797 best test_acc 0.7437
e 9 | malicious users: 4 | test acc 0.7966 test loss 0.747668 best test_acc 0.7966
e 10 | malicious users: 1 | test acc 0.7429 test loss 0.812185 best test_acc 0.7966
e 11 | malicious users: 3 | test acc 0.8725 test loss 0.564500 best test_acc 0.8725
e 12 | malicious users: 4 | test acc 0.8201 test loss 0.601874 best test_acc 0.8725
e 13 | malicious users: 3 | test acc 0.8992 test loss 0.637896 best test_acc 0.8992
e 14 | malicious users: 2 | test acc 0.8363 test loss 0.540083 best test_acc 0.8992
e 15 | malicious users: 0 | test acc 0.7522 test loss 0.752964 best test_acc 0.8992
e 16 | malicious users: 4 | test acc 0.7699 test loss 0.653057 best test_acc 0.8992
e 17 | malicious users: 0 | test acc 0.8645 test loss 0.591183 best test_acc 0.8992
e 18 | malicious users: 2 | test acc 0.8693 test loss 0.458754 best test_acc 0.8992
e 19 | malicious users: 1 | test acc 0.8626 test loss 0.471007 best test_acc 0.8992
e 20 | malicious users: 1 | test acc 0.8826 test loss 0.477051 best test_acc 0.8992
e 21 | malicious users: 3 | test acc 0.8284 test loss 0.579726 best test_acc 0.8992
e 22 | malicious users: 1 | test acc 0.8033 test loss 0.589521 best test_acc 0.8992
e 23 | malicious users: 3 | test acc 0.8625 test loss 0.479584 best test_acc 0.8992
e 24 | malicious users: 2 | test acc 0.8968 test loss 0.365522 best test_acc 0.8992
e 25 | malicious users: 1 | test acc 0.7958 test loss 0.642942 best test_acc 0.8992
e 26 | malicious users: 2 | test acc 0.9099 test loss 0.340604 best test_acc 0.9099
e 27 | malicious users: 1 | test acc 0.8829 test loss 0.551643 best test_acc 0.9099
e 28 | malicious users: 5 | test acc 0.9211 test loss 0.356440 best test_acc 0.9211
e 29 | malicious users: 2 | test acc 0.9219 test loss 0.296183 best test_acc 0.9219
e 30 | malicious users: 1 | test acc 0.8157 test loss 0.654376 best test_acc 0.9219
e 31 | malicious users: 3 | test acc 0.8826 test loss 0.549478 best test_acc 0.9219
e 32 | malicious users: 2 | test acc 0.8604 test loss 0.427926 best test_acc 0.9219
e 33 | malicious users: 1 | test acc 0.9354 test loss 0.291127 best test_acc 0.9354
e 34 | malicious users: 1 | test acc 0.8343 test loss 0.456424 best test_acc 0.9354
e 35 | malicious users: 2 | test acc 0.9371 test loss 0.297716 best test_acc 0.9371
e 36 | malicious users: 4 | test acc 0.9330 test loss 0.325064 best test_acc 0.9371
e 37 | malicious users: 2 | test acc 0.9316 test loss 0.330391 best test_acc 0.9371
e 38 | malicious users: 0 | test acc 0.9355 test loss 0.277068 best test_acc 0.9371
e 39 | malicious users: 5 | test acc 0.8671 test loss 0.518546 best test_acc 0.9371
e 40 | malicious users: 4 | test acc 0.9214 test loss 0.315958 best test_acc 0.9371
e 41 | malicious users: 3 | test acc 0.7894 test loss 0.651930 best test_acc 0.9371
e 42 | malicious users: 5 | test acc 0.8768 test loss 0.406482 best test_acc 0.9371
e 43 | malicious users: 4 | test acc 0.9179 test loss 0.420655 best test_acc 0.9371
e 44 | malicious users: 1 | test acc 0.8681 test loss 0.382829 best test_acc 0.9371
e 45 | malicious users: 1 | test acc 0.9111 test loss 0.410911 best test_acc 0.9371
e 46 | malicious users: 2 | test acc 0.8159 test loss 0.509163 best test_acc 0.9371
e 47 | malicious users: 2 | test acc 0.9226 test loss 0.340807 best test_acc 0.9371
e 48 | malicious users: 2 | test acc 0.9357 test loss 0.279979 best test_acc 0.9371
e 49 | malicious users: 4 | test acc 0.9333 test loss 0.276283 best test_acc 0.9371
e 50 | malicious users: 2 | test acc 0.9168 test loss 0.392964 best test_acc 0.9371
e 51 | malicious users: 1 | test acc 0.9236 test loss 0.412461 best test_acc 0.9371
e 52 | malicious users: 1 | test acc 0.9336 test loss 0.259380 best test_acc 0.9371
e 53 | malicious users: 3 | test acc 0.8420 test loss 0.474162 best test_acc 0.9371
e 54 | malicious users: 2 | test acc 0.9202 test loss 0.321902 best test_acc 0.9371
e 55 | malicious users: 2 | test acc 0.8492 test loss 0.489562 best test_acc 0.9371
e 56 | malicious users: 1 | test acc 0.9378 test loss 0.250712 best test_acc 0.9378
e 57 | malicious users: 2 | test acc 0.9340 test loss 0.254993 best test_acc 0.9378
e 58 | malicious users: 3 | test acc 0.8746 test loss 0.426590 best test_acc 0.9378
e 59 | malicious users: 3 | test acc 0.8999 test loss 0.371225 best test_acc 0.9378
e 60 | malicious users: 0 | test acc 0.9253 test loss 0.294474 best test_acc 0.9378
e 61 | malicious users: 3 | test acc 0.9370 test loss 0.269191 best test_acc 0.9378
e 62 | malicious users: 1 | test acc 0.9406 test loss 0.230313 best test_acc 0.9406
e 63 | malicious users: 1 | test acc 0.8740 test loss 0.372435 best test_acc 0.9406
e 64 | malicious users: 3 | test acc 0.9332 test loss 0.312722 best test_acc 0.9406
e 65 | malicious users: 3 | test acc 0.9308 test loss 0.315545 best test_acc 0.9406
e 66 | malicious users: 2 | test acc 0.9085 test loss 0.479151 best test_acc 0.9406
e 67 | malicious users: 5 | test acc 0.8893 test loss 0.401001 best test_acc 0.9406
e 68 | malicious users: 1 | test acc 0.8361 test loss 0.499024 best test_acc 0.9406
e 69 | malicious users: 4 | test acc 0.8800 test loss 0.423658 best test_acc 0.9406
e 70 | malicious users: 4 | test acc 0.8939 test loss 0.327558 best test_acc 0.9406
e 71 | malicious users: 2 | test acc 0.9315 test loss 0.341118 best test_acc 0.9406
e 72 | malicious users: 0 | test acc 0.8751 test loss 0.334871 best test_acc 0.9406
e 73 | malicious users: 5 | test acc 0.9439 test loss 0.284695 best test_acc 0.9439
e 74 | malicious users: 1 | test acc 0.9427 test loss 0.224821 best test_acc 0.9439
e 75 | malicious users: 3 | test acc 0.8710 test loss 0.409555 best test_acc 0.9439
e 76 | malicious users: 1 | test acc 0.9231 test loss 0.305388 best test_acc 0.9439
e 77 | malicious users: 1 | test acc 0.9043 test loss 0.373723 best test_acc 0.9439
e 78 | malicious users: 2 | test acc 0.8447 test loss 0.508547 best test_acc 0.9439
e 79 | malicious users: 2 | test acc 0.9456 test loss 0.257501 best test_acc 0.9456
e 80 | malicious users: 2 | test acc 0.9363 test loss 0.307208 best test_acc 0.9456
e 81 | malicious users: 3 | test acc 0.9472 test loss 0.189909 best test_acc 0.9472
e 82 | malicious users: 6 | test acc 0.7312 test loss 0.907691 best test_acc 0.9472
e 83 | malicious users: 4 | test acc 0.9385 test loss 0.241154 best test_acc 0.9472
e 84 | malicious users: 6 | test acc 0.9103 test loss 0.532433 best test_acc 0.9472
e 85 | malicious users: 2 | test acc 0.9348 test loss 0.304032 best test_acc 0.9472
e 86 | malicious users: 5 | test acc 0.9329 test loss 0.251873 best test_acc 0.9472
e 87 | malicious users: 2 | test acc 0.9483 test loss 0.235333 best test_acc 0.9483
e 88 | malicious users: 2 | test acc 0.8655 test loss 0.351740 best test_acc 0.9483
e 89 | malicious users: 2 | test acc 0.9206 test loss 0.299991 best test_acc 0.9483
e 90 | malicious users: 2 | test acc 0.9413 test loss 0.240149 best test_acc 0.9483
e 91 | malicious users: 2 | test acc 0.8428 test loss 0.435725 best test_acc 0.9483
e 92 | malicious users: 1 | test acc 0.9473 test loss 0.234963 best test_acc 0.9483
e 93 | malicious users: 4 | test acc 0.9233 test loss 0.300150 best test_acc 0.9483
e 94 | malicious users: 1 | test acc 0.9230 test loss 0.289368 best test_acc 0.9483
e 95 | malicious users: 1 | test acc 0.9343 test loss 0.246117 best test_acc 0.9483
e 96 | malicious users: 2 | test acc 0.8937 test loss 0.361709 best test_acc 0.9483
e 97 | malicious users: 5 | test acc 0.9477 test loss 0.238015 best test_acc 0.9483
e 98 | malicious users: 4 | test acc 0.8965 test loss 0.362425 best test_acc 0.9483
e 99 | malicious users: 3 | test acc 0.9516 test loss 0.224201 best test_acc 0.9516
e 100 | malicious users: 2 | test acc 0.9480 test loss 0.207581 best test_acc 0.9516
e 101 | malicious users: 3 | test acc 0.9502 test loss 0.258280 best test_acc 0.9516
e 102 | malicious users: 2 | test acc 0.8961 test loss 0.307488 best test_acc 0.9516
e 103 | malicious users: 2 | test acc 0.8752 test loss 0.370992 best test_acc 0.9516
e 104 | malicious users: 5 | test acc 0.9189 test loss 0.286420 best test_acc 0.9516
e 105 | malicious users: 0 | test acc 0.9433 test loss 0.244883 best test_acc 0.9516
e 106 | malicious users: 3 | test acc 0.8833 test loss 0.433128 best test_acc 0.9516
e 107 | malicious users: 1 | test acc 0.9455 test loss 0.195684 best test_acc 0.9516
e 108 | malicious users: 1 | test acc 0.9486 test loss 0.217376 best test_acc 0.9516
e 109 | malicious users: 1 | test acc 0.9495 test loss 0.219599 best test_acc 0.9516
e 110 | malicious users: 1 | test acc 0.9538 test loss 0.182184 best test_acc 0.9538
