=> Saving data in Logs/FRL~try=785
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.10 | total number of malicious clients: 100
e 0 | malicious users: 1 | test acc 0.2591 test loss 2.233683 best test_acc 0.2591
e 1 | malicious users: 3 | test acc 0.5212 test loss 2.030413 best test_acc 0.5212
e 2 | malicious users: 3 | test acc 0.5826 test loss 1.763509 best test_acc 0.5826
e 3 | malicious users: 3 | test acc 0.5506 test loss 1.756332 best test_acc 0.5826
e 4 | malicious users: 1 | test acc 0.6637 test loss 1.170256 best test_acc 0.6637
e 5 | malicious users: 4 | test acc 0.7327 test loss 1.071242 best test_acc 0.7327
e 6 | malicious users: 5 | test acc 0.6936 test loss 1.092198 best test_acc 0.7327
e 7 | malicious users: 6 | test acc 0.6634 test loss 1.077821 best test_acc 0.7327
e 8 | malicious users: 2 | test acc 0.6897 test loss 0.828757 best test_acc 0.7327
e 9 | malicious users: 1 | test acc 0.6873 test loss 1.030939 best test_acc 0.7327
e 10 | malicious users: 2 | test acc 0.7934 test loss 0.713968 best test_acc 0.7934
e 11 | malicious users: 2 | test acc 0.8170 test loss 0.696438 best test_acc 0.8170
e 12 | malicious users: 2 | test acc 0.8571 test loss 0.568108 best test_acc 0.8571
e 13 | malicious users: 3 | test acc 0.7940 test loss 0.825513 best test_acc 0.8571
e 14 | malicious users: 2 | test acc 0.8413 test loss 0.507336 best test_acc 0.8571
e 15 | malicious users: 1 | test acc 0.8007 test loss 0.611433 best test_acc 0.8571
e 16 | malicious users: 3 | test acc 0.7712 test loss 0.776162 best test_acc 0.8571
e 17 | malicious users: 2 | test acc 0.8759 test loss 0.572125 best test_acc 0.8759
e 18 | malicious users: 3 | test acc 0.8246 test loss 0.606888 best test_acc 0.8759
e 19 | malicious users: 4 | test acc 0.8127 test loss 0.562877 best test_acc 0.8759
e 20 | malicious users: 2 | test acc 0.8708 test loss 0.558027 best test_acc 0.8759
e 21 | malicious users: 2 | test acc 0.8594 test loss 0.422941 best test_acc 0.8759
e 22 | malicious users: 3 | test acc 0.8493 test loss 0.605417 best test_acc 0.8759
e 23 | malicious users: 4 | test acc 0.9222 test loss 0.381615 best test_acc 0.9222
e 24 | malicious users: 3 | test acc 0.8934 test loss 0.388099 best test_acc 0.9222
e 25 | malicious users: 0 | test acc 0.8248 test loss 0.522959 best test_acc 0.9222
e 26 | malicious users: 3 | test acc 0.8599 test loss 0.469111 best test_acc 0.9222
e 27 | malicious users: 1 | test acc 0.7413 test loss 0.742572 best test_acc 0.9222
e 28 | malicious users: 5 | test acc 0.8085 test loss 0.570226 best test_acc 0.9222
e 29 | malicious users: 1 | test acc 0.9080 test loss 0.385422 best test_acc 0.9222
e 30 | malicious users: 1 | test acc 0.8809 test loss 0.413226 best test_acc 0.9222
e 31 | malicious users: 1 | test acc 0.9058 test loss 0.351060 best test_acc 0.9222
e 32 | malicious users: 1 | test acc 0.8838 test loss 0.410401 best test_acc 0.9222
e 33 | malicious users: 3 | test acc 0.9356 test loss 0.276357 best test_acc 0.9356
e 34 | malicious users: 2 | test acc 0.7365 test loss 0.687303 best test_acc 0.9356
e 35 | malicious users: 4 | test acc 0.9108 test loss 0.398659 best test_acc 0.9356
e 36 | malicious users: 3 | test acc 0.9114 test loss 0.401165 best test_acc 0.9356
e 37 | malicious users: 4 | test acc 0.8343 test loss 0.476365 best test_acc 0.9356
e 38 | malicious users: 1 | test acc 0.8872 test loss 0.504240 best test_acc 0.9356
e 39 | malicious users: 2 | test acc 0.8823 test loss 0.399764 best test_acc 0.9356
e 40 | malicious users: 3 | test acc 0.8073 test loss 0.612606 best test_acc 0.9356
e 41 | malicious users: 2 | test acc 0.8584 test loss 0.486499 best test_acc 0.9356
e 42 | malicious users: 6 | test acc 0.8379 test loss 0.693610 best test_acc 0.9356
e 43 | malicious users: 3 | test acc 0.9310 test loss 0.280826 best test_acc 0.9356
e 44 | malicious users: 1 | test acc 0.8477 test loss 0.487587 best test_acc 0.9356
e 45 | malicious users: 2 | test acc 0.8462 test loss 0.479175 best test_acc 0.9356
e 46 | malicious users: 2 | test acc 0.9181 test loss 0.384934 best test_acc 0.9356
e 47 | malicious users: 3 | test acc 0.8687 test loss 0.447429 best test_acc 0.9356
e 48 | malicious users: 0 | test acc 0.8472 test loss 0.667887 best test_acc 0.9356
e 49 | malicious users: 3 | test acc 0.7569 test loss 0.614825 best test_acc 0.9356
e 50 | malicious users: 3 | test acc 0.8938 test loss 0.408756 best test_acc 0.9356
e 51 | malicious users: 1 | test acc 0.9233 test loss 0.373133 best test_acc 0.9356
e 52 | malicious users: 1 | test acc 0.8906 test loss 0.374784 best test_acc 0.9356
e 53 | malicious users: 2 | test acc 0.8299 test loss 0.601476 best test_acc 0.9356
e 54 | malicious users: 2 | test acc 0.9393 test loss 0.246344 best test_acc 0.9393
