=> Saving data in Logs/FRL~try=787
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 3 | test acc 0.1760 test loss 2.251045 best test_acc 0.1760
e 1 | malicious users: 2 | test acc 0.4486 test loss 2.063084 best test_acc 0.4486
e 2 | malicious users: 5 | test acc 0.5585 test loss 1.795206 best test_acc 0.5585
e 3 | malicious users: 5 | test acc 0.7087 test loss 1.545692 best test_acc 0.7087
e 4 | malicious users: 2 | test acc 0.7174 test loss 1.047059 best test_acc 0.7174
e 5 | malicious users: 4 | test acc 0.6809 test loss 1.149812 best test_acc 0.7174
e 6 | malicious users: 5 | test acc 0.6963 test loss 0.972531 best test_acc 0.7174
e 7 | malicious users: 3 | test acc 0.6823 test loss 0.897944 best test_acc 0.7174
e 8 | malicious users: 7 | test acc 0.5517 test loss 1.331797 best test_acc 0.7174
e 9 | malicious users: 2 | test acc 0.8169 test loss 0.635206 best test_acc 0.8169
e 10 | malicious users: 6 | test acc 0.7738 test loss 1.424217 best test_acc 0.8169
e 11 | malicious users: 8 | test acc 0.7859 test loss 0.970973 best test_acc 0.8169
e 12 | malicious users: 4 | test acc 0.8059 test loss 0.597474 best test_acc 0.8169
e 13 | malicious users: 4 | test acc 0.6808 test loss 0.870503 best test_acc 0.8169
e 14 | malicious users: 3 | test acc 0.8091 test loss 0.614044 best test_acc 0.8169
e 15 | malicious users: 4 | test acc 0.8368 test loss 0.607343 best test_acc 0.8368
e 16 | malicious users: 2 | test acc 0.8557 test loss 0.563243 best test_acc 0.8557
e 17 | malicious users: 4 | test acc 0.7953 test loss 0.642818 best test_acc 0.8557
e 18 | malicious users: 4 | test acc 0.9029 test loss 0.474779 best test_acc 0.9029
e 19 | malicious users: 4 | test acc 0.9086 test loss 0.482875 best test_acc 0.9086
e 20 | malicious users: 6 | test acc 0.7453 test loss 0.834153 best test_acc 0.9086
e 21 | malicious users: 4 | test acc 0.8597 test loss 0.469937 best test_acc 0.9086
e 22 | malicious users: 3 | test acc 0.9155 test loss 0.436437 best test_acc 0.9155
e 23 | malicious users: 2 | test acc 0.9000 test loss 0.388490 best test_acc 0.9155
e 24 | malicious users: 2 | test acc 0.8963 test loss 0.411489 best test_acc 0.9155
e 25 | malicious users: 4 | test acc 0.8335 test loss 0.545119 best test_acc 0.9155
e 26 | malicious users: 2 | test acc 0.7995 test loss 0.573727 best test_acc 0.9155
e 27 | malicious users: 4 | test acc 0.8343 test loss 0.477471 best test_acc 0.9155
e 28 | malicious users: 1 | test acc 0.9018 test loss 0.442949 best test_acc 0.9155
e 29 | malicious users: 4 | test acc 0.9188 test loss 0.390274 best test_acc 0.9188
e 30 | malicious users: 8 | test acc 0.6517 test loss 1.510591 best test_acc 0.9188
e 31 | malicious users: 5 | test acc 0.9349 test loss 0.393111 best test_acc 0.9349
e 32 | malicious users: 3 | test acc 0.9253 test loss 0.305944 best test_acc 0.9349
e 33 | malicious users: 7 | test acc 0.7355 test loss 1.069065 best test_acc 0.9349
