=> Saving data in Logs/FRL~try=788
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.15 | total number of malicious clients: 150
e 0 | malicious users: 5 | test acc 0.2506 test loss 2.243779 best test_acc 0.2506
e 1 | malicious users: 3 | test acc 0.3487 test loss 2.119190 best test_acc 0.3487
e 2 | malicious users: 3 | test acc 0.5070 test loss 1.895223 best test_acc 0.5070
e 3 | malicious users: 4 | test acc 0.5597 test loss 1.540467 best test_acc 0.5597
e 4 | malicious users: 3 | test acc 0.6096 test loss 1.375782 best test_acc 0.6096
e 5 | malicious users: 4 | test acc 0.6792 test loss 1.195587 best test_acc 0.6792
e 6 | malicious users: 4 | test acc 0.6072 test loss 1.135871 best test_acc 0.6792
e 7 | malicious users: 5 | test acc 0.7859 test loss 0.852132 best test_acc 0.7859
e 8 | malicious users: 3 | test acc 0.6992 test loss 0.912744 best test_acc 0.7859
e 9 | malicious users: 2 | test acc 0.7892 test loss 0.699158 best test_acc 0.7892
e 10 | malicious users: 1 | test acc 0.8512 test loss 0.783946 best test_acc 0.8512
e 11 | malicious users: 2 | test acc 0.8820 test loss 0.563862 best test_acc 0.8820
e 12 | malicious users: 4 | test acc 0.7995 test loss 0.701368 best test_acc 0.8820
e 13 | malicious users: 2 | test acc 0.7462 test loss 0.819738 best test_acc 0.8820
e 14 | malicious users: 3 | test acc 0.8216 test loss 0.666047 best test_acc 0.8820
e 15 | malicious users: 4 | test acc 0.8465 test loss 0.602231 best test_acc 0.8820
e 16 | malicious users: 5 | test acc 0.7689 test loss 0.608423 best test_acc 0.8820
e 17 | malicious users: 3 | test acc 0.7995 test loss 0.652851 best test_acc 0.8820
e 18 | malicious users: 3 | test acc 0.8999 test loss 0.458494 best test_acc 0.8999
e 19 | malicious users: 2 | test acc 0.8219 test loss 0.541633 best test_acc 0.8999
e 20 | malicious users: 8 | test acc 0.5647 test loss 1.632637 best test_acc 0.8999
