=> Saving data in Logs/FRL~try=792
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.25 | total number of malicious clients: 250
e 0 | malicious users: 5 | test acc 0.1576 test loss 2.245664 best test_acc 0.1576
e 1 | malicious users: 4 | test acc 0.2329 test loss 2.115662 best test_acc 0.2329
e 2 | malicious users: 5 | test acc 0.5109 test loss 1.907523 best test_acc 0.5109
e 3 | malicious users: 7 | test acc 0.5660 test loss 1.544909 best test_acc 0.5660
e 4 | malicious users: 4 | test acc 0.6896 test loss 1.175535 best test_acc 0.6896
e 5 | malicious users: 9 | test acc 0.6702 test loss 1.277636 best test_acc 0.6896
e 6 | malicious users: 10 | test acc 0.5845 test loss 1.553358 best test_acc 0.6896
e 7 | malicious users: 8 | test acc 0.5856 test loss 1.319122 best test_acc 0.6896
e 8 | malicious users: 7 | test acc 0.7167 test loss 0.877363 best test_acc 0.7167
e 9 | malicious users: 6 | test acc 0.7745 test loss 0.956438 best test_acc 0.7745
e 10 | malicious users: 9 | test acc 0.6595 test loss 1.293830 best test_acc 0.7745
e 11 | malicious users: 8 | test acc 0.7672 test loss 0.875162 best test_acc 0.7745
e 12 | malicious users: 6 | test acc 0.8323 test loss 0.967524 best test_acc 0.8323
e 13 | malicious users: 4 | test acc 0.7967 test loss 0.603897 best test_acc 0.8323
e 14 | malicious users: 10 | test acc 0.5303 test loss 1.574277 best test_acc 0.8323
e 15 | malicious users: 4 | test acc 0.8065 test loss 0.649000 best test_acc 0.8323
e 16 | malicious users: 7 | test acc 0.7718 test loss 0.849243 best test_acc 0.8323
e 17 | malicious users: 7 | test acc 0.6770 test loss 0.950609 best test_acc 0.8323
e 18 | malicious users: 7 | test acc 0.8049 test loss 0.726441 best test_acc 0.8323
e 19 | malicious users: 11 | test acc 0.5376 test loss 1.746832 best test_acc 0.8323
e 20 | malicious users: 4 | test acc 0.8888 test loss 0.442172 best test_acc 0.8888
e 21 | malicious users: 8 | test acc 0.8099 test loss 0.942248 best test_acc 0.8888
e 22 | malicious users: 4 | test acc 0.8154 test loss 0.575484 best test_acc 0.8888
e 23 | malicious users: 6 | test acc 0.7733 test loss 0.738210 best test_acc 0.8888
e 24 | malicious users: 6 | test acc 0.8818 test loss 0.444538 best test_acc 0.8888
e 25 | malicious users: 6 | test acc 0.8674 test loss 0.515421 best test_acc 0.8888
e 26 | malicious users: 3 | test acc 0.9110 test loss 0.428269 best test_acc 0.9110
e 27 | malicious users: 9 | test acc 0.7255 test loss 0.923519 best test_acc 0.9110
e 28 | malicious users: 6 | test acc 0.8376 test loss 0.513090 best test_acc 0.9110
e 29 | malicious users: 3 | test acc 0.8407 test loss 0.570471 best test_acc 0.9110
e 30 | malicious users: 3 | test acc 0.8926 test loss 0.363938 best test_acc 0.9110
e 31 | malicious users: 8 | test acc 0.6792 test loss 1.314173 best test_acc 0.9110
e 32 | malicious users: 6 | test acc 0.9189 test loss 0.305456 best test_acc 0.9189
e 33 | malicious users: 7 | test acc 0.7421 test loss 0.721433 best test_acc 0.9189
e 34 | malicious users: 4 | test acc 0.8076 test loss 0.522547 best test_acc 0.9189
e 35 | malicious users: 9 | test acc 0.6454 test loss 1.525436 best test_acc 0.9189
e 36 | malicious users: 7 | test acc 0.8406 test loss 0.481055 best test_acc 0.9189
