=> Saving data in Logs/FRL~try=797
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1214 test loss 2.261006 best test_acc 0.1214
e 1 | malicious users: 5 | test acc 0.4110 test loss 2.095473 best test_acc 0.4110
e 2 | malicious users: 5 | test acc 0.4812 test loss 1.899577 best test_acc 0.4812
e 3 | malicious users: 5 | test acc 0.5652 test loss 1.526181 best test_acc 0.5652
e 4 | malicious users: 5 | test acc 0.5596 test loss 1.468036 best test_acc 0.5652
e 5 | malicious users: 5 | test acc 0.7012 test loss 1.039997 best test_acc 0.7012
e 6 | malicious users: 5 | test acc 0.6489 test loss 1.273352 best test_acc 0.7012
e 7 | malicious users: 5 | test acc 0.6842 test loss 0.933103 best test_acc 0.7012
e 8 | malicious users: 5 | test acc 0.5884 test loss 1.181648 best test_acc 0.7012
e 9 | malicious users: 5 | test acc 0.6445 test loss 1.038280 best test_acc 0.7012
e 10 | malicious users: 5 | test acc 0.6771 test loss 1.109537 best test_acc 0.7012
e 11 | malicious users: 5 | test acc 0.7782 test loss 0.793173 best test_acc 0.7782
e 12 | malicious users: 5 | test acc 0.8529 test loss 0.783055 best test_acc 0.8529
e 13 | malicious users: 5 | test acc 0.7493 test loss 0.737568 best test_acc 0.8529
e 14 | malicious users: 5 | test acc 0.6456 test loss 0.983711 best test_acc 0.8529
e 15 | malicious users: 5 | test acc 0.7418 test loss 0.767045 best test_acc 0.8529
e 16 | malicious users: 5 | test acc 0.8066 test loss 0.788164 best test_acc 0.8529
e 17 | malicious users: 5 | test acc 0.7372 test loss 0.792408 best test_acc 0.8529
e 18 | malicious users: 5 | test acc 0.7690 test loss 0.713300 best test_acc 0.8529
e 19 | malicious users: 5 | test acc 0.6651 test loss 0.992657 best test_acc 0.8529
e 20 | malicious users: 5 | test acc 0.7972 test loss 0.833133 best test_acc 0.8529
e 21 | malicious users: 5 | test acc 0.7524 test loss 0.704867 best test_acc 0.8529
e 22 | malicious users: 5 | test acc 0.8714 test loss 0.511971 best test_acc 0.8714
e 23 | malicious users: 5 | test acc 0.7297 test loss 0.786447 best test_acc 0.8714
e 24 | malicious users: 5 | test acc 0.7282 test loss 0.854131 best test_acc 0.8714
