=> Saving data in Logs/FRL~try=798
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 5 | test acc 0.1469 test loss 2.285860 best test_acc 0.1469
e 1 | malicious users: 5 | test acc 0.1795 test loss 2.303660 best test_acc 0.1795
e 2 | malicious users: 5 | test acc 0.1539 test loss 2.540664 best test_acc 0.1795
e 3 | malicious users: 5 | test acc 0.1012 test loss 2.703127 best test_acc 0.1795
e 4 | malicious users: 5 | test acc 0.2531 test loss 2.181961 best test_acc 0.2531
e 5 | malicious users: 5 | test acc 0.2438 test loss 2.172301 best test_acc 0.2531
e 6 | malicious users: 5 | test acc 0.3035 test loss 2.101245 best test_acc 0.3035
e 7 | malicious users: 5 | test acc 0.1997 test loss 2.162131 best test_acc 0.3035
e 8 | malicious users: 5 | test acc 0.4095 test loss 1.816418 best test_acc 0.4095
e 9 | malicious users: 5 | test acc 0.6225 test loss 1.469845 best test_acc 0.6225
e 10 | malicious users: 5 | test acc 0.4233 test loss 1.629791 best test_acc 0.6225
e 11 | malicious users: 5 | test acc 0.3856 test loss 1.615016 best test_acc 0.6225
e 12 | malicious users: 5 | test acc 0.6661 test loss 1.709505 best test_acc 0.6661
e 13 | malicious users: 5 | test acc 0.4295 test loss 1.571859 best test_acc 0.6661
e 14 | malicious users: 5 | test acc 0.5837 test loss 1.601109 best test_acc 0.6661
e 15 | malicious users: 5 | test acc 0.6333 test loss 1.372373 best test_acc 0.6661
e 16 | malicious users: 5 | test acc 0.4140 test loss 1.818346 best test_acc 0.6661
e 17 | malicious users: 5 | test acc 0.2334 test loss 1.626171 best test_acc 0.6661
e 18 | malicious users: 5 | test acc 0.4490 test loss 1.549540 best test_acc 0.6661
e 19 | malicious users: 5 | test acc 0.7291 test loss 1.207821 best test_acc 0.7291
e 20 | malicious users: 5 | test acc 0.4661 test loss 1.352982 best test_acc 0.7291
e 21 | malicious users: 5 | test acc 0.6636 test loss 1.309928 best test_acc 0.7291
e 22 | malicious users: 5 | test acc 0.5113 test loss 1.410398 best test_acc 0.7291
