=> Saving data in Logs/FRL~try=803
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1613 test loss 2.228377 best test_acc 0.1613
e 1 | malicious users: 5 | test acc 0.2792 test loss 2.104844 best test_acc 0.2792
e 2 | malicious users: 5 | test acc 0.3102 test loss 1.793613 best test_acc 0.3102
e 3 | malicious users: 5 | test acc 0.3645 test loss 1.767894 best test_acc 0.3645
e 4 | malicious users: 5 | test acc 0.5412 test loss 1.435320 best test_acc 0.5412
e 5 | malicious users: 5 | test acc 0.4670 test loss 1.645118 best test_acc 0.5412
e 6 | malicious users: 5 | test acc 0.6090 test loss 1.243848 best test_acc 0.6090
e 7 | malicious users: 5 | test acc 0.6732 test loss 1.133011 best test_acc 0.6732
e 8 | malicious users: 5 | test acc 0.5538 test loss 1.304504 best test_acc 0.6732
e 9 | malicious users: 5 | test acc 0.5210 test loss 1.226706 best test_acc 0.6732
e 10 | malicious users: 5 | test acc 0.4819 test loss 1.438521 best test_acc 0.6732
e 11 | malicious users: 5 | test acc 0.5886 test loss 1.188085 best test_acc 0.6732
e 12 | malicious users: 5 | test acc 0.6121 test loss 1.112975 best test_acc 0.6732
e 13 | malicious users: 5 | test acc 0.6003 test loss 1.058715 best test_acc 0.6732
e 14 | malicious users: 5 | test acc 0.6324 test loss 1.117070 best test_acc 0.6732
e 15 | malicious users: 5 | test acc 0.7236 test loss 0.923353 best test_acc 0.7236
e 16 | malicious users: 5 | test acc 0.7150 test loss 0.987909 best test_acc 0.7236
e 17 | malicious users: 5 | test acc 0.6338 test loss 1.081379 best test_acc 0.7236
e 18 | malicious users: 5 | test acc 0.6826 test loss 0.931502 best test_acc 0.7236
e 19 | malicious users: 5 | test acc 0.7389 test loss 0.855099 best test_acc 0.7389
e 20 | malicious users: 5 | test acc 0.7157 test loss 0.815365 best test_acc 0.7389
e 21 | malicious users: 5 | test acc 0.7166 test loss 0.813848 best test_acc 0.7389
e 22 | malicious users: 5 | test acc 0.6681 test loss 0.961601 best test_acc 0.7389
e 23 | malicious users: 5 | test acc 0.7179 test loss 0.849629 best test_acc 0.7389
e 24 | malicious users: 5 | test acc 0.8082 test loss 0.737908 best test_acc 0.8082
e 25 | malicious users: 5 | test acc 0.6892 test loss 0.897090 best test_acc 0.8082
e 26 | malicious users: 5 | test acc 0.6494 test loss 0.863201 best test_acc 0.8082
e 27 | malicious users: 5 | test acc 0.6481 test loss 0.974917 best test_acc 0.8082
e 28 | malicious users: 5 | test acc 0.6877 test loss 0.937305 best test_acc 0.8082
e 29 | malicious users: 5 | test acc 0.7090 test loss 0.823431 best test_acc 0.8082
e 30 | malicious users: 5 | test acc 0.7359 test loss 0.935314 best test_acc 0.8082
e 31 | malicious users: 5 | test acc 0.6920 test loss 1.043567 best test_acc 0.8082
e 32 | malicious users: 5 | test acc 0.7774 test loss 0.813496 best test_acc 0.8082
e 33 | malicious users: 5 | test acc 0.8369 test loss 0.592203 best test_acc 0.8369
e 34 | malicious users: 5 | test acc 0.6766 test loss 1.056986 best test_acc 0.8369
e 35 | malicious users: 5 | test acc 0.7512 test loss 0.822087 best test_acc 0.8369
e 36 | malicious users: 5 | test acc 0.7033 test loss 0.815398 best test_acc 0.8369
e 37 | malicious users: 5 | test acc 0.8523 test loss 0.588860 best test_acc 0.8523
e 38 | malicious users: 5 | test acc 0.8633 test loss 0.573323 best test_acc 0.8633
e 39 | malicious users: 5 | test acc 0.8245 test loss 0.527687 best test_acc 0.8633
e 40 | malicious users: 5 | test acc 0.7088 test loss 0.823243 best test_acc 0.8633
e 41 | malicious users: 5 | test acc 0.7066 test loss 0.824035 best test_acc 0.8633
e 42 | malicious users: 5 | test acc 0.7090 test loss 1.012957 best test_acc 0.8633
e 43 | malicious users: 5 | test acc 0.8063 test loss 0.706623 best test_acc 0.8633
e 44 | malicious users: 5 | test acc 0.7176 test loss 0.894585 best test_acc 0.8633
e 45 | malicious users: 5 | test acc 0.7357 test loss 0.776415 best test_acc 0.8633
e 46 | malicious users: 5 | test acc 0.7585 test loss 0.767487 best test_acc 0.8633
e 47 | malicious users: 5 | test acc 0.7457 test loss 0.856143 best test_acc 0.8633
e 48 | malicious users: 5 | test acc 0.7671 test loss 0.748527 best test_acc 0.8633
e 49 | malicious users: 5 | test acc 0.8196 test loss 0.785981 best test_acc 0.8633
e 50 | malicious users: 5 | test acc 0.8193 test loss 0.676844 best test_acc 0.8633
e 51 | malicious users: 5 | test acc 0.7698 test loss 0.812653 best test_acc 0.8633
e 52 | malicious users: 5 | test acc 0.6635 test loss 0.909758 best test_acc 0.8633
e 53 | malicious users: 5 | test acc 0.6753 test loss 0.923252 best test_acc 0.8633
e 54 | malicious users: 5 | test acc 0.8454 test loss 0.577360 best test_acc 0.8633
e 55 | malicious users: 5 | test acc 0.8092 test loss 0.651851 best test_acc 0.8633
e 56 | malicious users: 5 | test acc 0.7395 test loss 0.837646 best test_acc 0.8633
e 57 | malicious users: 5 | test acc 0.7464 test loss 0.862698 best test_acc 0.8633
e 58 | malicious users: 5 | test acc 0.8350 test loss 0.573546 best test_acc 0.8633
e 59 | malicious users: 5 | test acc 0.6965 test loss 0.911107 best test_acc 0.8633
e 60 | malicious users: 5 | test acc 0.7199 test loss 0.796396 best test_acc 0.8633
e 61 | malicious users: 5 | test acc 0.6691 test loss 0.885129 best test_acc 0.8633
e 62 | malicious users: 5 | test acc 0.7293 test loss 0.831786 best test_acc 0.8633
e 63 | malicious users: 5 | test acc 0.7147 test loss 0.785636 best test_acc 0.8633
e 64 | malicious users: 5 | test acc 0.7693 test loss 0.750279 best test_acc 0.8633
e 65 | malicious users: 5 | test acc 0.7610 test loss 0.810621 best test_acc 0.8633
e 66 | malicious users: 5 | test acc 0.8247 test loss 0.828028 best test_acc 0.8633
e 67 | malicious users: 5 | test acc 0.7567 test loss 0.901611 best test_acc 0.8633
e 68 | malicious users: 5 | test acc 0.8147 test loss 0.645362 best test_acc 0.8633
e 69 | malicious users: 5 | test acc 0.7406 test loss 0.777708 best test_acc 0.8633
e 70 | malicious users: 5 | test acc 0.7547 test loss 0.734267 best test_acc 0.8633
e 71 | malicious users: 5 | test acc 0.6446 test loss 0.958957 best test_acc 0.8633
e 72 | malicious users: 5 | test acc 0.7995 test loss 0.786667 best test_acc 0.8633
e 73 | malicious users: 5 | test acc 0.7915 test loss 0.747302 best test_acc 0.8633
e 74 | malicious users: 5 | test acc 0.6805 test loss 0.756579 best test_acc 0.8633
e 75 | malicious users: 5 | test acc 0.8315 test loss 0.546496 best test_acc 0.8633
e 76 | malicious users: 5 | test acc 0.8538 test loss 0.655066 best test_acc 0.8633
e 77 | malicious users: 5 | test acc 0.7696 test loss 0.774575 best test_acc 0.8633
e 78 | malicious users: 5 | test acc 0.7196 test loss 0.965791 best test_acc 0.8633
e 79 | malicious users: 5 | test acc 0.8007 test loss 0.585762 best test_acc 0.8633
e 80 | malicious users: 5 | test acc 0.5217 test loss 1.140782 best test_acc 0.8633
e 81 | malicious users: 5 | test acc 0.7579 test loss 0.856586 best test_acc 0.8633
e 82 | malicious users: 5 | test acc 0.7027 test loss 0.871597 best test_acc 0.8633
e 83 | malicious users: 5 | test acc 0.6621 test loss 0.991303 best test_acc 0.8633
e 84 | malicious users: 5 | test acc 0.7313 test loss 0.795857 best test_acc 0.8633
e 85 | malicious users: 5 | test acc 0.8999 test loss 0.642486 best test_acc 0.8999
e 86 | malicious users: 5 | test acc 0.8067 test loss 0.698444 best test_acc 0.8999
e 87 | malicious users: 5 | test acc 0.7249 test loss 0.794574 best test_acc 0.8999
e 88 | malicious users: 5 | test acc 0.7516 test loss 0.787166 best test_acc 0.8999
e 89 | malicious users: 5 | test acc 0.8336 test loss 0.585775 best test_acc 0.8999
e 90 | malicious users: 5 | test acc 0.8061 test loss 0.720398 best test_acc 0.8999
e 91 | malicious users: 5 | test acc 0.8506 test loss 0.767014 best test_acc 0.8999
e 92 | malicious users: 5 | test acc 0.7902 test loss 0.625278 best test_acc 0.8999
e 93 | malicious users: 5 | test acc 0.7821 test loss 0.864608 best test_acc 0.8999
e 94 | malicious users: 5 | test acc 0.8265 test loss 0.571882 best test_acc 0.8999
