=> Saving data in Logs/FRL~try=804
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3420 test loss 2.221692 best test_acc 0.3420
e 1 | malicious users: 5 | test acc 0.3809 test loss 2.071248 best test_acc 0.3809
e 2 | malicious users: 5 | test acc 0.4038 test loss 1.747867 best test_acc 0.4038
e 3 | malicious users: 5 | test acc 0.4873 test loss 1.686810 best test_acc 0.4873
e 4 | malicious users: 5 | test acc 0.5847 test loss 1.240102 best test_acc 0.5847
e 5 | malicious users: 5 | test acc 0.5074 test loss 1.341545 best test_acc 0.5847
e 6 | malicious users: 5 | test acc 0.6322 test loss 1.116490 best test_acc 0.6322
e 7 | malicious users: 5 | test acc 0.4830 test loss 1.347241 best test_acc 0.6322
e 8 | malicious users: 5 | test acc 0.5647 test loss 1.114745 best test_acc 0.6322
e 9 | malicious users: 5 | test acc 0.7452 test loss 0.992615 best test_acc 0.7452
e 10 | malicious users: 5 | test acc 0.6338 test loss 0.963754 best test_acc 0.7452
e 11 | malicious users: 5 | test acc 0.6920 test loss 0.924614 best test_acc 0.7452
e 12 | malicious users: 5 | test acc 0.7044 test loss 1.107253 best test_acc 0.7452
e 13 | malicious users: 5 | test acc 0.6783 test loss 0.867117 best test_acc 0.7452
e 14 | malicious users: 5 | test acc 0.7117 test loss 0.913238 best test_acc 0.7452
e 15 | malicious users: 5 | test acc 0.6546 test loss 1.194874 best test_acc 0.7452
e 16 | malicious users: 5 | test acc 0.7334 test loss 0.906240 best test_acc 0.7452
e 17 | malicious users: 5 | test acc 0.6867 test loss 0.860189 best test_acc 0.7452
e 18 | malicious users: 5 | test acc 0.7987 test loss 0.733969 best test_acc 0.7987
e 19 | malicious users: 5 | test acc 0.6875 test loss 0.970718 best test_acc 0.7987
e 20 | malicious users: 5 | test acc 0.6794 test loss 1.072181 best test_acc 0.7987
