=> Saving data in Logs/FRL~try=805
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3696 test loss 2.240071 best test_acc 0.3696
e 1 | malicious users: 5 | test acc 0.4340 test loss 2.013184 best test_acc 0.4340
e 2 | malicious users: 5 | test acc 0.4258 test loss 2.090710 best test_acc 0.4340
e 3 | malicious users: 5 | test acc 0.5659 test loss 1.447504 best test_acc 0.5659
e 4 | malicious users: 5 | test acc 0.5700 test loss 1.434463 best test_acc 0.5700
e 5 | malicious users: 5 | test acc 0.6690 test loss 1.309039 best test_acc 0.6690
e 6 | malicious users: 5 | test acc 0.5465 test loss 1.236876 best test_acc 0.6690
e 7 | malicious users: 5 | test acc 0.5619 test loss 1.185510 best test_acc 0.6690
e 8 | malicious users: 5 | test acc 0.5855 test loss 1.237086 best test_acc 0.6690
e 9 | malicious users: 5 | test acc 0.7238 test loss 0.990157 best test_acc 0.7238
e 10 | malicious users: 5 | test acc 0.5670 test loss 1.203080 best test_acc 0.7238
e 11 | malicious users: 5 | test acc 0.6589 test loss 0.941076 best test_acc 0.7238
e 12 | malicious users: 5 | test acc 0.7500 test loss 0.856858 best test_acc 0.7500
e 13 | malicious users: 5 | test acc 0.7496 test loss 0.821684 best test_acc 0.7500
e 14 | malicious users: 5 | test acc 0.7465 test loss 0.829798 best test_acc 0.7500
e 15 | malicious users: 5 | test acc 0.7620 test loss 0.743320 best test_acc 0.7620
e 16 | malicious users: 5 | test acc 0.7994 test loss 0.680108 best test_acc 0.7994
e 17 | malicious users: 5 | test acc 0.6413 test loss 0.965267 best test_acc 0.7994
e 18 | malicious users: 5 | test acc 0.6945 test loss 0.846899 best test_acc 0.7994
e 19 | malicious users: 5 | test acc 0.7171 test loss 0.893682 best test_acc 0.7994
