=> Saving data in Logs/FRL~try=811
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2594 test loss 2.207611 best test_acc 0.2594
e 1 | malicious users: 5 | test acc 0.5798 test loss 1.845648 best test_acc 0.5798
e 2 | malicious users: 5 | test acc 0.5292 test loss 1.730841 best test_acc 0.5798
e 3 | malicious users: 5 | test acc 0.5347 test loss 1.768841 best test_acc 0.5798
e 4 | malicious users: 5 | test acc 0.6357 test loss 1.365698 best test_acc 0.6357
e 5 | malicious users: 5 | test acc 0.6416 test loss 1.190372 best test_acc 0.6416
e 6 | malicious users: 5 | test acc 0.7530 test loss 0.992116 best test_acc 0.7530
e 7 | malicious users: 5 | test acc 0.7352 test loss 0.908106 best test_acc 0.7530
e 8 | malicious users: 5 | test acc 0.7723 test loss 0.980868 best test_acc 0.7723
e 9 | malicious users: 5 | test acc 0.7866 test loss 0.771419 best test_acc 0.7866
e 10 | malicious users: 5 | test acc 0.8212 test loss 0.703023 best test_acc 0.8212
e 11 | malicious users: 5 | test acc 0.8295 test loss 0.834354 best test_acc 0.8295
e 12 | malicious users: 5 | test acc 0.8194 test loss 0.969355 best test_acc 0.8295
e 13 | malicious users: 5 | test acc 0.9064 test loss 0.716274 best test_acc 0.9064
e 14 | malicious users: 5 | test acc 0.7919 test loss 0.765573 best test_acc 0.9064
e 15 | malicious users: 5 | test acc 0.9089 test loss 0.470401 best test_acc 0.9089
e 16 | malicious users: 5 | test acc 0.8554 test loss 0.907713 best test_acc 0.9089
e 17 | malicious users: 5 | test acc 0.8615 test loss 0.529237 best test_acc 0.9089
e 18 | malicious users: 5 | test acc 0.8910 test loss 0.657698 best test_acc 0.9089
e 19 | malicious users: 5 | test acc 0.8718 test loss 0.553484 best test_acc 0.9089
e 20 | malicious users: 5 | test acc 0.8837 test loss 0.750411 best test_acc 0.9089
e 21 | malicious users: 5 | test acc 0.8999 test loss 0.489984 best test_acc 0.9089
