=> Saving data in Logs/FRL~try=812
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2657 test loss 2.114311 best test_acc 0.2657
e 1 | malicious users: 5 | test acc 0.5053 test loss 1.450828 best test_acc 0.5053
e 2 | malicious users: 5 | test acc 0.5356 test loss 2.035102 best test_acc 0.5356
e 3 | malicious users: 5 | test acc 0.6413 test loss 0.950021 best test_acc 0.6413
e 4 | malicious users: 5 | test acc 0.5372 test loss 1.920935 best test_acc 0.6413
e 5 | malicious users: 5 | test acc 0.6719 test loss 0.933435 best test_acc 0.6719
e 6 | malicious users: 5 | test acc 0.5573 test loss 1.406162 best test_acc 0.6719
e 7 | malicious users: 5 | test acc 0.6850 test loss 0.852343 best test_acc 0.6850
e 8 | malicious users: 5 | test acc 0.6593 test loss 1.118113 best test_acc 0.6850
e 9 | malicious users: 5 | test acc 0.7430 test loss 0.889744 best test_acc 0.7430
e 10 | malicious users: 5 | test acc 0.7122 test loss 0.889765 best test_acc 0.7430
e 11 | malicious users: 5 | test acc 0.7322 test loss 0.781998 best test_acc 0.7430
e 12 | malicious users: 5 | test acc 0.6905 test loss 1.014775 best test_acc 0.7430
e 13 | malicious users: 5 | test acc 0.8244 test loss 0.686495 best test_acc 0.8244
e 14 | malicious users: 5 | test acc 0.7570 test loss 0.851707 best test_acc 0.8244
e 15 | malicious users: 5 | test acc 0.7353 test loss 0.875048 best test_acc 0.8244
e 16 | malicious users: 5 | test acc 0.7545 test loss 0.742643 best test_acc 0.8244
e 17 | malicious users: 5 | test acc 0.8307 test loss 0.895778 best test_acc 0.8307
e 18 | malicious users: 5 | test acc 0.8056 test loss 0.656442 best test_acc 0.8307
e 19 | malicious users: 5 | test acc 0.8479 test loss 0.715699 best test_acc 0.8479
e 20 | malicious users: 5 | test acc 0.7841 test loss 0.703349 best test_acc 0.8479
e 21 | malicious users: 5 | test acc 0.6741 test loss 0.905510 best test_acc 0.8479
e 22 | malicious users: 5 | test acc 0.8697 test loss 0.641033 best test_acc 0.8697
e 23 | malicious users: 5 | test acc 0.8076 test loss 0.609824 best test_acc 0.8697
e 24 | malicious users: 5 | test acc 0.8427 test loss 0.600302 best test_acc 0.8697
e 25 | malicious users: 5 | test acc 0.8658 test loss 0.562390 best test_acc 0.8697
e 26 | malicious users: 5 | test acc 0.7187 test loss 0.764959 best test_acc 0.8697
e 27 | malicious users: 5 | test acc 0.8014 test loss 0.633997 best test_acc 0.8697
e 28 | malicious users: 5 | test acc 0.8410 test loss 0.566300 best test_acc 0.8697
e 29 | malicious users: 5 | test acc 0.7554 test loss 0.775101 best test_acc 0.8697
e 30 | malicious users: 5 | test acc 0.8183 test loss 0.717056 best test_acc 0.8697
e 31 | malicious users: 5 | test acc 0.7328 test loss 0.829745 best test_acc 0.8697
e 32 | malicious users: 5 | test acc 0.7760 test loss 0.664381 best test_acc 0.8697
e 33 | malicious users: 5 | test acc 0.8366 test loss 0.632419 best test_acc 0.8697
e 34 | malicious users: 5 | test acc 0.8171 test loss 0.606069 best test_acc 0.8697
e 35 | malicious users: 5 | test acc 0.8787 test loss 0.641780 best test_acc 0.8787
e 36 | malicious users: 5 | test acc 0.8170 test loss 0.537828 best test_acc 0.8787
e 37 | malicious users: 5 | test acc 0.8251 test loss 0.627500 best test_acc 0.8787
e 38 | malicious users: 5 | test acc 0.7397 test loss 0.775338 best test_acc 0.8787
e 39 | malicious users: 5 | test acc 0.8549 test loss 0.517940 best test_acc 0.8787
e 40 | malicious users: 5 | test acc 0.7229 test loss 0.862158 best test_acc 0.8787
e 41 | malicious users: 5 | test acc 0.8351 test loss 0.721093 best test_acc 0.8787
e 42 | malicious users: 5 | test acc 0.7635 test loss 0.697815 best test_acc 0.8787
e 43 | malicious users: 5 | test acc 0.8414 test loss 0.670577 best test_acc 0.8787
e 44 | malicious users: 5 | test acc 0.8620 test loss 0.556568 best test_acc 0.8787
e 45 | malicious users: 5 | test acc 0.6713 test loss 0.919355 best test_acc 0.8787
e 46 | malicious users: 5 | test acc 0.8753 test loss 0.544960 best test_acc 0.8787
e 47 | malicious users: 5 | test acc 0.7846 test loss 0.804463 best test_acc 0.8787
e 48 | malicious users: 5 | test acc 0.8124 test loss 0.539590 best test_acc 0.8787
e 49 | malicious users: 5 | test acc 0.7423 test loss 0.834864 best test_acc 0.8787
e 50 | malicious users: 5 | test acc 0.7912 test loss 0.633562 best test_acc 0.8787
e 51 | malicious users: 5 | test acc 0.7064 test loss 0.839632 best test_acc 0.8787
e 52 | malicious users: 5 | test acc 0.7571 test loss 0.657747 best test_acc 0.8787
e 53 | malicious users: 5 | test acc 0.6626 test loss 1.011225 best test_acc 0.8787
e 54 | malicious users: 5 | test acc 0.7586 test loss 0.609894 best test_acc 0.8787
e 55 | malicious users: 5 | test acc 0.8424 test loss 0.782793 best test_acc 0.8787
e 56 | malicious users: 5 | test acc 0.8734 test loss 0.532282 best test_acc 0.8787
e 57 | malicious users: 5 | test acc 0.6496 test loss 1.013089 best test_acc 0.8787
