=> Saving data in Logs/FRL~try=814
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1010 test loss 2.272268 best test_acc 0.1010
e 1 | malicious users: 5 | test acc 0.1530 test loss 2.195840 best test_acc 0.1530
e 2 | malicious users: 5 | test acc 0.1174 test loss 2.408352 best test_acc 0.1530
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 3 | malicious users: 5 | test acc 0.2064 test loss 2.155120 best test_acc 0.2064
e 4 | malicious users: 5 | test acc 0.1875 test loss 2.151068 best test_acc 0.2064
e 5 | malicious users: 5 | test acc 0.3518 test loss 2.017318 best test_acc 0.3518
e 6 | malicious users: 5 | test acc 0.3965 test loss 1.919389 best test_acc 0.3965
e 7 | malicious users: 5 | test acc 0.3391 test loss 1.654684 best test_acc 0.3965
e 8 | malicious users: 5 | test acc 0.4301 test loss 1.691069 best test_acc 0.4301
e 9 | malicious users: 5 | test acc 0.4029 test loss 1.948260 best test_acc 0.4301
e 10 | malicious users: 5 | test acc 0.6009 test loss 1.442410 best test_acc 0.6009
e 11 | malicious users: 5 | test acc 0.6627 test loss 1.566002 best test_acc 0.6627
e 12 | malicious users: 5 | test acc 0.6756 test loss 1.304501 best test_acc 0.6756
e 13 | malicious users: 5 | test acc 0.7335 test loss 1.114540 best test_acc 0.7335
e 14 | malicious users: 5 | test acc 0.7617 test loss 1.184442 best test_acc 0.7617
e 15 | malicious users: 5 | test acc 0.7390 test loss 1.282127 best test_acc 0.7617
e 16 | malicious users: 5 | test acc 0.6841 test loss 1.438926 best test_acc 0.7617
e 17 | malicious users: 5 | test acc 0.7548 test loss 1.085617 best test_acc 0.7617
e 18 | malicious users: 5 | test acc 0.6211 test loss 1.207108 best test_acc 0.7617
e 19 | malicious users: 5 | test acc 0.7660 test loss 1.130491 best test_acc 0.7660
e 20 | malicious users: 5 | test acc 0.8257 test loss 1.205358 best test_acc 0.8257
e 21 | malicious users: 5 | test acc 0.8058 test loss 1.056006 best test_acc 0.8257
e 22 | malicious users: 5 | test acc 0.5997 test loss 1.416621 best test_acc 0.8257
e 23 | malicious users: 5 | test acc 0.7760 test loss 0.973161 best test_acc 0.8257
e 24 | malicious users: 5 | test acc 0.4627 test loss 1.391150 best test_acc 0.8257
e 25 | malicious users: 5 | test acc 0.4074 test loss 1.276620 best test_acc 0.8257
e 26 | malicious users: 5 | test acc 0.6002 test loss 1.078059 best test_acc 0.8257
e 27 | malicious users: 5 | test acc 0.6667 test loss 1.179813 best test_acc 0.8257
e 28 | malicious users: 5 | test acc 0.5474 test loss 1.083435 best test_acc 0.8257
e 29 | malicious users: 5 | test acc 0.5885 test loss 1.338556 best test_acc 0.8257
e 30 | malicious users: 5 | test acc 0.8089 test loss 0.985594 best test_acc 0.8257
e 31 | malicious users: 5 | test acc 0.6378 test loss 1.187736 best test_acc 0.8257
e 32 | malicious users: 5 | test acc 0.6609 test loss 0.975333 best test_acc 0.8257
e 33 | malicious users: 5 | test acc 0.7843 test loss 1.087019 best test_acc 0.8257
