=> Saving data in Logs/FRL~try=815
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1038 test loss 2.247845 best test_acc 0.1038
e 1 | malicious users: 5 | test acc 0.3360 test loss 2.092197 best test_acc 0.3360
e 2 | malicious users: 5 | test acc 0.3845 test loss 1.879830 best test_acc 0.3845
e 3 | malicious users: 5 | test acc 0.3531 test loss 2.011037 best test_acc 0.3845
e 4 | malicious users: 5 | test acc 0.4399 test loss 1.700058 best test_acc 0.4399
e 5 | malicious users: 5 | test acc 0.4599 test loss 1.741360 best test_acc 0.4599
e 6 | malicious users: 5 | test acc 0.5317 test loss 1.331172 best test_acc 0.5317
e 7 | malicious users: 5 | test acc 0.6346 test loss 1.194539 best test_acc 0.6346
e 8 | malicious users: 5 | test acc 0.5246 test loss 1.395781 best test_acc 0.6346
e 9 | malicious users: 5 | test acc 0.4075 test loss 1.360722 best test_acc 0.6346
e 10 | malicious users: 5 | test acc 0.6657 test loss 0.983574 best test_acc 0.6657
e 11 | malicious users: 5 | test acc 0.6405 test loss 1.254710 best test_acc 0.6657
e 12 | malicious users: 5 | test acc 0.7896 test loss 0.927204 best test_acc 0.7896
e 13 | malicious users: 5 | test acc 0.5239 test loss 1.187331 best test_acc 0.7896
e 14 | malicious users: 5 | test acc 0.6113 test loss 1.142596 best test_acc 0.7896
e 15 | malicious users: 5 | test acc 0.6939 test loss 1.039087 best test_acc 0.7896
e 16 | malicious users: 5 | test acc 0.5477 test loss 1.127409 best test_acc 0.7896
e 17 | malicious users: 5 | test acc 0.7247 test loss 1.155956 best test_acc 0.7896
e 18 | malicious users: 5 | test acc 0.7337 test loss 0.921064 best test_acc 0.7896
e 19 | malicious users: 5 | test acc 0.5805 test loss 1.199712 best test_acc 0.7896
e 20 | malicious users: 5 | test acc 0.7457 test loss 0.871626 best test_acc 0.7896
e 21 | malicious users: 5 | test acc 0.5683 test loss 1.238603 best test_acc 0.7896
e 22 | malicious users: 5 | test acc 0.7525 test loss 0.777709 best test_acc 0.7896
e 23 | malicious users: 5 | test acc 0.5168 test loss 1.311158 best test_acc 0.7896
e 24 | malicious users: 5 | test acc 0.7260 test loss 0.829023 best test_acc 0.7896
e 25 | malicious users: 5 | test acc 0.7400 test loss 1.177232 best test_acc 0.7896
e 26 | malicious users: 5 | test acc 0.7475 test loss 0.844291 best test_acc 0.7896
e 27 | malicious users: 5 | test acc 0.6815 test loss 0.995482 best test_acc 0.7896
e 28 | malicious users: 5 | test acc 0.6715 test loss 1.148219 best test_acc 0.7896
e 29 | malicious users: 5 | test acc 0.6024 test loss 1.090522 best test_acc 0.7896
e 30 | malicious users: 5 | test acc 0.5981 test loss 1.097839 best test_acc 0.7896
e 31 | malicious users: 5 | test acc 0.6717 test loss 1.020409 best test_acc 0.7896
e 32 | malicious users: 5 | test acc 0.7807 test loss 0.754008 best test_acc 0.7896
e 33 | malicious users: 5 | test acc 0.7549 test loss 0.958654 best test_acc 0.7896
e 34 | malicious users: 5 | test acc 0.7382 test loss 0.895053 best test_acc 0.7896
e 35 | malicious users: 5 | test acc 0.7666 test loss 0.905446 best test_acc 0.7896
e 36 | malicious users: 5 | test acc 0.7587 test loss 0.781336 best test_acc 0.7896
e 37 | malicious users: 5 | test acc 0.7333 test loss 0.939339 best test_acc 0.7896
e 38 | malicious users: 5 | test acc 0.6273 test loss 0.974003 best test_acc 0.7896
e 39 | malicious users: 5 | test acc 0.8133 test loss 1.050970 best test_acc 0.8133
e 40 | malicious users: 5 | test acc 0.8299 test loss 0.893707 best test_acc 0.8299
e 41 | malicious users: 5 | test acc 0.7368 test loss 0.906851 best test_acc 0.8299
e 42 | malicious users: 5 | test acc 0.6543 test loss 1.013382 best test_acc 0.8299
e 43 | malicious users: 5 | test acc 0.7562 test loss 0.754129 best test_acc 0.8299
e 44 | malicious users: 5 | test acc 0.6705 test loss 0.965859 best test_acc 0.8299
e 45 | malicious users: 5 | test acc 0.8264 test loss 0.649467 best test_acc 0.8299
e 46 | malicious users: 5 | test acc 0.7561 test loss 0.854217 best test_acc 0.8299
e 47 | malicious users: 5 | test acc 0.6224 test loss 0.893718 best test_acc 0.8299
e 48 | malicious users: 5 | test acc 0.6789 test loss 1.012134 best test_acc 0.8299
e 49 | malicious users: 5 | test acc 0.6929 test loss 0.931137 best test_acc 0.8299
e 50 | malicious users: 5 | test acc 0.5583 test loss 1.075535 best test_acc 0.8299
e 51 | malicious users: 5 | test acc 0.7238 test loss 0.961975 best test_acc 0.8299
e 52 | malicious users: 5 | test acc 0.6950 test loss 0.886571 best test_acc 0.8299
e 53 | malicious users: 5 | test acc 0.7049 test loss 1.009448 best test_acc 0.8299
e 54 | malicious users: 5 | test acc 0.7610 test loss 0.730617 best test_acc 0.8299
e 55 | malicious users: 5 | test acc 0.7521 test loss 1.200327 best test_acc 0.8299
e 56 | malicious users: 5 | test acc 0.7919 test loss 0.592898 best test_acc 0.8299
e 57 | malicious users: 5 | test acc 0.7989 test loss 1.045217 best test_acc 0.8299
e 58 | malicious users: 5 | test acc 0.7315 test loss 0.842497 best test_acc 0.8299
e 59 | malicious users: 5 | test acc 0.7336 test loss 1.081472 best test_acc 0.8299
e 60 | malicious users: 5 | test acc 0.6850 test loss 0.843660 best test_acc 0.8299
e 61 | malicious users: 5 | test acc 0.6749 test loss 0.997432 best test_acc 0.8299
e 62 | malicious users: 5 | test acc 0.7860 test loss 0.740406 best test_acc 0.8299
e 63 | malicious users: 5 | test acc 0.6665 test loss 0.958292 best test_acc 0.8299
e 64 | malicious users: 5 | test acc 0.7589 test loss 1.055025 best test_acc 0.8299
e 65 | malicious users: 5 | test acc 0.7387 test loss 0.846700 best test_acc 0.8299
e 66 | malicious users: 5 | test acc 0.7016 test loss 0.854487 best test_acc 0.8299
e 67 | malicious users: 5 | test acc 0.8051 test loss 0.859990 best test_acc 0.8299
e 68 | malicious users: 5 | test acc 0.7288 test loss 0.882086 best test_acc 0.8299
e 69 | malicious users: 5 | test acc 0.6525 test loss 0.852063 best test_acc 0.8299
e 70 | malicious users: 5 | test acc 0.7746 test loss 0.978341 best test_acc 0.8299
e 71 | malicious users: 5 | test acc 0.5841 test loss 1.117705 best test_acc 0.8299
e 72 | malicious users: 5 | test acc 0.7568 test loss 0.817901 best test_acc 0.8299
e 73 | malicious users: 5 | test acc 0.6738 test loss 1.027859 best test_acc 0.8299
e 74 | malicious users: 5 | test acc 0.6985 test loss 0.956824 best test_acc 0.8299
e 75 | malicious users: 5 | test acc 0.7874 test loss 0.904077 best test_acc 0.8299
e 76 | malicious users: 5 | test acc 0.8182 test loss 0.853896 best test_acc 0.8299
e 77 | malicious users: 5 | test acc 0.8165 test loss 0.704105 best test_acc 0.8299
e 78 | malicious users: 5 | test acc 0.6807 test loss 0.956623 best test_acc 0.8299
e 79 | malicious users: 5 | test acc 0.6431 test loss 0.987511 best test_acc 0.8299
e 80 | malicious users: 5 | test acc 0.7288 test loss 1.035837 best test_acc 0.8299
e 81 | malicious users: 5 | test acc 0.6440 test loss 0.839289 best test_acc 0.8299
e 82 | malicious users: 5 | test acc 0.8117 test loss 0.652602 best test_acc 0.8299
e 83 | malicious users: 5 | test acc 0.6300 test loss 1.083673 best test_acc 0.8299
e 84 | malicious users: 5 | test acc 0.6393 test loss 0.940429 best test_acc 0.8299
e 85 | malicious users: 5 | test acc 0.6883 test loss 0.835352 best test_acc 0.8299
e 86 | malicious users: 5 | test acc 0.6912 test loss 0.842962 best test_acc 0.8299
e 87 | malicious users: 5 | test acc 0.7601 test loss 0.834044 best test_acc 0.8299
e 88 | malicious users: 5 | test acc 0.7896 test loss 0.700977 best test_acc 0.8299
e 89 | malicious users: 5 | test acc 0.5932 test loss 1.374755 best test_acc 0.8299
e 90 | malicious users: 5 | test acc 0.6631 test loss 0.910569 best test_acc 0.8299
e 91 | malicious users: 5 | test acc 0.6029 test loss 1.066117 best test_acc 0.8299
e 92 | malicious users: 5 | test acc 0.6656 test loss 0.925188 best test_acc 0.8299
e 93 | malicious users: 5 | test acc 0.6882 test loss 1.033108 best test_acc 0.8299
e 94 | malicious users: 5 | test acc 0.8074 test loss 0.651298 best test_acc 0.8299
e 95 | malicious users: 5 | test acc 0.8384 test loss 0.675529 best test_acc 0.8384
e 96 | malicious users: 5 | test acc 0.7300 test loss 0.989471 best test_acc 0.8384
e 97 | malicious users: 5 | test acc 0.8322 test loss 0.687497 best test_acc 0.8384
e 98 | malicious users: 5 | test acc 0.7742 test loss 0.747614 best test_acc 0.8384
e 99 | malicious users: 5 | test acc 0.8269 test loss 0.804996 best test_acc 0.8384
e 100 | malicious users: 5 | test acc 0.8600 test loss 0.546089 best test_acc 0.8600
e 101 | malicious users: 5 | test acc 0.8332 test loss 0.772379 best test_acc 0.8600
e 102 | malicious users: 5 | test acc 0.7367 test loss 0.774914 best test_acc 0.8600
e 103 | malicious users: 5 | test acc 0.8305 test loss 0.644590 best test_acc 0.8600
e 104 | malicious users: 5 | test acc 0.6256 test loss 0.961175 best test_acc 0.8600
e 105 | malicious users: 5 | test acc 0.8146 test loss 0.690735 best test_acc 0.8600
e 106 | malicious users: 5 | test acc 0.5993 test loss 1.014225 best test_acc 0.8600
e 107 | malicious users: 5 | test acc 0.6982 test loss 0.855171 best test_acc 0.8600
e 108 | malicious users: 5 | test acc 0.5954 test loss 1.027087 best test_acc 0.8600
e 109 | malicious users: 5 | test acc 0.7671 test loss 0.775193 best test_acc 0.8600
e 110 | malicious users: 5 | test acc 0.7400 test loss 0.861131 best test_acc 0.8600
e 111 | malicious users: 5 | test acc 0.8272 test loss 0.665102 best test_acc 0.8600
e 112 | malicious users: 5 | test acc 0.8284 test loss 0.835021 best test_acc 0.8600
e 113 | malicious users: 5 | test acc 0.7663 test loss 0.779088 best test_acc 0.8600
e 114 | malicious users: 5 | test acc 0.8073 test loss 0.746786 best test_acc 0.8600
e 115 | malicious users: 5 | test acc 0.7015 test loss 0.893906 best test_acc 0.8600
e 116 | malicious users: 5 | test acc 0.8631 test loss 0.717569 best test_acc 0.8631
e 117 | malicious users: 5 | test acc 0.7331 test loss 0.787681 best test_acc 0.8631
e 118 | malicious users: 5 | test acc 0.6826 test loss 0.864019 best test_acc 0.8631
e 119 | malicious users: 5 | test acc 0.7416 test loss 0.768993 best test_acc 0.8631
e 120 | malicious users: 5 | test acc 0.7221 test loss 0.917964 best test_acc 0.8631
e 121 | malicious users: 5 | test acc 0.7671 test loss 0.780249 best test_acc 0.8631
e 122 | malicious users: 5 | test acc 0.7309 test loss 0.998750 best test_acc 0.8631
e 123 | malicious users: 5 | test acc 0.7949 test loss 0.733187 best test_acc 0.8631
e 124 | malicious users: 5 | test acc 0.7383 test loss 0.764158 best test_acc 0.8631
e 125 | malicious users: 5 | test acc 0.8179 test loss 0.786793 best test_acc 0.8631
e 126 | malicious users: 5 | test acc 0.7026 test loss 0.778975 best test_acc 0.8631
e 127 | malicious users: 5 | test acc 0.6773 test loss 0.985486 best test_acc 0.8631
e 128 | malicious users: 5 | test acc 0.7069 test loss 0.829011 best test_acc 0.8631
e 129 | malicious users: 5 | test acc 0.7609 test loss 0.900063 best test_acc 0.8631
e 130 | malicious users: 5 | test acc 0.7922 test loss 0.733981 best test_acc 0.8631
e 131 | malicious users: 5 | test acc 0.5465 test loss 1.188570 best test_acc 0.8631
e 132 | malicious users: 5 | test acc 0.6992 test loss 0.814884 best test_acc 0.8631
e 133 | malicious users: 5 | test acc 0.7426 test loss 0.797442 best test_acc 0.8631
e 134 | malicious users: 5 | test acc 0.7555 test loss 0.967408 best test_acc 0.8631
e 135 | malicious users: 5 | test acc 0.6359 test loss 0.918590 best test_acc 0.8631
e 136 | malicious users: 5 | test acc 0.6974 test loss 0.880598 best test_acc 0.8631
e 137 | malicious users: 5 | test acc 0.7235 test loss 0.735489 best test_acc 0.8631
e 138 | malicious users: 5 | test acc 0.6833 test loss 0.824022 best test_acc 0.8631
e 139 | malicious users: 5 | test acc 0.8632 test loss 0.653591 best test_acc 0.8632
e 140 | malicious users: 5 | test acc 0.7510 test loss 0.796583 best test_acc 0.8632
e 141 | malicious users: 5 | test acc 0.6821 test loss 0.800659 best test_acc 0.8632
e 142 | malicious users: 5 | test acc 0.6694 test loss 1.011468 best test_acc 0.8632
e 143 | malicious users: 5 | test acc 0.6172 test loss 1.065249 best test_acc 0.8632
e 144 | malicious users: 5 | test acc 0.6844 test loss 1.081103 best test_acc 0.8632
e 145 | malicious users: 5 | test acc 0.7787 test loss 0.659736 best test_acc 0.8632
e 146 | malicious users: 5 | test acc 0.6572 test loss 1.140643 best test_acc 0.8632
e 147 | malicious users: 5 | test acc 0.7170 test loss 0.884431 best test_acc 0.8632
e 148 | malicious users: 5 | test acc 0.7743 test loss 0.777301 best test_acc 0.8632
e 149 | malicious users: 5 | test acc 0.7370 test loss 0.924604 best test_acc 0.8632
e 150 | malicious users: 5 | test acc 0.7027 test loss 0.897920 best test_acc 0.8632
e 151 | malicious users: 5 | test acc 0.7677 test loss 0.846539 best test_acc 0.8632
e 152 | malicious users: 5 | test acc 0.8667 test loss 0.537573 best test_acc 0.8667
e 153 | malicious users: 5 | test acc 0.8096 test loss 0.953774 best test_acc 0.8667
e 154 | malicious users: 5 | test acc 0.8029 test loss 0.609265 best test_acc 0.8667
