=> Saving data in Logs/FRL~try=817
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3248 test loss 2.210271 best test_acc 0.3248
e 1 | malicious users: 5 | test acc 0.5186 test loss 2.106196 best test_acc 0.5186
e 2 | malicious users: 5 | test acc 0.4588 test loss 1.521440 best test_acc 0.5186
e 3 | malicious users: 5 | test acc 0.5682 test loss 2.044277 best test_acc 0.5682
e 4 | malicious users: 5 | test acc 0.5213 test loss 1.334435 best test_acc 0.5682
e 5 | malicious users: 5 | test acc 0.5482 test loss 1.363288 best test_acc 0.5682
e 6 | malicious users: 5 | test acc 0.6948 test loss 0.958845 best test_acc 0.6948
e 7 | malicious users: 5 | test acc 0.5853 test loss 1.197254 best test_acc 0.6948
e 8 | malicious users: 5 | test acc 0.5544 test loss 1.144653 best test_acc 0.6948
e 9 | malicious users: 5 | test acc 0.6063 test loss 1.174275 best test_acc 0.6948
e 10 | malicious users: 5 | test acc 0.6009 test loss 1.015119 best test_acc 0.6948
e 11 | malicious users: 5 | test acc 0.5614 test loss 1.206712 best test_acc 0.6948
e 12 | malicious users: 5 | test acc 0.5908 test loss 1.039992 best test_acc 0.6948
e 13 | malicious users: 5 | test acc 0.6567 test loss 1.039497 best test_acc 0.6948
e 14 | malicious users: 5 | test acc 0.5516 test loss 1.119087 best test_acc 0.6948
e 15 | malicious users: 5 | test acc 0.6670 test loss 0.971122 best test_acc 0.6948
e 16 | malicious users: 5 | test acc 0.7511 test loss 0.866522 best test_acc 0.7511
e 17 | malicious users: 5 | test acc 0.7462 test loss 0.724518 best test_acc 0.7511
e 18 | malicious users: 5 | test acc 0.6854 test loss 0.933080 best test_acc 0.7511
e 19 | malicious users: 5 | test acc 0.6034 test loss 1.011004 best test_acc 0.7511
e 20 | malicious users: 5 | test acc 0.5237 test loss 1.308508 best test_acc 0.7511
e 21 | malicious users: 5 | test acc 0.7294 test loss 0.879520 best test_acc 0.7511
e 22 | malicious users: 5 | test acc 0.5345 test loss 1.197038 best test_acc 0.7511
e 23 | malicious users: 5 | test acc 0.6925 test loss 0.859378 best test_acc 0.7511
e 24 | malicious users: 5 | test acc 0.6810 test loss 1.107406 best test_acc 0.7511
e 25 | malicious users: 5 | test acc 0.7046 test loss 0.861107 best test_acc 0.7511
e 26 | malicious users: 5 | test acc 0.6910 test loss 0.955952 best test_acc 0.7511
e 27 | malicious users: 5 | test acc 0.7528 test loss 0.755131 best test_acc 0.7528
e 28 | malicious users: 5 | test acc 0.6855 test loss 0.845077 best test_acc 0.7528
e 29 | malicious users: 5 | test acc 0.7075 test loss 0.802725 best test_acc 0.7528
e 30 | malicious users: 5 | test acc 0.7233 test loss 0.848803 best test_acc 0.7528
e 31 | malicious users: 5 | test acc 0.7524 test loss 0.745708 best test_acc 0.7528
e 32 | malicious users: 5 | test acc 0.8581 test loss 0.557203 best test_acc 0.8581
e 33 | malicious users: 5 | test acc 0.8707 test loss 0.669612 best test_acc 0.8707
e 34 | malicious users: 5 | test acc 0.7167 test loss 0.971922 best test_acc 0.8707
e 35 | malicious users: 5 | test acc 0.7683 test loss 0.758177 best test_acc 0.8707
e 36 | malicious users: 5 | test acc 0.7206 test loss 0.823074 best test_acc 0.8707
e 37 | malicious users: 5 | test acc 0.5715 test loss 1.143075 best test_acc 0.8707
e 38 | malicious users: 5 | test acc 0.7820 test loss 0.658219 best test_acc 0.8707
e 39 | malicious users: 5 | test acc 0.6754 test loss 1.074400 best test_acc 0.8707
e 40 | malicious users: 5 | test acc 0.7532 test loss 0.745514 best test_acc 0.8707
e 41 | malicious users: 5 | test acc 0.6811 test loss 1.221497 best test_acc 0.8707
e 42 | malicious users: 5 | test acc 0.8206 test loss 0.582694 best test_acc 0.8707
e 43 | malicious users: 5 | test acc 0.6277 test loss 0.980504 best test_acc 0.8707
e 44 | malicious users: 5 | test acc 0.6343 test loss 0.961134 best test_acc 0.8707
e 45 | malicious users: 5 | test acc 0.6147 test loss 1.113178 best test_acc 0.8707
e 46 | malicious users: 5 | test acc 0.7385 test loss 0.746244 best test_acc 0.8707
e 47 | malicious users: 5 | test acc 0.7383 test loss 0.854571 best test_acc 0.8707
e 48 | malicious users: 5 | test acc 0.6384 test loss 0.963381 best test_acc 0.8707
e 49 | malicious users: 5 | test acc 0.7844 test loss 0.697087 best test_acc 0.8707
e 50 | malicious users: 5 | test acc 0.7506 test loss 0.764721 best test_acc 0.8707
e 51 | malicious users: 5 | test acc 0.6149 test loss 1.038422 best test_acc 0.8707
e 52 | malicious users: 5 | test acc 0.7602 test loss 0.709305 best test_acc 0.8707
e 53 | malicious users: 5 | test acc 0.8240 test loss 0.637306 best test_acc 0.8707
e 54 | malicious users: 5 | test acc 0.7263 test loss 0.955680 best test_acc 0.8707
e 55 | malicious users: 5 | test acc 0.6554 test loss 0.946121 best test_acc 0.8707
e 56 | malicious users: 5 | test acc 0.7741 test loss 0.691078 best test_acc 0.8707
e 57 | malicious users: 5 | test acc 0.7777 test loss 0.801989 best test_acc 0.8707
e 58 | malicious users: 5 | test acc 0.7511 test loss 0.922852 best test_acc 0.8707
e 59 | malicious users: 5 | test acc 0.7455 test loss 0.753942 best test_acc 0.8707
e 60 | malicious users: 5 | test acc 0.7268 test loss 0.712503 best test_acc 0.8707
e 61 | malicious users: 5 | test acc 0.7838 test loss 0.753512 best test_acc 0.8707
e 62 | malicious users: 5 | test acc 0.6937 test loss 0.811721 best test_acc 0.8707
e 63 | malicious users: 5 | test acc 0.7556 test loss 0.834125 best test_acc 0.8707
e 64 | malicious users: 5 | test acc 0.8043 test loss 0.534386 best test_acc 0.8707
e 65 | malicious users: 5 | test acc 0.7733 test loss 0.879979 best test_acc 0.8707
e 66 | malicious users: 5 | test acc 0.7812 test loss 0.649888 best test_acc 0.8707
e 67 | malicious users: 5 | test acc 0.7608 test loss 0.763491 best test_acc 0.8707
e 68 | malicious users: 5 | test acc 0.8005 test loss 0.617863 best test_acc 0.8707
e 69 | malicious users: 5 | test acc 0.8122 test loss 0.740513 best test_acc 0.8707
e 70 | malicious users: 5 | test acc 0.7438 test loss 0.800293 best test_acc 0.8707
e 71 | malicious users: 5 | test acc 0.7841 test loss 0.853975 best test_acc 0.8707
e 72 | malicious users: 5 | test acc 0.6592 test loss 0.904776 best test_acc 0.8707
e 73 | malicious users: 5 | test acc 0.7754 test loss 0.792406 best test_acc 0.8707
e 74 | malicious users: 5 | test acc 0.7954 test loss 0.673399 best test_acc 0.8707
e 75 | malicious users: 5 | test acc 0.7103 test loss 0.808546 best test_acc 0.8707
e 76 | malicious users: 5 | test acc 0.7017 test loss 0.986191 best test_acc 0.8707
e 77 | malicious users: 5 | test acc 0.5730 test loss 0.989294 best test_acc 0.8707
e 78 | malicious users: 5 | test acc 0.6619 test loss 0.897284 best test_acc 0.8707
