=> Saving data in Logs/FRL~try=826
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 6 | test acc 0.1931 test loss 2.262490 best test_acc 0.1931
e 1 | malicious users: 4 | test acc 0.3567 test loss 2.219010 best test_acc 0.3567
e 2 | malicious users: 7 | test acc 0.3739 test loss 2.003899 best test_acc 0.3739
e 3 | malicious users: 5 | test acc 0.4426 test loss 1.958606 best test_acc 0.4426
e 4 | malicious users: 3 | test acc 0.5864 test loss 1.693825 best test_acc 0.5864
e 5 | malicious users: 6 | test acc 0.6081 test loss 1.579295 best test_acc 0.6081
e 6 | malicious users: 6 | test acc 0.6054 test loss 1.614163 best test_acc 0.6081
e 7 | malicious users: 5 | test acc 0.7116 test loss 1.367373 best test_acc 0.7116
e 8 | malicious users: 3 | test acc 0.5740 test loss 1.292016 best test_acc 0.7116
e 9 | malicious users: 4 | test acc 0.6221 test loss 1.394429 best test_acc 0.7116
e 10 | malicious users: 5 | test acc 0.7370 test loss 1.164142 best test_acc 0.7370
e 11 | malicious users: 2 | test acc 0.6459 test loss 1.127227 best test_acc 0.7370
e 12 | malicious users: 6 | test acc 0.7701 test loss 0.998489 best test_acc 0.7701
e 13 | malicious users: 7 | test acc 0.6782 test loss 1.244343 best test_acc 0.7701
e 14 | malicious users: 8 | test acc 0.5487 test loss 1.346370 best test_acc 0.7701
e 15 | malicious users: 5 | test acc 0.6788 test loss 0.969954 best test_acc 0.7701
e 16 | malicious users: 10 | test acc 0.6904 test loss 1.368714 best test_acc 0.7701
e 17 | malicious users: 6 | test acc 0.7746 test loss 0.930758 best test_acc 0.7746
e 18 | malicious users: 6 | test acc 0.7513 test loss 0.999005 best test_acc 0.7746
e 19 | malicious users: 5 | test acc 0.7939 test loss 1.001361 best test_acc 0.7939
e 20 | malicious users: 3 | test acc 0.7467 test loss 0.853311 best test_acc 0.7939
e 21 | malicious users: 5 | test acc 0.7953 test loss 0.806408 best test_acc 0.7953
e 22 | malicious users: 1 | test acc 0.7827 test loss 0.761301 best test_acc 0.7953
e 23 | malicious users: 8 | test acc 0.7713 test loss 1.193674 best test_acc 0.7953
e 24 | malicious users: 5 | test acc 0.6898 test loss 0.877788 best test_acc 0.7953
e 25 | malicious users: 5 | test acc 0.8077 test loss 0.787498 best test_acc 0.8077
e 26 | malicious users: 3 | test acc 0.8052 test loss 0.708571 best test_acc 0.8077
e 27 | malicious users: 2 | test acc 0.8303 test loss 0.855066 best test_acc 0.8303
e 28 | malicious users: 2 | test acc 0.8880 test loss 0.711785 best test_acc 0.8880
e 29 | malicious users: 4 | test acc 0.8523 test loss 0.551372 best test_acc 0.8880
e 30 | malicious users: 8 | test acc 0.6605 test loss 1.346598 best test_acc 0.8880
e 31 | malicious users: 5 | test acc 0.7556 test loss 0.857627 best test_acc 0.8880
e 32 | malicious users: 4 | test acc 0.8262 test loss 0.614028 best test_acc 0.8880
e 33 | malicious users: 4 | test acc 0.7821 test loss 0.839247 best test_acc 0.8880
e 34 | malicious users: 4 | test acc 0.8989 test loss 0.630027 best test_acc 0.8989
e 35 | malicious users: 9 | test acc 0.6964 test loss 1.295853 best test_acc 0.8989
e 36 | malicious users: 5 | test acc 0.8119 test loss 0.851144 best test_acc 0.8989
e 37 | malicious users: 9 | test acc 0.7954 test loss 1.287497 best test_acc 0.8989
e 38 | malicious users: 3 | test acc 0.8426 test loss 0.649437 best test_acc 0.8989
e 39 | malicious users: 7 | test acc 0.6719 test loss 1.346828 best test_acc 0.8989
e 40 | malicious users: 7 | test acc 0.8081 test loss 0.925582 best test_acc 0.8989
e 41 | malicious users: 2 | test acc 0.8690 test loss 0.599447 best test_acc 0.8989
e 42 | malicious users: 8 | test acc 0.6679 test loss 1.283727 best test_acc 0.8989
