=> Saving data in Logs/FRL~try=830
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 3 | test acc 0.0976 test loss 2.276965 best test_acc 0.0976
e 1 | malicious users: 7 | test acc 0.1046 test loss 2.286252 best test_acc 0.1046
e 2 | malicious users: 4 | test acc 0.2207 test loss 2.246165 best test_acc 0.2207
e 3 | malicious users: 6 | test acc 0.3893 test loss 2.243595 best test_acc 0.3893
e 4 | malicious users: 9 | test acc 0.4645 test loss 2.190464 best test_acc 0.4645
e 5 | malicious users: 6 | test acc 0.4359 test loss 2.111785 best test_acc 0.4645
e 6 | malicious users: 4 | test acc 0.4024 test loss 2.049554 best test_acc 0.4645
e 7 | malicious users: 4 | test acc 0.6567 test loss 2.016510 best test_acc 0.6567
e 8 | malicious users: 6 | test acc 0.2599 test loss 2.030545 best test_acc 0.6567
e 9 | malicious users: 5 | test acc 0.5068 test loss 1.893003 best test_acc 0.6567
e 10 | malicious users: 6 | test acc 0.5393 test loss 1.835477 best test_acc 0.6567
e 11 | malicious users: 5 | test acc 0.5832 test loss 1.957133 best test_acc 0.6567
e 12 | malicious users: 5 | test acc 0.5853 test loss 1.658538 best test_acc 0.6567
e 13 | malicious users: 7 | test acc 0.5595 test loss 1.723138 best test_acc 0.6567
e 14 | malicious users: 2 | test acc 0.6672 test loss 1.521013 best test_acc 0.6672
e 15 | malicious users: 6 | test acc 0.6342 test loss 1.687241 best test_acc 0.6672
e 16 | malicious users: 7 | test acc 0.3834 test loss 1.643914 best test_acc 0.6672
e 17 | malicious users: 3 | test acc 0.7118 test loss 1.481785 best test_acc 0.7118
e 18 | malicious users: 5 | test acc 0.4600 test loss 1.571005 best test_acc 0.7118
e 19 | malicious users: 6 | test acc 0.5945 test loss 1.541900 best test_acc 0.7118
e 20 | malicious users: 4 | test acc 0.6772 test loss 1.497555 best test_acc 0.7118
e 21 | malicious users: 3 | test acc 0.6772 test loss 1.373855 best test_acc 0.7118
e 22 | malicious users: 5 | test acc 0.7108 test loss 1.460306 best test_acc 0.7118
e 23 | malicious users: 10 | test acc 0.6791 test loss 1.502588 best test_acc 0.7118
e 24 | malicious users: 4 | test acc 0.7804 test loss 1.288488 best test_acc 0.7804
e 25 | malicious users: 7 | test acc 0.4806 test loss 1.529116 best test_acc 0.7804
e 26 | malicious users: 7 | test acc 0.6927 test loss 1.470611 best test_acc 0.7804
e 27 | malicious users: 4 | test acc 0.7465 test loss 1.249056 best test_acc 0.7804
e 28 | malicious users: 9 | test acc 0.5968 test loss 1.501278 best test_acc 0.7804
e 29 | malicious users: 6 | test acc 0.7413 test loss 1.420249 best test_acc 0.7804
e 30 | malicious users: 6 | test acc 0.7482 test loss 1.333731 best test_acc 0.7804
e 31 | malicious users: 4 | test acc 0.6904 test loss 1.271933 best test_acc 0.7804
e 32 | malicious users: 4 | test acc 0.8761 test loss 1.174104 best test_acc 0.8761
e 33 | malicious users: 5 | test acc 0.5477 test loss 1.500893 best test_acc 0.8761
e 34 | malicious users: 3 | test acc 0.8521 test loss 1.305705 best test_acc 0.8761
e 35 | malicious users: 4 | test acc 0.7745 test loss 1.198441 best test_acc 0.8761
e 36 | malicious users: 2 | test acc 0.7514 test loss 1.290791 best test_acc 0.8761
e 37 | malicious users: 4 | test acc 0.8031 test loss 1.221162 best test_acc 0.8761
e 38 | malicious users: 7 | test acc 0.8270 test loss 1.220274 best test_acc 0.8761
e 39 | malicious users: 4 | test acc 0.8680 test loss 1.225015 best test_acc 0.8761
e 40 | malicious users: 5 | test acc 0.8776 test loss 1.137342 best test_acc 0.8776
e 41 | malicious users: 7 | test acc 0.8511 test loss 1.128300 best test_acc 0.8776
e 42 | malicious users: 3 | test acc 0.8448 test loss 1.407102 best test_acc 0.8776
e 43 | malicious users: 6 | test acc 0.7555 test loss 1.318532 best test_acc 0.8776
e 44 | malicious users: 6 | test acc 0.6271 test loss 1.228998 best test_acc 0.8776
e 45 | malicious users: 7 | test acc 0.7423 test loss 1.161514 best test_acc 0.8776
e 46 | malicious users: 3 | test acc 0.8576 test loss 1.198113 best test_acc 0.8776
e 47 | malicious users: 3 | test acc 0.7818 test loss 1.159035 best test_acc 0.8776
e 48 | malicious users: 7 | test acc 0.7535 test loss 1.200878 best test_acc 0.8776
e 49 | malicious users: 5 | test acc 0.7840 test loss 1.308410 best test_acc 0.8776
e 50 | malicious users: 4 | test acc 0.7262 test loss 1.169022 best test_acc 0.8776
e 51 | malicious users: 6 | test acc 0.8770 test loss 1.361381 best test_acc 0.8776
e 52 | malicious users: 4 | test acc 0.8296 test loss 1.078042 best test_acc 0.8776
e 53 | malicious users: 5 | test acc 0.8326 test loss 1.067311 best test_acc 0.8776
e 54 | malicious users: 5 | test acc 0.8535 test loss 0.992176 best test_acc 0.8776
e 55 | malicious users: 3 | test acc 0.9051 test loss 1.057060 best test_acc 0.9051
e 56 | malicious users: 4 | test acc 0.8723 test loss 1.008832 best test_acc 0.9051
e 57 | malicious users: 3 | test acc 0.8347 test loss 1.046787 best test_acc 0.9051
e 58 | malicious users: 5 | test acc 0.7739 test loss 1.198910 best test_acc 0.9051
e 59 | malicious users: 5 | test acc 0.8276 test loss 1.044265 best test_acc 0.9051
e 60 | malicious users: 2 | test acc 0.8860 test loss 1.107128 best test_acc 0.9051
e 61 | malicious users: 6 | test acc 0.8710 test loss 1.167971 best test_acc 0.9051
e 62 | malicious users: 1 | test acc 0.8997 test loss 0.795059 best test_acc 0.9051
e 63 | malicious users: 4 | test acc 0.7893 test loss 1.043677 best test_acc 0.9051
e 64 | malicious users: 5 | test acc 0.7401 test loss 1.196887 best test_acc 0.9051
e 65 | malicious users: 6 | test acc 0.8251 test loss 1.111532 best test_acc 0.9051
e 66 | malicious users: 4 | test acc 0.8897 test loss 0.980182 best test_acc 0.9051
e 67 | malicious users: 5 | test acc 0.8725 test loss 1.070908 best test_acc 0.9051
e 68 | malicious users: 4 | test acc 0.8621 test loss 0.961358 best test_acc 0.9051
e 69 | malicious users: 3 | test acc 0.8597 test loss 1.127398 best test_acc 0.9051
e 70 | malicious users: 9 | test acc 0.6188 test loss 1.145874 best test_acc 0.9051
e 71 | malicious users: 5 | test acc 0.8164 test loss 1.073720 best test_acc 0.9051
e 72 | malicious users: 2 | test acc 0.8991 test loss 0.881982 best test_acc 0.9051
e 73 | malicious users: 7 | test acc 0.5879 test loss 1.272525 best test_acc 0.9051
e 74 | malicious users: 7 | test acc 0.8512 test loss 1.127077 best test_acc 0.9051
e 75 | malicious users: 6 | test acc 0.8934 test loss 1.004376 best test_acc 0.9051
e 76 | malicious users: 4 | test acc 0.8522 test loss 1.086316 best test_acc 0.9051
e 77 | malicious users: 2 | test acc 0.8825 test loss 0.823543 best test_acc 0.9051
e 78 | malicious users: 3 | test acc 0.8596 test loss 0.982822 best test_acc 0.9051
e 79 | malicious users: 6 | test acc 0.8672 test loss 0.977804 best test_acc 0.9051
e 80 | malicious users: 4 | test acc 0.7811 test loss 0.970339 best test_acc 0.9051
e 81 | malicious users: 2 | test acc 0.8888 test loss 0.964514 best test_acc 0.9051
e 82 | malicious users: 4 | test acc 0.9177 test loss 0.899000 best test_acc 0.9177
e 83 | malicious users: 3 | test acc 0.8344 test loss 0.880619 best test_acc 0.9177
e 84 | malicious users: 4 | test acc 0.8239 test loss 1.099559 best test_acc 0.9177
e 85 | malicious users: 7 | test acc 0.7890 test loss 1.149768 best test_acc 0.9177
e 86 | malicious users: 7 | test acc 0.8566 test loss 0.978650 best test_acc 0.9177
e 87 | malicious users: 4 | test acc 0.8622 test loss 1.012884 best test_acc 0.9177
e 88 | malicious users: 5 | test acc 0.8027 test loss 1.208675 best test_acc 0.9177
