=> Saving data in Logs/FRL~try=831
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 7 | test acc 0.2582 test loss 2.269855 best test_acc 0.2582
e 1 | malicious users: 3 | test acc 0.2701 test loss 2.208522 best test_acc 0.2701
e 2 | malicious users: 5 | test acc 0.4912 test loss 2.096120 best test_acc 0.4912
e 3 | malicious users: 5 | test acc 0.4001 test loss 1.967231 best test_acc 0.4912
e 4 | malicious users: 6 | test acc 0.4038 test loss 1.765208 best test_acc 0.4912
e 5 | malicious users: 5 | test acc 0.6129 test loss 1.789575 best test_acc 0.6129
e 6 | malicious users: 1 | test acc 0.5664 test loss 1.621430 best test_acc 0.6129
e 7 | malicious users: 5 | test acc 0.5013 test loss 1.527815 best test_acc 0.6129
e 8 | malicious users: 8 | test acc 0.6986 test loss 1.333881 best test_acc 0.6986
e 9 | malicious users: 7 | test acc 0.7115 test loss 1.764395 best test_acc 0.7115
e 10 | malicious users: 7 | test acc 0.6398 test loss 1.320940 best test_acc 0.7115
e 11 | malicious users: 6 | test acc 0.7742 test loss 1.508776 best test_acc 0.7742
e 12 | malicious users: 6 | test acc 0.6909 test loss 1.510306 best test_acc 0.7742
e 13 | malicious users: 3 | test acc 0.7104 test loss 1.058292 best test_acc 0.7742
e 14 | malicious users: 6 | test acc 0.5877 test loss 1.452883 best test_acc 0.7742
e 15 | malicious users: 6 | test acc 0.8341 test loss 1.347516 best test_acc 0.8341
e 16 | malicious users: 4 | test acc 0.6493 test loss 1.301115 best test_acc 0.8341
e 17 | malicious users: 7 | test acc 0.8026 test loss 1.048296 best test_acc 0.8341
e 18 | malicious users: 8 | test acc 0.7812 test loss 1.269825 best test_acc 0.8341
e 19 | malicious users: 8 | test acc 0.7801 test loss 1.463618 best test_acc 0.8341
e 20 | malicious users: 2 | test acc 0.7814 test loss 1.108901 best test_acc 0.8341
e 21 | malicious users: 4 | test acc 0.8077 test loss 1.013696 best test_acc 0.8341
e 22 | malicious users: 6 | test acc 0.8719 test loss 1.163442 best test_acc 0.8719
e 23 | malicious users: 6 | test acc 0.8043 test loss 1.100634 best test_acc 0.8719
e 24 | malicious users: 5 | test acc 0.7317 test loss 1.105188 best test_acc 0.8719
e 25 | malicious users: 4 | test acc 0.7420 test loss 0.824369 best test_acc 0.8719
e 26 | malicious users: 5 | test acc 0.7826 test loss 0.805973 best test_acc 0.8719
e 27 | malicious users: 3 | test acc 0.7187 test loss 0.873567 best test_acc 0.8719
e 28 | malicious users: 8 | test acc 0.6437 test loss 1.570648 best test_acc 0.8719
e 29 | malicious users: 2 | test acc 0.8132 test loss 0.699835 best test_acc 0.8719
e 30 | malicious users: 4 | test acc 0.8300 test loss 1.020694 best test_acc 0.8719
e 31 | malicious users: 5 | test acc 0.8740 test loss 0.849799 best test_acc 0.8740
e 32 | malicious users: 8 | test acc 0.6960 test loss 1.246751 best test_acc 0.8740
e 33 | malicious users: 5 | test acc 0.8168 test loss 0.969050 best test_acc 0.8740
e 34 | malicious users: 4 | test acc 0.7844 test loss 0.875584 best test_acc 0.8740
e 35 | malicious users: 5 | test acc 0.8088 test loss 0.873477 best test_acc 0.8740
e 36 | malicious users: 2 | test acc 0.8136 test loss 0.740580 best test_acc 0.8740
e 37 | malicious users: 4 | test acc 0.6867 test loss 0.915969 best test_acc 0.8740
e 38 | malicious users: 5 | test acc 0.8158 test loss 0.803686 best test_acc 0.8740
e 39 | malicious users: 6 | test acc 0.8761 test loss 1.022607 best test_acc 0.8761
e 40 | malicious users: 3 | test acc 0.8378 test loss 0.613470 best test_acc 0.8761
e 41 | malicious users: 7 | test acc 0.7601 test loss 0.969518 best test_acc 0.8761
e 42 | malicious users: 6 | test acc 0.7934 test loss 0.927706 best test_acc 0.8761
e 43 | malicious users: 7 | test acc 0.8861 test loss 0.837868 best test_acc 0.8861
e 44 | malicious users: 3 | test acc 0.8012 test loss 0.982361 best test_acc 0.8861
e 45 | malicious users: 12 | test acc 0.6928 test loss 1.520451 best test_acc 0.8861
e 46 | malicious users: 7 | test acc 0.7609 test loss 0.988515 best test_acc 0.8861
e 47 | malicious users: 3 | test acc 0.7777 test loss 0.837561 best test_acc 0.8861
e 48 | malicious users: 6 | test acc 0.8772 test loss 0.868076 best test_acc 0.8861
e 49 | malicious users: 5 | test acc 0.7692 test loss 1.049415 best test_acc 0.8861
e 50 | malicious users: 8 | test acc 0.6906 test loss 1.082682 best test_acc 0.8861
e 51 | malicious users: 4 | test acc 0.7038 test loss 1.078877 best test_acc 0.8861
e 52 | malicious users: 3 | test acc 0.8584 test loss 0.675759 best test_acc 0.8861
e 53 | malicious users: 4 | test acc 0.7874 test loss 0.851279 best test_acc 0.8861
