=> Saving data in Logs/FRL~try=841
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2231 test loss 2.264675 best test_acc 0.2231
e 1 | malicious users: 4 | test acc 0.1751 test loss 2.198213 best test_acc 0.2231
e 2 | malicious users: 5 | test acc 0.4328 test loss 2.094514 best test_acc 0.4328
e 3 | malicious users: 0 | test acc 0.5623 test loss 1.850976 best test_acc 0.5623
e 4 | malicious users: 3 | test acc 0.4498 test loss 1.663458 best test_acc 0.5623
e 5 | malicious users: 8 | test acc 0.5535 test loss 1.795869 best test_acc 0.5623
e 6 | malicious users: 7 | test acc 0.6113 test loss 1.530849 best test_acc 0.6113
e 7 | malicious users: 3 | test acc 0.5091 test loss 1.514628 best test_acc 0.6113
e 8 | malicious users: 5 | test acc 0.6718 test loss 1.361445 best test_acc 0.6718
e 9 | malicious users: 7 | test acc 0.7145 test loss 1.329381 best test_acc 0.7145
e 10 | malicious users: 2 | test acc 0.7610 test loss 1.078143 best test_acc 0.7610
e 11 | malicious users: 6 | test acc 0.7703 test loss 1.235944 best test_acc 0.7703
e 12 | malicious users: 3 | test acc 0.6649 test loss 1.066702 best test_acc 0.7703
e 13 | malicious users: 3 | test acc 0.7009 test loss 1.126534 best test_acc 0.7703
e 14 | malicious users: 9 | test acc 0.7764 test loss 1.241314 best test_acc 0.7764
e 15 | malicious users: 6 | test acc 0.7668 test loss 1.026067 best test_acc 0.7764
e 16 | malicious users: 5 | test acc 0.8148 test loss 1.012944 best test_acc 0.8148
e 17 | malicious users: 7 | test acc 0.6839 test loss 1.187257 best test_acc 0.8148
e 18 | malicious users: 6 | test acc 0.8048 test loss 0.945092 best test_acc 0.8148
e 19 | malicious users: 6 | test acc 0.7525 test loss 1.054749 best test_acc 0.8148
e 20 | malicious users: 5 | test acc 0.6795 test loss 0.969028 best test_acc 0.8148
e 21 | malicious users: 5 | test acc 0.8033 test loss 0.906401 best test_acc 0.8148
e 22 | malicious users: 8 | test acc 0.7719 test loss 0.970985 best test_acc 0.8148
e 23 | malicious users: 3 | test acc 0.7426 test loss 0.857009 best test_acc 0.8148
e 24 | malicious users: 7 | test acc 0.8145 test loss 0.851506 best test_acc 0.8148
e 25 | malicious users: 5 | test acc 0.7494 test loss 0.817660 best test_acc 0.8148
e 26 | malicious users: 2 | test acc 0.7896 test loss 0.863295 best test_acc 0.8148
e 27 | malicious users: 2 | test acc 0.8102 test loss 0.573457 best test_acc 0.8148
e 28 | malicious users: 2 | test acc 0.8337 test loss 0.731815 best test_acc 0.8337
e 29 | malicious users: 6 | test acc 0.7667 test loss 1.328317 best test_acc 0.8337
e 30 | malicious users: 7 | test acc 0.8594 test loss 0.962678 best test_acc 0.8594
e 31 | malicious users: 6 | test acc 0.7992 test loss 0.888126 best test_acc 0.8594
e 32 | malicious users: 3 | test acc 0.8007 test loss 0.702994 best test_acc 0.8594
e 33 | malicious users: 9 | test acc 0.6380 test loss 1.424503 best test_acc 0.8594
e 34 | malicious users: 5 | test acc 0.8354 test loss 0.950780 best test_acc 0.8594
e 35 | malicious users: 6 | test acc 0.7904 test loss 1.011840 best test_acc 0.8594
e 36 | malicious users: 4 | test acc 0.7722 test loss 0.722273 best test_acc 0.8594
e 37 | malicious users: 4 | test acc 0.8259 test loss 0.619628 best test_acc 0.8594
e 38 | malicious users: 10 | test acc 0.6145 test loss 1.496451 best test_acc 0.8594
e 39 | malicious users: 3 | test acc 0.8830 test loss 0.541056 best test_acc 0.8830
e 40 | malicious users: 4 | test acc 0.8376 test loss 0.894104 best test_acc 0.8830
e 41 | malicious users: 8 | test acc 0.7654 test loss 1.006519 best test_acc 0.8830
e 42 | malicious users: 4 | test acc 0.8700 test loss 0.567919 best test_acc 0.8830
e 43 | malicious users: 2 | test acc 0.8445 test loss 0.637574 best test_acc 0.8830
e 44 | malicious users: 8 | test acc 0.7718 test loss 1.191119 best test_acc 0.8830
e 45 | malicious users: 7 | test acc 0.8288 test loss 0.939760 best test_acc 0.8830
e 46 | malicious users: 5 | test acc 0.7501 test loss 0.777055 best test_acc 0.8830
e 47 | malicious users: 1 | test acc 0.8136 test loss 0.728216 best test_acc 0.8830
e 48 | malicious users: 5 | test acc 0.8287 test loss 0.781474 best test_acc 0.8830
e 49 | malicious users: 6 | test acc 0.7777 test loss 0.875690 best test_acc 0.8830
e 50 | malicious users: 4 | test acc 0.8471 test loss 0.620196 best test_acc 0.8830
e 51 | malicious users: 5 | test acc 0.8106 test loss 0.794709 best test_acc 0.8830
e 52 | malicious users: 4 | test acc 0.8434 test loss 0.542590 best test_acc 0.8830
e 53 | malicious users: 7 | test acc 0.8505 test loss 0.834308 best test_acc 0.8830
e 54 | malicious users: 5 | test acc 0.8676 test loss 0.455097 best test_acc 0.8830
e 55 | malicious users: 5 | test acc 0.8820 test loss 0.611028 best test_acc 0.8830
e 56 | malicious users: 3 | test acc 0.8385 test loss 0.533815 best test_acc 0.8830
e 57 | malicious users: 8 | test acc 0.7782 test loss 0.851906 best test_acc 0.8830
e 58 | malicious users: 9 | test acc 0.6974 test loss 1.102144 best test_acc 0.8830
e 59 | malicious users: 4 | test acc 0.8482 test loss 0.710809 best test_acc 0.8830
e 60 | malicious users: 8 | test acc 0.7293 test loss 1.243035 best test_acc 0.8830
e 61 | malicious users: 7 | test acc 0.8277 test loss 0.746285 best test_acc 0.8830
e 62 | malicious users: 10 | test acc 0.6459 test loss 1.255449 best test_acc 0.8830
e 63 | malicious users: 5 | test acc 0.8854 test loss 0.692955 best test_acc 0.8854
e 64 | malicious users: 5 | test acc 0.9112 test loss 0.455407 best test_acc 0.9112
e 65 | malicious users: 4 | test acc 0.8618 test loss 0.492078 best test_acc 0.9112
e 66 | malicious users: 4 | test acc 0.6927 test loss 0.820402 best test_acc 0.9112
e 67 | malicious users: 6 | test acc 0.8479 test loss 0.694243 best test_acc 0.9112
e 68 | malicious users: 4 | test acc 0.8129 test loss 0.665312 best test_acc 0.9112
e 69 | malicious users: 6 | test acc 0.8788 test loss 0.736090 best test_acc 0.9112
e 70 | malicious users: 5 | test acc 0.8486 test loss 0.667931 best test_acc 0.9112
