=> Saving data in Logs/FRL~try=846
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1013 test loss 2.282551 best test_acc 0.1013
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 2 | test acc 0.1279 test loss 2.254439 best test_acc 0.1279
e 2 | malicious users: 6 | test acc 0.4132 test loss 2.205093 best test_acc 0.4132
e 3 | malicious users: 4 | test acc 0.3835 test loss 2.155416 best test_acc 0.4132
e 4 | malicious users: 2 | test acc 0.4701 test loss 2.116426 best test_acc 0.4701
e 5 | malicious users: 4 | test acc 0.5458 test loss 2.067341 best test_acc 0.5458
e 6 | malicious users: 4 | test acc 0.3923 test loss 1.969156 best test_acc 0.5458
e 7 | malicious users: 4 | test acc 0.4283 test loss 1.775618 best test_acc 0.5458
e 8 | malicious users: 5 | test acc 0.4615 test loss 1.918111 best test_acc 0.5458
e 9 | malicious users: 2 | test acc 0.5221 test loss 1.838052 best test_acc 0.5458
e 10 | malicious users: 4 | test acc 0.6300 test loss 1.580598 best test_acc 0.6300
e 11 | malicious users: 1 | test acc 0.5945 test loss 1.646236 best test_acc 0.6300
e 12 | malicious users: 6 | test acc 0.5819 test loss 1.739887 best test_acc 0.6300
e 13 | malicious users: 3 | test acc 0.6567 test loss 1.537999 best test_acc 0.6567
e 14 | malicious users: 4 | test acc 0.7230 test loss 1.523330 best test_acc 0.7230
e 15 | malicious users: 6 | test acc 0.5713 test loss 1.512154 best test_acc 0.7230
e 16 | malicious users: 11 | test acc 0.4694 test loss 1.642504 best test_acc 0.7230
e 17 | malicious users: 6 | test acc 0.5942 test loss 1.609285 best test_acc 0.7230
e 18 | malicious users: 3 | test acc 0.6592 test loss 1.594704 best test_acc 0.7230
