=> Saving data in Logs/FRL~try=850
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 3 | test acc 0.1020 test loss 2.263485 best test_acc 0.1020
e 1 | malicious users: 6 | test acc 0.4169 test loss 2.132926 best test_acc 0.4169
e 2 | malicious users: 6 | test acc 0.5960 test loss 1.836286 best test_acc 0.5960
e 3 | malicious users: 4 | test acc 0.5609 test loss 1.639450 best test_acc 0.5960
e 4 | malicious users: 5 | test acc 0.5344 test loss 1.488675 best test_acc 0.5960
e 5 | malicious users: 6 | test acc 0.7345 test loss 1.367583 best test_acc 0.7345
e 6 | malicious users: 5 | test acc 0.6434 test loss 1.067577 best test_acc 0.7345
e 7 | malicious users: 4 | test acc 0.7232 test loss 0.882333 best test_acc 0.7345
e 8 | malicious users: 5 | test acc 0.6196 test loss 1.139533 best test_acc 0.7345
e 9 | malicious users: 6 | test acc 0.6423 test loss 1.197794 best test_acc 0.7345
e 10 | malicious users: 8 | test acc 0.5290 test loss 1.180918 best test_acc 0.7345
e 11 | malicious users: 5 | test acc 0.7256 test loss 0.894676 best test_acc 0.7345
e 12 | malicious users: 4 | test acc 0.7235 test loss 0.822633 best test_acc 0.7345
e 13 | malicious users: 6 | test acc 0.7546 test loss 0.799343 best test_acc 0.7546
e 14 | malicious users: 4 | test acc 0.8589 test loss 0.511282 best test_acc 0.8589
e 15 | malicious users: 3 | test acc 0.8632 test loss 0.640872 best test_acc 0.8632
e 16 | malicious users: 6 | test acc 0.7961 test loss 0.684466 best test_acc 0.8632
e 17 | malicious users: 7 | test acc 0.6854 test loss 1.024835 best test_acc 0.8632
e 18 | malicious users: 7 | test acc 0.6818 test loss 1.055646 best test_acc 0.8632
e 19 | malicious users: 2 | test acc 0.8930 test loss 0.454731 best test_acc 0.8930
e 20 | malicious users: 7 | test acc 0.6062 test loss 1.115418 best test_acc 0.8930
e 21 | malicious users: 4 | test acc 0.9190 test loss 0.362682 best test_acc 0.9190
e 22 | malicious users: 7 | test acc 0.6101 test loss 1.168049 best test_acc 0.9190
e 23 | malicious users: 5 | test acc 0.8741 test loss 0.467303 best test_acc 0.9190
e 24 | malicious users: 3 | test acc 0.8333 test loss 0.557473 best test_acc 0.9190
e 25 | malicious users: 5 | test acc 0.7177 test loss 0.871917 best test_acc 0.9190
e 26 | malicious users: 4 | test acc 0.8087 test loss 0.492355 best test_acc 0.9190
e 27 | malicious users: 2 | test acc 0.8379 test loss 0.511734 best test_acc 0.9190
e 28 | malicious users: 4 | test acc 0.9018 test loss 0.432715 best test_acc 0.9190
e 29 | malicious users: 3 | test acc 0.9019 test loss 0.391685 best test_acc 0.9190
e 30 | malicious users: 6 | test acc 0.9133 test loss 0.546610 best test_acc 0.9190
e 31 | malicious users: 6 | test acc 0.7847 test loss 0.663776 best test_acc 0.9190
e 32 | malicious users: 5 | test acc 0.8647 test loss 0.551262 best test_acc 0.9190
e 33 | malicious users: 4 | test acc 0.8588 test loss 0.474702 best test_acc 0.9190
e 34 | malicious users: 4 | test acc 0.8671 test loss 0.435784 best test_acc 0.9190
e 35 | malicious users: 7 | test acc 0.6139 test loss 1.114075 best test_acc 0.9190
e 36 | malicious users: 4 | test acc 0.8503 test loss 0.438003 best test_acc 0.9190
e 37 | malicious users: 6 | test acc 0.7673 test loss 1.002957 best test_acc 0.9190
e 38 | malicious users: 5 | test acc 0.9219 test loss 0.292549 best test_acc 0.9219
e 39 | malicious users: 4 | test acc 0.8430 test loss 0.540890 best test_acc 0.9219
e 40 | malicious users: 5 | test acc 0.8006 test loss 0.580304 best test_acc 0.9219
e 41 | malicious users: 3 | test acc 0.8201 test loss 0.561676 best test_acc 0.9219
e 42 | malicious users: 4 | test acc 0.8003 test loss 0.562548 best test_acc 0.9219
e 43 | malicious users: 3 | test acc 0.8359 test loss 0.572973 best test_acc 0.9219
