=> Saving data in Logs/FRL~try=852
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 9 | test acc 0.1932 test loss 2.278821 best test_acc 0.1932
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 5 | test acc 0.2006 test loss 2.282313 best test_acc 0.2006
e 2 | malicious users: 4 | test acc 0.1945 test loss 2.253088 best test_acc 0.2006
e 3 | malicious users: 8 | test acc 0.3134 test loss 2.211352 best test_acc 0.3134
e 4 | malicious users: 8 | test acc 0.5240 test loss 2.123710 best test_acc 0.5240
e 5 | malicious users: 6 | test acc 0.3069 test loss 2.125658 best test_acc 0.5240
e 6 | malicious users: 1 | test acc 0.3948 test loss 2.086416 best test_acc 0.5240
e 7 | malicious users: 7 | test acc 0.2102 test loss 2.056035 best test_acc 0.5240
e 8 | malicious users: 6 | test acc 0.5212 test loss 1.898187 best test_acc 0.5240
e 9 | malicious users: 6 | test acc 0.5513 test loss 1.932666 best test_acc 0.5513
e 10 | malicious users: 6 | test acc 0.5146 test loss 1.726741 best test_acc 0.5513
e 11 | malicious users: 8 | test acc 0.5416 test loss 1.575227 best test_acc 0.5513
e 12 | malicious users: 6 | test acc 0.5444 test loss 1.603539 best test_acc 0.5513
e 13 | malicious users: 4 | test acc 0.6072 test loss 1.640592 best test_acc 0.6072
e 14 | malicious users: 7 | test acc 0.6285 test loss 1.557225 best test_acc 0.6285
e 15 | malicious users: 7 | test acc 0.4599 test loss 1.543593 best test_acc 0.6285
e 16 | malicious users: 7 | test acc 0.7118 test loss 1.432508 best test_acc 0.7118
e 17 | malicious users: 8 | test acc 0.4433 test loss 1.513998 best test_acc 0.7118
e 18 | malicious users: 7 | test acc 0.7554 test loss 1.425438 best test_acc 0.7554
e 19 | malicious users: 9 | test acc 0.6479 test loss 1.420427 best test_acc 0.7554
e 20 | malicious users: 0 | test acc 0.7835 test loss 1.302073 best test_acc 0.7835
e 21 | malicious users: 6 | test acc 0.7919 test loss 1.398653 best test_acc 0.7919
e 22 | malicious users: 2 | test acc 0.8306 test loss 1.320950 best test_acc 0.8306
e 23 | malicious users: 5 | test acc 0.8263 test loss 1.248135 best test_acc 0.8306
e 24 | malicious users: 3 | test acc 0.8138 test loss 1.195464 best test_acc 0.8306
e 25 | malicious users: 3 | test acc 0.7865 test loss 1.189384 best test_acc 0.8306
e 26 | malicious users: 3 | test acc 0.8012 test loss 1.260838 best test_acc 0.8306
e 27 | malicious users: 5 | test acc 0.8076 test loss 1.319754 best test_acc 0.8306
e 28 | malicious users: 4 | test acc 0.7320 test loss 1.211536 best test_acc 0.8306
e 29 | malicious users: 6 | test acc 0.7581 test loss 1.376948 best test_acc 0.8306
e 30 | malicious users: 5 | test acc 0.7935 test loss 1.038482 best test_acc 0.8306
e 31 | malicious users: 7 | test acc 0.8404 test loss 1.075269 best test_acc 0.8404
e 32 | malicious users: 6 | test acc 0.8622 test loss 1.052057 best test_acc 0.8622
e 33 | malicious users: 4 | test acc 0.8586 test loss 1.198009 best test_acc 0.8622
e 34 | malicious users: 4 | test acc 0.8787 test loss 1.077610 best test_acc 0.8787
e 35 | malicious users: 5 | test acc 0.7718 test loss 1.174070 best test_acc 0.8787
e 36 | malicious users: 2 | test acc 0.8689 test loss 0.915315 best test_acc 0.8787
e 37 | malicious users: 2 | test acc 0.8825 test loss 1.063532 best test_acc 0.8825
e 38 | malicious users: 3 | test acc 0.8772 test loss 1.035686 best test_acc 0.8825
e 39 | malicious users: 2 | test acc 0.8980 test loss 1.090565 best test_acc 0.8980
e 40 | malicious users: 3 | test acc 0.8973 test loss 0.849106 best test_acc 0.8980
e 41 | malicious users: 9 | test acc 0.8500 test loss 1.113985 best test_acc 0.8980
e 42 | malicious users: 5 | test acc 0.8105 test loss 1.052116 best test_acc 0.8980
e 43 | malicious users: 5 | test acc 0.7776 test loss 1.086720 best test_acc 0.8980
e 44 | malicious users: 5 | test acc 0.8830 test loss 1.077541 best test_acc 0.8980
e 45 | malicious users: 6 | test acc 0.8764 test loss 0.950569 best test_acc 0.8980
e 46 | malicious users: 3 | test acc 0.8285 test loss 1.065804 best test_acc 0.8980
e 47 | malicious users: 4 | test acc 0.8216 test loss 0.891706 best test_acc 0.8980
e 48 | malicious users: 4 | test acc 0.8853 test loss 0.865569 best test_acc 0.8980
e 49 | malicious users: 3 | test acc 0.9022 test loss 0.790824 best test_acc 0.9022
e 50 | malicious users: 7 | test acc 0.6505 test loss 1.168288 best test_acc 0.9022
e 51 | malicious users: 6 | test acc 0.8656 test loss 1.108755 best test_acc 0.9022
e 52 | malicious users: 8 | test acc 0.7847 test loss 0.962870 best test_acc 0.9022
e 53 | malicious users: 7 | test acc 0.6890 test loss 1.157287 best test_acc 0.9022
e 54 | malicious users: 5 | test acc 0.8867 test loss 0.994781 best test_acc 0.9022
e 55 | malicious users: 4 | test acc 0.9053 test loss 0.937137 best test_acc 0.9053
e 56 | malicious users: 8 | test acc 0.7239 test loss 1.336575 best test_acc 0.9053
e 57 | malicious users: 3 | test acc 0.8811 test loss 1.080723 best test_acc 0.9053
e 58 | malicious users: 3 | test acc 0.9098 test loss 0.856690 best test_acc 0.9098
e 59 | malicious users: 5 | test acc 0.8714 test loss 0.898777 best test_acc 0.9098
e 60 | malicious users: 8 | test acc 0.8237 test loss 1.259245 best test_acc 0.9098
e 61 | malicious users: 5 | test acc 0.7965 test loss 1.049614 best test_acc 0.9098
e 62 | malicious users: 5 | test acc 0.8713 test loss 0.983995 best test_acc 0.9098
e 63 | malicious users: 5 | test acc 0.9094 test loss 0.865854 best test_acc 0.9098
e 64 | malicious users: 4 | test acc 0.9221 test loss 0.860626 best test_acc 0.9221
e 65 | malicious users: 5 | test acc 0.8484 test loss 1.050492 best test_acc 0.9221
e 66 | malicious users: 6 | test acc 0.8925 test loss 0.896253 best test_acc 0.9221
e 67 | malicious users: 8 | test acc 0.6878 test loss 1.310733 best test_acc 0.9221
e 68 | malicious users: 5 | test acc 0.7959 test loss 1.053133 best test_acc 0.9221
e 69 | malicious users: 3 | test acc 0.8705 test loss 1.103170 best test_acc 0.9221
e 70 | malicious users: 7 | test acc 0.9063 test loss 0.899438 best test_acc 0.9221
e 71 | malicious users: 5 | test acc 0.8622 test loss 0.860303 best test_acc 0.9221
e 72 | malicious users: 8 | test acc 0.8580 test loss 1.261647 best test_acc 0.9221
e 73 | malicious users: 6 | test acc 0.9097 test loss 0.977201 best test_acc 0.9221
e 74 | malicious users: 4 | test acc 0.8925 test loss 1.012257 best test_acc 0.9221
e 75 | malicious users: 1 | test acc 0.8460 test loss 0.777952 best test_acc 0.9221
e 76 | malicious users: 3 | test acc 0.8769 test loss 0.687247 best test_acc 0.9221
e 77 | malicious users: 3 | test acc 0.9008 test loss 0.699489 best test_acc 0.9221
e 78 | malicious users: 8 | test acc 0.7955 test loss 0.952813 best test_acc 0.9221
e 79 | malicious users: 9 | test acc 0.9044 test loss 1.013177 best test_acc 0.9221
e 80 | malicious users: 7 | test acc 0.7802 test loss 1.062995 best test_acc 0.9221
e 81 | malicious users: 7 | test acc 0.9084 test loss 1.081882 best test_acc 0.9221
e 82 | malicious users: 6 | test acc 0.9257 test loss 0.804014 best test_acc 0.9257
e 83 | malicious users: 6 | test acc 0.7745 test loss 0.975587 best test_acc 0.9257
e 84 | malicious users: 5 | test acc 0.9204 test loss 0.739996 best test_acc 0.9257
e 85 | malicious users: 6 | test acc 0.9039 test loss 0.827164 best test_acc 0.9257
e 86 | malicious users: 10 | test acc 0.8543 test loss 0.961529 best test_acc 0.9257
e 87 | malicious users: 4 | test acc 0.8580 test loss 0.787194 best test_acc 0.9257
e 88 | malicious users: 4 | test acc 0.8801 test loss 0.885477 best test_acc 0.9257
e 89 | malicious users: 3 | test acc 0.8568 test loss 0.857210 best test_acc 0.9257
