=> Saving data in Logs/FRL~try=854
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.3008 test loss 2.258708 best test_acc 0.3008
e 1 | malicious users: 8 | test acc 0.1859 test loss 2.209035 best test_acc 0.3008
e 2 | malicious users: 6 | test acc 0.3941 test loss 2.008486 best test_acc 0.3941
e 3 | malicious users: 5 | test acc 0.5275 test loss 1.748362 best test_acc 0.5275
e 4 | malicious users: 4 | test acc 0.6268 test loss 1.478910 best test_acc 0.6268
e 5 | malicious users: 3 | test acc 0.6074 test loss 1.452094 best test_acc 0.6268
e 6 | malicious users: 4 | test acc 0.6294 test loss 1.287041 best test_acc 0.6294
e 7 | malicious users: 6 | test acc 0.5572 test loss 1.267805 best test_acc 0.6294
e 8 | malicious users: 6 | test acc 0.6833 test loss 1.021666 best test_acc 0.6833
e 9 | malicious users: 7 | test acc 0.6436 test loss 1.065594 best test_acc 0.6833
e 10 | malicious users: 10 | test acc 0.5442 test loss 1.482161 best test_acc 0.6833
e 11 | malicious users: 4 | test acc 0.7422 test loss 0.876739 best test_acc 0.7422
e 12 | malicious users: 4 | test acc 0.6455 test loss 0.997964 best test_acc 0.7422
e 13 | malicious users: 5 | test acc 0.8438 test loss 0.860095 best test_acc 0.8438
e 14 | malicious users: 5 | test acc 0.7838 test loss 0.713990 best test_acc 0.8438
e 15 | malicious users: 6 | test acc 0.7047 test loss 0.910878 best test_acc 0.8438
e 16 | malicious users: 8 | test acc 0.6092 test loss 1.270683 best test_acc 0.8438
e 17 | malicious users: 5 | test acc 0.7029 test loss 0.860312 best test_acc 0.8438
e 18 | malicious users: 6 | test acc 0.6626 test loss 0.919278 best test_acc 0.8438
e 19 | malicious users: 3 | test acc 0.7503 test loss 0.798012 best test_acc 0.8438
e 20 | malicious users: 5 | test acc 0.8031 test loss 0.691334 best test_acc 0.8438
e 21 | malicious users: 3 | test acc 0.7497 test loss 0.729359 best test_acc 0.8438
e 22 | malicious users: 5 | test acc 0.8141 test loss 0.696526 best test_acc 0.8438
e 23 | malicious users: 5 | test acc 0.7526 test loss 0.661415 best test_acc 0.8438
e 24 | malicious users: 2 | test acc 0.7669 test loss 0.690894 best test_acc 0.8438
e 25 | malicious users: 7 | test acc 0.8740 test loss 0.627232 best test_acc 0.8740
e 26 | malicious users: 6 | test acc 0.9089 test loss 0.412896 best test_acc 0.9089
e 27 | malicious users: 11 | test acc 0.7145 test loss 1.114422 best test_acc 0.9089
e 28 | malicious users: 5 | test acc 0.8327 test loss 0.496375 best test_acc 0.9089
e 29 | malicious users: 8 | test acc 0.6770 test loss 0.996358 best test_acc 0.9089
e 30 | malicious users: 5 | test acc 0.8302 test loss 0.643744 best test_acc 0.9089
e 31 | malicious users: 6 | test acc 0.8197 test loss 0.546203 best test_acc 0.9089
e 32 | malicious users: 7 | test acc 0.8090 test loss 0.751698 best test_acc 0.9089
e 33 | malicious users: 3 | test acc 0.8677 test loss 0.546556 best test_acc 0.9089
e 34 | malicious users: 4 | test acc 0.8953 test loss 0.564582 best test_acc 0.9089
e 35 | malicious users: 6 | test acc 0.7831 test loss 0.825564 best test_acc 0.9089
e 36 | malicious users: 5 | test acc 0.8775 test loss 0.427612 best test_acc 0.9089
e 37 | malicious users: 5 | test acc 0.8628 test loss 0.548288 best test_acc 0.9089
e 38 | malicious users: 3 | test acc 0.9160 test loss 0.402192 best test_acc 0.9160
e 39 | malicious users: 3 | test acc 0.8739 test loss 0.520394 best test_acc 0.9160
e 40 | malicious users: 4 | test acc 0.8924 test loss 0.434935 best test_acc 0.9160
e 41 | malicious users: 6 | test acc 0.8945 test loss 0.444060 best test_acc 0.9160
e 42 | malicious users: 5 | test acc 0.9253 test loss 0.380969 best test_acc 0.9253
e 43 | malicious users: 5 | test acc 0.8251 test loss 0.524216 best test_acc 0.9253
e 44 | malicious users: 6 | test acc 0.8766 test loss 0.500757 best test_acc 0.9253
e 45 | malicious users: 6 | test acc 0.7795 test loss 0.723918 best test_acc 0.9253
e 46 | malicious users: 7 | test acc 0.7278 test loss 1.100938 best test_acc 0.9253
e 47 | malicious users: 6 | test acc 0.9197 test loss 0.476943 best test_acc 0.9253
e 48 | malicious users: 8 | test acc 0.6408 test loss 1.120593 best test_acc 0.9253
e 49 | malicious users: 4 | test acc 0.8118 test loss 0.561444 best test_acc 0.9253
e 50 | malicious users: 4 | test acc 0.8027 test loss 0.577475 best test_acc 0.9253
e 51 | malicious users: 4 | test acc 0.9093 test loss 0.389877 best test_acc 0.9253
e 52 | malicious users: 3 | test acc 0.9173 test loss 0.430341 best test_acc 0.9253
e 53 | malicious users: 3 | test acc 0.8626 test loss 0.365253 best test_acc 0.9253
e 54 | malicious users: 4 | test acc 0.8830 test loss 0.663858 best test_acc 0.9253
e 55 | malicious users: 5 | test acc 0.9360 test loss 0.312559 best test_acc 0.9360
e 56 | malicious users: 7 | test acc 0.7764 test loss 0.821479 best test_acc 0.9360
e 57 | malicious users: 4 | test acc 0.8517 test loss 0.438619 best test_acc 0.9360
e 58 | malicious users: 7 | test acc 0.7136 test loss 0.871615 best test_acc 0.9360
e 59 | malicious users: 3 | test acc 0.8024 test loss 0.561747 best test_acc 0.9360
e 60 | malicious users: 4 | test acc 0.8402 test loss 0.493581 best test_acc 0.9360
e 61 | malicious users: 7 | test acc 0.8289 test loss 1.105359 best test_acc 0.9360
e 62 | malicious users: 4 | test acc 0.8587 test loss 0.539948 best test_acc 0.9360
e 63 | malicious users: 5 | test acc 0.9027 test loss 0.496965 best test_acc 0.9360
e 64 | malicious users: 5 | test acc 0.8819 test loss 0.542427 best test_acc 0.9360
e 65 | malicious users: 8 | test acc 0.7660 test loss 1.330478 best test_acc 0.9360
e 66 | malicious users: 6 | test acc 0.8322 test loss 0.491451 best test_acc 0.9360
e 67 | malicious users: 8 | test acc 0.7322 test loss 0.920777 best test_acc 0.9360
e 68 | malicious users: 6 | test acc 0.7958 test loss 0.709879 best test_acc 0.9360
e 69 | malicious users: 4 | test acc 0.8270 test loss 0.602501 best test_acc 0.9360
e 70 | malicious users: 3 | test acc 0.8022 test loss 0.586263 best test_acc 0.9360
e 71 | malicious users: 5 | test acc 0.8371 test loss 0.611585 best test_acc 0.9360
e 72 | malicious users: 5 | test acc 0.8354 test loss 0.564164 best test_acc 0.9360
e 73 | malicious users: 8 | test acc 0.7962 test loss 1.085192 best test_acc 0.9360
e 74 | malicious users: 5 | test acc 0.9336 test loss 0.276734 best test_acc 0.9360
e 75 | malicious users: 6 | test acc 0.7871 test loss 0.697481 best test_acc 0.9360
e 76 | malicious users: 2 | test acc 0.8620 test loss 0.469596 best test_acc 0.9360
e 77 | malicious users: 3 | test acc 0.9281 test loss 0.317131 best test_acc 0.9360
e 78 | malicious users: 6 | test acc 0.8791 test loss 0.784748 best test_acc 0.9360
e 79 | malicious users: 5 | test acc 0.9125 test loss 0.460845 best test_acc 0.9360
e 80 | malicious users: 8 | test acc 0.6585 test loss 1.003625 best test_acc 0.9360
e 81 | malicious users: 3 | test acc 0.8963 test loss 0.310141 best test_acc 0.9360
e 82 | malicious users: 6 | test acc 0.7241 test loss 0.837629 best test_acc 0.9360
e 83 | malicious users: 6 | test acc 0.7097 test loss 0.727566 best test_acc 0.9360
e 84 | malicious users: 6 | test acc 0.9110 test loss 0.485975 best test_acc 0.9360
e 85 | malicious users: 4 | test acc 0.9288 test loss 0.325182 best test_acc 0.9360
e 86 | malicious users: 4 | test acc 0.8126 test loss 0.527792 best test_acc 0.9360
e 87 | malicious users: 6 | test acc 0.7484 test loss 0.715091 best test_acc 0.9360
e 88 | malicious users: 4 | test acc 0.8574 test loss 0.422644 best test_acc 0.9360
e 89 | malicious users: 6 | test acc 0.8048 test loss 0.549513 best test_acc 0.9360
e 90 | malicious users: 6 | test acc 0.8479 test loss 0.629173 best test_acc 0.9360
e 91 | malicious users: 8 | test acc 0.8233 test loss 0.592736 best test_acc 0.9360
e 92 | malicious users: 3 | test acc 0.8839 test loss 0.415724 best test_acc 0.9360
e 93 | malicious users: 6 | test acc 0.6979 test loss 0.939359 best test_acc 0.9360
e 94 | malicious users: 3 | test acc 0.8837 test loss 0.401843 best test_acc 0.9360
e 95 | malicious users: 7 | test acc 0.8373 test loss 0.820907 best test_acc 0.9360
e 96 | malicious users: 2 | test acc 0.9486 test loss 0.272970 best test_acc 0.9486
e 97 | malicious users: 11 | test acc 0.6239 test loss 1.596291 best test_acc 0.9486
e 98 | malicious users: 6 | test acc 0.8479 test loss 0.633068 best test_acc 0.9486
e 99 | malicious users: 6 | test acc 0.9340 test loss 0.392498 best test_acc 0.9486
e 100 | malicious users: 3 | test acc 0.9020 test loss 0.412278 best test_acc 0.9486
e 101 | malicious users: 7 | test acc 0.8118 test loss 0.628529 best test_acc 0.9486
e 102 | malicious users: 9 | test acc 0.7419 test loss 1.031357 best test_acc 0.9486
