=> Saving data in Logs/FRL~try=857
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 8 | test acc 0.3313 test loss 2.244072 best test_acc 0.3313
e 1 | malicious users: 6 | test acc 0.4857 test loss 1.925098 best test_acc 0.4857
e 2 | malicious users: 4 | test acc 0.6700 test loss 1.631027 best test_acc 0.6700
e 3 | malicious users: 2 | test acc 0.5912 test loss 1.590765 best test_acc 0.6700
e 4 | malicious users: 4 | test acc 0.7165 test loss 1.015511 best test_acc 0.7165
e 5 | malicious users: 6 | test acc 0.7204 test loss 1.093184 best test_acc 0.7204
e 6 | malicious users: 3 | test acc 0.8321 test loss 0.763325 best test_acc 0.8321
e 7 | malicious users: 5 | test acc 0.8009 test loss 0.693978 best test_acc 0.8321
e 8 | malicious users: 4 | test acc 0.8687 test loss 0.610430 best test_acc 0.8687
e 9 | malicious users: 5 | test acc 0.7625 test loss 0.719889 best test_acc 0.8687
e 10 | malicious users: 5 | test acc 0.8385 test loss 0.555221 best test_acc 0.8687
e 11 | malicious users: 2 | test acc 0.8480 test loss 0.695440 best test_acc 0.8687
e 12 | malicious users: 4 | test acc 0.8794 test loss 0.481773 best test_acc 0.8794
e 13 | malicious users: 8 | test acc 0.8519 test loss 0.794567 best test_acc 0.8794
e 14 | malicious users: 4 | test acc 0.8655 test loss 0.468021 best test_acc 0.8794
e 15 | malicious users: 5 | test acc 0.9033 test loss 0.487248 best test_acc 0.9033
e 16 | malicious users: 2 | test acc 0.9090 test loss 0.378353 best test_acc 0.9090
e 17 | malicious users: 6 | test acc 0.8991 test loss 0.660204 best test_acc 0.9090
e 18 | malicious users: 5 | test acc 0.9162 test loss 0.368337 best test_acc 0.9162
e 19 | malicious users: 5 | test acc 0.8977 test loss 0.413427 best test_acc 0.9162
e 20 | malicious users: 6 | test acc 0.8343 test loss 0.598030 best test_acc 0.9162
e 21 | malicious users: 4 | test acc 0.9214 test loss 0.306456 best test_acc 0.9214
e 22 | malicious users: 4 | test acc 0.9015 test loss 0.364548 best test_acc 0.9214
e 23 | malicious users: 7 | test acc 0.8938 test loss 0.600248 best test_acc 0.9214
e 24 | malicious users: 7 | test acc 0.8623 test loss 0.471164 best test_acc 0.9214
e 25 | malicious users: 4 | test acc 0.8747 test loss 0.414595 best test_acc 0.9214
e 26 | malicious users: 8 | test acc 0.7292 test loss 0.876575 best test_acc 0.9214
e 27 | malicious users: 6 | test acc 0.9088 test loss 0.332306 best test_acc 0.9214
e 28 | malicious users: 6 | test acc 0.8761 test loss 0.479896 best test_acc 0.9214
e 29 | malicious users: 6 | test acc 0.8893 test loss 0.402349 best test_acc 0.9214
e 30 | malicious users: 4 | test acc 0.9055 test loss 0.389896 best test_acc 0.9214
e 31 | malicious users: 3 | test acc 0.9093 test loss 0.381227 best test_acc 0.9214
e 32 | malicious users: 6 | test acc 0.8895 test loss 0.519083 best test_acc 0.9214
e 33 | malicious users: 4 | test acc 0.8610 test loss 0.429958 best test_acc 0.9214
e 34 | malicious users: 6 | test acc 0.8469 test loss 0.440662 best test_acc 0.9214
e 35 | malicious users: 3 | test acc 0.9269 test loss 0.317841 best test_acc 0.9269
e 36 | malicious users: 5 | test acc 0.9377 test loss 0.355063 best test_acc 0.9377
e 37 | malicious users: 5 | test acc 0.9255 test loss 0.332884 best test_acc 0.9377
e 38 | malicious users: 3 | test acc 0.9372 test loss 0.295293 best test_acc 0.9377
e 39 | malicious users: 6 | test acc 0.9264 test loss 0.294982 best test_acc 0.9377
e 40 | malicious users: 5 | test acc 0.8462 test loss 0.443216 best test_acc 0.9377
e 41 | malicious users: 5 | test acc 0.9315 test loss 0.277188 best test_acc 0.9377
e 42 | malicious users: 4 | test acc 0.8655 test loss 0.380386 best test_acc 0.9377
e 43 | malicious users: 5 | test acc 0.8449 test loss 0.466613 best test_acc 0.9377
e 44 | malicious users: 6 | test acc 0.8491 test loss 0.513981 best test_acc 0.9377
e 45 | malicious users: 2 | test acc 0.9230 test loss 0.309868 best test_acc 0.9377
e 46 | malicious users: 5 | test acc 0.8958 test loss 0.468018 best test_acc 0.9377
e 47 | malicious users: 6 | test acc 0.9360 test loss 0.249021 best test_acc 0.9377
e 48 | malicious users: 5 | test acc 0.9370 test loss 0.303173 best test_acc 0.9377
e 49 | malicious users: 4 | test acc 0.8824 test loss 0.425183 best test_acc 0.9377
e 50 | malicious users: 7 | test acc 0.8486 test loss 0.632653 best test_acc 0.9377
e 51 | malicious users: 2 | test acc 0.9402 test loss 0.242033 best test_acc 0.9402
e 52 | malicious users: 5 | test acc 0.8539 test loss 0.434645 best test_acc 0.9402
e 53 | malicious users: 5 | test acc 0.9214 test loss 0.292642 best test_acc 0.9402
e 54 | malicious users: 8 | test acc 0.8882 test loss 0.584253 best test_acc 0.9402
e 55 | malicious users: 5 | test acc 0.8644 test loss 0.377888 best test_acc 0.9402
e 56 | malicious users: 3 | test acc 0.9355 test loss 0.327887 best test_acc 0.9402
e 57 | malicious users: 7 | test acc 0.8186 test loss 0.912413 best test_acc 0.9402
e 58 | malicious users: 8 | test acc 0.8059 test loss 0.587856 best test_acc 0.9402
e 59 | malicious users: 8 | test acc 0.6716 test loss 1.024343 best test_acc 0.9402
e 60 | malicious users: 7 | test acc 0.8217 test loss 0.587572 best test_acc 0.9402
e 61 | malicious users: 3 | test acc 0.9349 test loss 0.354875 best test_acc 0.9402
e 62 | malicious users: 5 | test acc 0.8663 test loss 0.374814 best test_acc 0.9402
e 63 | malicious users: 5 | test acc 0.9464 test loss 0.260027 best test_acc 0.9464
e 64 | malicious users: 5 | test acc 0.9184 test loss 0.346043 best test_acc 0.9464
e 65 | malicious users: 7 | test acc 0.8519 test loss 0.621777 best test_acc 0.9464
e 66 | malicious users: 5 | test acc 0.9383 test loss 0.257869 best test_acc 0.9464
e 67 | malicious users: 5 | test acc 0.9232 test loss 0.339917 best test_acc 0.9464
e 68 | malicious users: 7 | test acc 0.9027 test loss 0.430758 best test_acc 0.9464
e 69 | malicious users: 3 | test acc 0.9511 test loss 0.189427 best test_acc 0.9511
e 70 | malicious users: 4 | test acc 0.9082 test loss 0.434742 best test_acc 0.9511
e 71 | malicious users: 4 | test acc 0.9467 test loss 0.182354 best test_acc 0.9511
e 72 | malicious users: 5 | test acc 0.8883 test loss 0.581400 best test_acc 0.9511
e 73 | malicious users: 5 | test acc 0.9437 test loss 0.195136 best test_acc 0.9511
e 74 | malicious users: 3 | test acc 0.9376 test loss 0.409914 best test_acc 0.9511
e 75 | malicious users: 5 | test acc 0.9242 test loss 0.298204 best test_acc 0.9511
e 76 | malicious users: 3 | test acc 0.9410 test loss 0.212525 best test_acc 0.9511
e 77 | malicious users: 7 | test acc 0.8934 test loss 0.409606 best test_acc 0.9511
e 78 | malicious users: 4 | test acc 0.9183 test loss 0.283505 best test_acc 0.9511
e 79 | malicious users: 5 | test acc 0.8564 test loss 0.399433 best test_acc 0.9511
e 80 | malicious users: 7 | test acc 0.8457 test loss 0.527389 best test_acc 0.9511
e 81 | malicious users: 9 | test acc 0.6872 test loss 1.515272 best test_acc 0.9511
e 82 | malicious users: 8 | test acc 0.9381 test loss 0.265199 best test_acc 0.9511
e 83 | malicious users: 8 | test acc 0.8452 test loss 0.656856 best test_acc 0.9511
e 84 | malicious users: 4 | test acc 0.9454 test loss 0.203547 best test_acc 0.9511
e 85 | malicious users: 7 | test acc 0.9043 test loss 0.602112 best test_acc 0.9511
e 86 | malicious users: 8 | test acc 0.7115 test loss 0.832822 best test_acc 0.9511
e 87 | malicious users: 6 | test acc 0.8559 test loss 0.437077 best test_acc 0.9511
e 88 | malicious users: 5 | test acc 0.9214 test loss 0.335230 best test_acc 0.9511
e 89 | malicious users: 1 | test acc 0.9108 test loss 0.329798 best test_acc 0.9511
e 90 | malicious users: 5 | test acc 0.9108 test loss 0.363175 best test_acc 0.9511
e 91 | malicious users: 6 | test acc 0.9277 test loss 0.274499 best test_acc 0.9511
e 92 | malicious users: 4 | test acc 0.9196 test loss 0.348068 best test_acc 0.9511
e 93 | malicious users: 3 | test acc 0.9366 test loss 0.242476 best test_acc 0.9511
e 94 | malicious users: 4 | test acc 0.9206 test loss 0.297707 best test_acc 0.9511
e 95 | malicious users: 5 | test acc 0.9487 test loss 0.214864 best test_acc 0.9511
e 96 | malicious users: 9 | test acc 0.6784 test loss 1.716654 best test_acc 0.9511
e 97 | malicious users: 5 | test acc 0.9424 test loss 0.201319 best test_acc 0.9511
e 98 | malicious users: 4 | test acc 0.9195 test loss 0.406706 best test_acc 0.9511
e 99 | malicious users: 6 | test acc 0.9306 test loss 0.279545 best test_acc 0.9511
e 100 | malicious users: 4 | test acc 0.9462 test loss 0.263833 best test_acc 0.9511
e 101 | malicious users: 5 | test acc 0.9435 test loss 0.279876 best test_acc 0.9511
e 102 | malicious users: 2 | test acc 0.9486 test loss 0.194777 best test_acc 0.9511
e 103 | malicious users: 2 | test acc 0.9487 test loss 0.231037 best test_acc 0.9511
e 104 | malicious users: 5 | test acc 0.9311 test loss 0.253171 best test_acc 0.9511
e 105 | malicious users: 5 | test acc 0.9323 test loss 0.278399 best test_acc 0.9511
e 106 | malicious users: 6 | test acc 0.8458 test loss 0.601457 best test_acc 0.9511
e 107 | malicious users: 4 | test acc 0.9485 test loss 0.195075 best test_acc 0.9511
e 108 | malicious users: 6 | test acc 0.7732 test loss 0.711092 best test_acc 0.9511
e 109 | malicious users: 8 | test acc 0.9067 test loss 0.312832 best test_acc 0.9511
e 110 | malicious users: 5 | test acc 0.9313 test loss 0.327439 best test_acc 0.9511
e 111 | malicious users: 4 | test acc 0.9476 test loss 0.180705 best test_acc 0.9511
e 112 | malicious users: 3 | test acc 0.9380 test loss 0.229837 best test_acc 0.9511
e 113 | malicious users: 5 | test acc 0.9354 test loss 0.238229 best test_acc 0.9511
e 114 | malicious users: 3 | test acc 0.9414 test loss 0.251730 best test_acc 0.9511
e 115 | malicious users: 5 | test acc 0.8553 test loss 0.409833 best test_acc 0.9511
e 116 | malicious users: 8 | test acc 0.4802 test loss 1.351208 best test_acc 0.9511
e 117 | malicious users: 2 | test acc 0.9459 test loss 0.187229 best test_acc 0.9511
e 118 | malicious users: 7 | test acc 0.7077 test loss 1.033656 best test_acc 0.9511
e 119 | malicious users: 4 | test acc 0.9405 test loss 0.221333 best test_acc 0.9511
e 120 | malicious users: 4 | test acc 0.9415 test loss 0.305154 best test_acc 0.9511
e 121 | malicious users: 1 | test acc 0.9362 test loss 0.229337 best test_acc 0.9511
e 122 | malicious users: 5 | test acc 0.9244 test loss 0.353515 best test_acc 0.9511
e 123 | malicious users: 3 | test acc 0.9467 test loss 0.218658 best test_acc 0.9511
e 124 | malicious users: 4 | test acc 0.9291 test loss 0.345553 best test_acc 0.9511
e 125 | malicious users: 4 | test acc 0.9486 test loss 0.199975 best test_acc 0.9511
e 126 | malicious users: 6 | test acc 0.7123 test loss 0.893532 best test_acc 0.9511
e 127 | malicious users: 6 | test acc 0.9182 test loss 0.274023 best test_acc 0.9511
e 128 | malicious users: 3 | test acc 0.9028 test loss 0.460774 best test_acc 0.9511
e 129 | malicious users: 2 | test acc 0.9251 test loss 0.270983 best test_acc 0.9511
e 130 | malicious users: 5 | test acc 0.9368 test loss 0.334431 best test_acc 0.9511
e 131 | malicious users: 6 | test acc 0.9445 test loss 0.216939 best test_acc 0.9511
e 132 | malicious users: 5 | test acc 0.9203 test loss 0.433357 best test_acc 0.9511
e 133 | malicious users: 5 | test acc 0.9472 test loss 0.271853 best test_acc 0.9511
e 134 | malicious users: 4 | test acc 0.9222 test loss 0.327787 best test_acc 0.9511
e 135 | malicious users: 4 | test acc 0.9462 test loss 0.242124 best test_acc 0.9511
e 136 | malicious users: 5 | test acc 0.9396 test loss 0.304789 best test_acc 0.9511
e 137 | malicious users: 3 | test acc 0.9422 test loss 0.238641 best test_acc 0.9511
e 138 | malicious users: 5 | test acc 0.8793 test loss 0.473184 best test_acc 0.9511
e 139 | malicious users: 4 | test acc 0.9374 test loss 0.264639 best test_acc 0.9511
e 140 | malicious users: 6 | test acc 0.7760 test loss 0.656739 best test_acc 0.9511
e 141 | malicious users: 6 | test acc 0.9413 test loss 0.201861 best test_acc 0.9511
e 142 | malicious users: 4 | test acc 0.9394 test loss 0.304286 best test_acc 0.9511
e 143 | malicious users: 8 | test acc 0.5561 test loss 1.481110 best test_acc 0.9511
e 144 | malicious users: 5 | test acc 0.9499 test loss 0.180480 best test_acc 0.9511
e 145 | malicious users: 4 | test acc 0.8790 test loss 0.470580 best test_acc 0.9511
e 146 | malicious users: 4 | test acc 0.9452 test loss 0.195569 best test_acc 0.9511
e 147 | malicious users: 2 | test acc 0.8655 test loss 0.397401 best test_acc 0.9511
e 148 | malicious users: 3 | test acc 0.9532 test loss 0.166972 best test_acc 0.9532
e 149 | malicious users: 2 | test acc 0.7914 test loss 0.587395 best test_acc 0.9532
e 150 | malicious users: 3 | test acc 0.9438 test loss 0.227113 best test_acc 0.9532
e 151 | malicious users: 8 | test acc 0.7458 test loss 0.768572 best test_acc 0.9532
e 152 | malicious users: 8 | test acc 0.9086 test loss 0.362074 best test_acc 0.9532
e 153 | malicious users: 6 | test acc 0.7824 test loss 0.599813 best test_acc 0.9532
e 154 | malicious users: 9 | test acc 0.9332 test loss 0.299920 best test_acc 0.9532
e 155 | malicious users: 10 | test acc 0.7474 test loss 1.162598 best test_acc 0.9532
e 156 | malicious users: 7 | test acc 0.9515 test loss 0.168632 best test_acc 0.9532
e 157 | malicious users: 6 | test acc 0.9025 test loss 0.836646 best test_acc 0.9532
e 158 | malicious users: 6 | test acc 0.9482 test loss 0.185887 best test_acc 0.9532
e 159 | malicious users: 3 | test acc 0.8012 test loss 0.537133 best test_acc 0.9532
e 160 | malicious users: 6 | test acc 0.9227 test loss 0.372510 best test_acc 0.9532
e 161 | malicious users: 8 | test acc 0.6964 test loss 1.001932 best test_acc 0.9532
e 162 | malicious users: 5 | test acc 0.9533 test loss 0.157176 best test_acc 0.9533
e 163 | malicious users: 7 | test acc 0.8784 test loss 0.714631 best test_acc 0.9533
e 164 | malicious users: 6 | test acc 0.9185 test loss 0.349378 best test_acc 0.9533
e 165 | malicious users: 6 | test acc 0.9456 test loss 0.208469 best test_acc 0.9533
e 166 | malicious users: 8 | test acc 0.9148 test loss 0.492017 best test_acc 0.9533
e 167 | malicious users: 5 | test acc 0.9430 test loss 0.191481 best test_acc 0.9533
e 168 | malicious users: 5 | test acc 0.8664 test loss 0.390996 best test_acc 0.9533
e 169 | malicious users: 2 | test acc 0.9388 test loss 0.219304 best test_acc 0.9533
e 170 | malicious users: 5 | test acc 0.9108 test loss 0.363581 best test_acc 0.9533
e 171 | malicious users: 5 | test acc 0.9555 test loss 0.196475 best test_acc 0.9555
e 172 | malicious users: 2 | test acc 0.9509 test loss 0.186546 best test_acc 0.9555
e 173 | malicious users: 2 | test acc 0.8090 test loss 0.493094 best test_acc 0.9555
e 174 | malicious users: 4 | test acc 0.9505 test loss 0.203424 best test_acc 0.9555
e 175 | malicious users: 6 | test acc 0.9327 test loss 0.467620 best test_acc 0.9555
e 176 | malicious users: 3 | test acc 0.9509 test loss 0.165923 best test_acc 0.9555
e 177 | malicious users: 4 | test acc 0.9099 test loss 0.434826 best test_acc 0.9555
e 178 | malicious users: 3 | test acc 0.9556 test loss 0.159425 best test_acc 0.9556
e 179 | malicious users: 5 | test acc 0.9322 test loss 0.293892 best test_acc 0.9556
e 180 | malicious users: 6 | test acc 0.9459 test loss 0.207897 best test_acc 0.9556
e 181 | malicious users: 7 | test acc 0.8919 test loss 0.473996 best test_acc 0.9556
e 182 | malicious users: 7 | test acc 0.9344 test loss 0.236476 best test_acc 0.9556
e 183 | malicious users: 4 | test acc 0.9070 test loss 0.281178 best test_acc 0.9556
e 184 | malicious users: 7 | test acc 0.9299 test loss 0.397235 best test_acc 0.9556
e 185 | malicious users: 4 | test acc 0.9246 test loss 0.302994 best test_acc 0.9556
e 186 | malicious users: 2 | test acc 0.9451 test loss 0.221395 best test_acc 0.9556
e 187 | malicious users: 7 | test acc 0.8698 test loss 0.453254 best test_acc 0.9556
e 188 | malicious users: 6 | test acc 0.9271 test loss 0.259192 best test_acc 0.9556
e 189 | malicious users: 7 | test acc 0.7862 test loss 0.628435 best test_acc 0.9556
e 190 | malicious users: 3 | test acc 0.9556 test loss 0.155305 best test_acc 0.9556
e 191 | malicious users: 6 | test acc 0.8940 test loss 0.387080 best test_acc 0.9556
e 192 | malicious users: 3 | test acc 0.9558 test loss 0.162037 best test_acc 0.9558
e 193 | malicious users: 5 | test acc 0.8525 test loss 0.409911 best test_acc 0.9558
e 194 | malicious users: 4 | test acc 0.9525 test loss 0.170907 best test_acc 0.9558
e 195 | malicious users: 3 | test acc 0.9109 test loss 0.310404 best test_acc 0.9558
e 196 | malicious users: 5 | test acc 0.9484 test loss 0.198072 best test_acc 0.9558
e 197 | malicious users: 3 | test acc 0.9528 test loss 0.192729 best test_acc 0.9558
e 198 | malicious users: 3 | test acc 0.9517 test loss 0.182960 best test_acc 0.9558
e 199 | malicious users: 5 | test acc 0.9426 test loss 0.244494 best test_acc 0.9558
e 200 | malicious users: 5 | test acc 0.9515 test loss 0.204886 best test_acc 0.9558
e 201 | malicious users: 5 | test acc 0.8644 test loss 0.345111 best test_acc 0.9558
e 202 | malicious users: 3 | test acc 0.9461 test loss 0.234436 best test_acc 0.9558
e 203 | malicious users: 7 | test acc 0.9173 test loss 0.418057 best test_acc 0.9558
e 204 | malicious users: 3 | test acc 0.9526 test loss 0.157531 best test_acc 0.9558
e 205 | malicious users: 3 | test acc 0.9416 test loss 0.249129 best test_acc 0.9558
e 206 | malicious users: 7 | test acc 0.8855 test loss 0.392326 best test_acc 0.9558
e 207 | malicious users: 6 | test acc 0.9319 test loss 0.237721 best test_acc 0.9558
e 208 | malicious users: 4 | test acc 0.8808 test loss 0.405805 best test_acc 0.9558
e 209 | malicious users: 1 | test acc 0.9397 test loss 0.305282 best test_acc 0.9558
e 210 | malicious users: 7 | test acc 0.9463 test loss 0.268788 best test_acc 0.9558
e 211 | malicious users: 4 | test acc 0.9552 test loss 0.183772 best test_acc 0.9558
e 212 | malicious users: 4 | test acc 0.9548 test loss 0.217765 best test_acc 0.9558
e 213 | malicious users: 6 | test acc 0.9271 test loss 0.429879 best test_acc 0.9558
e 214 | malicious users: 3 | test acc 0.9554 test loss 0.152318 best test_acc 0.9558
e 215 | malicious users: 6 | test acc 0.9157 test loss 0.348209 best test_acc 0.9558
e 216 | malicious users: 6 | test acc 0.9481 test loss 0.205030 best test_acc 0.9558
e 217 | malicious users: 6 | test acc 0.9527 test loss 0.163661 best test_acc 0.9558
