=> Saving data in Logs/FRL~try=858
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 5 | test acc 0.1744 test loss 2.264895 best test_acc 0.1744
e 1 | malicious users: 5 | test acc 0.1644 test loss 2.288200 best test_acc 0.1744
e 2 | malicious users: 5 | test acc 0.2298 test loss 2.077066 best test_acc 0.2298
e 3 | malicious users: 5 | test acc 0.4159 test loss 2.075399 best test_acc 0.4159
e 4 | malicious users: 5 | test acc 0.5266 test loss 1.824002 best test_acc 0.5266
e 5 | malicious users: 5 | test acc 0.4157 test loss 1.608365 best test_acc 0.5266
e 6 | malicious users: 5 | test acc 0.5759 test loss 1.835298 best test_acc 0.5759
e 7 | malicious users: 5 | test acc 0.4987 test loss 1.544333 best test_acc 0.5759
e 8 | malicious users: 5 | test acc 0.3545 test loss 1.689578 best test_acc 0.5759
e 9 | malicious users: 5 | test acc 0.6920 test loss 1.630208 best test_acc 0.6920
e 10 | malicious users: 5 | test acc 0.7379 test loss 1.259418 best test_acc 0.7379
e 11 | malicious users: 5 | test acc 0.5389 test loss 1.439025 best test_acc 0.7379
e 12 | malicious users: 5 | test acc 0.6932 test loss 1.398668 best test_acc 0.7379
e 13 | malicious users: 5 | test acc 0.5992 test loss 1.197116 best test_acc 0.7379
e 14 | malicious users: 5 | test acc 0.6269 test loss 1.258528 best test_acc 0.7379
e 15 | malicious users: 5 | test acc 0.7479 test loss 1.037833 best test_acc 0.7479
e 16 | malicious users: 5 | test acc 0.6484 test loss 1.191417 best test_acc 0.7479
e 17 | malicious users: 5 | test acc 0.7343 test loss 1.033169 best test_acc 0.7479
e 18 | malicious users: 5 | test acc 0.5886 test loss 1.363884 best test_acc 0.7479
e 19 | malicious users: 5 | test acc 0.7087 test loss 1.033672 best test_acc 0.7479
e 20 | malicious users: 5 | test acc 0.6325 test loss 1.249719 best test_acc 0.7479
e 21 | malicious users: 5 | test acc 0.7467 test loss 0.872133 best test_acc 0.7479
e 22 | malicious users: 5 | test acc 0.7372 test loss 1.141098 best test_acc 0.7479
e 23 | malicious users: 5 | test acc 0.7187 test loss 0.995193 best test_acc 0.7479
e 24 | malicious users: 5 | test acc 0.4890 test loss 1.461357 best test_acc 0.7479
e 25 | malicious users: 5 | test acc 0.6010 test loss 1.077464 best test_acc 0.7479
e 26 | malicious users: 5 | test acc 0.4668 test loss 1.456173 best test_acc 0.7479
e 27 | malicious users: 5 | test acc 0.7324 test loss 1.098387 best test_acc 0.7479
e 28 | malicious users: 5 | test acc 0.7428 test loss 0.987496 best test_acc 0.7479
e 29 | malicious users: 5 | test acc 0.6207 test loss 1.126370 best test_acc 0.7479
e 30 | malicious users: 5 | test acc 0.7989 test loss 0.990424 best test_acc 0.7989
e 31 | malicious users: 5 | test acc 0.7818 test loss 1.069311 best test_acc 0.7989
e 32 | malicious users: 5 | test acc 0.6056 test loss 1.133566 best test_acc 0.7989
e 33 | malicious users: 5 | test acc 0.7879 test loss 0.974430 best test_acc 0.7989
e 34 | malicious users: 5 | test acc 0.5943 test loss 1.198286 best test_acc 0.7989
e 35 | malicious users: 5 | test acc 0.8433 test loss 0.925968 best test_acc 0.8433
