=> Saving data in Logs/FRL~try=862
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2206 test loss 2.195123 best test_acc 0.2206
e 1 | malicious users: 5 | test acc 0.3662 test loss 1.834860 best test_acc 0.3662
e 2 | malicious users: 5 | test acc 0.5207 test loss 1.650513 best test_acc 0.5207
e 3 | malicious users: 5 | test acc 0.5542 test loss 1.318092 best test_acc 0.5542
e 4 | malicious users: 5 | test acc 0.6137 test loss 1.127168 best test_acc 0.6137
e 5 | malicious users: 5 | test acc 0.6378 test loss 1.152855 best test_acc 0.6378
e 6 | malicious users: 5 | test acc 0.6381 test loss 0.987809 best test_acc 0.6381
e 7 | malicious users: 5 | test acc 0.6160 test loss 1.092327 best test_acc 0.6381
e 8 | malicious users: 5 | test acc 0.6434 test loss 1.000582 best test_acc 0.6434
e 9 | malicious users: 5 | test acc 0.7839 test loss 0.859928 best test_acc 0.7839
e 10 | malicious users: 5 | test acc 0.7627 test loss 0.798412 best test_acc 0.7839
e 11 | malicious users: 5 | test acc 0.7795 test loss 0.843928 best test_acc 0.7839
e 12 | malicious users: 5 | test acc 0.7241 test loss 0.894129 best test_acc 0.7839
e 13 | malicious users: 5 | test acc 0.7057 test loss 0.912672 best test_acc 0.7839
e 14 | malicious users: 5 | test acc 0.6870 test loss 0.918818 best test_acc 0.7839
e 15 | malicious users: 5 | test acc 0.7830 test loss 0.694216 best test_acc 0.7839
e 16 | malicious users: 5 | test acc 0.7369 test loss 0.857863 best test_acc 0.7839
e 17 | malicious users: 5 | test acc 0.6757 test loss 0.885267 best test_acc 0.7839
e 18 | malicious users: 5 | test acc 0.6623 test loss 0.894228 best test_acc 0.7839
e 19 | malicious users: 5 | test acc 0.6431 test loss 0.947214 best test_acc 0.7839
e 20 | malicious users: 5 | test acc 0.7367 test loss 0.776902 best test_acc 0.7839
e 21 | malicious users: 5 | test acc 0.7244 test loss 0.847275 best test_acc 0.7839
e 22 | malicious users: 5 | test acc 0.7261 test loss 0.745505 best test_acc 0.7839
e 23 | malicious users: 5 | test acc 0.7160 test loss 0.843284 best test_acc 0.7839
e 24 | malicious users: 5 | test acc 0.7575 test loss 0.802432 best test_acc 0.7839
e 25 | malicious users: 5 | test acc 0.7711 test loss 0.679671 best test_acc 0.7839
e 26 | malicious users: 5 | test acc 0.6799 test loss 0.878224 best test_acc 0.7839
e 27 | malicious users: 5 | test acc 0.5976 test loss 1.194264 best test_acc 0.7839
e 28 | malicious users: 5 | test acc 0.7967 test loss 0.608659 best test_acc 0.7967
e 29 | malicious users: 5 | test acc 0.7513 test loss 0.808721 best test_acc 0.7967
e 30 | malicious users: 5 | test acc 0.6993 test loss 1.014282 best test_acc 0.7967
e 31 | malicious users: 5 | test acc 0.7983 test loss 0.690426 best test_acc 0.7983
e 32 | malicious users: 5 | test acc 0.7478 test loss 0.784636 best test_acc 0.7983
e 33 | malicious users: 5 | test acc 0.8853 test loss 0.494832 best test_acc 0.8853
e 34 | malicious users: 5 | test acc 0.7722 test loss 0.739892 best test_acc 0.8853
e 35 | malicious users: 5 | test acc 0.7406 test loss 0.694272 best test_acc 0.8853
e 36 | malicious users: 5 | test acc 0.7469 test loss 0.702175 best test_acc 0.8853
e 37 | malicious users: 5 | test acc 0.7499 test loss 0.763025 best test_acc 0.8853
e 38 | malicious users: 5 | test acc 0.7273 test loss 0.710556 best test_acc 0.8853
e 39 | malicious users: 5 | test acc 0.7662 test loss 0.820250 best test_acc 0.8853
e 40 | malicious users: 5 | test acc 0.7859 test loss 0.627238 best test_acc 0.8853
e 41 | malicious users: 5 | test acc 0.7328 test loss 0.852392 best test_acc 0.8853
e 42 | malicious users: 5 | test acc 0.8053 test loss 0.593147 best test_acc 0.8853
e 43 | malicious users: 5 | test acc 0.8601 test loss 0.628897 best test_acc 0.8853
e 44 | malicious users: 5 | test acc 0.6940 test loss 0.753816 best test_acc 0.8853
e 45 | malicious users: 5 | test acc 0.8726 test loss 0.570243 best test_acc 0.8853
e 46 | malicious users: 5 | test acc 0.7800 test loss 0.796850 best test_acc 0.8853
e 47 | malicious users: 5 | test acc 0.8380 test loss 0.605424 best test_acc 0.8853
e 48 | malicious users: 5 | test acc 0.7584 test loss 0.735556 best test_acc 0.8853
