=> Saving data in Logs/FRL~try=872
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.5
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1824 test loss 2.240478 best test_acc 0.1824
e 1 | malicious users: 5 | test acc 0.3041 test loss 2.063414 best test_acc 0.3041
e 2 | malicious users: 5 | test acc 0.4770 test loss 1.521364 best test_acc 0.4770
e 3 | malicious users: 5 | test acc 0.4438 test loss 1.736880 best test_acc 0.4770
e 4 | malicious users: 5 | test acc 0.4471 test loss 1.467808 best test_acc 0.4770
e 5 | malicious users: 5 | test acc 0.4684 test loss 1.509576 best test_acc 0.4770
e 6 | malicious users: 5 | test acc 0.5326 test loss 1.149412 best test_acc 0.5326
e 7 | malicious users: 5 | test acc 0.6467 test loss 1.006832 best test_acc 0.6467
e 8 | malicious users: 5 | test acc 0.4716 test loss 1.313003 best test_acc 0.6467
e 9 | malicious users: 5 | test acc 0.6496 test loss 0.977838 best test_acc 0.6496
e 10 | malicious users: 5 | test acc 0.5834 test loss 1.102011 best test_acc 0.6496
e 11 | malicious users: 5 | test acc 0.4801 test loss 1.473213 best test_acc 0.6496
e 12 | malicious users: 5 | test acc 0.6770 test loss 0.981610 best test_acc 0.6770
e 13 | malicious users: 5 | test acc 0.6219 test loss 1.158341 best test_acc 0.6770
e 14 | malicious users: 5 | test acc 0.5507 test loss 1.125521 best test_acc 0.6770
e 15 | malicious users: 5 | test acc 0.6879 test loss 1.005406 best test_acc 0.6879
e 16 | malicious users: 5 | test acc 0.6571 test loss 1.042411 best test_acc 0.6879
e 17 | malicious users: 5 | test acc 0.6939 test loss 0.856409 best test_acc 0.6939
e 18 | malicious users: 5 | test acc 0.6136 test loss 1.102385 best test_acc 0.6939
e 19 | malicious users: 5 | test acc 0.6346 test loss 1.012731 best test_acc 0.6939
e 20 | malicious users: 5 | test acc 0.6772 test loss 1.062472 best test_acc 0.6939
e 21 | malicious users: 5 | test acc 0.7547 test loss 0.774560 best test_acc 0.7547
e 22 | malicious users: 5 | test acc 0.6308 test loss 1.006137 best test_acc 0.7547
e 23 | malicious users: 5 | test acc 0.7612 test loss 0.777795 best test_acc 0.7612
e 24 | malicious users: 5 | test acc 0.7674 test loss 0.871085 best test_acc 0.7674
