=> Saving data in Logs/FRL~try=874
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1946 test loss 2.317795 best test_acc 0.1946
e 1 | malicious users: 5 | test acc 0.4403 test loss 1.903275 best test_acc 0.4403
e 2 | malicious users: 5 | test acc 0.5930 test loss 1.342160 best test_acc 0.5930
e 3 | malicious users: 5 | test acc 0.5697 test loss 1.165917 best test_acc 0.5930
e 4 | malicious users: 5 | test acc 0.5703 test loss 1.213986 best test_acc 0.5930
e 5 | malicious users: 5 | test acc 0.7285 test loss 1.098125 best test_acc 0.7285
e 6 | malicious users: 5 | test acc 0.7129 test loss 0.922847 best test_acc 0.7285
e 7 | malicious users: 5 | test acc 0.7665 test loss 0.890859 best test_acc 0.7665
e 8 | malicious users: 5 | test acc 0.7698 test loss 0.733873 best test_acc 0.7698
e 9 | malicious users: 5 | test acc 0.6719 test loss 1.073459 best test_acc 0.7698
e 10 | malicious users: 5 | test acc 0.7741 test loss 0.694317 best test_acc 0.7741
e 11 | malicious users: 5 | test acc 0.6106 test loss 1.197423 best test_acc 0.7741
e 12 | malicious users: 5 | test acc 0.7938 test loss 0.587163 best test_acc 0.7938
e 13 | malicious users: 5 | test acc 0.6665 test loss 1.066197 best test_acc 0.7938
e 14 | malicious users: 5 | test acc 0.7439 test loss 0.825225 best test_acc 0.7938
e 15 | malicious users: 5 | test acc 0.6603 test loss 1.094912 best test_acc 0.7938
e 16 | malicious users: 5 | test acc 0.7456 test loss 0.702673 best test_acc 0.7938
e 17 | malicious users: 5 | test acc 0.6532 test loss 0.981229 best test_acc 0.7938
e 18 | malicious users: 5 | test acc 0.7273 test loss 0.878890 best test_acc 0.7938
e 19 | malicious users: 5 | test acc 0.6404 test loss 0.972174 best test_acc 0.7938
e 20 | malicious users: 5 | test acc 0.8123 test loss 0.639287 best test_acc 0.8123
e 21 | malicious users: 5 | test acc 0.6731 test loss 0.984004 best test_acc 0.8123
e 22 | malicious users: 5 | test acc 0.8153 test loss 0.598226 best test_acc 0.8153
e 23 | malicious users: 5 | test acc 0.8156 test loss 0.922916 best test_acc 0.8156
e 24 | malicious users: 5 | test acc 0.8590 test loss 0.443170 best test_acc 0.8590
e 25 | malicious users: 5 | test acc 0.6907 test loss 1.006011 best test_acc 0.8590
e 26 | malicious users: 5 | test acc 0.8331 test loss 0.578736 best test_acc 0.8590
e 27 | malicious users: 5 | test acc 0.7873 test loss 0.920361 best test_acc 0.8590
e 28 | malicious users: 5 | test acc 0.5099 test loss 1.269964 best test_acc 0.8590
e 29 | malicious users: 5 | test acc 0.7151 test loss 0.824643 best test_acc 0.8590
e 30 | malicious users: 5 | test acc 0.8290 test loss 0.666568 best test_acc 0.8590
e 31 | malicious users: 5 | test acc 0.8346 test loss 0.613771 best test_acc 0.8590
e 32 | malicious users: 5 | test acc 0.8601 test loss 0.654948 best test_acc 0.8601
e 33 | malicious users: 5 | test acc 0.7954 test loss 0.621089 best test_acc 0.8601
e 34 | malicious users: 5 | test acc 0.7667 test loss 0.840111 best test_acc 0.8601
e 35 | malicious users: 5 | test acc 0.7863 test loss 0.669741 best test_acc 0.8601
e 36 | malicious users: 5 | test acc 0.6072 test loss 1.182514 best test_acc 0.8601
e 37 | malicious users: 5 | test acc 0.7991 test loss 0.597745 best test_acc 0.8601
e 38 | malicious users: 5 | test acc 0.8303 test loss 0.811413 best test_acc 0.8601
e 39 | malicious users: 5 | test acc 0.6902 test loss 0.852567 best test_acc 0.8601
e 40 | malicious users: 5 | test acc 0.6760 test loss 0.899464 best test_acc 0.8601
e 41 | malicious users: 5 | test acc 0.8371 test loss 0.610129 best test_acc 0.8601
e 42 | malicious users: 5 | test acc 0.7742 test loss 0.768401 best test_acc 0.8601
e 43 | malicious users: 5 | test acc 0.8210 test loss 0.581710 best test_acc 0.8601
e 44 | malicious users: 5 | test acc 0.8405 test loss 0.558046 best test_acc 0.8601
e 45 | malicious users: 5 | test acc 0.7600 test loss 0.725457 best test_acc 0.8601
e 46 | malicious users: 5 | test acc 0.8239 test loss 0.613172 best test_acc 0.8601
e 47 | malicious users: 5 | test acc 0.6903 test loss 0.907935 best test_acc 0.8601
e 48 | malicious users: 5 | test acc 0.8862 test loss 0.625331 best test_acc 0.8862
e 49 | malicious users: 5 | test acc 0.7675 test loss 0.718589 best test_acc 0.8862
e 50 | malicious users: 5 | test acc 0.7915 test loss 0.737480 best test_acc 0.8862
e 51 | malicious users: 5 | test acc 0.8426 test loss 0.592570 best test_acc 0.8862
e 52 | malicious users: 5 | test acc 0.7853 test loss 0.990651 best test_acc 0.8862
e 53 | malicious users: 5 | test acc 0.8462 test loss 0.498690 best test_acc 0.8862
e 54 | malicious users: 5 | test acc 0.8271 test loss 0.770629 best test_acc 0.8862
e 55 | malicious users: 5 | test acc 0.7069 test loss 0.737906 best test_acc 0.8862
e 56 | malicious users: 5 | test acc 0.7535 test loss 0.745491 best test_acc 0.8862
e 57 | malicious users: 5 | test acc 0.6427 test loss 0.958089 best test_acc 0.8862
e 58 | malicious users: 5 | test acc 0.6916 test loss 0.944998 best test_acc 0.8862
e 59 | malicious users: 5 | test acc 0.8701 test loss 0.528384 best test_acc 0.8862
e 60 | malicious users: 5 | test acc 0.7562 test loss 0.800381 best test_acc 0.8862
e 61 | malicious users: 5 | test acc 0.7675 test loss 0.744427 best test_acc 0.8862
e 62 | malicious users: 5 | test acc 0.7193 test loss 0.741299 best test_acc 0.8862
e 63 | malicious users: 5 | test acc 0.7183 test loss 0.791789 best test_acc 0.8862
e 64 | malicious users: 5 | test acc 0.7627 test loss 0.885539 best test_acc 0.8862
e 65 | malicious users: 5 | test acc 0.8527 test loss 0.521874 best test_acc 0.8862
e 66 | malicious users: 5 | test acc 0.7679 test loss 0.698005 best test_acc 0.8862
e 67 | malicious users: 5 | test acc 0.7917 test loss 0.712614 best test_acc 0.8862
e 68 | malicious users: 5 | test acc 0.7636 test loss 0.840588 best test_acc 0.8862
e 69 | malicious users: 5 | test acc 0.7680 test loss 0.647562 best test_acc 0.8862
e 70 | malicious users: 5 | test acc 0.8033 test loss 0.849964 best test_acc 0.8862
e 71 | malicious users: 5 | test acc 0.6921 test loss 0.849054 best test_acc 0.8862
e 72 | malicious users: 5 | test acc 0.6781 test loss 0.962619 best test_acc 0.8862
e 73 | malicious users: 5 | test acc 0.8004 test loss 0.622312 best test_acc 0.8862
e 74 | malicious users: 5 | test acc 0.7646 test loss 0.962959 best test_acc 0.8862
e 75 | malicious users: 5 | test acc 0.8687 test loss 0.545463 best test_acc 0.8862
e 76 | malicious users: 5 | test acc 0.8182 test loss 0.723339 best test_acc 0.8862
e 77 | malicious users: 5 | test acc 0.8369 test loss 0.570570 best test_acc 0.8862
e 78 | malicious users: 5 | test acc 0.7728 test loss 0.696395 best test_acc 0.8862
e 79 | malicious users: 5 | test acc 0.6714 test loss 0.899219 best test_acc 0.8862
e 80 | malicious users: 5 | test acc 0.7479 test loss 0.757200 best test_acc 0.8862
e 81 | malicious users: 5 | test acc 0.7576 test loss 0.744283 best test_acc 0.8862
e 82 | malicious users: 5 | test acc 0.7432 test loss 0.779908 best test_acc 0.8862
e 83 | malicious users: 5 | test acc 0.6868 test loss 0.824374 best test_acc 0.8862
e 84 | malicious users: 5 | test acc 0.8442 test loss 0.573893 best test_acc 0.8862
e 85 | malicious users: 5 | test acc 0.8131 test loss 0.700758 best test_acc 0.8862
e 86 | malicious users: 5 | test acc 0.7790 test loss 0.723700 best test_acc 0.8862
e 87 | malicious users: 5 | test acc 0.7752 test loss 0.690809 best test_acc 0.8862
