=> Saving data in Logs/FRL~try=875
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3322 test loss 2.175159 best test_acc 0.3322
e 1 | malicious users: 5 | test acc 0.6486 test loss 1.646480 best test_acc 0.6486
e 2 | malicious users: 5 | test acc 0.4929 test loss 1.567646 best test_acc 0.6486
e 3 | malicious users: 5 | test acc 0.7058 test loss 1.036995 best test_acc 0.7058
e 4 | malicious users: 5 | test acc 0.6529 test loss 1.048529 best test_acc 0.7058
e 5 | malicious users: 5 | test acc 0.6182 test loss 1.102736 best test_acc 0.7058
e 6 | malicious users: 5 | test acc 0.7076 test loss 0.834697 best test_acc 0.7076
e 7 | malicious users: 5 | test acc 0.7063 test loss 0.937320 best test_acc 0.7076
e 8 | malicious users: 5 | test acc 0.8417 test loss 0.642672 best test_acc 0.8417
e 9 | malicious users: 5 | test acc 0.6761 test loss 0.967449 best test_acc 0.8417
e 10 | malicious users: 5 | test acc 0.7886 test loss 0.722716 best test_acc 0.8417
e 11 | malicious users: 5 | test acc 0.7731 test loss 0.825148 best test_acc 0.8417
e 12 | malicious users: 5 | test acc 0.7469 test loss 0.842380 best test_acc 0.8417
e 13 | malicious users: 5 | test acc 0.7698 test loss 0.738609 best test_acc 0.8417
e 14 | malicious users: 5 | test acc 0.7695 test loss 0.672168 best test_acc 0.8417
e 15 | malicious users: 5 | test acc 0.7425 test loss 0.911151 best test_acc 0.8417
e 16 | malicious users: 5 | test acc 0.8438 test loss 0.486018 best test_acc 0.8438
e 17 | malicious users: 5 | test acc 0.7646 test loss 0.977667 best test_acc 0.8438
e 18 | malicious users: 5 | test acc 0.7461 test loss 0.739039 best test_acc 0.8438
e 19 | malicious users: 5 | test acc 0.9169 test loss 0.377892 best test_acc 0.9169
e 20 | malicious users: 5 | test acc 0.8144 test loss 0.790974 best test_acc 0.9169
e 21 | malicious users: 5 | test acc 0.8990 test loss 0.446826 best test_acc 0.9169
e 22 | malicious users: 5 | test acc 0.7820 test loss 0.822197 best test_acc 0.9169
e 23 | malicious users: 5 | test acc 0.8654 test loss 0.427289 best test_acc 0.9169
e 24 | malicious users: 5 | test acc 0.8190 test loss 0.771730 best test_acc 0.9169
e 25 | malicious users: 5 | test acc 0.8768 test loss 0.481318 best test_acc 0.9169
e 26 | malicious users: 5 | test acc 0.8467 test loss 0.592687 best test_acc 0.9169
e 27 | malicious users: 5 | test acc 0.7636 test loss 0.625803 best test_acc 0.9169
e 28 | malicious users: 5 | test acc 0.8312 test loss 0.656014 best test_acc 0.9169
e 29 | malicious users: 5 | test acc 0.7920 test loss 0.678655 best test_acc 0.9169
