=> Saving data in Logs/FRL~try=882
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  Reverse_mid
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.2098 test loss 2.187103 best test_acc 0.2098
e 1 | malicious users: 3 | test acc 0.5301 test loss 2.035235 best test_acc 0.5301
e 2 | malicious users: 6 | test acc 0.5213 test loss 1.696944 best test_acc 0.5301
e 3 | malicious users: 5 | test acc 0.5455 test loss 1.591301 best test_acc 0.5455
e 4 | malicious users: 8 | test acc 0.6910 test loss 1.291624 best test_acc 0.6910
e 5 | malicious users: 5 | test acc 0.7127 test loss 0.986399 best test_acc 0.7127
e 6 | malicious users: 3 | test acc 0.5983 test loss 1.068709 best test_acc 0.7127
e 7 | malicious users: 7 | test acc 0.6429 test loss 1.058491 best test_acc 0.7127
e 8 | malicious users: 9 | test acc 0.6942 test loss 0.854213 best test_acc 0.7127
e 9 | malicious users: 5 | test acc 0.7036 test loss 0.913700 best test_acc 0.7127
e 10 | malicious users: 4 | test acc 0.7663 test loss 0.754613 best test_acc 0.7663
e 11 | malicious users: 3 | test acc 0.8058 test loss 0.649328 best test_acc 0.8058
e 12 | malicious users: 7 | test acc 0.7807 test loss 0.783729 best test_acc 0.8058
e 13 | malicious users: 5 | test acc 0.8527 test loss 0.516564 best test_acc 0.8527
e 14 | malicious users: 3 | test acc 0.7407 test loss 0.739652 best test_acc 0.8527
e 15 | malicious users: 5 | test acc 0.7991 test loss 0.672356 best test_acc 0.8527
e 16 | malicious users: 4 | test acc 0.7573 test loss 0.602389 best test_acc 0.8527
e 17 | malicious users: 6 | test acc 0.7752 test loss 0.744825 best test_acc 0.8527
e 18 | malicious users: 4 | test acc 0.8235 test loss 0.587502 best test_acc 0.8527
e 19 | malicious users: 2 | test acc 0.8271 test loss 0.573376 best test_acc 0.8527
e 20 | malicious users: 3 | test acc 0.8298 test loss 0.606546 best test_acc 0.8527
e 21 | malicious users: 10 | test acc 0.8112 test loss 0.589400 best test_acc 0.8527
e 22 | malicious users: 9 | test acc 0.8773 test loss 0.545413 best test_acc 0.8773
e 23 | malicious users: 5 | test acc 0.9165 test loss 0.392686 best test_acc 0.9165
e 24 | malicious users: 3 | test acc 0.8492 test loss 0.463098 best test_acc 0.9165
e 25 | malicious users: 1 | test acc 0.8382 test loss 0.714055 best test_acc 0.9165
e 26 | malicious users: 8 | test acc 0.8340 test loss 0.578950 best test_acc 0.9165
e 27 | malicious users: 5 | test acc 0.7600 test loss 0.654872 best test_acc 0.9165
e 28 | malicious users: 6 | test acc 0.8284 test loss 0.523917 best test_acc 0.9165
e 29 | malicious users: 4 | test acc 0.9002 test loss 0.504089 best test_acc 0.9165
e 30 | malicious users: 3 | test acc 0.8196 test loss 0.514731 best test_acc 0.9165
e 31 | malicious users: 8 | test acc 0.8303 test loss 0.550156 best test_acc 0.9165
e 32 | malicious users: 4 | test acc 0.9010 test loss 0.428151 best test_acc 0.9165
e 33 | malicious users: 2 | test acc 0.9101 test loss 0.389823 best test_acc 0.9165
e 34 | malicious users: 4 | test acc 0.8838 test loss 0.460547 best test_acc 0.9165
e 35 | malicious users: 4 | test acc 0.8177 test loss 0.588445 best test_acc 0.9165
e 36 | malicious users: 6 | test acc 0.8402 test loss 0.614849 best test_acc 0.9165
e 37 | malicious users: 3 | test acc 0.8443 test loss 0.467228 best test_acc 0.9165
e 38 | malicious users: 5 | test acc 0.9178 test loss 0.369362 best test_acc 0.9178
e 39 | malicious users: 6 | test acc 0.9044 test loss 0.444268 best test_acc 0.9178
e 40 | malicious users: 5 | test acc 0.8446 test loss 0.452569 best test_acc 0.9178
e 41 | malicious users: 5 | test acc 0.8442 test loss 0.631292 best test_acc 0.9178
e 42 | malicious users: 4 | test acc 0.8709 test loss 0.385324 best test_acc 0.9178
e 43 | malicious users: 6 | test acc 0.8016 test loss 0.622907 best test_acc 0.9178
e 44 | malicious users: 6 | test acc 0.8052 test loss 0.541464 best test_acc 0.9178
e 45 | malicious users: 5 | test acc 0.8188 test loss 0.635955 best test_acc 0.9178
e 46 | malicious users: 3 | test acc 0.8888 test loss 0.482575 best test_acc 0.9178
e 47 | malicious users: 7 | test acc 0.8278 test loss 0.480930 best test_acc 0.9178
e 48 | malicious users: 5 | test acc 0.8769 test loss 0.372308 best test_acc 0.9178
e 49 | malicious users: 4 | test acc 0.8478 test loss 0.511980 best test_acc 0.9178
e 50 | malicious users: 2 | test acc 0.9245 test loss 0.297461 best test_acc 0.9245
e 51 | malicious users: 8 | test acc 0.9258 test loss 0.503508 best test_acc 0.9258
e 52 | malicious users: 2 | test acc 0.8454 test loss 0.474155 best test_acc 0.9258
e 53 | malicious users: 5 | test acc 0.7391 test loss 0.693414 best test_acc 0.9258
e 54 | malicious users: 4 | test acc 0.9333 test loss 0.323991 best test_acc 0.9333
e 55 | malicious users: 5 | test acc 0.9051 test loss 0.403400 best test_acc 0.9333
e 56 | malicious users: 7 | test acc 0.9300 test loss 0.385206 best test_acc 0.9333
e 57 | malicious users: 0 | test acc 0.9346 test loss 0.309934 best test_acc 0.9346
e 58 | malicious users: 5 | test acc 0.9430 test loss 0.236293 best test_acc 0.9430
e 59 | malicious users: 4 | test acc 0.8353 test loss 0.657591 best test_acc 0.9430
e 60 | malicious users: 5 | test acc 0.9180 test loss 0.300516 best test_acc 0.9430
e 61 | malicious users: 5 | test acc 0.8675 test loss 0.417464 best test_acc 0.9430
e 62 | malicious users: 4 | test acc 0.8928 test loss 0.367406 best test_acc 0.9430
e 63 | malicious users: 7 | test acc 0.8565 test loss 0.422659 best test_acc 0.9430
e 64 | malicious users: 6 | test acc 0.8824 test loss 0.436342 best test_acc 0.9430
