=> Saving data in Logs/FRL~try=898
dataset to use is:  CIFAR10
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
Files already downloaded and verified
Files already downloaded and verified
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0999 test loss 2.302149 best test_acc 0.0999
e 1 | malicious users: 5 | test acc 0.1018 test loss 2.302088 best test_acc 0.1018
e 2 | malicious users: 5 | test acc 0.0997 test loss 2.300632 best test_acc 0.1018
e 3 | malicious users: 5 | test acc 0.0997 test loss 2.301481 best test_acc 0.1018
e 4 | malicious users: 5 | test acc 0.1526 test loss 2.299852 best test_acc 0.1526
e 5 | malicious users: 5 | test acc 0.1081 test loss 2.298315 best test_acc 0.1526
e 6 | malicious users: 5 | test acc 0.1703 test loss 2.291222 best test_acc 0.1703
e 7 | malicious users: 5 | test acc 0.1315 test loss 2.279486 best test_acc 0.1703
e 8 | malicious users: 5 | test acc 0.1675 test loss 2.238568 best test_acc 0.1703
e 9 | malicious users: 5 | test acc 0.1708 test loss 2.252060 best test_acc 0.1708
e 10 | malicious users: 5 | test acc 0.1455 test loss 2.227058 best test_acc 0.1708
e 11 | malicious users: 5 | test acc 0.1597 test loss 2.271876 best test_acc 0.1708
e 12 | malicious users: 5 | test acc 0.2083 test loss 2.145914 best test_acc 0.2083
e 13 | malicious users: 5 | test acc 0.1337 test loss 2.253864 best test_acc 0.2083
e 14 | malicious users: 5 | test acc 0.1957 test loss 2.115570 best test_acc 0.2083
e 15 | malicious users: 5 | test acc 0.2093 test loss 2.126583 best test_acc 0.2093
e 16 | malicious users: 5 | test acc 0.1554 test loss 2.222112 best test_acc 0.2093
e 17 | malicious users: 5 | test acc 0.1851 test loss 2.099615 best test_acc 0.2093
e 18 | malicious users: 5 | test acc 0.2105 test loss 2.135694 best test_acc 0.2105
e 19 | malicious users: 5 | test acc 0.1945 test loss 2.102916 best test_acc 0.2105
e 20 | malicious users: 5 | test acc 0.1792 test loss 2.165987 best test_acc 0.2105
e 21 | malicious users: 5 | test acc 0.1807 test loss 2.099931 best test_acc 0.2105
e 22 | malicious users: 5 | test acc 0.2054 test loss 2.070906 best test_acc 0.2105
e 23 | malicious users: 5 | test acc 0.1940 test loss 2.100225 best test_acc 0.2105
e 24 | malicious users: 5 | test acc 0.2467 test loss 2.083678 best test_acc 0.2467
e 25 | malicious users: 5 | test acc 0.2330 test loss 2.018272 best test_acc 0.2467
e 26 | malicious users: 5 | test acc 0.2262 test loss 2.001320 best test_acc 0.2467
e 27 | malicious users: 5 | test acc 0.2772 test loss 1.994054 best test_acc 0.2772
e 28 | malicious users: 5 | test acc 0.2752 test loss 2.062132 best test_acc 0.2772
e 29 | malicious users: 5 | test acc 0.2349 test loss 2.040700 best test_acc 0.2772
e 30 | malicious users: 5 | test acc 0.2347 test loss 1.990361 best test_acc 0.2772
e 31 | malicious users: 5 | test acc 0.2536 test loss 2.026876 best test_acc 0.2772
e 32 | malicious users: 5 | test acc 0.2631 test loss 2.029052 best test_acc 0.2772
e 33 | malicious users: 5 | test acc 0.2517 test loss 1.983538 best test_acc 0.2772
e 34 | malicious users: 5 | test acc 0.2385 test loss 1.951617 best test_acc 0.2772
e 35 | malicious users: 5 | test acc 0.2424 test loss 1.932466 best test_acc 0.2772
e 36 | malicious users: 5 | test acc 0.2399 test loss 1.978371 best test_acc 0.2772
e 37 | malicious users: 5 | test acc 0.2899 test loss 1.970977 best test_acc 0.2899
e 38 | malicious users: 5 | test acc 0.2628 test loss 1.947157 best test_acc 0.2899
e 39 | malicious users: 5 | test acc 0.2566 test loss 1.990564 best test_acc 0.2899
e 40 | malicious users: 5 | test acc 0.2458 test loss 1.929358 best test_acc 0.2899
e 41 | malicious users: 5 | test acc 0.2542 test loss 1.970840 best test_acc 0.2899
e 42 | malicious users: 5 | test acc 0.2414 test loss 1.901080 best test_acc 0.2899
e 43 | malicious users: 5 | test acc 0.2658 test loss 1.952471 best test_acc 0.2899
e 44 | malicious users: 5 | test acc 0.2696 test loss 1.918977 best test_acc 0.2899
e 45 | malicious users: 5 | test acc 0.2461 test loss 1.999801 best test_acc 0.2899
e 46 | malicious users: 5 | test acc 0.2774 test loss 1.905176 best test_acc 0.2899
e 47 | malicious users: 5 | test acc 0.2653 test loss 1.917211 best test_acc 0.2899
e 48 | malicious users: 5 | test acc 0.2613 test loss 1.867243 best test_acc 0.2899
e 49 | malicious users: 5 | test acc 0.3036 test loss 1.891973 best test_acc 0.3036
e 50 | malicious users: 5 | test acc 0.2608 test loss 1.893415 best test_acc 0.3036
e 51 | malicious users: 5 | test acc 0.2965 test loss 1.839120 best test_acc 0.3036
e 52 | malicious users: 5 | test acc 0.2728 test loss 1.878469 best test_acc 0.3036
e 53 | malicious users: 5 | test acc 0.2871 test loss 1.886576 best test_acc 0.3036
e 54 | malicious users: 5 | test acc 0.2806 test loss 1.894090 best test_acc 0.3036
e 55 | malicious users: 5 | test acc 0.3247 test loss 1.821931 best test_acc 0.3247
e 56 | malicious users: 5 | test acc 0.3281 test loss 1.813876 best test_acc 0.3281
e 57 | malicious users: 5 | test acc 0.3059 test loss 1.820163 best test_acc 0.3281
e 58 | malicious users: 5 | test acc 0.3238 test loss 1.857653 best test_acc 0.3281
e 59 | malicious users: 5 | test acc 0.3406 test loss 1.793321 best test_acc 0.3406
e 60 | malicious users: 5 | test acc 0.3427 test loss 1.832125 best test_acc 0.3427
e 61 | malicious users: 5 | test acc 0.3388 test loss 1.795781 best test_acc 0.3427
e 62 | malicious users: 5 | test acc 0.3368 test loss 1.790620 best test_acc 0.3427
e 63 | malicious users: 5 | test acc 0.3591 test loss 1.760806 best test_acc 0.3591
e 64 | malicious users: 5 | test acc 0.3279 test loss 1.789513 best test_acc 0.3591
e 65 | malicious users: 5 | test acc 0.3238 test loss 1.812597 best test_acc 0.3591
e 66 | malicious users: 5 | test acc 0.3589 test loss 1.730099 best test_acc 0.3591
e 67 | malicious users: 5 | test acc 0.3351 test loss 1.833338 best test_acc 0.3591
e 68 | malicious users: 5 | test acc 0.3730 test loss 1.681709 best test_acc 0.3730
e 69 | malicious users: 5 | test acc 0.3295 test loss 1.851782 best test_acc 0.3730
e 70 | malicious users: 5 | test acc 0.3310 test loss 1.786762 best test_acc 0.3730
e 71 | malicious users: 5 | test acc 0.3422 test loss 1.730633 best test_acc 0.3730
e 72 | malicious users: 5 | test acc 0.3486 test loss 1.788442 best test_acc 0.3730
e 73 | malicious users: 5 | test acc 0.3688 test loss 1.705781 best test_acc 0.3730
e 74 | malicious users: 5 | test acc 0.3791 test loss 1.726011 best test_acc 0.3791
e 75 | malicious users: 5 | test acc 0.3438 test loss 1.788930 best test_acc 0.3791
e 76 | malicious users: 5 | test acc 0.3692 test loss 1.718878 best test_acc 0.3791
e 77 | malicious users: 5 | test acc 0.3781 test loss 1.661420 best test_acc 0.3791
e 78 | malicious users: 5 | test acc 0.3749 test loss 1.750896 best test_acc 0.3791
e 79 | malicious users: 5 | test acc 0.3653 test loss 1.728995 best test_acc 0.3791
e 80 | malicious users: 5 | test acc 0.3754 test loss 1.676977 best test_acc 0.3791
e 81 | malicious users: 5 | test acc 0.3661 test loss 1.749043 best test_acc 0.3791
e 82 | malicious users: 5 | test acc 0.3937 test loss 1.712106 best test_acc 0.3937
e 83 | malicious users: 5 | test acc 0.3934 test loss 1.685080 best test_acc 0.3937
e 84 | malicious users: 5 | test acc 0.4092 test loss 1.653466 best test_acc 0.4092
e 85 | malicious users: 5 | test acc 0.3921 test loss 1.644714 best test_acc 0.4092
e 86 | malicious users: 5 | test acc 0.3378 test loss 1.736834 best test_acc 0.4092
e 87 | malicious users: 5 | test acc 0.3976 test loss 1.621489 best test_acc 0.4092
e 88 | malicious users: 5 | test acc 0.3699 test loss 1.737651 best test_acc 0.4092
e 89 | malicious users: 5 | test acc 0.3875 test loss 1.727256 best test_acc 0.4092
e 90 | malicious users: 5 | test acc 0.3964 test loss 1.642038 best test_acc 0.4092
e 91 | malicious users: 5 | test acc 0.3954 test loss 1.675865 best test_acc 0.4092
e 92 | malicious users: 5 | test acc 0.4017 test loss 1.649822 best test_acc 0.4092
e 93 | malicious users: 5 | test acc 0.4027 test loss 1.639077 best test_acc 0.4092
e 94 | malicious users: 5 | test acc 0.4100 test loss 1.616170 best test_acc 0.4100
e 95 | malicious users: 5 | test acc 0.4049 test loss 1.620073 best test_acc 0.4100
e 96 | malicious users: 5 | test acc 0.3942 test loss 1.663721 best test_acc 0.4100
e 97 | malicious users: 5 | test acc 0.3938 test loss 1.662701 best test_acc 0.4100
e 98 | malicious users: 5 | test acc 0.3936 test loss 1.611032 best test_acc 0.4100
e 99 | malicious users: 5 | test acc 0.4231 test loss 1.596427 best test_acc 0.4231
e 100 | malicious users: 5 | test acc 0.3671 test loss 1.733570 best test_acc 0.4231
e 101 | malicious users: 5 | test acc 0.4088 test loss 1.606116 best test_acc 0.4231
e 102 | malicious users: 5 | test acc 0.4132 test loss 1.587470 best test_acc 0.4231
e 103 | malicious users: 5 | test acc 0.4039 test loss 1.646449 best test_acc 0.4231
e 104 | malicious users: 5 | test acc 0.4324 test loss 1.603412 best test_acc 0.4324
e 105 | malicious users: 5 | test acc 0.4349 test loss 1.584505 best test_acc 0.4349
e 106 | malicious users: 5 | test acc 0.3933 test loss 1.632178 best test_acc 0.4349
e 107 | malicious users: 5 | test acc 0.4257 test loss 1.634462 best test_acc 0.4349
e 108 | malicious users: 5 | test acc 0.4225 test loss 1.571333 best test_acc 0.4349
e 109 | malicious users: 5 | test acc 0.4162 test loss 1.603795 best test_acc 0.4349
e 110 | malicious users: 5 | test acc 0.4156 test loss 1.628518 best test_acc 0.4349
e 111 | malicious users: 5 | test acc 0.4370 test loss 1.553037 best test_acc 0.4370
