=> Saving data in Logs/FRL~try=900
dataset to use is:  CIFAR10
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
Files already downloaded and verified
Files already downloaded and verified
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1212 test loss 2.302467 best test_acc 0.1212
e 1 | malicious users: 5 | test acc 0.1002 test loss 2.300120 best test_acc 0.1212
e 2 | malicious users: 5 | test acc 0.0993 test loss 2.300181 best test_acc 0.1212
e 3 | malicious users: 5 | test acc 0.0993 test loss 2.290505 best test_acc 0.1212
e 4 | malicious users: 5 | test acc 0.1898 test loss 2.276234 best test_acc 0.1898
e 5 | malicious users: 5 | test acc 0.2064 test loss 2.257187 best test_acc 0.2064
e 6 | malicious users: 5 | test acc 0.1164 test loss 2.264252 best test_acc 0.2064
e 7 | malicious users: 5 | test acc 0.1340 test loss 2.263326 best test_acc 0.2064
e 8 | malicious users: 5 | test acc 0.1976 test loss 2.223350 best test_acc 0.2064
e 9 | malicious users: 5 | test acc 0.1627 test loss 2.210202 best test_acc 0.2064
e 10 | malicious users: 5 | test acc 0.2023 test loss 2.209779 best test_acc 0.2064
e 11 | malicious users: 5 | test acc 0.1886 test loss 2.151784 best test_acc 0.2064
e 12 | malicious users: 5 | test acc 0.1851 test loss 2.222768 best test_acc 0.2064
e 13 | malicious users: 5 | test acc 0.1753 test loss 2.179568 best test_acc 0.2064
e 14 | malicious users: 5 | test acc 0.1764 test loss 2.197552 best test_acc 0.2064
e 15 | malicious users: 5 | test acc 0.1906 test loss 2.178817 best test_acc 0.2064
e 16 | malicious users: 5 | test acc 0.2326 test loss 2.091332 best test_acc 0.2326
e 17 | malicious users: 5 | test acc 0.2151 test loss 2.196654 best test_acc 0.2326
e 18 | malicious users: 5 | test acc 0.2722 test loss 2.009961 best test_acc 0.2722
e 19 | malicious users: 5 | test acc 0.1951 test loss 2.097739 best test_acc 0.2722
e 20 | malicious users: 5 | test acc 0.1831 test loss 2.088485 best test_acc 0.2722
e 21 | malicious users: 5 | test acc 0.1928 test loss 2.121330 best test_acc 0.2722
e 22 | malicious users: 5 | test acc 0.2342 test loss 2.023662 best test_acc 0.2722
e 23 | malicious users: 5 | test acc 0.2143 test loss 2.078217 best test_acc 0.2722
e 24 | malicious users: 5 | test acc 0.2005 test loss 2.079302 best test_acc 0.2722
e 25 | malicious users: 5 | test acc 0.2595 test loss 1.986339 best test_acc 0.2722
e 26 | malicious users: 5 | test acc 0.2680 test loss 2.049115 best test_acc 0.2722
e 27 | malicious users: 5 | test acc 0.2590 test loss 2.006391 best test_acc 0.2722
e 28 | malicious users: 5 | test acc 0.2419 test loss 1.995189 best test_acc 0.2722
e 29 | malicious users: 5 | test acc 0.2334 test loss 1.968662 best test_acc 0.2722
e 30 | malicious users: 5 | test acc 0.2307 test loss 1.988007 best test_acc 0.2722
e 31 | malicious users: 5 | test acc 0.2346 test loss 2.006675 best test_acc 0.2722
e 32 | malicious users: 5 | test acc 0.2120 test loss 1.971856 best test_acc 0.2722
e 33 | malicious users: 5 | test acc 0.2421 test loss 1.963107 best test_acc 0.2722
e 34 | malicious users: 5 | test acc 0.2680 test loss 1.922166 best test_acc 0.2722
e 35 | malicious users: 5 | test acc 0.2794 test loss 1.932425 best test_acc 0.2794
e 36 | malicious users: 5 | test acc 0.2317 test loss 2.018558 best test_acc 0.2794
e 37 | malicious users: 5 | test acc 0.2730 test loss 1.905823 best test_acc 0.2794
e 38 | malicious users: 5 | test acc 0.2619 test loss 1.985997 best test_acc 0.2794
e 39 | malicious users: 5 | test acc 0.2759 test loss 1.950563 best test_acc 0.2794
e 40 | malicious users: 5 | test acc 0.2352 test loss 1.975449 best test_acc 0.2794
e 41 | malicious users: 5 | test acc 0.2559 test loss 1.946985 best test_acc 0.2794
e 42 | malicious users: 5 | test acc 0.2554 test loss 1.935631 best test_acc 0.2794
e 43 | malicious users: 5 | test acc 0.3139 test loss 1.866344 best test_acc 0.3139
e 44 | malicious users: 5 | test acc 0.2907 test loss 1.937818 best test_acc 0.3139
e 45 | malicious users: 5 | test acc 0.2863 test loss 1.935146 best test_acc 0.3139
e 46 | malicious users: 5 | test acc 0.2704 test loss 1.926571 best test_acc 0.3139
e 47 | malicious users: 5 | test acc 0.3148 test loss 1.860988 best test_acc 0.3148
e 48 | malicious users: 5 | test acc 0.2853 test loss 1.945200 best test_acc 0.3148
e 49 | malicious users: 5 | test acc 0.2838 test loss 1.874141 best test_acc 0.3148
e 50 | malicious users: 5 | test acc 0.3314 test loss 1.818182 best test_acc 0.3314
e 51 | malicious users: 5 | test acc 0.3058 test loss 1.915940 best test_acc 0.3314
e 52 | malicious users: 5 | test acc 0.2972 test loss 1.865077 best test_acc 0.3314
e 53 | malicious users: 5 | test acc 0.3494 test loss 1.802167 best test_acc 0.3494
e 54 | malicious users: 5 | test acc 0.3198 test loss 1.901101 best test_acc 0.3494
e 55 | malicious users: 5 | test acc 0.3284 test loss 1.783682 best test_acc 0.3494
e 56 | malicious users: 5 | test acc 0.2963 test loss 1.997270 best test_acc 0.3494
e 57 | malicious users: 5 | test acc 0.3401 test loss 1.806022 best test_acc 0.3494
