=> Saving data in Logs/FRL~try=901
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3847 test loss 2.215247 best test_acc 0.3847
e 1 | malicious users: 5 | test acc 0.2595 test loss 2.130841 best test_acc 0.3847
e 2 | malicious users: 5 | test acc 0.4484 test loss 1.717721 best test_acc 0.4484
e 3 | malicious users: 5 | test acc 0.3986 test loss 1.728891 best test_acc 0.4484
e 4 | malicious users: 5 | test acc 0.6602 test loss 1.389112 best test_acc 0.6602
e 5 | malicious users: 5 | test acc 0.5845 test loss 1.287176 best test_acc 0.6602
e 6 | malicious users: 5 | test acc 0.6428 test loss 1.143674 best test_acc 0.6602
e 7 | malicious users: 5 | test acc 0.6967 test loss 1.025508 best test_acc 0.6967
e 8 | malicious users: 5 | test acc 0.6876 test loss 0.887993 best test_acc 0.6967
e 9 | malicious users: 5 | test acc 0.6673 test loss 1.035468 best test_acc 0.6967
e 10 | malicious users: 5 | test acc 0.6720 test loss 0.979347 best test_acc 0.6967
e 11 | malicious users: 5 | test acc 0.8338 test loss 0.744481 best test_acc 0.8338
e 12 | malicious users: 5 | test acc 0.7497 test loss 0.788659 best test_acc 0.8338
e 13 | malicious users: 5 | test acc 0.8116 test loss 0.783349 best test_acc 0.8338
e 14 | malicious users: 5 | test acc 0.7899 test loss 0.715173 best test_acc 0.8338
e 15 | malicious users: 5 | test acc 0.7444 test loss 0.781742 best test_acc 0.8338
e 16 | malicious users: 5 | test acc 0.7303 test loss 0.792874 best test_acc 0.8338
e 17 | malicious users: 5 | test acc 0.7695 test loss 0.686294 best test_acc 0.8338
e 18 | malicious users: 5 | test acc 0.7608 test loss 0.708560 best test_acc 0.8338
e 19 | malicious users: 5 | test acc 0.7122 test loss 0.728701 best test_acc 0.8338
e 20 | malicious users: 5 | test acc 0.8204 test loss 0.677133 best test_acc 0.8338
e 21 | malicious users: 5 | test acc 0.8906 test loss 0.544407 best test_acc 0.8906
e 22 | malicious users: 5 | test acc 0.8929 test loss 0.532764 best test_acc 0.8929
e 23 | malicious users: 5 | test acc 0.7749 test loss 0.787807 best test_acc 0.8929
e 24 | malicious users: 5 | test acc 0.7707 test loss 0.568398 best test_acc 0.8929
e 25 | malicious users: 5 | test acc 0.8359 test loss 0.527113 best test_acc 0.8929
e 26 | malicious users: 5 | test acc 0.8382 test loss 0.576305 best test_acc 0.8929
e 27 | malicious users: 5 | test acc 0.8626 test loss 0.527259 best test_acc 0.8929
e 28 | malicious users: 5 | test acc 0.8714 test loss 0.573446 best test_acc 0.8929
e 29 | malicious users: 5 | test acc 0.8824 test loss 0.522820 best test_acc 0.8929
e 30 | malicious users: 5 | test acc 0.8118 test loss 0.693001 best test_acc 0.8929
e 31 | malicious users: 5 | test acc 0.8581 test loss 0.604491 best test_acc 0.8929
e 32 | malicious users: 5 | test acc 0.8508 test loss 0.523251 best test_acc 0.8929
e 33 | malicious users: 5 | test acc 0.8657 test loss 0.615749 best test_acc 0.8929
e 34 | malicious users: 5 | test acc 0.8606 test loss 0.460719 best test_acc 0.8929
e 35 | malicious users: 5 | test acc 0.7369 test loss 0.728870 best test_acc 0.8929
e 36 | malicious users: 5 | test acc 0.8097 test loss 0.567696 best test_acc 0.8929
e 37 | malicious users: 5 | test acc 0.7288 test loss 0.700814 best test_acc 0.8929
e 38 | malicious users: 5 | test acc 0.8251 test loss 0.553648 best test_acc 0.8929
e 39 | malicious users: 5 | test acc 0.8415 test loss 0.618109 best test_acc 0.8929
e 40 | malicious users: 5 | test acc 0.8546 test loss 0.474166 best test_acc 0.8929
e 41 | malicious users: 5 | test acc 0.8506 test loss 0.501522 best test_acc 0.8929
e 42 | malicious users: 5 | test acc 0.8946 test loss 0.477920 best test_acc 0.8946
e 43 | malicious users: 5 | test acc 0.8870 test loss 0.431372 best test_acc 0.8946
e 44 | malicious users: 5 | test acc 0.8571 test loss 0.495223 best test_acc 0.8946
e 45 | malicious users: 5 | test acc 0.9221 test loss 0.318724 best test_acc 0.9221
e 46 | malicious users: 5 | test acc 0.7895 test loss 0.778321 best test_acc 0.9221
e 47 | malicious users: 5 | test acc 0.8865 test loss 0.433145 best test_acc 0.9221
e 48 | malicious users: 5 | test acc 0.9261 test loss 0.460839 best test_acc 0.9261
e 49 | malicious users: 5 | test acc 0.9161 test loss 0.426385 best test_acc 0.9261
e 50 | malicious users: 5 | test acc 0.8110 test loss 0.605585 best test_acc 0.9261
e 51 | malicious users: 5 | test acc 0.9031 test loss 0.563461 best test_acc 0.9261
e 52 | malicious users: 5 | test acc 0.8793 test loss 0.465379 best test_acc 0.9261
e 53 | malicious users: 5 | test acc 0.8598 test loss 0.509246 best test_acc 0.9261
e 54 | malicious users: 5 | test acc 0.9186 test loss 0.383683 best test_acc 0.9261
e 55 | malicious users: 5 | test acc 0.8538 test loss 0.499369 best test_acc 0.9261
e 56 | malicious users: 5 | test acc 0.8018 test loss 0.680602 best test_acc 0.9261
e 57 | malicious users: 5 | test acc 0.6886 test loss 0.826573 best test_acc 0.9261
