=> Saving data in Logs/FRL~try=902
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.7
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.4620 test loss 2.235661 best test_acc 0.4620
e 1 | malicious users: 5 | test acc 0.2740 test loss 2.102205 best test_acc 0.4620
e 2 | malicious users: 5 | test acc 0.3728 test loss 2.077963 best test_acc 0.4620
e 3 | malicious users: 5 | test acc 0.3933 test loss 1.901396 best test_acc 0.4620
e 4 | malicious users: 5 | test acc 0.6904 test loss 1.701050 best test_acc 0.6904
e 5 | malicious users: 5 | test acc 0.6302 test loss 1.293319 best test_acc 0.6904
e 6 | malicious users: 5 | test acc 0.6485 test loss 1.276039 best test_acc 0.6904
e 7 | malicious users: 5 | test acc 0.6642 test loss 1.062711 best test_acc 0.6904
e 8 | malicious users: 5 | test acc 0.8124 test loss 0.964306 best test_acc 0.8124
e 9 | malicious users: 5 | test acc 0.6594 test loss 0.990434 best test_acc 0.8124
e 10 | malicious users: 5 | test acc 0.7564 test loss 0.921425 best test_acc 0.8124
e 11 | malicious users: 5 | test acc 0.6719 test loss 0.922923 best test_acc 0.8124
e 12 | malicious users: 5 | test acc 0.6364 test loss 0.973108 best test_acc 0.8124
e 13 | malicious users: 5 | test acc 0.7562 test loss 0.875476 best test_acc 0.8124
e 14 | malicious users: 5 | test acc 0.8033 test loss 0.845708 best test_acc 0.8124
e 15 | malicious users: 5 | test acc 0.7141 test loss 0.749773 best test_acc 0.8124
e 16 | malicious users: 5 | test acc 0.7719 test loss 0.876704 best test_acc 0.8124
e 17 | malicious users: 5 | test acc 0.8435 test loss 0.643144 best test_acc 0.8435
e 18 | malicious users: 5 | test acc 0.6736 test loss 0.976661 best test_acc 0.8435
e 19 | malicious users: 5 | test acc 0.8522 test loss 0.564809 best test_acc 0.8522
e 20 | malicious users: 5 | test acc 0.7237 test loss 0.767126 best test_acc 0.8522
e 21 | malicious users: 5 | test acc 0.7489 test loss 0.711357 best test_acc 0.8522
e 22 | malicious users: 5 | test acc 0.7287 test loss 0.782225 best test_acc 0.8522
e 23 | malicious users: 5 | test acc 0.7449 test loss 0.762336 best test_acc 0.8522
e 24 | malicious users: 5 | test acc 0.7682 test loss 0.781507 best test_acc 0.8522
e 25 | malicious users: 5 | test acc 0.7404 test loss 0.811111 best test_acc 0.8522
e 26 | malicious users: 5 | test acc 0.8140 test loss 0.595903 best test_acc 0.8522
e 27 | malicious users: 5 | test acc 0.9077 test loss 0.440439 best test_acc 0.9077
e 28 | malicious users: 5 | test acc 0.8255 test loss 0.577474 best test_acc 0.9077
e 29 | malicious users: 5 | test acc 0.8699 test loss 0.557067 best test_acc 0.9077
e 30 | malicious users: 5 | test acc 0.8199 test loss 0.572039 best test_acc 0.9077
e 31 | malicious users: 5 | test acc 0.8406 test loss 0.577479 best test_acc 0.9077
e 32 | malicious users: 5 | test acc 0.8018 test loss 0.648521 best test_acc 0.9077
e 33 | malicious users: 5 | test acc 0.6724 test loss 0.945879 best test_acc 0.9077
e 34 | malicious users: 5 | test acc 0.6580 test loss 0.870242 best test_acc 0.9077
e 35 | malicious users: 5 | test acc 0.7263 test loss 0.727882 best test_acc 0.9077
e 36 | malicious users: 5 | test acc 0.8266 test loss 0.608201 best test_acc 0.9077
e 37 | malicious users: 5 | test acc 0.7857 test loss 0.833341 best test_acc 0.9077
e 38 | malicious users: 5 | test acc 0.6728 test loss 0.903266 best test_acc 0.9077
e 39 | malicious users: 5 | test acc 0.7581 test loss 0.672951 best test_acc 0.9077
e 40 | malicious users: 5 | test acc 0.8792 test loss 0.504655 best test_acc 0.9077
e 41 | malicious users: 5 | test acc 0.8395 test loss 0.466375 best test_acc 0.9077
e 42 | malicious users: 5 | test acc 0.7608 test loss 0.916418 best test_acc 0.9077
e 43 | malicious users: 5 | test acc 0.8274 test loss 0.567033 best test_acc 0.9077
e 44 | malicious users: 5 | test acc 0.7949 test loss 0.668962 best test_acc 0.9077
e 45 | malicious users: 5 | test acc 0.8157 test loss 0.634308 best test_acc 0.9077
e 46 | malicious users: 5 | test acc 0.8567 test loss 0.608890 best test_acc 0.9077
e 47 | malicious users: 5 | test acc 0.9216 test loss 0.347781 best test_acc 0.9216
e 48 | malicious users: 5 | test acc 0.7914 test loss 0.658115 best test_acc 0.9216
e 49 | malicious users: 5 | test acc 0.8389 test loss 0.543841 best test_acc 0.9216
e 50 | malicious users: 5 | test acc 0.9062 test loss 0.495895 best test_acc 0.9216
e 51 | malicious users: 5 | test acc 0.8963 test loss 0.471277 best test_acc 0.9216
e 52 | malicious users: 5 | test acc 0.8820 test loss 0.455261 best test_acc 0.9216
e 53 | malicious users: 5 | test acc 0.8023 test loss 0.712360 best test_acc 0.9216
e 54 | malicious users: 5 | test acc 0.8527 test loss 0.500850 best test_acc 0.9216
e 55 | malicious users: 5 | test acc 0.8216 test loss 0.583858 best test_acc 0.9216
e 56 | malicious users: 5 | test acc 0.9233 test loss 0.410352 best test_acc 0.9233
e 57 | malicious users: 5 | test acc 0.8212 test loss 0.565691 best test_acc 0.9233
e 58 | malicious users: 5 | test acc 0.7411 test loss 0.757336 best test_acc 0.9233
e 59 | malicious users: 5 | test acc 0.7134 test loss 0.679673 best test_acc 0.9233
e 60 | malicious users: 5 | test acc 0.6940 test loss 0.848741 best test_acc 0.9233
e 61 | malicious users: 5 | test acc 0.8899 test loss 0.470137 best test_acc 0.9233
e 62 | malicious users: 5 | test acc 0.8146 test loss 0.583176 best test_acc 0.9233
e 63 | malicious users: 5 | test acc 0.7898 test loss 0.620735 best test_acc 0.9233
e 64 | malicious users: 5 | test acc 0.7840 test loss 0.702536 best test_acc 0.9233
e 65 | malicious users: 5 | test acc 0.7790 test loss 0.646145 best test_acc 0.9233
e 66 | malicious users: 5 | test acc 0.7913 test loss 0.691163 best test_acc 0.9233
e 67 | malicious users: 5 | test acc 0.7188 test loss 0.750922 best test_acc 0.9233
