=> Saving data in Logs/FRL~try=904
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0958 test loss 2.264163 best test_acc 0.0958
e 1 | malicious users: 5 | test acc 0.1657 test loss 2.157278 best test_acc 0.1657
e 2 | malicious users: 5 | test acc 0.4477 test loss 2.045720 best test_acc 0.4477
e 3 | malicious users: 5 | test acc 0.5409 test loss 1.803410 best test_acc 0.5409
e 4 | malicious users: 5 | test acc 0.4709 test loss 1.705258 best test_acc 0.5409
e 5 | malicious users: 5 | test acc 0.4722 test loss 1.565858 best test_acc 0.5409
e 6 | malicious users: 5 | test acc 0.5920 test loss 1.775896 best test_acc 0.5920
e 7 | malicious users: 5 | test acc 0.6323 test loss 1.234093 best test_acc 0.6323
e 8 | malicious users: 5 | test acc 0.5232 test loss 1.767068 best test_acc 0.6323
e 9 | malicious users: 5 | test acc 0.7279 test loss 1.185253 best test_acc 0.7279
e 10 | malicious users: 5 | test acc 0.5375 test loss 1.294317 best test_acc 0.7279
e 11 | malicious users: 5 | test acc 0.6609 test loss 1.358076 best test_acc 0.7279
e 12 | malicious users: 5 | test acc 0.5886 test loss 1.157348 best test_acc 0.7279
e 13 | malicious users: 5 | test acc 0.6429 test loss 1.002727 best test_acc 0.7279
e 14 | malicious users: 5 | test acc 0.5623 test loss 1.344932 best test_acc 0.7279
e 15 | malicious users: 5 | test acc 0.6870 test loss 1.140020 best test_acc 0.7279
e 16 | malicious users: 5 | test acc 0.7277 test loss 1.109298 best test_acc 0.7279
e 17 | malicious users: 5 | test acc 0.7094 test loss 1.085940 best test_acc 0.7279
e 18 | malicious users: 5 | test acc 0.7397 test loss 1.025707 best test_acc 0.7397
e 19 | malicious users: 5 | test acc 0.8466 test loss 0.850343 best test_acc 0.8466
e 20 | malicious users: 5 | test acc 0.8053 test loss 0.805286 best test_acc 0.8466
e 21 | malicious users: 5 | test acc 0.6699 test loss 1.086944 best test_acc 0.8466
e 22 | malicious users: 5 | test acc 0.8093 test loss 0.898514 best test_acc 0.8466
e 23 | malicious users: 5 | test acc 0.7970 test loss 0.991940 best test_acc 0.8466
e 24 | malicious users: 5 | test acc 0.7950 test loss 0.912448 best test_acc 0.8466
e 25 | malicious users: 5 | test acc 0.7739 test loss 0.814220 best test_acc 0.8466
e 26 | malicious users: 5 | test acc 0.8167 test loss 0.969229 best test_acc 0.8466
e 27 | malicious users: 5 | test acc 0.7635 test loss 0.818105 best test_acc 0.8466
e 28 | malicious users: 5 | test acc 0.7580 test loss 0.895467 best test_acc 0.8466
e 29 | malicious users: 5 | test acc 0.7285 test loss 0.885512 best test_acc 0.8466
e 30 | malicious users: 5 | test acc 0.8872 test loss 0.808935 best test_acc 0.8872
e 31 | malicious users: 5 | test acc 0.8151 test loss 0.659609 best test_acc 0.8872
e 32 | malicious users: 5 | test acc 0.8584 test loss 0.657644 best test_acc 0.8872
e 33 | malicious users: 5 | test acc 0.8364 test loss 0.768746 best test_acc 0.8872
e 34 | malicious users: 5 | test acc 0.6799 test loss 0.896392 best test_acc 0.8872
e 35 | malicious users: 5 | test acc 0.7711 test loss 0.856603 best test_acc 0.8872
e 36 | malicious users: 5 | test acc 0.8055 test loss 0.728638 best test_acc 0.8872
e 37 | malicious users: 5 | test acc 0.8106 test loss 0.811628 best test_acc 0.8872
e 38 | malicious users: 5 | test acc 0.8636 test loss 0.753231 best test_acc 0.8872
e 39 | malicious users: 5 | test acc 0.8443 test loss 0.772695 best test_acc 0.8872
e 40 | malicious users: 5 | test acc 0.8355 test loss 0.758828 best test_acc 0.8872
e 41 | malicious users: 5 | test acc 0.8327 test loss 0.713961 best test_acc 0.8872
e 42 | malicious users: 5 | test acc 0.7726 test loss 0.952908 best test_acc 0.8872
e 43 | malicious users: 5 | test acc 0.8429 test loss 0.835595 best test_acc 0.8872
e 44 | malicious users: 5 | test acc 0.7852 test loss 0.944457 best test_acc 0.8872
e 45 | malicious users: 5 | test acc 0.6843 test loss 0.993986 best test_acc 0.8872
e 46 | malicious users: 5 | test acc 0.8346 test loss 0.587977 best test_acc 0.8872
e 47 | malicious users: 5 | test acc 0.8123 test loss 0.807382 best test_acc 0.8872
e 48 | malicious users: 5 | test acc 0.7529 test loss 0.730774 best test_acc 0.8872
e 49 | malicious users: 5 | test acc 0.7832 test loss 0.930063 best test_acc 0.8872
e 50 | malicious users: 5 | test acc 0.7642 test loss 0.913867 best test_acc 0.8872
e 51 | malicious users: 5 | test acc 0.8537 test loss 0.672163 best test_acc 0.8872
