=> Saving data in Logs/FRL~try=907
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1866 test loss 2.230987 best test_acc 0.1866
e 1 | malicious users: 5 | test acc 0.3821 test loss 2.055354 best test_acc 0.3821
e 2 | malicious users: 5 | test acc 0.4860 test loss 1.796354 best test_acc 0.4860
e 3 | malicious users: 5 | test acc 0.5954 test loss 1.505991 best test_acc 0.5954
e 4 | malicious users: 5 | test acc 0.6141 test loss 1.323728 best test_acc 0.6141
e 5 | malicious users: 5 | test acc 0.6524 test loss 1.179648 best test_acc 0.6524
e 6 | malicious users: 5 | test acc 0.7053 test loss 0.963479 best test_acc 0.7053
e 7 | malicious users: 5 | test acc 0.6402 test loss 1.173778 best test_acc 0.7053
e 8 | malicious users: 5 | test acc 0.6907 test loss 0.864566 best test_acc 0.7053
e 9 | malicious users: 5 | test acc 0.7647 test loss 0.839573 best test_acc 0.7647
e 10 | malicious users: 5 | test acc 0.7298 test loss 0.842850 best test_acc 0.7647
e 11 | malicious users: 5 | test acc 0.6933 test loss 0.907977 best test_acc 0.7647
e 12 | malicious users: 5 | test acc 0.8600 test loss 0.898772 best test_acc 0.8600
e 13 | malicious users: 5 | test acc 0.6706 test loss 0.895489 best test_acc 0.8600
e 14 | malicious users: 5 | test acc 0.7139 test loss 0.866883 best test_acc 0.8600
e 15 | malicious users: 5 | test acc 0.7415 test loss 0.732145 best test_acc 0.8600
e 16 | malicious users: 5 | test acc 0.8657 test loss 0.607523 best test_acc 0.8657
e 17 | malicious users: 5 | test acc 0.8244 test loss 0.673504 best test_acc 0.8657
e 18 | malicious users: 5 | test acc 0.7285 test loss 0.799792 best test_acc 0.8657
e 19 | malicious users: 5 | test acc 0.7286 test loss 0.737187 best test_acc 0.8657
e 20 | malicious users: 5 | test acc 0.7776 test loss 0.647352 best test_acc 0.8657
e 21 | malicious users: 5 | test acc 0.8730 test loss 0.580399 best test_acc 0.8730
e 22 | malicious users: 5 | test acc 0.7211 test loss 0.747718 best test_acc 0.8730
e 23 | malicious users: 5 | test acc 0.8479 test loss 0.636305 best test_acc 0.8730
e 24 | malicious users: 5 | test acc 0.8197 test loss 0.581950 best test_acc 0.8730
e 25 | malicious users: 5 | test acc 0.7396 test loss 0.663442 best test_acc 0.8730
e 26 | malicious users: 5 | test acc 0.8280 test loss 0.525810 best test_acc 0.8730
e 27 | malicious users: 5 | test acc 0.8831 test loss 0.516361 best test_acc 0.8831
e 28 | malicious users: 5 | test acc 0.7981 test loss 0.632339 best test_acc 0.8831
e 29 | malicious users: 5 | test acc 0.8534 test loss 0.583375 best test_acc 0.8831
e 30 | malicious users: 5 | test acc 0.7788 test loss 0.612693 best test_acc 0.8831
e 31 | malicious users: 5 | test acc 0.8980 test loss 0.470117 best test_acc 0.8980
e 32 | malicious users: 5 | test acc 0.8667 test loss 0.467265 best test_acc 0.8980
e 33 | malicious users: 5 | test acc 0.8254 test loss 0.619108 best test_acc 0.8980
