=> Saving data in Logs/FRL~try=911
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1010 test loss 2.318585 best test_acc 0.1010
e 1 | malicious users: 5 | test acc 0.1561 test loss 2.281603 best test_acc 0.1561
e 2 | malicious users: 5 | test acc 0.2142 test loss 2.220358 best test_acc 0.2142
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 3 | malicious users: 5 | test acc 0.2599 test loss 2.192603 best test_acc 0.2599
e 4 | malicious users: 5 | test acc 0.4868 test loss 2.109654 best test_acc 0.4868
e 5 | malicious users: 5 | test acc 0.4115 test loss 2.076375 best test_acc 0.4868
e 6 | malicious users: 5 | test acc 0.3658 test loss 2.048235 best test_acc 0.4868
e 7 | malicious users: 5 | test acc 0.3832 test loss 1.882041 best test_acc 0.4868
e 8 | malicious users: 5 | test acc 0.2696 test loss 1.847316 best test_acc 0.4868
e 9 | malicious users: 5 | test acc 0.3870 test loss 1.747357 best test_acc 0.4868
e 10 | malicious users: 5 | test acc 0.6961 test loss 1.658390 best test_acc 0.6961
e 11 | malicious users: 5 | test acc 0.4162 test loss 1.714958 best test_acc 0.6961
e 12 | malicious users: 5 | test acc 0.6175 test loss 1.621059 best test_acc 0.6961
e 13 | malicious users: 5 | test acc 0.6945 test loss 1.494115 best test_acc 0.6961
e 14 | malicious users: 5 | test acc 0.6967 test loss 1.436661 best test_acc 0.6967
