=> Saving data in Logs/FRL~try=912
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2402 test loss 2.205294 best test_acc 0.2402
e 1 | malicious users: 5 | test acc 0.6014 test loss 1.826001 best test_acc 0.6014
e 2 | malicious users: 5 | test acc 0.6161 test loss 1.796538 best test_acc 0.6161
e 3 | malicious users: 5 | test acc 0.6549 test loss 1.277120 best test_acc 0.6549
e 4 | malicious users: 5 | test acc 0.6597 test loss 1.266773 best test_acc 0.6597
e 5 | malicious users: 5 | test acc 0.7432 test loss 0.947658 best test_acc 0.7432
e 6 | malicious users: 5 | test acc 0.7714 test loss 0.912061 best test_acc 0.7714
e 7 | malicious users: 5 | test acc 0.7291 test loss 0.876811 best test_acc 0.7714
e 8 | malicious users: 5 | test acc 0.8370 test loss 0.687669 best test_acc 0.8370
e 9 | malicious users: 5 | test acc 0.7705 test loss 0.694153 best test_acc 0.8370
e 10 | malicious users: 5 | test acc 0.8506 test loss 0.585249 best test_acc 0.8506
e 11 | malicious users: 5 | test acc 0.8668 test loss 0.571235 best test_acc 0.8668
e 12 | malicious users: 5 | test acc 0.8869 test loss 0.516725 best test_acc 0.8869
e 13 | malicious users: 5 | test acc 0.8241 test loss 0.567192 best test_acc 0.8869
e 14 | malicious users: 5 | test acc 0.8762 test loss 0.524674 best test_acc 0.8869
e 15 | malicious users: 5 | test acc 0.8760 test loss 0.570700 best test_acc 0.8869
e 16 | malicious users: 5 | test acc 0.8887 test loss 0.552624 best test_acc 0.8887
e 17 | malicious users: 5 | test acc 0.9114 test loss 0.367564 best test_acc 0.9114
e 18 | malicious users: 5 | test acc 0.8849 test loss 0.515424 best test_acc 0.9114
e 19 | malicious users: 5 | test acc 0.9090 test loss 0.437749 best test_acc 0.9114
e 20 | malicious users: 5 | test acc 0.9236 test loss 0.399256 best test_acc 0.9236
e 21 | malicious users: 5 | test acc 0.9214 test loss 0.342768 best test_acc 0.9236
e 22 | malicious users: 5 | test acc 0.8998 test loss 0.386084 best test_acc 0.9236
e 23 | malicious users: 5 | test acc 0.9198 test loss 0.448062 best test_acc 0.9236
e 24 | malicious users: 5 | test acc 0.9187 test loss 0.348185 best test_acc 0.9236
e 25 | malicious users: 5 | test acc 0.8156 test loss 0.555405 best test_acc 0.9236
e 26 | malicious users: 5 | test acc 0.9178 test loss 0.397724 best test_acc 0.9236
e 27 | malicious users: 5 | test acc 0.8940 test loss 0.439243 best test_acc 0.9236
e 28 | malicious users: 5 | test acc 0.8710 test loss 0.533616 best test_acc 0.9236
e 29 | malicious users: 5 | test acc 0.9208 test loss 0.321717 best test_acc 0.9236
e 30 | malicious users: 5 | test acc 0.8539 test loss 0.497874 best test_acc 0.9236
e 31 | malicious users: 5 | test acc 0.9301 test loss 0.294876 best test_acc 0.9301
e 32 | malicious users: 5 | test acc 0.7464 test loss 0.681102 best test_acc 0.9301
e 33 | malicious users: 5 | test acc 0.9123 test loss 0.456567 best test_acc 0.9301
e 34 | malicious users: 5 | test acc 0.9274 test loss 0.319336 best test_acc 0.9301
e 35 | malicious users: 5 | test acc 0.9153 test loss 0.401084 best test_acc 0.9301
e 36 | malicious users: 5 | test acc 0.9109 test loss 0.371658 best test_acc 0.9301
e 37 | malicious users: 5 | test acc 0.8802 test loss 0.436019 best test_acc 0.9301
e 38 | malicious users: 5 | test acc 0.8616 test loss 0.508094 best test_acc 0.9301
e 39 | malicious users: 5 | test acc 0.9286 test loss 0.297023 best test_acc 0.9301
e 40 | malicious users: 5 | test acc 0.8207 test loss 0.566424 best test_acc 0.9301
e 41 | malicious users: 5 | test acc 0.9316 test loss 0.275763 best test_acc 0.9316
e 42 | malicious users: 5 | test acc 0.8333 test loss 0.618255 best test_acc 0.9316
e 43 | malicious users: 5 | test acc 0.9054 test loss 0.445393 best test_acc 0.9316
e 44 | malicious users: 5 | test acc 0.9260 test loss 0.294520 best test_acc 0.9316
e 45 | malicious users: 5 | test acc 0.9096 test loss 0.459005 best test_acc 0.9316
e 46 | malicious users: 5 | test acc 0.8662 test loss 0.440225 best test_acc 0.9316
e 47 | malicious users: 5 | test acc 0.8768 test loss 0.406031 best test_acc 0.9316
e 48 | malicious users: 5 | test acc 0.9318 test loss 0.309087 best test_acc 0.9318
e 49 | malicious users: 5 | test acc 0.9089 test loss 0.389367 best test_acc 0.9318
e 50 | malicious users: 5 | test acc 0.8765 test loss 0.423383 best test_acc 0.9318
e 51 | malicious users: 5 | test acc 0.8800 test loss 0.398464 best test_acc 0.9318
e 52 | malicious users: 5 | test acc 0.9227 test loss 0.401301 best test_acc 0.9318
e 53 | malicious users: 5 | test acc 0.9315 test loss 0.261818 best test_acc 0.9318
e 54 | malicious users: 5 | test acc 0.9095 test loss 0.511716 best test_acc 0.9318
e 55 | malicious users: 5 | test acc 0.9358 test loss 0.304078 best test_acc 0.9358
e 56 | malicious users: 5 | test acc 0.8514 test loss 0.453871 best test_acc 0.9358
e 57 | malicious users: 5 | test acc 0.8877 test loss 0.414177 best test_acc 0.9358
e 58 | malicious users: 5 | test acc 0.9407 test loss 0.328896 best test_acc 0.9407
e 59 | malicious users: 5 | test acc 0.9387 test loss 0.287938 best test_acc 0.9407
e 60 | malicious users: 5 | test acc 0.8366 test loss 0.495692 best test_acc 0.9407
e 61 | malicious users: 5 | test acc 0.9390 test loss 0.281929 best test_acc 0.9407
e 62 | malicious users: 5 | test acc 0.9235 test loss 0.394240 best test_acc 0.9407
e 63 | malicious users: 5 | test acc 0.8732 test loss 0.508319 best test_acc 0.9407
e 64 | malicious users: 5 | test acc 0.9237 test loss 0.269309 best test_acc 0.9407
e 65 | malicious users: 5 | test acc 0.8060 test loss 0.600658 best test_acc 0.9407
e 66 | malicious users: 5 | test acc 0.9095 test loss 0.339456 best test_acc 0.9407
e 67 | malicious users: 5 | test acc 0.9171 test loss 0.438829 best test_acc 0.9407
e 68 | malicious users: 5 | test acc 0.8571 test loss 0.445541 best test_acc 0.9407
e 69 | malicious users: 5 | test acc 0.9216 test loss 0.400167 best test_acc 0.9407
e 70 | malicious users: 5 | test acc 0.8427 test loss 0.520163 best test_acc 0.9407
e 71 | malicious users: 5 | test acc 0.8974 test loss 0.433969 best test_acc 0.9407
e 72 | malicious users: 5 | test acc 0.9304 test loss 0.268317 best test_acc 0.9407
e 73 | malicious users: 5 | test acc 0.8922 test loss 0.526894 best test_acc 0.9407
e 74 | malicious users: 5 | test acc 0.7574 test loss 0.657882 best test_acc 0.9407
e 75 | malicious users: 5 | test acc 0.8786 test loss 0.364315 best test_acc 0.9407
e 76 | malicious users: 5 | test acc 0.9374 test loss 0.334863 best test_acc 0.9407
e 77 | malicious users: 5 | test acc 0.9205 test loss 0.480303 best test_acc 0.9407
e 78 | malicious users: 5 | test acc 0.9025 test loss 0.389799 best test_acc 0.9407
e 79 | malicious users: 5 | test acc 0.9334 test loss 0.289793 best test_acc 0.9407
e 80 | malicious users: 5 | test acc 0.9125 test loss 0.431395 best test_acc 0.9407
e 81 | malicious users: 5 | test acc 0.8536 test loss 0.461713 best test_acc 0.9407
e 82 | malicious users: 5 | test acc 0.9147 test loss 0.359318 best test_acc 0.9407
e 83 | malicious users: 5 | test acc 0.9355 test loss 0.294544 best test_acc 0.9407
e 84 | malicious users: 5 | test acc 0.9105 test loss 0.392764 best test_acc 0.9407
e 85 | malicious users: 5 | test acc 0.9090 test loss 0.444014 best test_acc 0.9407
e 86 | malicious users: 5 | test acc 0.9284 test loss 0.289967 best test_acc 0.9407
e 87 | malicious users: 5 | test acc 0.8656 test loss 0.488193 best test_acc 0.9407
e 88 | malicious users: 5 | test acc 0.9019 test loss 0.319615 best test_acc 0.9407
e 89 | malicious users: 5 | test acc 0.8862 test loss 0.498433 best test_acc 0.9407
e 90 | malicious users: 5 | test acc 0.9363 test loss 0.256860 best test_acc 0.9407
e 91 | malicious users: 5 | test acc 0.8646 test loss 0.605712 best test_acc 0.9407
e 92 | malicious users: 5 | test acc 0.9342 test loss 0.300737 best test_acc 0.9407
e 93 | malicious users: 5 | test acc 0.8919 test loss 0.456398 best test_acc 0.9407
e 94 | malicious users: 5 | test acc 0.9139 test loss 0.370214 best test_acc 0.9407
e 95 | malicious users: 5 | test acc 0.9196 test loss 0.367816 best test_acc 0.9407
e 96 | malicious users: 5 | test acc 0.8491 test loss 0.546077 best test_acc 0.9407
e 97 | malicious users: 5 | test acc 0.9214 test loss 0.332735 best test_acc 0.9407
e 98 | malicious users: 5 | test acc 0.8736 test loss 0.427917 best test_acc 0.9407
e 99 | malicious users: 5 | test acc 0.9113 test loss 0.448076 best test_acc 0.9407
e 100 | malicious users: 5 | test acc 0.8373 test loss 0.539646 best test_acc 0.9407
e 101 | malicious users: 5 | test acc 0.9126 test loss 0.320492 best test_acc 0.9407
e 102 | malicious users: 5 | test acc 0.9074 test loss 0.505907 best test_acc 0.9407
e 103 | malicious users: 5 | test acc 0.9315 test loss 0.301057 best test_acc 0.9407
e 104 | malicious users: 5 | test acc 0.8526 test loss 0.475128 best test_acc 0.9407
e 105 | malicious users: 5 | test acc 0.9066 test loss 0.439775 best test_acc 0.9407
e 106 | malicious users: 5 | test acc 0.8737 test loss 0.407021 best test_acc 0.9407
e 107 | malicious users: 5 | test acc 0.9399 test loss 0.331197 best test_acc 0.9407
e 108 | malicious users: 5 | test acc 0.8740 test loss 0.398300 best test_acc 0.9407
e 109 | malicious users: 5 | test acc 0.9275 test loss 0.299273 best test_acc 0.9407
e 110 | malicious users: 5 | test acc 0.9009 test loss 0.347572 best test_acc 0.9407
e 111 | malicious users: 5 | test acc 0.9101 test loss 0.480647 best test_acc 0.9407
e 112 | malicious users: 5 | test acc 0.9249 test loss 0.398959 best test_acc 0.9407
e 113 | malicious users: 5 | test acc 0.9066 test loss 0.391050 best test_acc 0.9407
e 114 | malicious users: 5 | test acc 0.9201 test loss 0.322595 best test_acc 0.9407
e 115 | malicious users: 5 | test acc 0.9033 test loss 0.477964 best test_acc 0.9407
e 116 | malicious users: 5 | test acc 0.9202 test loss 0.283378 best test_acc 0.9407
e 117 | malicious users: 5 | test acc 0.8373 test loss 0.574906 best test_acc 0.9407
e 118 | malicious users: 5 | test acc 0.9294 test loss 0.267453 best test_acc 0.9407
e 119 | malicious users: 5 | test acc 0.9020 test loss 0.415307 best test_acc 0.9407
e 120 | malicious users: 5 | test acc 0.8650 test loss 0.466006 best test_acc 0.9407
e 121 | malicious users: 5 | test acc 0.8806 test loss 0.399245 best test_acc 0.9407
e 122 | malicious users: 5 | test acc 0.8567 test loss 0.453908 best test_acc 0.9407
e 123 | malicious users: 5 | test acc 0.9192 test loss 0.419945 best test_acc 0.9407
