=> Saving data in Logs/FRL~try=913
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.9
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1842 test loss 2.234425 best test_acc 0.1842
e 1 | malicious users: 5 | test acc 0.3744 test loss 2.089891 best test_acc 0.3744
e 2 | malicious users: 5 | test acc 0.4187 test loss 2.151036 best test_acc 0.4187
e 3 | malicious users: 5 | test acc 0.5124 test loss 1.782320 best test_acc 0.5124
e 4 | malicious users: 5 | test acc 0.5420 test loss 1.918241 best test_acc 0.5420
e 5 | malicious users: 5 | test acc 0.5629 test loss 1.602288 best test_acc 0.5629
e 6 | malicious users: 5 | test acc 0.6567 test loss 1.573201 best test_acc 0.6567
e 7 | malicious users: 5 | test acc 0.5598 test loss 1.576488 best test_acc 0.6567
e 8 | malicious users: 5 | test acc 0.7155 test loss 1.300828 best test_acc 0.7155
e 9 | malicious users: 5 | test acc 0.6659 test loss 1.320540 best test_acc 0.7155
e 10 | malicious users: 5 | test acc 0.7507 test loss 1.110836 best test_acc 0.7507
e 11 | malicious users: 5 | test acc 0.7767 test loss 1.204323 best test_acc 0.7767
e 12 | malicious users: 5 | test acc 0.8399 test loss 0.941347 best test_acc 0.8399
e 13 | malicious users: 5 | test acc 0.6941 test loss 1.180696 best test_acc 0.8399
e 14 | malicious users: 5 | test acc 0.7680 test loss 0.892173 best test_acc 0.8399
e 15 | malicious users: 5 | test acc 0.8207 test loss 0.996014 best test_acc 0.8399
e 16 | malicious users: 5 | test acc 0.8197 test loss 0.829772 best test_acc 0.8399
e 17 | malicious users: 5 | test acc 0.7874 test loss 0.888382 best test_acc 0.8399
e 18 | malicious users: 5 | test acc 0.7275 test loss 1.176836 best test_acc 0.8399
e 19 | malicious users: 5 | test acc 0.7953 test loss 0.943955 best test_acc 0.8399
e 20 | malicious users: 5 | test acc 0.8021 test loss 0.928939 best test_acc 0.8399
e 21 | malicious users: 5 | test acc 0.7458 test loss 0.940035 best test_acc 0.8399
e 22 | malicious users: 5 | test acc 0.7916 test loss 0.930777 best test_acc 0.8399
e 23 | malicious users: 5 | test acc 0.8692 test loss 0.769450 best test_acc 0.8692
e 24 | malicious users: 5 | test acc 0.8735 test loss 0.684243 best test_acc 0.8735
e 25 | malicious users: 5 | test acc 0.7608 test loss 0.872082 best test_acc 0.8735
e 26 | malicious users: 5 | test acc 0.8194 test loss 0.896667 best test_acc 0.8735
e 27 | malicious users: 5 | test acc 0.8094 test loss 0.847213 best test_acc 0.8735
e 28 | malicious users: 5 | test acc 0.8683 test loss 0.816620 best test_acc 0.8735
e 29 | malicious users: 5 | test acc 0.9076 test loss 0.657964 best test_acc 0.9076
e 30 | malicious users: 5 | test acc 0.8151 test loss 0.835274 best test_acc 0.9076
e 31 | malicious users: 5 | test acc 0.8463 test loss 0.770698 best test_acc 0.9076
e 32 | malicious users: 5 | test acc 0.8339 test loss 0.776345 best test_acc 0.9076
e 33 | malicious users: 5 | test acc 0.8638 test loss 0.802382 best test_acc 0.9076
e 34 | malicious users: 5 | test acc 0.8287 test loss 0.706826 best test_acc 0.9076
e 35 | malicious users: 5 | test acc 0.8412 test loss 0.919533 best test_acc 0.9076
e 36 | malicious users: 5 | test acc 0.8807 test loss 0.769034 best test_acc 0.9076
e 37 | malicious users: 5 | test acc 0.8881 test loss 0.812234 best test_acc 0.9076
e 38 | malicious users: 5 | test acc 0.8636 test loss 0.720679 best test_acc 0.9076
e 39 | malicious users: 5 | test acc 0.8473 test loss 0.675655 best test_acc 0.9076
e 40 | malicious users: 5 | test acc 0.8587 test loss 0.741527 best test_acc 0.9076
e 41 | malicious users: 5 | test acc 0.8522 test loss 0.727945 best test_acc 0.9076
e 42 | malicious users: 5 | test acc 0.8483 test loss 0.814361 best test_acc 0.9076
e 43 | malicious users: 5 | test acc 0.8399 test loss 0.670366 best test_acc 0.9076
e 44 | malicious users: 5 | test acc 0.8997 test loss 0.642817 best test_acc 0.9076
e 45 | malicious users: 5 | test acc 0.7872 test loss 0.848771 best test_acc 0.9076
e 46 | malicious users: 5 | test acc 0.8782 test loss 0.621168 best test_acc 0.9076
e 47 | malicious users: 5 | test acc 0.8811 test loss 0.835990 best test_acc 0.9076
e 48 | malicious users: 5 | test acc 0.8296 test loss 0.760040 best test_acc 0.9076
e 49 | malicious users: 5 | test acc 0.9038 test loss 0.691418 best test_acc 0.9076
e 50 | malicious users: 5 | test acc 0.8919 test loss 0.697468 best test_acc 0.9076
e 51 | malicious users: 5 | test acc 0.8150 test loss 0.672239 best test_acc 0.9076
e 52 | malicious users: 5 | test acc 0.7760 test loss 0.882981 best test_acc 0.9076
e 53 | malicious users: 5 | test acc 0.8442 test loss 0.716436 best test_acc 0.9076
e 54 | malicious users: 5 | test acc 0.7948 test loss 0.889754 best test_acc 0.9076
e 55 | malicious users: 5 | test acc 0.9039 test loss 0.626583 best test_acc 0.9076
e 56 | malicious users: 5 | test acc 0.8363 test loss 0.690940 best test_acc 0.9076
e 57 | malicious users: 5 | test acc 0.7821 test loss 0.914932 best test_acc 0.9076
e 58 | malicious users: 5 | test acc 0.8970 test loss 0.637897 best test_acc 0.9076
e 59 | malicious users: 5 | test acc 0.8985 test loss 0.568699 best test_acc 0.9076
e 60 | malicious users: 5 | test acc 0.9088 test loss 0.619382 best test_acc 0.9088
e 61 | malicious users: 5 | test acc 0.9006 test loss 0.625274 best test_acc 0.9088
e 62 | malicious users: 5 | test acc 0.7662 test loss 0.839266 best test_acc 0.9088
e 63 | malicious users: 5 | test acc 0.8647 test loss 0.779119 best test_acc 0.9088
e 64 | malicious users: 5 | test acc 0.8841 test loss 0.595575 best test_acc 0.9088
e 65 | malicious users: 5 | test acc 0.8599 test loss 0.705020 best test_acc 0.9088
e 66 | malicious users: 5 | test acc 0.8639 test loss 0.618908 best test_acc 0.9088
e 67 | malicious users: 5 | test acc 0.9199 test loss 0.532540 best test_acc 0.9199
e 68 | malicious users: 5 | test acc 0.8788 test loss 0.782734 best test_acc 0.9199
e 69 | malicious users: 5 | test acc 0.8976 test loss 0.635963 best test_acc 0.9199
e 70 | malicious users: 5 | test acc 0.8920 test loss 0.613901 best test_acc 0.9199
e 71 | malicious users: 5 | test acc 0.8992 test loss 0.786513 best test_acc 0.9199
e 72 | malicious users: 5 | test acc 0.8959 test loss 0.572703 best test_acc 0.9199
e 73 | malicious users: 5 | test acc 0.8880 test loss 0.707138 best test_acc 0.9199
e 74 | malicious users: 5 | test acc 0.7898 test loss 0.838815 best test_acc 0.9199
e 75 | malicious users: 5 | test acc 0.8968 test loss 0.575774 best test_acc 0.9199
e 76 | malicious users: 5 | test acc 0.9071 test loss 0.611880 best test_acc 0.9199
e 77 | malicious users: 5 | test acc 0.8396 test loss 0.618243 best test_acc 0.9199
e 78 | malicious users: 5 | test acc 0.8207 test loss 0.746639 best test_acc 0.9199
e 79 | malicious users: 5 | test acc 0.8401 test loss 0.686759 best test_acc 0.9199
e 80 | malicious users: 5 | test acc 0.8481 test loss 0.658268 best test_acc 0.9199
e 81 | malicious users: 5 | test acc 0.9061 test loss 0.698064 best test_acc 0.9199
e 82 | malicious users: 5 | test acc 0.8793 test loss 0.663390 best test_acc 0.9199
e 83 | malicious users: 5 | test acc 0.8967 test loss 0.572292 best test_acc 0.9199
e 84 | malicious users: 5 | test acc 0.8459 test loss 0.799038 best test_acc 0.9199
e 85 | malicious users: 5 | test acc 0.8657 test loss 0.701325 best test_acc 0.9199
e 86 | malicious users: 5 | test acc 0.9093 test loss 0.558591 best test_acc 0.9199
e 87 | malicious users: 5 | test acc 0.8427 test loss 0.726516 best test_acc 0.9199
e 88 | malicious users: 5 | test acc 0.8667 test loss 0.782651 best test_acc 0.9199
e 89 | malicious users: 5 | test acc 0.8981 test loss 0.533913 best test_acc 0.9199
e 90 | malicious users: 5 | test acc 0.8339 test loss 0.685543 best test_acc 0.9199
e 91 | malicious users: 5 | test acc 0.7777 test loss 0.852422 best test_acc 0.9199
e 92 | malicious users: 5 | test acc 0.9024 test loss 0.636145 best test_acc 0.9199
e 93 | malicious users: 5 | test acc 0.9127 test loss 0.572921 best test_acc 0.9199
e 94 | malicious users: 5 | test acc 0.8481 test loss 0.675358 best test_acc 0.9199
e 95 | malicious users: 5 | test acc 0.8984 test loss 0.525094 best test_acc 0.9199
e 96 | malicious users: 5 | test acc 0.9012 test loss 0.719482 best test_acc 0.9199
e 97 | malicious users: 5 | test acc 0.9163 test loss 0.663389 best test_acc 0.9199
e 98 | malicious users: 5 | test acc 0.8983 test loss 0.598704 best test_acc 0.9199
e 99 | malicious users: 5 | test acc 0.9019 test loss 0.666671 best test_acc 0.9199
e 100 | malicious users: 5 | test acc 0.8838 test loss 0.699389 best test_acc 0.9199
e 101 | malicious users: 5 | test acc 0.8437 test loss 0.729886 best test_acc 0.9199
e 102 | malicious users: 5 | test acc 0.9130 test loss 0.462022 best test_acc 0.9199
e 103 | malicious users: 5 | test acc 0.8755 test loss 0.734233 best test_acc 0.9199
e 104 | malicious users: 5 | test acc 0.9134 test loss 0.498835 best test_acc 0.9199
e 105 | malicious users: 5 | test acc 0.8461 test loss 0.722775 best test_acc 0.9199
e 106 | malicious users: 5 | test acc 0.8259 test loss 0.618221 best test_acc 0.9199
e 107 | malicious users: 5 | test acc 0.7990 test loss 0.737245 best test_acc 0.9199
e 108 | malicious users: 5 | test acc 0.8969 test loss 0.642725 best test_acc 0.9199
e 109 | malicious users: 5 | test acc 0.8417 test loss 0.623287 best test_acc 0.9199
e 110 | malicious users: 5 | test acc 0.8996 test loss 0.594769 best test_acc 0.9199
e 111 | malicious users: 5 | test acc 0.8731 test loss 0.698386 best test_acc 0.9199
e 112 | malicious users: 5 | test acc 0.8767 test loss 0.632301 best test_acc 0.9199
e 113 | malicious users: 5 | test acc 0.8420 test loss 0.700863 best test_acc 0.9199
e 114 | malicious users: 5 | test acc 0.8864 test loss 0.589823 best test_acc 0.9199
e 115 | malicious users: 5 | test acc 0.8762 test loss 0.754885 best test_acc 0.9199
e 116 | malicious users: 5 | test acc 0.8993 test loss 0.550008 best test_acc 0.9199
e 117 | malicious users: 5 | test acc 0.9212 test loss 0.557540 best test_acc 0.9212
e 118 | malicious users: 5 | test acc 0.8650 test loss 0.722090 best test_acc 0.9212
e 119 | malicious users: 5 | test acc 0.9208 test loss 0.550702 best test_acc 0.9212
e 120 | malicious users: 5 | test acc 0.9273 test loss 0.452054 best test_acc 0.9273
e 121 | malicious users: 5 | test acc 0.9136 test loss 0.706701 best test_acc 0.9273
e 122 | malicious users: 5 | test acc 0.9048 test loss 0.487990 best test_acc 0.9273
e 123 | malicious users: 5 | test acc 0.8986 test loss 0.577656 best test_acc 0.9273
e 124 | malicious users: 5 | test acc 0.8490 test loss 0.700500 best test_acc 0.9273
e 125 | malicious users: 5 | test acc 0.9245 test loss 0.500868 best test_acc 0.9273
e 126 | malicious users: 5 | test acc 0.7937 test loss 0.752170 best test_acc 0.9273
e 127 | malicious users: 5 | test acc 0.8629 test loss 0.663348 best test_acc 0.9273
e 128 | malicious users: 5 | test acc 0.9174 test loss 0.530995 best test_acc 0.9273
e 129 | malicious users: 5 | test acc 0.8383 test loss 0.767670 best test_acc 0.9273
