=> Saving data in Logs/FRL~try=916
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1165 test loss 2.267076 best test_acc 0.1165
e 1 | malicious users: 5 | test acc 0.3765 test loss 2.159871 best test_acc 0.3765
e 2 | malicious users: 5 | test acc 0.4204 test loss 2.196162 best test_acc 0.4204
e 3 | malicious users: 5 | test acc 0.3048 test loss 1.978915 best test_acc 0.4204
e 4 | malicious users: 5 | test acc 0.4117 test loss 1.949625 best test_acc 0.4204
e 5 | malicious users: 5 | test acc 0.5462 test loss 1.892526 best test_acc 0.5462
e 6 | malicious users: 5 | test acc 0.6376 test loss 1.868047 best test_acc 0.6376
e 7 | malicious users: 5 | test acc 0.5736 test loss 1.772690 best test_acc 0.6376
e 8 | malicious users: 5 | test acc 0.5695 test loss 1.702772 best test_acc 0.6376
e 9 | malicious users: 5 | test acc 0.6180 test loss 1.730459 best test_acc 0.6376
e 10 | malicious users: 5 | test acc 0.6405 test loss 1.555422 best test_acc 0.6405
e 11 | malicious users: 5 | test acc 0.6721 test loss 1.693007 best test_acc 0.6721
e 12 | malicious users: 5 | test acc 0.6574 test loss 1.369910 best test_acc 0.6721
e 13 | malicious users: 5 | test acc 0.6662 test loss 1.361857 best test_acc 0.6721
e 14 | malicious users: 5 | test acc 0.7077 test loss 1.261436 best test_acc 0.7077
e 15 | malicious users: 5 | test acc 0.6333 test loss 1.509881 best test_acc 0.7077
e 16 | malicious users: 5 | test acc 0.7099 test loss 1.389478 best test_acc 0.7099
e 17 | malicious users: 5 | test acc 0.6406 test loss 1.290214 best test_acc 0.7099
e 18 | malicious users: 5 | test acc 0.7170 test loss 1.297837 best test_acc 0.7170
e 19 | malicious users: 5 | test acc 0.7494 test loss 1.132418 best test_acc 0.7494
e 20 | malicious users: 5 | test acc 0.7492 test loss 1.133268 best test_acc 0.7494
e 21 | malicious users: 5 | test acc 0.7041 test loss 1.269350 best test_acc 0.7494
e 22 | malicious users: 5 | test acc 0.7949 test loss 1.029253 best test_acc 0.7949
e 23 | malicious users: 5 | test acc 0.7354 test loss 1.145562 best test_acc 0.7949
e 24 | malicious users: 5 | test acc 0.7070 test loss 1.210490 best test_acc 0.7949
e 25 | malicious users: 5 | test acc 0.7853 test loss 1.248822 best test_acc 0.7949
e 26 | malicious users: 5 | test acc 0.7237 test loss 1.138465 best test_acc 0.7949
e 27 | malicious users: 5 | test acc 0.8002 test loss 1.249661 best test_acc 0.8002
e 28 | malicious users: 5 | test acc 0.8301 test loss 1.100950 best test_acc 0.8301
e 29 | malicious users: 5 | test acc 0.7261 test loss 1.192457 best test_acc 0.8301
e 30 | malicious users: 5 | test acc 0.8604 test loss 0.961314 best test_acc 0.8604
e 31 | malicious users: 5 | test acc 0.7043 test loss 1.185033 best test_acc 0.8604
e 32 | malicious users: 5 | test acc 0.7342 test loss 1.026060 best test_acc 0.8604
e 33 | malicious users: 5 | test acc 0.7287 test loss 1.007610 best test_acc 0.8604
e 34 | malicious users: 5 | test acc 0.7016 test loss 1.102036 best test_acc 0.8604
e 35 | malicious users: 5 | test acc 0.7326 test loss 0.978607 best test_acc 0.8604
e 36 | malicious users: 5 | test acc 0.7300 test loss 1.119712 best test_acc 0.8604
e 37 | malicious users: 5 | test acc 0.7513 test loss 1.013781 best test_acc 0.8604
e 38 | malicious users: 5 | test acc 0.7775 test loss 0.990075 best test_acc 0.8604
e 39 | malicious users: 5 | test acc 0.8077 test loss 1.038175 best test_acc 0.8604
e 40 | malicious users: 5 | test acc 0.6474 test loss 1.152217 best test_acc 0.8604
e 41 | malicious users: 5 | test acc 0.7743 test loss 1.183650 best test_acc 0.8604
e 42 | malicious users: 5 | test acc 0.7421 test loss 1.117005 best test_acc 0.8604
e 43 | malicious users: 5 | test acc 0.8359 test loss 0.971395 best test_acc 0.8604
e 44 | malicious users: 5 | test acc 0.7278 test loss 1.047178 best test_acc 0.8604
e 45 | malicious users: 5 | test acc 0.7718 test loss 1.019234 best test_acc 0.8604
e 46 | malicious users: 5 | test acc 0.7801 test loss 0.964306 best test_acc 0.8604
e 47 | malicious users: 5 | test acc 0.8283 test loss 1.005598 best test_acc 0.8604
e 48 | malicious users: 5 | test acc 0.7843 test loss 1.033067 best test_acc 0.8604
e 49 | malicious users: 5 | test acc 0.7924 test loss 0.906499 best test_acc 0.8604
e 50 | malicious users: 5 | test acc 0.7933 test loss 1.016205 best test_acc 0.8604
e 51 | malicious users: 5 | test acc 0.8333 test loss 1.047628 best test_acc 0.8604
e 52 | malicious users: 5 | test acc 0.7799 test loss 0.867342 best test_acc 0.8604
e 53 | malicious users: 5 | test acc 0.8366 test loss 1.103688 best test_acc 0.8604
e 54 | malicious users: 5 | test acc 0.7721 test loss 0.911594 best test_acc 0.8604
e 55 | malicious users: 5 | test acc 0.8125 test loss 0.993156 best test_acc 0.8604
e 56 | malicious users: 5 | test acc 0.8486 test loss 1.107309 best test_acc 0.8604
e 57 | malicious users: 5 | test acc 0.8206 test loss 0.816957 best test_acc 0.8604
e 58 | malicious users: 5 | test acc 0.7204 test loss 1.070530 best test_acc 0.8604
e 59 | malicious users: 5 | test acc 0.7717 test loss 1.036074 best test_acc 0.8604
e 60 | malicious users: 5 | test acc 0.7713 test loss 0.821949 best test_acc 0.8604
e 61 | malicious users: 5 | test acc 0.7829 test loss 1.088936 best test_acc 0.8604
e 62 | malicious users: 5 | test acc 0.7604 test loss 1.022212 best test_acc 0.8604
e 63 | malicious users: 5 | test acc 0.8030 test loss 0.982928 best test_acc 0.8604
e 64 | malicious users: 5 | test acc 0.7027 test loss 1.070349 best test_acc 0.8604
e 65 | malicious users: 5 | test acc 0.7333 test loss 1.045202 best test_acc 0.8604
e 66 | malicious users: 5 | test acc 0.7552 test loss 1.160306 best test_acc 0.8604
e 67 | malicious users: 5 | test acc 0.7559 test loss 0.967112 best test_acc 0.8604
e 68 | malicious users: 5 | test acc 0.7361 test loss 1.109163 best test_acc 0.8604
e 69 | malicious users: 5 | test acc 0.7952 test loss 0.930405 best test_acc 0.8604
e 70 | malicious users: 5 | test acc 0.8017 test loss 1.055991 best test_acc 0.8604
e 71 | malicious users: 5 | test acc 0.8571 test loss 1.182620 best test_acc 0.8604
e 72 | malicious users: 5 | test acc 0.7889 test loss 0.788183 best test_acc 0.8604
e 73 | malicious users: 5 | test acc 0.7818 test loss 1.033391 best test_acc 0.8604
e 74 | malicious users: 5 | test acc 0.7585 test loss 0.939952 best test_acc 0.8604
e 75 | malicious users: 5 | test acc 0.8497 test loss 1.007080 best test_acc 0.8604
e 76 | malicious users: 5 | test acc 0.8959 test loss 0.925330 best test_acc 0.8959
e 77 | malicious users: 5 | test acc 0.8254 test loss 0.789570 best test_acc 0.8959
e 78 | malicious users: 5 | test acc 0.7352 test loss 1.022276 best test_acc 0.8959
e 79 | malicious users: 5 | test acc 0.7453 test loss 0.890777 best test_acc 0.8959
