=> Saving data in Logs/FRL~try=922
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.3
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2157 test loss 2.240466 best test_acc 0.2157
e 1 | malicious users: 5 | test acc 0.1191 test loss 2.209961 best test_acc 0.2157
e 2 | malicious users: 5 | test acc 0.2455 test loss 2.088400 best test_acc 0.2455
e 3 | malicious users: 5 | test acc 0.4977 test loss 1.721006 best test_acc 0.4977
e 4 | malicious users: 5 | test acc 0.5270 test loss 1.857183 best test_acc 0.5270
e 5 | malicious users: 5 | test acc 0.5068 test loss 1.384002 best test_acc 0.5270
e 6 | malicious users: 5 | test acc 0.6259 test loss 1.431753 best test_acc 0.6259
e 7 | malicious users: 5 | test acc 0.6138 test loss 1.121238 best test_acc 0.6259
e 8 | malicious users: 5 | test acc 0.4677 test loss 1.511742 best test_acc 0.6259
e 9 | malicious users: 5 | test acc 0.5445 test loss 1.051340 best test_acc 0.6259
e 10 | malicious users: 5 | test acc 0.5359 test loss 1.355991 best test_acc 0.6259
e 11 | malicious users: 5 | test acc 0.6804 test loss 0.955647 best test_acc 0.6804
e 12 | malicious users: 5 | test acc 0.7262 test loss 0.993606 best test_acc 0.7262
e 13 | malicious users: 5 | test acc 0.7492 test loss 0.906048 best test_acc 0.7492
e 14 | malicious users: 5 | test acc 0.6961 test loss 1.090223 best test_acc 0.7492
e 15 | malicious users: 5 | test acc 0.6101 test loss 1.258937 best test_acc 0.7492
e 16 | malicious users: 5 | test acc 0.7047 test loss 1.162569 best test_acc 0.7492
e 17 | malicious users: 5 | test acc 0.7316 test loss 0.973224 best test_acc 0.7492
e 18 | malicious users: 5 | test acc 0.6513 test loss 0.986648 best test_acc 0.7492
e 19 | malicious users: 5 | test acc 0.7337 test loss 0.800811 best test_acc 0.7492
e 20 | malicious users: 5 | test acc 0.7283 test loss 0.945421 best test_acc 0.7492
e 21 | malicious users: 5 | test acc 0.7181 test loss 0.795314 best test_acc 0.7492
e 22 | malicious users: 5 | test acc 0.7687 test loss 0.871693 best test_acc 0.7687
e 23 | malicious users: 5 | test acc 0.7570 test loss 0.861769 best test_acc 0.7687
e 24 | malicious users: 5 | test acc 0.5959 test loss 1.063312 best test_acc 0.7687
e 25 | malicious users: 5 | test acc 0.7554 test loss 0.762486 best test_acc 0.7687
e 26 | malicious users: 5 | test acc 0.8307 test loss 0.851073 best test_acc 0.8307
e 27 | malicious users: 5 | test acc 0.7202 test loss 0.924523 best test_acc 0.8307
e 28 | malicious users: 5 | test acc 0.7898 test loss 0.780123 best test_acc 0.8307
e 29 | malicious users: 5 | test acc 0.7960 test loss 0.792297 best test_acc 0.8307
e 30 | malicious users: 5 | test acc 0.8483 test loss 0.706738 best test_acc 0.8483
e 31 | malicious users: 5 | test acc 0.6616 test loss 0.901177 best test_acc 0.8483
e 32 | malicious users: 5 | test acc 0.7437 test loss 0.973859 best test_acc 0.8483
e 33 | malicious users: 5 | test acc 0.7333 test loss 0.978527 best test_acc 0.8483
e 34 | malicious users: 5 | test acc 0.7804 test loss 0.683830 best test_acc 0.8483
e 35 | malicious users: 5 | test acc 0.6617 test loss 1.026551 best test_acc 0.8483
e 36 | malicious users: 5 | test acc 0.6913 test loss 0.816572 best test_acc 0.8483
e 37 | malicious users: 5 | test acc 0.8130 test loss 0.747836 best test_acc 0.8483
e 38 | malicious users: 5 | test acc 0.7570 test loss 0.933526 best test_acc 0.8483
e 39 | malicious users: 5 | test acc 0.7078 test loss 0.813101 best test_acc 0.8483
e 40 | malicious users: 5 | test acc 0.6812 test loss 0.997846 best test_acc 0.8483
e 41 | malicious users: 5 | test acc 0.8995 test loss 0.632926 best test_acc 0.8995
e 42 | malicious users: 5 | test acc 0.8711 test loss 0.689828 best test_acc 0.8995
e 43 | malicious users: 5 | test acc 0.7727 test loss 0.613921 best test_acc 0.8995
e 44 | malicious users: 5 | test acc 0.6399 test loss 1.095601 best test_acc 0.8995
e 45 | malicious users: 5 | test acc 0.7489 test loss 0.752872 best test_acc 0.8995
e 46 | malicious users: 5 | test acc 0.7162 test loss 0.888369 best test_acc 0.8995
e 47 | malicious users: 5 | test acc 0.8191 test loss 0.725832 best test_acc 0.8995
e 48 | malicious users: 5 | test acc 0.8125 test loss 0.742133 best test_acc 0.8995
e 49 | malicious users: 5 | test acc 0.7573 test loss 0.627244 best test_acc 0.8995
e 50 | malicious users: 5 | test acc 0.7959 test loss 0.818738 best test_acc 0.8995
e 51 | malicious users: 5 | test acc 0.7223 test loss 0.790147 best test_acc 0.8995
e 52 | malicious users: 5 | test acc 0.8271 test loss 0.858937 best test_acc 0.8995
e 53 | malicious users: 5 | test acc 0.8186 test loss 0.857626 best test_acc 0.8995
e 54 | malicious users: 5 | test acc 0.5742 test loss 1.078997 best test_acc 0.8995
e 55 | malicious users: 5 | test acc 0.8032 test loss 0.645413 best test_acc 0.8995
e 56 | malicious users: 5 | test acc 0.7871 test loss 0.749257 best test_acc 0.8995
e 57 | malicious users: 5 | test acc 0.7889 test loss 0.756561 best test_acc 0.8995
e 58 | malicious users: 5 | test acc 0.7297 test loss 0.830978 best test_acc 0.8995
e 59 | malicious users: 5 | test acc 0.7332 test loss 0.987795 best test_acc 0.8995
e 60 | malicious users: 5 | test acc 0.8502 test loss 0.641851 best test_acc 0.8995
e 61 | malicious users: 5 | test acc 0.7880 test loss 0.741020 best test_acc 0.8995
e 62 | malicious users: 5 | test acc 0.7785 test loss 0.722586 best test_acc 0.8995
e 63 | malicious users: 5 | test acc 0.8498 test loss 0.780873 best test_acc 0.8995
e 64 | malicious users: 5 | test acc 0.6644 test loss 0.990563 best test_acc 0.8995
e 65 | malicious users: 5 | test acc 0.6878 test loss 1.167995 best test_acc 0.8995
e 66 | malicious users: 5 | test acc 0.7661 test loss 0.694216 best test_acc 0.8995
e 67 | malicious users: 5 | test acc 0.7509 test loss 0.699205 best test_acc 0.8995
e 68 | malicious users: 5 | test acc 0.8615 test loss 0.601450 best test_acc 0.8995
e 69 | malicious users: 5 | test acc 0.8214 test loss 0.851376 best test_acc 0.8995
e 70 | malicious users: 5 | test acc 0.7877 test loss 0.647693 best test_acc 0.8995
e 71 | malicious users: 5 | test acc 0.6929 test loss 0.879202 best test_acc 0.8995
e 72 | malicious users: 5 | test acc 0.6952 test loss 0.796118 best test_acc 0.8995
e 73 | malicious users: 5 | test acc 0.7741 test loss 0.944690 best test_acc 0.8995
e 74 | malicious users: 5 | test acc 0.7108 test loss 0.831510 best test_acc 0.8995
