=> Saving data in Logs/FRL~try=923
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.0976 test loss 2.293507 best test_acc 0.0976
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 1 | malicious users: 5 | test acc 0.1183 test loss 2.260754 best test_acc 0.1183
e 2 | malicious users: 5 | test acc 0.2562 test loss 2.249445 best test_acc 0.2562
e 3 | malicious users: 5 | test acc 0.0929 test loss 2.229421 best test_acc 0.2562
e 4 | malicious users: 5 | test acc 0.4105 test loss 2.078702 best test_acc 0.4105
e 5 | malicious users: 5 | test acc 0.4128 test loss 2.056175 best test_acc 0.4128
e 6 | malicious users: 5 | test acc 0.5501 test loss 1.798100 best test_acc 0.5501
e 7 | malicious users: 5 | test acc 0.3373 test loss 1.623288 best test_acc 0.5501
e 8 | malicious users: 5 | test acc 0.5472 test loss 1.483822 best test_acc 0.5501
e 9 | malicious users: 5 | test acc 0.5942 test loss 1.495572 best test_acc 0.5942
e 10 | malicious users: 5 | test acc 0.5526 test loss 1.453827 best test_acc 0.5942
e 11 | malicious users: 5 | test acc 0.7003 test loss 1.500301 best test_acc 0.7003
e 12 | malicious users: 5 | test acc 0.8007 test loss 1.267989 best test_acc 0.8007
e 13 | malicious users: 5 | test acc 0.7134 test loss 1.165990 best test_acc 0.8007
e 14 | malicious users: 5 | test acc 0.5770 test loss 1.398250 best test_acc 0.8007
e 15 | malicious users: 5 | test acc 0.6954 test loss 1.109665 best test_acc 0.8007
e 16 | malicious users: 5 | test acc 0.6998 test loss 1.280691 best test_acc 0.8007
e 17 | malicious users: 5 | test acc 0.7903 test loss 1.096726 best test_acc 0.8007
e 18 | malicious users: 5 | test acc 0.7004 test loss 1.284985 best test_acc 0.8007
e 19 | malicious users: 5 | test acc 0.7761 test loss 1.116524 best test_acc 0.8007
e 20 | malicious users: 5 | test acc 0.8324 test loss 1.147251 best test_acc 0.8324
