=> Saving data in Logs/FRL~try=924
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2127 test loss 2.161213 best test_acc 0.2127
e 1 | malicious users: 5 | test acc 0.5408 test loss 1.488537 best test_acc 0.5408
e 2 | malicious users: 5 | test acc 0.5144 test loss 1.755588 best test_acc 0.5408
e 3 | malicious users: 5 | test acc 0.6374 test loss 1.152780 best test_acc 0.6374
e 4 | malicious users: 5 | test acc 0.7073 test loss 1.313244 best test_acc 0.7073
e 5 | malicious users: 5 | test acc 0.7484 test loss 0.711044 best test_acc 0.7484
e 6 | malicious users: 5 | test acc 0.6784 test loss 1.024913 best test_acc 0.7484
e 7 | malicious users: 5 | test acc 0.7918 test loss 0.585874 best test_acc 0.7918
e 8 | malicious users: 5 | test acc 0.7443 test loss 0.908036 best test_acc 0.7918
e 9 | malicious users: 5 | test acc 0.8285 test loss 0.590509 best test_acc 0.8285
e 10 | malicious users: 5 | test acc 0.8561 test loss 0.723775 best test_acc 0.8561
e 11 | malicious users: 5 | test acc 0.7210 test loss 0.723648 best test_acc 0.8561
e 12 | malicious users: 5 | test acc 0.8148 test loss 0.647921 best test_acc 0.8561
e 13 | malicious users: 5 | test acc 0.8231 test loss 0.629471 best test_acc 0.8561
e 14 | malicious users: 5 | test acc 0.7965 test loss 0.689544 best test_acc 0.8561
e 15 | malicious users: 5 | test acc 0.8183 test loss 0.672406 best test_acc 0.8561
e 16 | malicious users: 5 | test acc 0.8164 test loss 0.648820 best test_acc 0.8561
e 17 | malicious users: 5 | test acc 0.8865 test loss 0.516334 best test_acc 0.8865
e 18 | malicious users: 5 | test acc 0.8669 test loss 0.541757 best test_acc 0.8865
e 19 | malicious users: 5 | test acc 0.7876 test loss 0.640040 best test_acc 0.8865
e 20 | malicious users: 5 | test acc 0.8952 test loss 0.459540 best test_acc 0.8952
e 21 | malicious users: 5 | test acc 0.8288 test loss 0.865195 best test_acc 0.8952
e 22 | malicious users: 5 | test acc 0.9089 test loss 0.363024 best test_acc 0.9089
e 23 | malicious users: 5 | test acc 0.9118 test loss 0.550582 best test_acc 0.9118
e 24 | malicious users: 5 | test acc 0.9060 test loss 0.414066 best test_acc 0.9118
e 25 | malicious users: 5 | test acc 0.8759 test loss 0.512931 best test_acc 0.9118
e 26 | malicious users: 5 | test acc 0.8031 test loss 0.580135 best test_acc 0.9118
e 27 | malicious users: 5 | test acc 0.8853 test loss 0.419424 best test_acc 0.9118
e 28 | malicious users: 5 | test acc 0.7213 test loss 0.898686 best test_acc 0.9118
e 29 | malicious users: 5 | test acc 0.9070 test loss 0.318420 best test_acc 0.9118
e 30 | malicious users: 5 | test acc 0.8204 test loss 0.951252 best test_acc 0.9118
e 31 | malicious users: 5 | test acc 0.9169 test loss 0.288528 best test_acc 0.9169
e 32 | malicious users: 5 | test acc 0.8665 test loss 0.631263 best test_acc 0.9169
e 33 | malicious users: 5 | test acc 0.9078 test loss 0.332204 best test_acc 0.9169
e 34 | malicious users: 5 | test acc 0.7571 test loss 0.765919 best test_acc 0.9169
e 35 | malicious users: 5 | test acc 0.8525 test loss 0.423089 best test_acc 0.9169
e 36 | malicious users: 5 | test acc 0.9076 test loss 0.619783 best test_acc 0.9169
e 37 | malicious users: 5 | test acc 0.9024 test loss 0.366063 best test_acc 0.9169
e 38 | malicious users: 5 | test acc 0.8456 test loss 0.519521 best test_acc 0.9169
e 39 | malicious users: 5 | test acc 0.8914 test loss 0.435676 best test_acc 0.9169
e 40 | malicious users: 5 | test acc 0.8003 test loss 0.601695 best test_acc 0.9169
e 41 | malicious users: 5 | test acc 0.8048 test loss 0.610784 best test_acc 0.9169
e 42 | malicious users: 5 | test acc 0.8712 test loss 0.543586 best test_acc 0.9169
e 43 | malicious users: 5 | test acc 0.8641 test loss 0.544934 best test_acc 0.9169
e 44 | malicious users: 5 | test acc 0.9073 test loss 0.379494 best test_acc 0.9169
e 45 | malicious users: 5 | test acc 0.8445 test loss 0.482974 best test_acc 0.9169
e 46 | malicious users: 5 | test acc 0.8360 test loss 0.502687 best test_acc 0.9169
e 47 | malicious users: 5 | test acc 0.7975 test loss 0.713463 best test_acc 0.9169
e 48 | malicious users: 5 | test acc 0.8433 test loss 0.569376 best test_acc 0.9169
e 49 | malicious users: 5 | test acc 0.8074 test loss 0.568770 best test_acc 0.9169
e 50 | malicious users: 5 | test acc 0.8541 test loss 0.529820 best test_acc 0.9169
e 51 | malicious users: 5 | test acc 0.8988 test loss 0.522036 best test_acc 0.9169
e 52 | malicious users: 5 | test acc 0.8916 test loss 0.459935 best test_acc 0.9169
e 53 | malicious users: 5 | test acc 0.9175 test loss 0.331685 best test_acc 0.9175
e 54 | malicious users: 5 | test acc 0.8463 test loss 0.584001 best test_acc 0.9175
e 55 | malicious users: 5 | test acc 0.8982 test loss 0.351240 best test_acc 0.9175
e 56 | malicious users: 5 | test acc 0.8849 test loss 0.621396 best test_acc 0.9175
e 57 | malicious users: 5 | test acc 0.9299 test loss 0.262419 best test_acc 0.9299
e 58 | malicious users: 5 | test acc 0.8562 test loss 0.571718 best test_acc 0.9299
e 59 | malicious users: 5 | test acc 0.9142 test loss 0.309446 best test_acc 0.9299
e 60 | malicious users: 5 | test acc 0.8856 test loss 0.506461 best test_acc 0.9299
e 61 | malicious users: 5 | test acc 0.9259 test loss 0.335457 best test_acc 0.9299
e 62 | malicious users: 5 | test acc 0.8036 test loss 0.639571 best test_acc 0.9299
e 63 | malicious users: 5 | test acc 0.8697 test loss 0.423405 best test_acc 0.9299
e 64 | malicious users: 5 | test acc 0.8961 test loss 0.459115 best test_acc 0.9299
e 65 | malicious users: 5 | test acc 0.9036 test loss 0.361849 best test_acc 0.9299
e 66 | malicious users: 5 | test acc 0.8834 test loss 0.531622 best test_acc 0.9299
e 67 | malicious users: 5 | test acc 0.8793 test loss 0.406563 best test_acc 0.9299
e 68 | malicious users: 5 | test acc 0.8405 test loss 0.650082 best test_acc 0.9299
