=> Saving data in Logs/FRL~try=925
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 4 | test acc 0.1827 test loss 2.287416 best test_acc 0.1827
e 1 | malicious users: 2 | test acc 0.1013 test loss 2.280793 best test_acc 0.1827
e 2 | malicious users: 4 | test acc 0.2683 test loss 2.247317 best test_acc 0.2683
e 3 | malicious users: 4 | test acc 0.3003 test loss 2.190379 best test_acc 0.3003
e 4 | malicious users: 7 | test acc 0.1935 test loss 2.185318 best test_acc 0.3003
e 5 | malicious users: 10 | test acc 0.1685 test loss 2.916201 best test_acc 0.3003
e 6 | malicious users: 3 | test acc 0.2175 test loss 2.264924 best test_acc 0.3003
e 7 | malicious users: 5 | test acc 0.2678 test loss 2.039010 best test_acc 0.3003
e 8 | malicious users: 3 | test acc 0.1669 test loss 2.123298 best test_acc 0.3003
e 9 | malicious users: 8 | test acc 0.1953 test loss 1.983617 best test_acc 0.3003
e 10 | malicious users: 9 | test acc 0.2379 test loss 2.057288 best test_acc 0.3003
e 11 | malicious users: 1 | test acc 0.5304 test loss 1.817134 best test_acc 0.5304
e 12 | malicious users: 5 | test acc 0.4676 test loss 1.753395 best test_acc 0.5304
e 13 | malicious users: 6 | test acc 0.4274 test loss 1.662786 best test_acc 0.5304
e 14 | malicious users: 7 | test acc 0.6165 test loss 1.475797 best test_acc 0.6165
e 15 | malicious users: 9 | test acc 0.2700 test loss 1.876993 best test_acc 0.6165
e 16 | malicious users: 3 | test acc 0.4635 test loss 1.587210 best test_acc 0.6165
e 17 | malicious users: 6 | test acc 0.3935 test loss 1.611500 best test_acc 0.6165
e 18 | malicious users: 8 | test acc 0.4212 test loss 1.640034 best test_acc 0.6165
e 19 | malicious users: 5 | test acc 0.6204 test loss 1.479622 best test_acc 0.6204
e 20 | malicious users: 7 | test acc 0.5413 test loss 1.388177 best test_acc 0.6204
e 21 | malicious users: 7 | test acc 0.5786 test loss 1.405750 best test_acc 0.6204
e 22 | malicious users: 7 | test acc 0.4636 test loss 1.428774 best test_acc 0.6204
e 23 | malicious users: 2 | test acc 0.8139 test loss 1.245788 best test_acc 0.8139
e 24 | malicious users: 3 | test acc 0.7547 test loss 1.100873 best test_acc 0.8139
e 25 | malicious users: 7 | test acc 0.3933 test loss 1.427218 best test_acc 0.8139
e 26 | malicious users: 5 | test acc 0.6419 test loss 1.346997 best test_acc 0.8139
e 27 | malicious users: 4 | test acc 0.6331 test loss 1.220427 best test_acc 0.8139
e 28 | malicious users: 3 | test acc 0.7728 test loss 1.204000 best test_acc 0.8139
e 29 | malicious users: 4 | test acc 0.8309 test loss 0.980690 best test_acc 0.8309
e 30 | malicious users: 5 | test acc 0.7209 test loss 1.044798 best test_acc 0.8309
e 31 | malicious users: 6 | test acc 0.6740 test loss 1.087384 best test_acc 0.8309
e 32 | malicious users: 7 | test acc 0.5779 test loss 1.130393 best test_acc 0.8309
e 33 | malicious users: 4 | test acc 0.3301 test loss 1.566063 best test_acc 0.8309
e 34 | malicious users: 6 | test acc 0.7138 test loss 1.417739 best test_acc 0.8309
e 35 | malicious users: 6 | test acc 0.7909 test loss 0.916301 best test_acc 0.8309
e 36 | malicious users: 3 | test acc 0.6362 test loss 1.249349 best test_acc 0.8309
e 37 | malicious users: 6 | test acc 0.6717 test loss 1.168652 best test_acc 0.8309
e 38 | malicious users: 9 | test acc 0.6513 test loss 1.235639 best test_acc 0.8309
e 39 | malicious users: 3 | test acc 0.6229 test loss 1.116612 best test_acc 0.8309
e 40 | malicious users: 3 | test acc 0.7881 test loss 1.082110 best test_acc 0.8309
e 41 | malicious users: 6 | test acc 0.6744 test loss 1.032262 best test_acc 0.8309
e 42 | malicious users: 7 | test acc 0.4108 test loss 1.403321 best test_acc 0.8309
e 43 | malicious users: 5 | test acc 0.6707 test loss 1.294279 best test_acc 0.8309
e 44 | malicious users: 4 | test acc 0.7806 test loss 1.169468 best test_acc 0.8309
e 45 | malicious users: 5 | test acc 0.7208 test loss 1.085647 best test_acc 0.8309
e 46 | malicious users: 7 | test acc 0.7217 test loss 1.088598 best test_acc 0.8309
e 47 | malicious users: 7 | test acc 0.7335 test loss 0.963681 best test_acc 0.8309
e 48 | malicious users: 7 | test acc 0.7140 test loss 1.132728 best test_acc 0.8309
e 49 | malicious users: 3 | test acc 0.7883 test loss 1.101178 best test_acc 0.8309
e 50 | malicious users: 6 | test acc 0.7528 test loss 1.180318 best test_acc 0.8309
e 51 | malicious users: 2 | test acc 0.8690 test loss 1.102661 best test_acc 0.8690
e 52 | malicious users: 5 | test acc 0.8438 test loss 1.005693 best test_acc 0.8690
e 53 | malicious users: 3 | test acc 0.7748 test loss 1.041342 best test_acc 0.8690
e 54 | malicious users: 8 | test acc 0.6259 test loss 1.118785 best test_acc 0.8690
e 55 | malicious users: 6 | test acc 0.8234 test loss 0.956979 best test_acc 0.8690
e 56 | malicious users: 3 | test acc 0.7995 test loss 0.895369 best test_acc 0.8690
e 57 | malicious users: 8 | test acc 0.6970 test loss 1.049492 best test_acc 0.8690
e 58 | malicious users: 7 | test acc 0.6760 test loss 1.326527 best test_acc 0.8690
e 59 | malicious users: 3 | test acc 0.7604 test loss 0.878782 best test_acc 0.8690
e 60 | malicious users: 3 | test acc 0.8407 test loss 1.001764 best test_acc 0.8690
e 61 | malicious users: 7 | test acc 0.6974 test loss 1.022521 best test_acc 0.8690
e 62 | malicious users: 7 | test acc 0.5149 test loss 1.144449 best test_acc 0.8690
e 63 | malicious users: 2 | test acc 0.7984 test loss 0.923838 best test_acc 0.8690
e 64 | malicious users: 2 | test acc 0.8666 test loss 0.905137 best test_acc 0.8690
e 65 | malicious users: 3 | test acc 0.8996 test loss 0.800726 best test_acc 0.8996
e 66 | malicious users: 4 | test acc 0.8681 test loss 0.955130 best test_acc 0.8996
e 67 | malicious users: 5 | test acc 0.8197 test loss 1.005793 best test_acc 0.8996
e 68 | malicious users: 7 | test acc 0.7930 test loss 0.908257 best test_acc 0.8996
e 69 | malicious users: 6 | test acc 0.7595 test loss 0.826384 best test_acc 0.8996
e 70 | malicious users: 4 | test acc 0.8417 test loss 0.937142 best test_acc 0.8996
e 71 | malicious users: 3 | test acc 0.8733 test loss 0.868757 best test_acc 0.8996
e 72 | malicious users: 1 | test acc 0.8141 test loss 0.900520 best test_acc 0.8996
e 73 | malicious users: 3 | test acc 0.8206 test loss 0.910963 best test_acc 0.8996
e 74 | malicious users: 5 | test acc 0.8081 test loss 1.300059 best test_acc 0.8996
e 75 | malicious users: 8 | test acc 0.3539 test loss 1.543493 best test_acc 0.8996
e 76 | malicious users: 6 | test acc 0.6237 test loss 1.241704 best test_acc 0.8996
e 77 | malicious users: 6 | test acc 0.8611 test loss 0.936012 best test_acc 0.8996
e 78 | malicious users: 3 | test acc 0.9095 test loss 0.816128 best test_acc 0.9095
e 79 | malicious users: 4 | test acc 0.8926 test loss 0.775506 best test_acc 0.9095
e 80 | malicious users: 2 | test acc 0.8890 test loss 0.871658 best test_acc 0.9095
e 81 | malicious users: 8 | test acc 0.4843 test loss 1.371536 best test_acc 0.9095
e 82 | malicious users: 5 | test acc 0.7211 test loss 1.029497 best test_acc 0.9095
e 83 | malicious users: 3 | test acc 0.8833 test loss 0.988586 best test_acc 0.9095
e 84 | malicious users: 4 | test acc 0.8796 test loss 0.835002 best test_acc 0.9095
e 85 | malicious users: 6 | test acc 0.7858 test loss 0.959278 best test_acc 0.9095
e 86 | malicious users: 2 | test acc 0.8585 test loss 0.827532 best test_acc 0.9095
e 87 | malicious users: 4 | test acc 0.8967 test loss 0.706182 best test_acc 0.9095
e 88 | malicious users: 6 | test acc 0.7144 test loss 0.871206 best test_acc 0.9095
e 89 | malicious users: 7 | test acc 0.7960 test loss 0.860876 best test_acc 0.9095
e 90 | malicious users: 4 | test acc 0.8973 test loss 0.814446 best test_acc 0.9095
