=> Saving data in Logs/FRL~try=941
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 4 | test acc 0.3581 test loss 2.184705 best test_acc 0.3581
e 1 | malicious users: 8 | test acc 0.4671 test loss 1.847108 best test_acc 0.4671
e 2 | malicious users: 5 | test acc 0.6440 test loss 1.755456 best test_acc 0.6440
e 3 | malicious users: 4 | test acc 0.5791 test loss 1.552412 best test_acc 0.6440
e 4 | malicious users: 7 | test acc 0.6915 test loss 1.047240 best test_acc 0.6915
e 5 | malicious users: 4 | test acc 0.7233 test loss 1.075567 best test_acc 0.7233
e 6 | malicious users: 7 | test acc 0.7246 test loss 1.012170 best test_acc 0.7246
e 7 | malicious users: 6 | test acc 0.7859 test loss 0.783354 best test_acc 0.7859
e 8 | malicious users: 6 | test acc 0.7304 test loss 0.810640 best test_acc 0.7859
e 9 | malicious users: 3 | test acc 0.8294 test loss 0.636458 best test_acc 0.8294
e 10 | malicious users: 6 | test acc 0.8021 test loss 0.742300 best test_acc 0.8294
e 11 | malicious users: 7 | test acc 0.5805 test loss 1.040053 best test_acc 0.8294
e 12 | malicious users: 4 | test acc 0.8365 test loss 0.659275 best test_acc 0.8365
e 13 | malicious users: 5 | test acc 0.8458 test loss 0.558872 best test_acc 0.8458
e 14 | malicious users: 4 | test acc 0.8103 test loss 0.711124 best test_acc 0.8458
e 15 | malicious users: 3 | test acc 0.8434 test loss 0.612623 best test_acc 0.8458
e 16 | malicious users: 6 | test acc 0.8534 test loss 0.677440 best test_acc 0.8534
e 17 | malicious users: 6 | test acc 0.8963 test loss 0.409319 best test_acc 0.8963
e 18 | malicious users: 2 | test acc 0.7715 test loss 0.703869 best test_acc 0.8963
e 19 | malicious users: 4 | test acc 0.8922 test loss 0.506699 best test_acc 0.8963
e 20 | malicious users: 4 | test acc 0.8636 test loss 0.567292 best test_acc 0.8963
e 21 | malicious users: 5 | test acc 0.8625 test loss 0.471793 best test_acc 0.8963
e 22 | malicious users: 10 | test acc 0.6640 test loss 1.028403 best test_acc 0.8963
e 23 | malicious users: 6 | test acc 0.8111 test loss 0.609322 best test_acc 0.8963
e 24 | malicious users: 1 | test acc 0.9019 test loss 0.439413 best test_acc 0.9019
e 25 | malicious users: 5 | test acc 0.9128 test loss 0.368338 best test_acc 0.9128
e 26 | malicious users: 3 | test acc 0.8330 test loss 0.596378 best test_acc 0.9128
e 27 | malicious users: 5 | test acc 0.8774 test loss 0.452218 best test_acc 0.9128
e 28 | malicious users: 3 | test acc 0.8018 test loss 0.733736 best test_acc 0.9128
e 29 | malicious users: 3 | test acc 0.8369 test loss 0.573822 best test_acc 0.9128
e 30 | malicious users: 2 | test acc 0.8268 test loss 0.558062 best test_acc 0.9128
e 31 | malicious users: 6 | test acc 0.9168 test loss 0.341985 best test_acc 0.9168
e 32 | malicious users: 6 | test acc 0.8682 test loss 0.608071 best test_acc 0.9168
e 33 | malicious users: 8 | test acc 0.8842 test loss 0.440738 best test_acc 0.9168
e 34 | malicious users: 2 | test acc 0.9149 test loss 0.416379 best test_acc 0.9168
e 35 | malicious users: 5 | test acc 0.8706 test loss 0.455675 best test_acc 0.9168
e 36 | malicious users: 4 | test acc 0.8596 test loss 0.407663 best test_acc 0.9168
e 37 | malicious users: 9 | test acc 0.8320 test loss 0.692010 best test_acc 0.9168
e 38 | malicious users: 3 | test acc 0.9289 test loss 0.341237 best test_acc 0.9289
e 39 | malicious users: 3 | test acc 0.9104 test loss 0.372373 best test_acc 0.9289
e 40 | malicious users: 9 | test acc 0.7720 test loss 0.828963 best test_acc 0.9289
e 41 | malicious users: 5 | test acc 0.9138 test loss 0.428648 best test_acc 0.9289
e 42 | malicious users: 7 | test acc 0.8712 test loss 0.562880 best test_acc 0.9289
e 43 | malicious users: 4 | test acc 0.8858 test loss 0.455254 best test_acc 0.9289
e 44 | malicious users: 5 | test acc 0.9042 test loss 0.413022 best test_acc 0.9289
e 45 | malicious users: 9 | test acc 0.6548 test loss 0.879643 best test_acc 0.9289
e 46 | malicious users: 3 | test acc 0.8637 test loss 0.432737 best test_acc 0.9289
e 47 | malicious users: 12 | test acc 0.1292 test loss 5.358162 best test_acc 0.9289
e 48 | malicious users: 8 | test acc 0.0952 test loss 2.301678 best test_acc 0.9289
e 49 | malicious users: 4 | test acc 0.1553 test loss 2.293712 best test_acc 0.9289
e 50 | malicious users: 4 | test acc 0.2546 test loss 2.228314 best test_acc 0.9289
e 51 | malicious users: 4 | test acc 0.4516 test loss 2.086113 best test_acc 0.9289
e 52 | malicious users: 3 | test acc 0.5718 test loss 1.774613 best test_acc 0.9289
e 53 | malicious users: 6 | test acc 0.5097 test loss 1.499653 best test_acc 0.9289
e 54 | malicious users: 4 | test acc 0.5736 test loss 1.584153 best test_acc 0.9289
e 55 | malicious users: 5 | test acc 0.5660 test loss 1.393030 best test_acc 0.9289
e 56 | malicious users: 3 | test acc 0.6574 test loss 1.111477 best test_acc 0.9289
e 57 | malicious users: 5 | test acc 0.5755 test loss 1.381504 best test_acc 0.9289
e 58 | malicious users: 5 | test acc 0.6349 test loss 1.182035 best test_acc 0.9289
e 59 | malicious users: 5 | test acc 0.6952 test loss 1.092426 best test_acc 0.9289
e 60 | malicious users: 4 | test acc 0.6539 test loss 1.140261 best test_acc 0.9289
e 61 | malicious users: 4 | test acc 0.6826 test loss 0.971572 best test_acc 0.9289
e 62 | malicious users: 9 | test acc 0.6269 test loss 1.199021 best test_acc 0.9289
e 63 | malicious users: 4 | test acc 0.6756 test loss 1.077179 best test_acc 0.9289
e 64 | malicious users: 4 | test acc 0.7370 test loss 1.043826 best test_acc 0.9289
e 65 | malicious users: 6 | test acc 0.6853 test loss 1.038238 best test_acc 0.9289
e 66 | malicious users: 2 | test acc 0.7470 test loss 0.837754 best test_acc 0.9289
e 67 | malicious users: 7 | test acc 0.7101 test loss 0.989960 best test_acc 0.9289
e 68 | malicious users: 5 | test acc 0.6912 test loss 0.951384 best test_acc 0.9289
e 69 | malicious users: 3 | test acc 0.7543 test loss 0.892217 best test_acc 0.9289
e 70 | malicious users: 3 | test acc 0.6978 test loss 0.912204 best test_acc 0.9289
e 71 | malicious users: 6 | test acc 0.7067 test loss 0.952306 best test_acc 0.9289
e 72 | malicious users: 7 | test acc 0.7867 test loss 0.829644 best test_acc 0.9289
e 73 | malicious users: 5 | test acc 0.7683 test loss 0.788977 best test_acc 0.9289
e 74 | malicious users: 5 | test acc 0.7494 test loss 0.798175 best test_acc 0.9289
e 75 | malicious users: 5 | test acc 0.6986 test loss 0.951399 best test_acc 0.9289
e 76 | malicious users: 5 | test acc 0.8310 test loss 0.734714 best test_acc 0.9289
e 77 | malicious users: 5 | test acc 0.6795 test loss 0.918573 best test_acc 0.9289
e 78 | malicious users: 8 | test acc 0.7533 test loss 0.827596 best test_acc 0.9289
e 79 | malicious users: 7 | test acc 0.7222 test loss 0.841335 best test_acc 0.9289
e 80 | malicious users: 3 | test acc 0.7257 test loss 0.841235 best test_acc 0.9289
e 81 | malicious users: 2 | test acc 0.7637 test loss 0.766648 best test_acc 0.9289
e 82 | malicious users: 4 | test acc 0.7138 test loss 0.807339 best test_acc 0.9289
e 83 | malicious users: 5 | test acc 0.7705 test loss 0.728406 best test_acc 0.9289
e 84 | malicious users: 3 | test acc 0.7318 test loss 0.754591 best test_acc 0.9289
e 85 | malicious users: 7 | test acc 0.7490 test loss 0.857235 best test_acc 0.9289
e 86 | malicious users: 5 | test acc 0.7750 test loss 0.744811 best test_acc 0.9289
e 87 | malicious users: 1 | test acc 0.7834 test loss 0.751689 best test_acc 0.9289
e 88 | malicious users: 2 | test acc 0.8367 test loss 0.654226 best test_acc 0.9289
e 89 | malicious users: 7 | test acc 0.8105 test loss 0.663376 best test_acc 0.9289
e 90 | malicious users: 8 | test acc 0.7354 test loss 0.942555 best test_acc 0.9289
e 91 | malicious users: 5 | test acc 0.8235 test loss 0.705320 best test_acc 0.9289
e 92 | malicious users: 5 | test acc 0.7911 test loss 0.832620 best test_acc 0.9289
