=> Saving data in Logs/FRL~try=944
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1402 test loss 2.225835 best test_acc 0.1402
e 1 | malicious users: 5 | test acc 0.4926 test loss 1.820437 best test_acc 0.4926
e 2 | malicious users: 5 | test acc 0.5706 test loss 1.783409 best test_acc 0.5706
e 3 | malicious users: 5 | test acc 0.5913 test loss 1.739691 best test_acc 0.5913
e 4 | malicious users: 5 | test acc 0.6687 test loss 1.046169 best test_acc 0.6687
e 5 | malicious users: 5 | test acc 0.7316 test loss 1.043655 best test_acc 0.7316
e 6 | malicious users: 5 | test acc 0.7818 test loss 0.884588 best test_acc 0.7818
e 7 | malicious users: 5 | test acc 0.8016 test loss 0.819473 best test_acc 0.8016
e 8 | malicious users: 5 | test acc 0.7575 test loss 0.745177 best test_acc 0.8016
e 9 | malicious users: 5 | test acc 0.7744 test loss 0.712662 best test_acc 0.8016
e 10 | malicious users: 5 | test acc 0.8407 test loss 0.666214 best test_acc 0.8407
e 11 | malicious users: 5 | test acc 0.8785 test loss 0.561170 best test_acc 0.8785
e 12 | malicious users: 5 | test acc 0.8054 test loss 0.702156 best test_acc 0.8785
e 13 | malicious users: 5 | test acc 0.8818 test loss 0.496625 best test_acc 0.8818
e 14 | malicious users: 5 | test acc 0.8565 test loss 0.494762 best test_acc 0.8818
e 15 | malicious users: 5 | test acc 0.8844 test loss 0.489409 best test_acc 0.8844
e 16 | malicious users: 5 | test acc 0.8306 test loss 0.516426 best test_acc 0.8844
e 17 | malicious users: 5 | test acc 0.8114 test loss 0.623893 best test_acc 0.8844
e 18 | malicious users: 5 | test acc 0.8912 test loss 0.518385 best test_acc 0.8912
e 19 | malicious users: 5 | test acc 0.8226 test loss 0.614486 best test_acc 0.8912
e 20 | malicious users: 5 | test acc 0.8997 test loss 0.508998 best test_acc 0.8997
e 21 | malicious users: 5 | test acc 0.9064 test loss 0.409096 best test_acc 0.9064
e 22 | malicious users: 5 | test acc 0.8332 test loss 0.584081 best test_acc 0.9064
e 23 | malicious users: 5 | test acc 0.8581 test loss 0.572942 best test_acc 0.9064
e 24 | malicious users: 5 | test acc 0.9089 test loss 0.375072 best test_acc 0.9089
e 25 | malicious users: 5 | test acc 0.8335 test loss 0.696618 best test_acc 0.9089
e 26 | malicious users: 5 | test acc 0.9057 test loss 0.432195 best test_acc 0.9089
e 27 | malicious users: 5 | test acc 0.8935 test loss 0.440046 best test_acc 0.9089
e 28 | malicious users: 5 | test acc 0.8986 test loss 0.534032 best test_acc 0.9089
e 29 | malicious users: 5 | test acc 0.9209 test loss 0.404510 best test_acc 0.9209
e 30 | malicious users: 5 | test acc 0.8033 test loss 0.610116 best test_acc 0.9209
e 31 | malicious users: 5 | test acc 0.8812 test loss 0.635707 best test_acc 0.9209
e 32 | malicious users: 5 | test acc 0.8780 test loss 0.576158 best test_acc 0.9209
e 33 | malicious users: 5 | test acc 0.8865 test loss 0.474668 best test_acc 0.9209
e 34 | malicious users: 5 | test acc 0.8394 test loss 0.543431 best test_acc 0.9209
e 35 | malicious users: 5 | test acc 0.9139 test loss 0.407588 best test_acc 0.9209
e 36 | malicious users: 5 | test acc 0.8986 test loss 0.481424 best test_acc 0.9209
e 37 | malicious users: 5 | test acc 0.8385 test loss 0.543443 best test_acc 0.9209
e 38 | malicious users: 5 | test acc 0.9253 test loss 0.433124 best test_acc 0.9253
e 39 | malicious users: 5 | test acc 0.8669 test loss 0.427150 best test_acc 0.9253
e 40 | malicious users: 5 | test acc 0.9163 test loss 0.432458 best test_acc 0.9253
e 41 | malicious users: 5 | test acc 0.8885 test loss 0.452490 best test_acc 0.9253
e 42 | malicious users: 5 | test acc 0.9155 test loss 0.393160 best test_acc 0.9253
e 43 | malicious users: 5 | test acc 0.9288 test loss 0.375782 best test_acc 0.9288
e 44 | malicious users: 5 | test acc 0.9026 test loss 0.502689 best test_acc 0.9288
e 45 | malicious users: 5 | test acc 0.9201 test loss 0.320320 best test_acc 0.9288
e 46 | malicious users: 5 | test acc 0.9024 test loss 0.537399 best test_acc 0.9288
e 47 | malicious users: 5 | test acc 0.9068 test loss 0.392742 best test_acc 0.9288
e 48 | malicious users: 5 | test acc 0.7625 test loss 0.631565 best test_acc 0.9288
