=> Saving data in Logs/FRL~try=946
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.2580 test loss 2.231053 best test_acc 0.2580
e 1 | malicious users: 5 | test acc 0.5394 test loss 1.878904 best test_acc 0.5394
e 2 | malicious users: 5 | test acc 0.6034 test loss 1.631264 best test_acc 0.6034
e 3 | malicious users: 5 | test acc 0.5946 test loss 1.511973 best test_acc 0.6034
e 4 | malicious users: 5 | test acc 0.6951 test loss 1.047767 best test_acc 0.6951
e 5 | malicious users: 5 | test acc 0.6987 test loss 1.216565 best test_acc 0.6987
e 6 | malicious users: 5 | test acc 0.7673 test loss 0.924720 best test_acc 0.7673
e 7 | malicious users: 5 | test acc 0.8120 test loss 0.712582 best test_acc 0.8120
e 8 | malicious users: 5 | test acc 0.7986 test loss 0.731411 best test_acc 0.8120
e 9 | malicious users: 5 | test acc 0.8691 test loss 0.579857 best test_acc 0.8691
e 10 | malicious users: 5 | test acc 0.8639 test loss 0.659914 best test_acc 0.8691
e 11 | malicious users: 5 | test acc 0.8678 test loss 0.512276 best test_acc 0.8691
e 12 | malicious users: 5 | test acc 0.8861 test loss 0.605329 best test_acc 0.8861
e 13 | malicious users: 5 | test acc 0.9027 test loss 0.423405 best test_acc 0.9027
e 14 | malicious users: 5 | test acc 0.8948 test loss 0.535297 best test_acc 0.9027
e 15 | malicious users: 5 | test acc 0.9070 test loss 0.397435 best test_acc 0.9070
e 16 | malicious users: 5 | test acc 0.8732 test loss 0.502127 best test_acc 0.9070
e 17 | malicious users: 5 | test acc 0.9128 test loss 0.445721 best test_acc 0.9128
e 18 | malicious users: 5 | test acc 0.8966 test loss 0.413886 best test_acc 0.9128
e 19 | malicious users: 5 | test acc 0.8471 test loss 0.590014 best test_acc 0.9128
e 20 | malicious users: 5 | test acc 0.8867 test loss 0.427968 best test_acc 0.9128
e 21 | malicious users: 5 | test acc 0.8845 test loss 0.504885 best test_acc 0.9128
e 22 | malicious users: 5 | test acc 0.8403 test loss 0.518503 best test_acc 0.9128
e 23 | malicious users: 5 | test acc 0.8570 test loss 0.508009 best test_acc 0.9128
e 24 | malicious users: 5 | test acc 0.8821 test loss 0.419322 best test_acc 0.9128
e 25 | malicious users: 5 | test acc 0.9023 test loss 0.486179 best test_acc 0.9128
