=> Saving data in Logs/FRL~try=948
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1305 test loss 2.242021 best test_acc 0.1305
e 1 | malicious users: 5 | test acc 0.3415 test loss 1.934506 best test_acc 0.3415
e 2 | malicious users: 5 | test acc 0.5792 test loss 1.550745 best test_acc 0.5792
e 3 | malicious users: 5 | test acc 0.6355 test loss 1.519983 best test_acc 0.6355
e 4 | malicious users: 5 | test acc 0.7017 test loss 1.220087 best test_acc 0.7017
e 5 | malicious users: 5 | test acc 0.6491 test loss 1.030161 best test_acc 0.7017
e 6 | malicious users: 5 | test acc 0.7869 test loss 0.868304 best test_acc 0.7869
e 7 | malicious users: 5 | test acc 0.7823 test loss 0.810221 best test_acc 0.7869
e 8 | malicious users: 5 | test acc 0.8530 test loss 0.586796 best test_acc 0.8530
e 9 | malicious users: 5 | test acc 0.7933 test loss 0.691060 best test_acc 0.8530
e 10 | malicious users: 5 | test acc 0.7779 test loss 0.764233 best test_acc 0.8530
e 11 | malicious users: 5 | test acc 0.7728 test loss 0.770370 best test_acc 0.8530
e 12 | malicious users: 5 | test acc 0.8309 test loss 0.496791 best test_acc 0.8530
e 13 | malicious users: 5 | test acc 0.8060 test loss 0.694908 best test_acc 0.8530
e 14 | malicious users: 5 | test acc 0.8820 test loss 0.424884 best test_acc 0.8820
e 15 | malicious users: 5 | test acc 0.8415 test loss 0.522618 best test_acc 0.8820
e 16 | malicious users: 5 | test acc 0.8843 test loss 0.446664 best test_acc 0.8843
e 17 | malicious users: 5 | test acc 0.7997 test loss 0.674718 best test_acc 0.8843
e 18 | malicious users: 5 | test acc 0.8066 test loss 0.613008 best test_acc 0.8843
e 19 | malicious users: 5 | test acc 0.8154 test loss 0.562568 best test_acc 0.8843
e 20 | malicious users: 5 | test acc 0.8442 test loss 0.539284 best test_acc 0.8843
e 21 | malicious users: 5 | test acc 0.8349 test loss 0.547165 best test_acc 0.8843
e 22 | malicious users: 5 | test acc 0.8799 test loss 0.502300 best test_acc 0.8843
e 23 | malicious users: 5 | test acc 0.9068 test loss 0.419061 best test_acc 0.9068
e 24 | malicious users: 5 | test acc 0.9202 test loss 0.366612 best test_acc 0.9202
e 25 | malicious users: 5 | test acc 0.9210 test loss 0.322855 best test_acc 0.9210
e 26 | malicious users: 5 | test acc 0.9115 test loss 0.370409 best test_acc 0.9210
e 27 | malicious users: 5 | test acc 0.9124 test loss 0.379656 best test_acc 0.9210
e 28 | malicious users: 5 | test acc 0.9065 test loss 0.443938 best test_acc 0.9210
e 29 | malicious users: 5 | test acc 0.8368 test loss 0.548742 best test_acc 0.9210
e 30 | malicious users: 5 | test acc 0.9010 test loss 0.374537 best test_acc 0.9210
e 31 | malicious users: 5 | test acc 0.8977 test loss 0.418834 best test_acc 0.9210
e 32 | malicious users: 5 | test acc 0.9295 test loss 0.356481 best test_acc 0.9295
e 33 | malicious users: 5 | test acc 0.9173 test loss 0.357143 best test_acc 0.9295
e 34 | malicious users: 5 | test acc 0.8037 test loss 0.554437 best test_acc 0.9295
e 35 | malicious users: 5 | test acc 0.9242 test loss 0.341653 best test_acc 0.9295
e 36 | malicious users: 5 | test acc 0.9259 test loss 0.319751 best test_acc 0.9295
e 37 | malicious users: 5 | test acc 0.8945 test loss 0.511617 best test_acc 0.9295
e 38 | malicious users: 5 | test acc 0.9174 test loss 0.366658 best test_acc 0.9295
e 39 | malicious users: 5 | test acc 0.8898 test loss 0.536389 best test_acc 0.9295
e 40 | malicious users: 5 | test acc 0.9306 test loss 0.300455 best test_acc 0.9306
e 41 | malicious users: 5 | test acc 0.8877 test loss 0.434053 best test_acc 0.9306
e 42 | malicious users: 5 | test acc 0.9063 test loss 0.395652 best test_acc 0.9306
e 43 | malicious users: 5 | test acc 0.9152 test loss 0.400061 best test_acc 0.9306
e 44 | malicious users: 5 | test acc 0.8669 test loss 0.394994 best test_acc 0.9306
e 45 | malicious users: 5 | test acc 0.9251 test loss 0.331155 best test_acc 0.9306
e 46 | malicious users: 5 | test acc 0.9338 test loss 0.329635 best test_acc 0.9338
e 47 | malicious users: 5 | test acc 0.7995 test loss 0.651200 best test_acc 0.9338
e 48 | malicious users: 5 | test acc 0.8964 test loss 0.403857 best test_acc 0.9338
e 49 | malicious users: 5 | test acc 0.9265 test loss 0.299611 best test_acc 0.9338
e 50 | malicious users: 5 | test acc 0.8344 test loss 0.525714 best test_acc 0.9338
e 51 | malicious users: 5 | test acc 0.8929 test loss 0.400110 best test_acc 0.9338
e 52 | malicious users: 5 | test acc 0.9246 test loss 0.332185 best test_acc 0.9338
e 53 | malicious users: 5 | test acc 0.9213 test loss 0.335029 best test_acc 0.9338
e 54 | malicious users: 5 | test acc 0.8920 test loss 0.425660 best test_acc 0.9338
e 55 | malicious users: 5 | test acc 0.9329 test loss 0.310892 best test_acc 0.9338
e 56 | malicious users: 5 | test acc 0.9243 test loss 0.333134 best test_acc 0.9338
e 57 | malicious users: 5 | test acc 0.8919 test loss 0.408354 best test_acc 0.9338
e 58 | malicious users: 5 | test acc 0.9223 test loss 0.316770 best test_acc 0.9338
e 59 | malicious users: 5 | test acc 0.9121 test loss 0.333578 best test_acc 0.9338
e 60 | malicious users: 5 | test acc 0.8969 test loss 0.410472 best test_acc 0.9338
e 61 | malicious users: 5 | test acc 0.8980 test loss 0.460137 best test_acc 0.9338
e 62 | malicious users: 5 | test acc 0.8464 test loss 0.497129 best test_acc 0.9338
e 63 | malicious users: 5 | test acc 0.9221 test loss 0.320687 best test_acc 0.9338
e 64 | malicious users: 5 | test acc 0.9330 test loss 0.311947 best test_acc 0.9338
e 65 | malicious users: 5 | test acc 0.9338 test loss 0.367542 best test_acc 0.9338
e 66 | malicious users: 5 | test acc 0.9189 test loss 0.391177 best test_acc 0.9338
e 67 | malicious users: 5 | test acc 0.9258 test loss 0.360498 best test_acc 0.9338
e 68 | malicious users: 5 | test acc 0.9234 test loss 0.341595 best test_acc 0.9338
e 69 | malicious users: 5 | test acc 0.8696 test loss 0.546969 best test_acc 0.9338
e 70 | malicious users: 5 | test acc 0.9127 test loss 0.358858 best test_acc 0.9338
e 71 | malicious users: 5 | test acc 0.8536 test loss 0.438368 best test_acc 0.9338
e 72 | malicious users: 5 | test acc 0.8563 test loss 0.419454 best test_acc 0.9338
e 73 | malicious users: 5 | test acc 0.8995 test loss 0.496082 best test_acc 0.9338
e 74 | malicious users: 5 | test acc 0.8973 test loss 0.506538 best test_acc 0.9338
e 75 | malicious users: 5 | test acc 0.9088 test loss 0.359129 best test_acc 0.9338
e 76 | malicious users: 5 | test acc 0.9081 test loss 0.370992 best test_acc 0.9338
e 77 | malicious users: 5 | test acc 0.9253 test loss 0.387755 best test_acc 0.9338
e 78 | malicious users: 5 | test acc 0.8972 test loss 0.486143 best test_acc 0.9338
e 79 | malicious users: 5 | test acc 0.9184 test loss 0.286861 best test_acc 0.9338
e 80 | malicious users: 5 | test acc 0.8482 test loss 0.528233 best test_acc 0.9338
e 81 | malicious users: 5 | test acc 0.9177 test loss 0.324957 best test_acc 0.9338
e 82 | malicious users: 5 | test acc 0.8414 test loss 0.504443 best test_acc 0.9338
e 83 | malicious users: 5 | test acc 0.9246 test loss 0.353534 best test_acc 0.9338
e 84 | malicious users: 5 | test acc 0.8740 test loss 0.435814 best test_acc 0.9338
e 85 | malicious users: 5 | test acc 0.9313 test loss 0.314643 best test_acc 0.9338
e 86 | malicious users: 5 | test acc 0.8777 test loss 0.544394 best test_acc 0.9338
e 87 | malicious users: 5 | test acc 0.9225 test loss 0.335304 best test_acc 0.9338
e 88 | malicious users: 5 | test acc 0.8635 test loss 0.485451 best test_acc 0.9338
e 89 | malicious users: 5 | test acc 0.9282 test loss 0.305258 best test_acc 0.9338
e 90 | malicious users: 5 | test acc 0.9277 test loss 0.427933 best test_acc 0.9338
e 91 | malicious users: 5 | test acc 0.9327 test loss 0.287839 best test_acc 0.9338
e 92 | malicious users: 5 | test acc 0.9251 test loss 0.286738 best test_acc 0.9338
e 93 | malicious users: 5 | test acc 0.9231 test loss 0.426939 best test_acc 0.9338
e 94 | malicious users: 5 | test acc 0.9141 test loss 0.314909 best test_acc 0.9338
e 95 | malicious users: 5 | test acc 0.8272 test loss 0.520973 best test_acc 0.9338
e 96 | malicious users: 5 | test acc 0.9274 test loss 0.330503 best test_acc 0.9338
e 97 | malicious users: 5 | test acc 0.8354 test loss 0.552405 best test_acc 0.9338
e 98 | malicious users: 5 | test acc 0.8615 test loss 0.495432 best test_acc 0.9338
e 99 | malicious users: 5 | test acc 0.9115 test loss 0.371647 best test_acc 0.9338
e 100 | malicious users: 5 | test acc 0.8553 test loss 0.481492 best test_acc 0.9338
e 101 | malicious users: 5 | test acc 0.9282 test loss 0.313246 best test_acc 0.9338
e 102 | malicious users: 5 | test acc 0.7759 test loss 0.657071 best test_acc 0.9338
e 103 | malicious users: 5 | test acc 0.8642 test loss 0.477115 best test_acc 0.9338
e 104 | malicious users: 5 | test acc 0.8214 test loss 0.530573 best test_acc 0.9338
e 105 | malicious users: 5 | test acc 0.9371 test loss 0.317304 best test_acc 0.9371
e 106 | malicious users: 5 | test acc 0.8398 test loss 0.467748 best test_acc 0.9371
e 107 | malicious users: 5 | test acc 0.9161 test loss 0.330749 best test_acc 0.9371
e 108 | malicious users: 5 | test acc 0.9051 test loss 0.504311 best test_acc 0.9371
e 109 | malicious users: 5 | test acc 0.9278 test loss 0.284962 best test_acc 0.9371
e 110 | malicious users: 5 | test acc 0.9064 test loss 0.494835 best test_acc 0.9371
e 111 | malicious users: 5 | test acc 0.9300 test loss 0.333929 best test_acc 0.9371
e 112 | malicious users: 5 | test acc 0.9160 test loss 0.416134 best test_acc 0.9371
e 113 | malicious users: 5 | test acc 0.9359 test loss 0.329610 best test_acc 0.9371
e 114 | malicious users: 5 | test acc 0.9070 test loss 0.410564 best test_acc 0.9371
e 115 | malicious users: 5 | test acc 0.8998 test loss 0.391963 best test_acc 0.9371
e 116 | malicious users: 5 | test acc 0.8449 test loss 0.473600 best test_acc 0.9371
e 117 | malicious users: 5 | test acc 0.9326 test loss 0.308593 best test_acc 0.9371
e 118 | malicious users: 5 | test acc 0.9214 test loss 0.355127 best test_acc 0.9371
e 119 | malicious users: 5 | test acc 0.9373 test loss 0.301278 best test_acc 0.9373
e 120 | malicious users: 5 | test acc 0.9165 test loss 0.350071 best test_acc 0.9373
e 121 | malicious users: 5 | test acc 0.8652 test loss 0.427078 best test_acc 0.9373
e 122 | malicious users: 5 | test acc 0.9353 test loss 0.354071 best test_acc 0.9373
e 123 | malicious users: 5 | test acc 0.9314 test loss 0.346780 best test_acc 0.9373
e 124 | malicious users: 5 | test acc 0.9068 test loss 0.461075 best test_acc 0.9373
e 125 | malicious users: 5 | test acc 0.8762 test loss 0.395098 best test_acc 0.9373
e 126 | malicious users: 5 | test acc 0.9081 test loss 0.389146 best test_acc 0.9373
e 127 | malicious users: 5 | test acc 0.9339 test loss 0.308535 best test_acc 0.9373
e 128 | malicious users: 5 | test acc 0.8420 test loss 0.571058 best test_acc 0.9373
e 129 | malicious users: 5 | test acc 0.9298 test loss 0.301469 best test_acc 0.9373
e 130 | malicious users: 5 | test acc 0.9146 test loss 0.330084 best test_acc 0.9373
e 131 | malicious users: 5 | test acc 0.9299 test loss 0.313367 best test_acc 0.9373
e 132 | malicious users: 5 | test acc 0.8605 test loss 0.506347 best test_acc 0.9373
e 133 | malicious users: 5 | test acc 0.8401 test loss 0.544841 best test_acc 0.9373
e 134 | malicious users: 5 | test acc 0.8947 test loss 0.381327 best test_acc 0.9373
e 135 | malicious users: 5 | test acc 0.9148 test loss 0.365468 best test_acc 0.9373
e 136 | malicious users: 5 | test acc 0.9294 test loss 0.320822 best test_acc 0.9373
e 137 | malicious users: 5 | test acc 0.8870 test loss 0.407982 best test_acc 0.9373
e 138 | malicious users: 5 | test acc 0.9325 test loss 0.322186 best test_acc 0.9373
e 139 | malicious users: 5 | test acc 0.8184 test loss 0.626201 best test_acc 0.9373
e 140 | malicious users: 5 | test acc 0.9260 test loss 0.282862 best test_acc 0.9373
e 141 | malicious users: 5 | test acc 0.7539 test loss 0.696717 best test_acc 0.9373
e 142 | malicious users: 5 | test acc 0.9023 test loss 0.358754 best test_acc 0.9373
e 143 | malicious users: 5 | test acc 0.8863 test loss 0.461473 best test_acc 0.9373
e 144 | malicious users: 5 | test acc 0.9337 test loss 0.304889 best test_acc 0.9373
e 145 | malicious users: 5 | test acc 0.9262 test loss 0.360850 best test_acc 0.9373
e 146 | malicious users: 5 | test acc 0.9240 test loss 0.302934 best test_acc 0.9373
e 147 | malicious users: 5 | test acc 0.9185 test loss 0.417260 best test_acc 0.9373
e 148 | malicious users: 5 | test acc 0.9131 test loss 0.381073 best test_acc 0.9373
e 149 | malicious users: 5 | test acc 0.9022 test loss 0.355470 best test_acc 0.9373
e 150 | malicious users: 5 | test acc 0.9180 test loss 0.317122 best test_acc 0.9373
e 151 | malicious users: 5 | test acc 0.9288 test loss 0.421144 best test_acc 0.9373
e 152 | malicious users: 5 | test acc 0.9231 test loss 0.344353 best test_acc 0.9373
e 153 | malicious users: 5 | test acc 0.9174 test loss 0.371128 best test_acc 0.9373
e 154 | malicious users: 5 | test acc 0.9362 test loss 0.413728 best test_acc 0.9373
e 155 | malicious users: 5 | test acc 0.9379 test loss 0.304898 best test_acc 0.9379
e 156 | malicious users: 5 | test acc 0.9297 test loss 0.275252 best test_acc 0.9379
e 157 | malicious users: 5 | test acc 0.8866 test loss 0.409397 best test_acc 0.9379
e 158 | malicious users: 5 | test acc 0.9364 test loss 0.393045 best test_acc 0.9379
e 159 | malicious users: 5 | test acc 0.9223 test loss 0.362661 best test_acc 0.9379
e 160 | malicious users: 5 | test acc 0.8517 test loss 0.443851 best test_acc 0.9379
e 161 | malicious users: 5 | test acc 0.8862 test loss 0.424409 best test_acc 0.9379
e 162 | malicious users: 5 | test acc 0.9134 test loss 0.319008 best test_acc 0.9379
e 163 | malicious users: 5 | test acc 0.7940 test loss 0.678759 best test_acc 0.9379
e 164 | malicious users: 5 | test acc 0.9243 test loss 0.373195 best test_acc 0.9379
e 165 | malicious users: 5 | test acc 0.8754 test loss 0.419360 best test_acc 0.9379
e 166 | malicious users: 5 | test acc 0.8500 test loss 0.584912 best test_acc 0.9379
e 167 | malicious users: 5 | test acc 0.9235 test loss 0.330844 best test_acc 0.9379
e 168 | malicious users: 5 | test acc 0.8987 test loss 0.459317 best test_acc 0.9379
e 169 | malicious users: 5 | test acc 0.9086 test loss 0.354546 best test_acc 0.9379
e 170 | malicious users: 5 | test acc 0.8664 test loss 0.421764 best test_acc 0.9379
e 171 | malicious users: 5 | test acc 0.9123 test loss 0.385541 best test_acc 0.9379
e 172 | malicious users: 5 | test acc 0.9166 test loss 0.398666 best test_acc 0.9379
e 173 | malicious users: 5 | test acc 0.9123 test loss 0.349429 best test_acc 0.9379
e 174 | malicious users: 5 | test acc 0.9170 test loss 0.356750 best test_acc 0.9379
e 175 | malicious users: 5 | test acc 0.9137 test loss 0.347033 best test_acc 0.9379
e 176 | malicious users: 5 | test acc 0.8720 test loss 0.412943 best test_acc 0.9379
e 177 | malicious users: 5 | test acc 0.9103 test loss 0.374991 best test_acc 0.9379
e 178 | malicious users: 5 | test acc 0.8333 test loss 0.543075 best test_acc 0.9379
e 179 | malicious users: 5 | test acc 0.9101 test loss 0.412534 best test_acc 0.9379
e 180 | malicious users: 5 | test acc 0.9397 test loss 0.300777 best test_acc 0.9397
e 181 | malicious users: 5 | test acc 0.9103 test loss 0.347014 best test_acc 0.9397
e 182 | malicious users: 5 | test acc 0.9212 test loss 0.326001 best test_acc 0.9397
e 183 | malicious users: 5 | test acc 0.8041 test loss 0.732830 best test_acc 0.9397
e 184 | malicious users: 5 | test acc 0.9273 test loss 0.314663 best test_acc 0.9397
e 185 | malicious users: 5 | test acc 0.8349 test loss 0.489192 best test_acc 0.9397
e 186 | malicious users: 5 | test acc 0.9067 test loss 0.356293 best test_acc 0.9397
e 187 | malicious users: 5 | test acc 0.9289 test loss 0.332411 best test_acc 0.9397
e 188 | malicious users: 5 | test acc 0.8933 test loss 0.384666 best test_acc 0.9397
