=> Saving data in Logs/FRL~try=950
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1294 test loss 2.280622 best test_acc 0.1294
e 1 | malicious users: 5 | test acc 0.5252 test loss 2.048324 best test_acc 0.5252
e 2 | malicious users: 5 | test acc 0.6113 test loss 1.573459 best test_acc 0.6113
e 3 | malicious users: 5 | test acc 0.6111 test loss 1.702903 best test_acc 0.6113
e 4 | malicious users: 5 | test acc 0.7395 test loss 1.139213 best test_acc 0.7395
e 5 | malicious users: 5 | test acc 0.7800 test loss 1.008783 best test_acc 0.7800
e 6 | malicious users: 5 | test acc 0.6906 test loss 0.909560 best test_acc 0.7800
e 7 | malicious users: 5 | test acc 0.8166 test loss 0.750313 best test_acc 0.8166
e 8 | malicious users: 5 | test acc 0.8094 test loss 0.673288 best test_acc 0.8166
e 9 | malicious users: 5 | test acc 0.8754 test loss 0.606262 best test_acc 0.8754
e 10 | malicious users: 5 | test acc 0.8780 test loss 0.651433 best test_acc 0.8780
e 11 | malicious users: 5 | test acc 0.8909 test loss 0.490240 best test_acc 0.8909
e 12 | malicious users: 5 | test acc 0.8414 test loss 0.642290 best test_acc 0.8909
e 13 | malicious users: 5 | test acc 0.8331 test loss 0.526097 best test_acc 0.8909
e 14 | malicious users: 5 | test acc 0.8559 test loss 0.627448 best test_acc 0.8909
e 15 | malicious users: 5 | test acc 0.9003 test loss 0.470138 best test_acc 0.9003
e 16 | malicious users: 5 | test acc 0.9073 test loss 0.387438 best test_acc 0.9073
e 17 | malicious users: 5 | test acc 0.8964 test loss 0.495498 best test_acc 0.9073
e 18 | malicious users: 5 | test acc 0.9127 test loss 0.352390 best test_acc 0.9127
e 19 | malicious users: 5 | test acc 0.9063 test loss 0.485978 best test_acc 0.9127
e 20 | malicious users: 5 | test acc 0.8933 test loss 0.384782 best test_acc 0.9127
e 21 | malicious users: 5 | test acc 0.9012 test loss 0.460667 best test_acc 0.9127
e 22 | malicious users: 5 | test acc 0.8428 test loss 0.510451 best test_acc 0.9127
e 23 | malicious users: 5 | test acc 0.9316 test loss 0.305608 best test_acc 0.9316
e 24 | malicious users: 5 | test acc 0.8349 test loss 0.586004 best test_acc 0.9316
e 25 | malicious users: 5 | test acc 0.9187 test loss 0.349231 best test_acc 0.9316
e 26 | malicious users: 5 | test acc 0.9073 test loss 0.349352 best test_acc 0.9316
e 27 | malicious users: 5 | test acc 0.8745 test loss 0.481355 best test_acc 0.9316
e 28 | malicious users: 5 | test acc 0.9362 test loss 0.277661 best test_acc 0.9362
e 29 | malicious users: 5 | test acc 0.9072 test loss 0.386714 best test_acc 0.9362
e 30 | malicious users: 5 | test acc 0.9340 test loss 0.317678 best test_acc 0.9362
e 31 | malicious users: 5 | test acc 0.9239 test loss 0.353600 best test_acc 0.9362
