=> Saving data in Logs/FRL~try=954
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3090 test loss 2.232504 best test_acc 0.3090
e 1 | malicious users: 5 | test acc 0.5239 test loss 1.754084 best test_acc 0.5239
e 2 | malicious users: 5 | test acc 0.4761 test loss 1.576491 best test_acc 0.5239
e 3 | malicious users: 5 | test acc 0.5609 test loss 1.531757 best test_acc 0.5609
e 4 | malicious users: 5 | test acc 0.7171 test loss 0.997205 best test_acc 0.7171
e 5 | malicious users: 5 | test acc 0.5958 test loss 1.182527 best test_acc 0.7171
e 6 | malicious users: 5 | test acc 0.7024 test loss 0.848206 best test_acc 0.7171
e 7 | malicious users: 5 | test acc 0.7671 test loss 0.726103 best test_acc 0.7671
e 8 | malicious users: 5 | test acc 0.7082 test loss 0.821540 best test_acc 0.7671
e 9 | malicious users: 5 | test acc 0.6841 test loss 1.137325 best test_acc 0.7671
e 10 | malicious users: 5 | test acc 0.7787 test loss 0.669817 best test_acc 0.7787
e 11 | malicious users: 5 | test acc 0.7793 test loss 0.706090 best test_acc 0.7793
e 12 | malicious users: 5 | test acc 0.8268 test loss 0.627041 best test_acc 0.8268
e 13 | malicious users: 5 | test acc 0.7937 test loss 0.727077 best test_acc 0.8268
e 14 | malicious users: 5 | test acc 0.7948 test loss 0.704609 best test_acc 0.8268
e 15 | malicious users: 5 | test acc 0.7883 test loss 0.734257 best test_acc 0.8268
e 16 | malicious users: 5 | test acc 0.8197 test loss 0.595025 best test_acc 0.8268
e 17 | malicious users: 5 | test acc 0.8623 test loss 0.701875 best test_acc 0.8623
e 18 | malicious users: 5 | test acc 0.8947 test loss 0.418631 best test_acc 0.8947
e 19 | malicious users: 5 | test acc 0.8118 test loss 0.776641 best test_acc 0.8947
e 20 | malicious users: 5 | test acc 0.8466 test loss 0.513206 best test_acc 0.8947
e 21 | malicious users: 5 | test acc 0.8178 test loss 0.585566 best test_acc 0.8947
e 22 | malicious users: 5 | test acc 0.8537 test loss 0.525711 best test_acc 0.8947
e 23 | malicious users: 5 | test acc 0.8491 test loss 0.584473 best test_acc 0.8947
e 24 | malicious users: 5 | test acc 0.8883 test loss 0.402742 best test_acc 0.8947
e 25 | malicious users: 5 | test acc 0.8142 test loss 0.715010 best test_acc 0.8947
e 26 | malicious users: 5 | test acc 0.9104 test loss 0.386314 best test_acc 0.9104
e 27 | malicious users: 5 | test acc 0.8988 test loss 0.438897 best test_acc 0.9104
