=> Saving data in Logs/FRL~try=955
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_defense_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3163 test loss 2.231994 best test_acc 0.3163
e 1 | malicious users: 5 | test acc 0.5281 test loss 1.896769 best test_acc 0.5281
e 2 | malicious users: 5 | test acc 0.5569 test loss 1.530162 best test_acc 0.5569
e 3 | malicious users: 5 | test acc 0.6248 test loss 1.235775 best test_acc 0.6248
e 4 | malicious users: 5 | test acc 0.6177 test loss 1.310392 best test_acc 0.6248
e 5 | malicious users: 5 | test acc 0.6983 test loss 1.039037 best test_acc 0.6983
e 6 | malicious users: 5 | test acc 0.7208 test loss 0.834536 best test_acc 0.7208
e 7 | malicious users: 5 | test acc 0.7815 test loss 0.794394 best test_acc 0.7815
e 8 | malicious users: 5 | test acc 0.8029 test loss 0.759162 best test_acc 0.8029
e 9 | malicious users: 5 | test acc 0.7865 test loss 0.804059 best test_acc 0.8029
e 10 | malicious users: 5 | test acc 0.7658 test loss 0.684595 best test_acc 0.8029
e 11 | malicious users: 5 | test acc 0.7885 test loss 0.688322 best test_acc 0.8029
e 12 | malicious users: 5 | test acc 0.8125 test loss 0.615574 best test_acc 0.8125
e 13 | malicious users: 5 | test acc 0.7685 test loss 0.730551 best test_acc 0.8125
e 14 | malicious users: 5 | test acc 0.7743 test loss 0.721369 best test_acc 0.8125
e 15 | malicious users: 5 | test acc 0.8097 test loss 0.641908 best test_acc 0.8125
e 16 | malicious users: 5 | test acc 0.8284 test loss 0.669836 best test_acc 0.8284
e 17 | malicious users: 5 | test acc 0.7988 test loss 0.630501 best test_acc 0.8284
e 18 | malicious users: 5 | test acc 0.8326 test loss 0.604629 best test_acc 0.8326
e 19 | malicious users: 5 | test acc 0.7421 test loss 0.724977 best test_acc 0.8326
e 20 | malicious users: 5 | test acc 0.7324 test loss 0.761231 best test_acc 0.8326
e 21 | malicious users: 5 | test acc 0.8333 test loss 0.588557 best test_acc 0.8333
e 22 | malicious users: 5 | test acc 0.8504 test loss 0.589119 best test_acc 0.8504
e 23 | malicious users: 5 | test acc 0.8174 test loss 0.539149 best test_acc 0.8504
e 24 | malicious users: 5 | test acc 0.6392 test loss 0.990256 best test_acc 0.8504
e 25 | malicious users: 5 | test acc 0.7519 test loss 0.692826 best test_acc 0.8504
e 26 | malicious users: 5 | test acc 0.7588 test loss 0.706134 best test_acc 0.8504
e 27 | malicious users: 5 | test acc 0.8344 test loss 0.577571 best test_acc 0.8504
e 28 | malicious users: 5 | test acc 0.7732 test loss 0.563155 best test_acc 0.8504
e 29 | malicious users: 5 | test acc 0.8252 test loss 0.639204 best test_acc 0.8504
e 30 | malicious users: 5 | test acc 0.9044 test loss 0.361897 best test_acc 0.9044
e 31 | malicious users: 5 | test acc 0.6721 test loss 0.885370 best test_acc 0.9044
e 32 | malicious users: 5 | test acc 0.9001 test loss 0.349519 best test_acc 0.9044
e 33 | malicious users: 5 | test acc 0.8095 test loss 0.693575 best test_acc 0.9044
e 34 | malicious users: 5 | test acc 0.8064 test loss 0.650577 best test_acc 0.9044
e 35 | malicious users: 5 | test acc 0.7876 test loss 0.647912 best test_acc 0.9044
e 36 | malicious users: 5 | test acc 0.7698 test loss 0.755728 best test_acc 0.9044
e 37 | malicious users: 5 | test acc 0.8678 test loss 0.511958 best test_acc 0.9044
e 38 | malicious users: 5 | test acc 0.8172 test loss 0.645253 best test_acc 0.9044
e 39 | malicious users: 5 | test acc 0.8446 test loss 0.644018 best test_acc 0.9044
