=> Saving data in Logs/FRL~try=956
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3001 test loss 2.193418 best test_acc 0.3001
e 1 | malicious users: 5 | test acc 0.4743 test loss 1.812655 best test_acc 0.4743
e 2 | malicious users: 5 | test acc 0.5552 test loss 1.871916 best test_acc 0.5552
e 3 | malicious users: 5 | test acc 0.6315 test loss 1.292677 best test_acc 0.6315
e 4 | malicious users: 5 | test acc 0.5655 test loss 1.408588 best test_acc 0.6315
e 5 | malicious users: 5 | test acc 0.7022 test loss 0.940422 best test_acc 0.7022
e 6 | malicious users: 5 | test acc 0.7231 test loss 1.006487 best test_acc 0.7231
e 7 | malicious users: 5 | test acc 0.7196 test loss 0.873876 best test_acc 0.7231
e 8 | malicious users: 5 | test acc 0.6878 test loss 1.013272 best test_acc 0.7231
e 9 | malicious users: 5 | test acc 0.7366 test loss 0.749471 best test_acc 0.7366
e 10 | malicious users: 5 | test acc 0.8192 test loss 0.671695 best test_acc 0.8192
e 11 | malicious users: 5 | test acc 0.7608 test loss 0.823549 best test_acc 0.8192
e 12 | malicious users: 5 | test acc 0.7385 test loss 0.741370 best test_acc 0.8192
e 13 | malicious users: 5 | test acc 0.8604 test loss 0.562033 best test_acc 0.8604
e 14 | malicious users: 5 | test acc 0.7495 test loss 0.934643 best test_acc 0.8604
e 15 | malicious users: 5 | test acc 0.8516 test loss 0.590548 best test_acc 0.8604
e 16 | malicious users: 5 | test acc 0.7938 test loss 0.749640 best test_acc 0.8604
e 17 | malicious users: 5 | test acc 0.8583 test loss 0.626187 best test_acc 0.8604
e 18 | malicious users: 5 | test acc 0.7985 test loss 0.681396 best test_acc 0.8604
e 19 | malicious users: 5 | test acc 0.8708 test loss 0.541653 best test_acc 0.8708
e 20 | malicious users: 5 | test acc 0.7258 test loss 0.802553 best test_acc 0.8708
e 21 | malicious users: 5 | test acc 0.8466 test loss 0.582742 best test_acc 0.8708
e 22 | malicious users: 5 | test acc 0.8044 test loss 0.641172 best test_acc 0.8708
e 23 | malicious users: 5 | test acc 0.7828 test loss 0.637525 best test_acc 0.8708
e 24 | malicious users: 5 | test acc 0.8474 test loss 0.568815 best test_acc 0.8708
e 25 | malicious users: 5 | test acc 0.8079 test loss 0.658748 best test_acc 0.8708
e 26 | malicious users: 5 | test acc 0.8264 test loss 0.639570 best test_acc 0.8708
e 27 | malicious users: 5 | test acc 0.9133 test loss 0.448644 best test_acc 0.9133
e 28 | malicious users: 5 | test acc 0.8091 test loss 0.693639 best test_acc 0.9133
e 29 | malicious users: 5 | test acc 0.8541 test loss 0.552810 best test_acc 0.9133
e 30 | malicious users: 5 | test acc 0.8446 test loss 0.596352 best test_acc 0.9133
e 31 | malicious users: 5 | test acc 0.8017 test loss 0.647852 best test_acc 0.9133
e 32 | malicious users: 5 | test acc 0.8962 test loss 0.425820 best test_acc 0.9133
e 33 | malicious users: 5 | test acc 0.8028 test loss 0.663759 best test_acc 0.9133
e 34 | malicious users: 5 | test acc 0.8653 test loss 0.501649 best test_acc 0.9133
e 35 | malicious users: 5 | test acc 0.8059 test loss 0.539912 best test_acc 0.9133
e 36 | malicious users: 5 | test acc 0.8577 test loss 0.506959 best test_acc 0.9133
e 37 | malicious users: 5 | test acc 0.8195 test loss 0.664371 best test_acc 0.9133
e 38 | malicious users: 5 | test acc 0.8564 test loss 0.486803 best test_acc 0.9133
e 39 | malicious users: 5 | test acc 0.8218 test loss 0.540931 best test_acc 0.9133
e 40 | malicious users: 5 | test acc 0.8982 test loss 0.484525 best test_acc 0.9133
e 41 | malicious users: 5 | test acc 0.8397 test loss 0.554916 best test_acc 0.9133
e 42 | malicious users: 5 | test acc 0.8483 test loss 0.561063 best test_acc 0.9133
e 43 | malicious users: 5 | test acc 0.8793 test loss 0.541292 best test_acc 0.9133
e 44 | malicious users: 5 | test acc 0.9221 test loss 0.353719 best test_acc 0.9221
e 45 | malicious users: 5 | test acc 0.9102 test loss 0.371528 best test_acc 0.9221
e 46 | malicious users: 5 | test acc 0.8685 test loss 0.550984 best test_acc 0.9221
e 47 | malicious users: 5 | test acc 0.8739 test loss 0.603739 best test_acc 0.9221
e 48 | malicious users: 5 | test acc 0.9067 test loss 0.455302 best test_acc 0.9221
e 49 | malicious users: 5 | test acc 0.9047 test loss 0.395824 best test_acc 0.9221
e 50 | malicious users: 5 | test acc 0.8360 test loss 0.537119 best test_acc 0.9221
e 51 | malicious users: 5 | test acc 0.8183 test loss 0.550484 best test_acc 0.9221
e 52 | malicious users: 5 | test acc 0.8545 test loss 0.504729 best test_acc 0.9221
e 53 | malicious users: 5 | test acc 0.8269 test loss 0.629726 best test_acc 0.9221
e 54 | malicious users: 5 | test acc 0.8619 test loss 0.501731 best test_acc 0.9221
e 55 | malicious users: 5 | test acc 0.8637 test loss 0.523552 best test_acc 0.9221
e 56 | malicious users: 5 | test acc 0.8821 test loss 0.468341 best test_acc 0.9221
e 57 | malicious users: 5 | test acc 0.8519 test loss 0.547580 best test_acc 0.9221
e 58 | malicious users: 5 | test acc 0.7971 test loss 0.601656 best test_acc 0.9221
e 59 | malicious users: 5 | test acc 0.8386 test loss 0.514624 best test_acc 0.9221
e 60 | malicious users: 5 | test acc 0.8230 test loss 0.674117 best test_acc 0.9221
e 61 | malicious users: 5 | test acc 0.8768 test loss 0.407310 best test_acc 0.9221
e 62 | malicious users: 5 | test acc 0.7915 test loss 0.783413 best test_acc 0.9221
e 63 | malicious users: 5 | test acc 0.8440 test loss 0.465511 best test_acc 0.9221
e 64 | malicious users: 5 | test acc 0.8420 test loss 0.565642 best test_acc 0.9221
e 65 | malicious users: 5 | test acc 0.7593 test loss 0.741276 best test_acc 0.9221
e 66 | malicious users: 5 | test acc 0.8899 test loss 0.450671 best test_acc 0.9221
e 67 | malicious users: 5 | test acc 0.8827 test loss 0.407648 best test_acc 0.9221
e 68 | malicious users: 5 | test acc 0.8423 test loss 0.519175 best test_acc 0.9221
e 69 | malicious users: 5 | test acc 0.8683 test loss 0.439085 best test_acc 0.9221
e 70 | malicious users: 5 | test acc 0.9012 test loss 0.635224 best test_acc 0.9221
e 71 | malicious users: 5 | test acc 0.8965 test loss 0.459943 best test_acc 0.9221
e 72 | malicious users: 5 | test acc 0.8939 test loss 0.563444 best test_acc 0.9221
e 73 | malicious users: 5 | test acc 0.8621 test loss 0.547311 best test_acc 0.9221
e 74 | malicious users: 5 | test acc 0.8335 test loss 0.463733 best test_acc 0.9221
e 75 | malicious users: 5 | test acc 0.8424 test loss 0.627303 best test_acc 0.9221
e 76 | malicious users: 5 | test acc 0.9141 test loss 0.376555 best test_acc 0.9221
e 77 | malicious users: 5 | test acc 0.8774 test loss 0.517329 best test_acc 0.9221
e 78 | malicious users: 5 | test acc 0.9066 test loss 0.355354 best test_acc 0.9221
e 79 | malicious users: 5 | test acc 0.8017 test loss 0.621120 best test_acc 0.9221
e 80 | malicious users: 5 | test acc 0.9088 test loss 0.429859 best test_acc 0.9221
e 81 | malicious users: 5 | test acc 0.8624 test loss 0.549953 best test_acc 0.9221
e 82 | malicious users: 5 | test acc 0.8908 test loss 0.494618 best test_acc 0.9221
e 83 | malicious users: 5 | test acc 0.9210 test loss 0.407809 best test_acc 0.9221
e 84 | malicious users: 5 | test acc 0.9143 test loss 0.419681 best test_acc 0.9221
e 85 | malicious users: 5 | test acc 0.8030 test loss 0.598068 best test_acc 0.9221
e 86 | malicious users: 5 | test acc 0.8757 test loss 0.464820 best test_acc 0.9221
e 87 | malicious users: 5 | test acc 0.9236 test loss 0.452307 best test_acc 0.9236
e 88 | malicious users: 5 | test acc 0.8781 test loss 0.377661 best test_acc 0.9236
e 89 | malicious users: 5 | test acc 0.8773 test loss 0.617219 best test_acc 0.9236
e 90 | malicious users: 5 | test acc 0.8936 test loss 0.374789 best test_acc 0.9236
e 91 | malicious users: 5 | test acc 0.8994 test loss 0.417035 best test_acc 0.9236
e 92 | malicious users: 5 | test acc 0.8220 test loss 0.508166 best test_acc 0.9236
e 93 | malicious users: 5 | test acc 0.8052 test loss 0.685433 best test_acc 0.9236
e 94 | malicious users: 5 | test acc 0.9244 test loss 0.284342 best test_acc 0.9244
e 95 | malicious users: 5 | test acc 0.9179 test loss 0.425789 best test_acc 0.9244
e 96 | malicious users: 5 | test acc 0.9351 test loss 0.350332 best test_acc 0.9351
e 97 | malicious users: 5 | test acc 0.9226 test loss 0.397901 best test_acc 0.9351
e 98 | malicious users: 5 | test acc 0.8164 test loss 0.562200 best test_acc 0.9351
e 99 | malicious users: 5 | test acc 0.8546 test loss 0.537898 best test_acc 0.9351
e 100 | malicious users: 5 | test acc 0.8510 test loss 0.652090 best test_acc 0.9351
e 101 | malicious users: 5 | test acc 0.9234 test loss 0.276298 best test_acc 0.9351
e 102 | malicious users: 5 | test acc 0.7446 test loss 0.722990 best test_acc 0.9351
e 103 | malicious users: 5 | test acc 0.8882 test loss 0.404624 best test_acc 0.9351
e 104 | malicious users: 5 | test acc 0.8759 test loss 0.475139 best test_acc 0.9351
e 105 | malicious users: 5 | test acc 0.8841 test loss 0.563885 best test_acc 0.9351
e 106 | malicious users: 5 | test acc 0.9245 test loss 0.369228 best test_acc 0.9351
e 107 | malicious users: 5 | test acc 0.9122 test loss 0.432519 best test_acc 0.9351
e 108 | malicious users: 5 | test acc 0.9029 test loss 0.347581 best test_acc 0.9351
e 109 | malicious users: 5 | test acc 0.7715 test loss 0.786648 best test_acc 0.9351
e 110 | malicious users: 5 | test acc 0.8406 test loss 0.426056 best test_acc 0.9351
e 111 | malicious users: 5 | test acc 0.7230 test loss 0.932348 best test_acc 0.9351
e 112 | malicious users: 5 | test acc 0.8623 test loss 0.421290 best test_acc 0.9351
e 113 | malicious users: 5 | test acc 0.8917 test loss 0.474905 best test_acc 0.9351
e 114 | malicious users: 5 | test acc 0.8840 test loss 0.423817 best test_acc 0.9351
e 115 | malicious users: 5 | test acc 0.8081 test loss 0.576890 best test_acc 0.9351
e 116 | malicious users: 5 | test acc 0.9161 test loss 0.323752 best test_acc 0.9351
e 117 | malicious users: 5 | test acc 0.8831 test loss 0.489685 best test_acc 0.9351
e 118 | malicious users: 5 | test acc 0.8599 test loss 0.543409 best test_acc 0.9351
e 119 | malicious users: 5 | test acc 0.8417 test loss 0.539456 best test_acc 0.9351
e 120 | malicious users: 5 | test acc 0.8982 test loss 0.443656 best test_acc 0.9351
e 121 | malicious users: 5 | test acc 0.9199 test loss 0.308953 best test_acc 0.9351
e 122 | malicious users: 5 | test acc 0.9068 test loss 0.587331 best test_acc 0.9351
e 123 | malicious users: 5 | test acc 0.9265 test loss 0.307842 best test_acc 0.9351
e 124 | malicious users: 5 | test acc 0.7847 test loss 0.613081 best test_acc 0.9351
e 125 | malicious users: 5 | test acc 0.7881 test loss 0.526383 best test_acc 0.9351
e 126 | malicious users: 5 | test acc 0.8739 test loss 0.511000 best test_acc 0.9351
e 127 | malicious users: 5 | test acc 0.9182 test loss 0.303875 best test_acc 0.9351
e 128 | malicious users: 5 | test acc 0.9188 test loss 0.303296 best test_acc 0.9351
e 129 | malicious users: 5 | test acc 0.8388 test loss 0.625579 best test_acc 0.9351
e 130 | malicious users: 5 | test acc 0.9273 test loss 0.345778 best test_acc 0.9351
e 131 | malicious users: 5 | test acc 0.8554 test loss 0.474093 best test_acc 0.9351
e 132 | malicious users: 5 | test acc 0.8896 test loss 0.385231 best test_acc 0.9351
