=> Saving data in Logs/FRL~try=957
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.3011 test loss 2.209440 best test_acc 0.3011
e 1 | malicious users: 5 | test acc 0.5505 test loss 1.763086 best test_acc 0.5505
e 2 | malicious users: 5 | test acc 0.5539 test loss 1.836867 best test_acc 0.5539
e 3 | malicious users: 5 | test acc 0.6565 test loss 1.393633 best test_acc 0.6565
e 4 | malicious users: 5 | test acc 0.6560 test loss 1.299307 best test_acc 0.6565
e 5 | malicious users: 5 | test acc 0.6943 test loss 1.213348 best test_acc 0.6943
e 6 | malicious users: 5 | test acc 0.7340 test loss 0.860035 best test_acc 0.7340
e 7 | malicious users: 5 | test acc 0.6767 test loss 0.891798 best test_acc 0.7340
e 8 | malicious users: 5 | test acc 0.7096 test loss 0.873259 best test_acc 0.7340
e 9 | malicious users: 5 | test acc 0.8049 test loss 0.838222 best test_acc 0.8049
e 10 | malicious users: 5 | test acc 0.7796 test loss 0.761390 best test_acc 0.8049
e 11 | malicious users: 5 | test acc 0.7304 test loss 0.846514 best test_acc 0.8049
e 12 | malicious users: 5 | test acc 0.7330 test loss 0.828311 best test_acc 0.8049
e 13 | malicious users: 5 | test acc 0.7196 test loss 0.774970 best test_acc 0.8049
e 14 | malicious users: 5 | test acc 0.8373 test loss 0.658220 best test_acc 0.8373
e 15 | malicious users: 5 | test acc 0.8805 test loss 0.734993 best test_acc 0.8805
e 16 | malicious users: 5 | test acc 0.8381 test loss 0.500620 best test_acc 0.8805
e 17 | malicious users: 5 | test acc 0.8317 test loss 0.719150 best test_acc 0.8805
e 18 | malicious users: 5 | test acc 0.8650 test loss 0.447086 best test_acc 0.8805
e 19 | malicious users: 5 | test acc 0.7556 test loss 0.748051 best test_acc 0.8805
e 20 | malicious users: 5 | test acc 0.8152 test loss 0.634394 best test_acc 0.8805
e 21 | malicious users: 5 | test acc 0.8172 test loss 0.645417 best test_acc 0.8805
e 22 | malicious users: 5 | test acc 0.8590 test loss 0.533540 best test_acc 0.8805
e 23 | malicious users: 5 | test acc 0.8543 test loss 0.652325 best test_acc 0.8805
e 24 | malicious users: 5 | test acc 0.7826 test loss 0.745373 best test_acc 0.8805
e 25 | malicious users: 5 | test acc 0.7680 test loss 0.790805 best test_acc 0.8805
e 26 | malicious users: 5 | test acc 0.8453 test loss 0.506832 best test_acc 0.8805
e 27 | malicious users: 5 | test acc 0.7330 test loss 0.966537 best test_acc 0.8805
e 28 | malicious users: 5 | test acc 0.8472 test loss 0.516721 best test_acc 0.8805
e 29 | malicious users: 5 | test acc 0.8331 test loss 0.683545 best test_acc 0.8805
e 30 | malicious users: 5 | test acc 0.8392 test loss 0.710579 best test_acc 0.8805
e 31 | malicious users: 5 | test acc 0.8369 test loss 0.733708 best test_acc 0.8805
e 32 | malicious users: 5 | test acc 0.8850 test loss 0.468143 best test_acc 0.8850
e 33 | malicious users: 5 | test acc 0.8348 test loss 0.592893 best test_acc 0.8850
e 34 | malicious users: 5 | test acc 0.8391 test loss 0.595935 best test_acc 0.8850
e 35 | malicious users: 5 | test acc 0.7667 test loss 0.670357 best test_acc 0.8850
e 36 | malicious users: 5 | test acc 0.7008 test loss 0.821064 best test_acc 0.8850
e 37 | malicious users: 5 | test acc 0.7443 test loss 0.676913 best test_acc 0.8850
e 38 | malicious users: 5 | test acc 0.8244 test loss 0.673112 best test_acc 0.8850
e 39 | malicious users: 5 | test acc 0.8929 test loss 0.418941 best test_acc 0.8929
e 40 | malicious users: 5 | test acc 0.8264 test loss 0.743351 best test_acc 0.8929
e 41 | malicious users: 5 | test acc 0.8731 test loss 0.404878 best test_acc 0.8929
e 42 | malicious users: 5 | test acc 0.7551 test loss 0.716705 best test_acc 0.8929
