=> Saving data in Logs/FRL~try=959
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  iid
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1371 test loss 2.224354 best test_acc 0.1371
e 1 | malicious users: 5 | test acc 0.5068 test loss 1.933176 best test_acc 0.5068
e 2 | malicious users: 5 | test acc 0.5095 test loss 1.778475 best test_acc 0.5095
e 3 | malicious users: 5 | test acc 0.6046 test loss 1.762551 best test_acc 0.6046
e 4 | malicious users: 5 | test acc 0.6236 test loss 1.260841 best test_acc 0.6236
e 5 | malicious users: 5 | test acc 0.6293 test loss 1.693264 best test_acc 0.6293
e 6 | malicious users: 5 | test acc 0.6528 test loss 1.168262 best test_acc 0.6528
e 7 | malicious users: 5 | test acc 0.7079 test loss 1.340422 best test_acc 0.7079
e 8 | malicious users: 5 | test acc 0.5761 test loss 1.282361 best test_acc 0.7079
e 9 | malicious users: 5 | test acc 0.7696 test loss 1.140434 best test_acc 0.7696
e 10 | malicious users: 5 | test acc 0.7486 test loss 1.006460 best test_acc 0.7696
e 11 | malicious users: 5 | test acc 0.7002 test loss 1.277040 best test_acc 0.7696
e 12 | malicious users: 5 | test acc 0.6196 test loss 1.254053 best test_acc 0.7696
e 13 | malicious users: 5 | test acc 0.6083 test loss 1.409604 best test_acc 0.7696
e 14 | malicious users: 5 | test acc 0.7033 test loss 1.312903 best test_acc 0.7696
e 15 | malicious users: 5 | test acc 0.7234 test loss 1.175182 best test_acc 0.7696
e 16 | malicious users: 5 | test acc 0.8142 test loss 0.744981 best test_acc 0.8142
e 17 | malicious users: 5 | test acc 0.8624 test loss 0.569778 best test_acc 0.8624
e 18 | malicious users: 5 | test acc 0.7431 test loss 1.029300 best test_acc 0.8624
e 19 | malicious users: 5 | test acc 0.7380 test loss 1.161872 best test_acc 0.8624
e 20 | malicious users: 5 | test acc 0.8308 test loss 0.645907 best test_acc 0.8624
e 21 | malicious users: 5 | test acc 0.7569 test loss 0.960610 best test_acc 0.8624
e 22 | malicious users: 5 | test acc 0.7327 test loss 1.146748 best test_acc 0.8624
e 23 | malicious users: 5 | test acc 0.7429 test loss 1.212508 best test_acc 0.8624
e 24 | malicious users: 5 | test acc 0.7164 test loss 0.834804 best test_acc 0.8624
e 25 | malicious users: 5 | test acc 0.8180 test loss 0.814133 best test_acc 0.8624
e 26 | malicious users: 5 | test acc 0.6828 test loss 1.183856 best test_acc 0.8624
e 27 | malicious users: 5 | test acc 0.7265 test loss 1.164179 best test_acc 0.8624
e 28 | malicious users: 5 | test acc 0.7808 test loss 0.658851 best test_acc 0.8624
e 29 | malicious users: 5 | test acc 0.8018 test loss 0.752488 best test_acc 0.8624
e 30 | malicious users: 5 | test acc 0.6229 test loss 1.119771 best test_acc 0.8624
e 31 | malicious users: 5 | test acc 0.6982 test loss 1.269413 best test_acc 0.8624
e 32 | malicious users: 5 | test acc 0.6476 test loss 1.201188 best test_acc 0.8624
e 33 | malicious users: 5 | test acc 0.8758 test loss 0.511530 best test_acc 0.8758
e 34 | malicious users: 5 | test acc 0.4328 test loss 1.490101 best test_acc 0.8758
e 35 | malicious users: 5 | test acc 0.8375 test loss 0.735394 best test_acc 0.8758
e 36 | malicious users: 5 | test acc 0.6321 test loss 1.445426 best test_acc 0.8758
e 37 | malicious users: 5 | test acc 0.6030 test loss 1.062036 best test_acc 0.8758
e 38 | malicious users: 5 | test acc 0.6940 test loss 1.395800 best test_acc 0.8758
e 39 | malicious users: 5 | test acc 0.5440 test loss 1.203398 best test_acc 0.8758
e 40 | malicious users: 5 | test acc 0.9223 test loss 0.418322 best test_acc 0.9223
