=> Saving data in Logs/FRL~try=965
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  1
batch size is :  8
test batch size is:  128
use_cuda:  True
type of FL:  FRL_train_agnostic_val
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
e 0 | malicious users: 5 | test acc 0.1058 test loss 2.279953 best test_acc 0.1058
e 1 | malicious users: 5 | test acc 0.1998 test loss 2.092872 best test_acc 0.1998
e 2 | malicious users: 5 | test acc 0.3738 test loss 1.871980 best test_acc 0.3738
e 3 | malicious users: 5 | test acc 0.5883 test loss 1.452024 best test_acc 0.5883
e 4 | malicious users: 5 | test acc 0.5289 test loss 1.322444 best test_acc 0.5883
e 5 | malicious users: 5 | test acc 0.5983 test loss 1.227370 best test_acc 0.5983
e 6 | malicious users: 5 | test acc 0.6787 test loss 0.974100 best test_acc 0.6787
e 7 | malicious users: 5 | test acc 0.6940 test loss 1.005420 best test_acc 0.6940
e 8 | malicious users: 5 | test acc 0.6493 test loss 0.979956 best test_acc 0.6940
e 9 | malicious users: 5 | test acc 0.6254 test loss 1.084677 best test_acc 0.6940
e 10 | malicious users: 5 | test acc 0.6651 test loss 1.131038 best test_acc 0.6940
e 11 | malicious users: 5 | test acc 0.6256 test loss 1.126431 best test_acc 0.6940
e 12 | malicious users: 5 | test acc 0.6290 test loss 1.046069 best test_acc 0.6940
e 13 | malicious users: 5 | test acc 0.7708 test loss 0.704961 best test_acc 0.7708
e 14 | malicious users: 5 | test acc 0.8262 test loss 0.794516 best test_acc 0.8262
e 15 | malicious users: 5 | test acc 0.6168 test loss 1.169251 best test_acc 0.8262
e 16 | malicious users: 5 | test acc 0.7784 test loss 0.775131 best test_acc 0.8262
e 17 | malicious users: 5 | test acc 0.7464 test loss 0.732600 best test_acc 0.8262
e 18 | malicious users: 5 | test acc 0.7241 test loss 0.816095 best test_acc 0.8262
e 19 | malicious users: 5 | test acc 0.8107 test loss 0.615756 best test_acc 0.8262
e 20 | malicious users: 5 | test acc 0.8069 test loss 0.885314 best test_acc 0.8262
e 21 | malicious users: 5 | test acc 0.6923 test loss 0.822563 best test_acc 0.8262
e 22 | malicious users: 5 | test acc 0.8237 test loss 0.723682 best test_acc 0.8262
e 23 | malicious users: 5 | test acc 0.6955 test loss 0.861755 best test_acc 0.8262
e 24 | malicious users: 5 | test acc 0.8179 test loss 0.567463 best test_acc 0.8262
